NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
252,4,1,4,0.5
1473,7,1,4,0.5
1050,10,1,4,0.5
1,11,4,2,0.008
11,12,1,3,0.5
12,13,1,4,0.5
1017,16,1,4,0.5
1,17,6,2,0.008
17,18,1,3,0.5
18,19,1,4,0.5
1110,22,1,4,0.5
1446,25,1,4,0.5
495,28,1,4,0.5
824,30,1,3,0.5
30,31,1,4,0.5
1,32,11,2,0.008
32,33,1,3,0.5
33,34,1,4,0.5
1098,37,1,4,0.5
369,40,1,4,0.5
897,43,1,4,0.5
1215,46,1,4,0.5
542,48,1,3,0.5
48,49,1,4,0.5
885,52,1,4,0.5
582,55,1,4,0.5
1154,57,1,3,0.5
57,58,1,4,0.5
18,61,1,4,0.5
1500,64,1,4,0.5
1119,67,1,4,0.5
1,68,23,2,0.008
68,69,1,3,0.5
69,70,1,4,0.5
1170,73,1,4,0.5
1376,75,1,3,0.5
75,76,1,4,0.5
749,78,1,3,0.5
78,79,1,4,0.5
1149,82,1,4,0.5
1326,85,1,4,0.5
786,88,1,4,0.5
785,90,1,3,0.5
90,91,1,4,0.5
480,94,1,4,0.5
411,97,1,4,0.5
615,100,1,4,0.5
228,103,1,4,0.5
1,104,35,2,0.008
104,105,1,3,0.5
105,106,1,4,0.5
312,109,1,4,0.5
1071,112,1,4,0.5
722,114,1,3,0.5
114,115,1,4,0.5
1224,118,1,4,0.5
531,121,1,4,0.5
1,122,41,2,0.008
122,123,1,3,0.5
123,124,1,4,0.5
1,125,42,2,0.008
125,126,1,3,0.5
126,127,1,4,0.5
494,129,1,3,0.5
129,130,1,4,0.5
1,131,44,2,0.008
131,132,1,3,0.5
132,133,1,4,0.5
543,136,1,4,0.5
1206,139,1,4,0.5
518,141,1,3,0.5
141,142,1,4,0.5
864,145,1,4,0.5
1469,147,1,3,0.5
147,148,1,4,0.5
1194,151,1,4,0.5
705,154,1,4,0.5
795,157,1,4,0.5
1,158,53,2,0.008
158,159,1,3,0.5
159,160,1,4,0.5
1107,163,1,4,0.5
1,164,55,2,0.008
164,165,1,3,0.5
165,166,1,4,0.5
176,168,1,3,0.5
168,169,1,4,0.5
168,172,1,4,0.5
1424,174,1,3,0.5
174,175,1,4,0.5
1,176,59,2,0.008
176,177,1,3,0.5
177,178,1,4,0.5
444,181,1,4,0.5
1257,184,1,4,0.5
591,187,1,4,0.5
1269,190,1,4,0.5
147,193,1,4,0.5
804,196,1,4,0.5
1,197,66,2,0.008
197,198,1,3,0.5
198,199,1,4,0.5
1356,202,1,4,0.5
1413,205,1,4,0.5
1146,208,1,4,0.5
1164,211,1,4,0.5
164,213,1,3,0.5
213,214,1,4,0.5
1443,217,1,4,0.5
126,220,1,4,0.5
1197,223,1,4,0.5
315,226,1,4,0.5
1,227,76,2,0.008
227,228,1,3,0.5
228,229,1,4,0.5
816,232,1,4,0.5
479,234,1,3,0.5
234,235,1,4,0.5
600,238,1,4,0.5
1152,241,1,4,0.5
519,244,1,4,0.5
1125,247,1,4,0.5
761,249,1,3,0.5
249,250,1,4,0.5
32,252,1,3,0.5
252,253,1,4,0.5
612,256,1,4,0.5
744,259,1,4,0.5
774,262,1,4,0.5
999,265,1,4,0.5
1205,267,1,3,0.5
267,268,1,4,0.5
1,269,90,2,0.008
269,270,1,3,0.5
270,271,1,4,0.5
594,274,1,4,0.5
1200,277,1,4,0.5
1422,280,1,4,0.5
858,283,1,4,0.5
131,285,1,3,0.5
285,286,1,4,0.5
513,289,1,4,0.5
1062,292,1,4,0.5
1275,295,1,4,0.5
12,298,1,4,0.5
1143,301,1,4,0.5
924,304,1,4,0.5
75,307,1,4,0.5
756,310,1,4,0.5
1,311,104,2,0.008
311,312,1,3,0.5
312,313,1,4,0.5
1223,315,1,3,0.5
315,316,1,4,0.5
1425,319,1,4,0.5
918,322,1,4,0.5
1,323,108,2,0.008
323,324,1,3,0.5
324,325,1,4,0.5
507,328,1,4,0.5
1362,331,1,4,0.5
1,332,111,2,0.008
332,333,1,3,0.5
333,334,1,4,0.5
1368,337,1,4,0.5
966,340,1,4,0.5
981,343,1,4,0.5
48,346,1,4,0.5
702,349,1,4,0.5
1,350,117,2,0.008
350,351,1,3,0.5
351,352,1,4,0.5
1380,355,1,4,0.5
831,358,1,4,0.5
1,359,120,2,0.008
359,360,1,3,0.5
360,361,1,4,0.5
1355,363,1,3,0.5
363,364,1,4,0.5
1329,367,1,4,0.5
1199,369,1,3,0.5
369,370,1,4,0.5
1497,373,1,4,0.5
552,376,1,4,0.5
684,379,1,4,0.5
1029,382,1,4,0.5
750,385,1,4,0.5
660,388,1,4,0.5
840,391,1,4,0.5
33,394,1,4,0.5
1092,397,1,4,0.5
1005,400,1,4,0.5
1374,403,1,4,0.5
648,406,1,4,0.5
1350,409,1,4,0.5
1097,411,1,3,0.5
411,412,1,4,0.5
1323,415,1,4,0.5
1047,418,1,4,0.5
762,421,1,4,0.5
1,422,141,2,0.008
422,423,1,3,0.5
423,424,1,4,0.5
132,427,1,4,0.5
474,430,1,4,0.5
747,433,1,4,0.5
1445,435,1,3,0.5
435,436,1,4,0.5
1074,439,1,4,0.5
624,442,1,4,0.5
1028,444,1,3,0.5
444,445,1,4,0.5
