NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1705,4,1,4,0.5
1695,7,1,4,0.5
1629,10,1,4,0.25
1590,12,1,3,1.0
12,13,1,4,1.0
1661,16,1,4,0.3333333
1706,19,1,4,1.0
1761,22,1,4,0.5
1677,25,1,4,0.5
1594,27,1,3,0.5
27,28,1,4,1.0
1570,30,1,3,0.5
30,31,1,4,1.0
1506,33,1,3,1.0
33,34,1,4,1.0
1773,37,1,4,0.5
1720,40,1,4,0.3333333
1630,43,1,4,0.5
1775,46,1,4,0.5
1697,49,1,4,1.0
1542,51,1,3,0.5
51,52,1,4,1.0
1704,55,1,4,1.0
1649,58,1,4,0.3333333
1746,61,1,4,0.3333333
1776,64,1,4,0.125
1710,67,1,4,0.2
1593,69,1,3,0.5
69,70,1,4,1.0
1732,73,1,4,0.2
1775,76,1,4,0.5
1783,79,1,4,0.25
1764,82,1,4,0.5
1776,85,1,4,0.125
1685,88,1,4,0.5
1685,91,1,4,0.5
1635,94,1,4,0.1428571
1535,96,1,3,0.5
96,97,1,4,1.0
1682,100,1,4,1.0
1675,103,1,4,0.5
1550,105,1,3,0.5
105,106,1,4,1.0
1580,108,1,3,0.5
108,109,1,4,1.0
1756,112,1,4,0.0909091
1694,115,1,4,0.5
1721,118,1,4,0.3333333
1742,121,1,4,0.25
1683,124,1,4,0.25
1762,127,1,4,0.3333333
1764,130,1,4,0.5
1686,133,1,4,1.0
1698,136,1,4,0.5
1667,139,1,4,0.1428571
1751,142,1,4,0.0909091
1752,145,1,4,0.2
1659,148,1,4,0.3333333
1787,151,1,4,0.3333333
1657,154,1,4,0.2
1644,157,1,4,0.5
1573,159,1,3,1.0
159,160,1,4,1.0
1627,163,1,4,0.5
1568,165,1,3,1.0
165,166,1,4,1.0
1712,169,1,4,0.5
1688,172,1,4,0.1111111
1740,175,1,4,1.0
1570,177,1,3,0.5
177,178,1,4,1.0
1637,181,1,4,0.3333333
1759,184,1,4,0.5
1751,187,1,4,0.0909091
1721,190,1,4,0.3333333
1729,193,1,4,0.5
1776,196,1,4,0.125
1550,198,1,3,0.5
198,199,1,4,1.0
1749,202,1,4,0.5
1715,205,1,4,0.1111111
1745,208,1,4,0.5
1665,211,1,4,0.3333333
1534,213,1,3,0.5
213,214,1,4,1.0
1643,217,1,4,0.2
1727,220,1,4,0.25
1661,223,1,4,0.3333333
1659,226,1,4,0.3333333
1675,229,1,4,0.5
1657,232,1,4,0.2
1688,235,1,4,0.1111111
1665,238,1,4,0.3333333
1751,241,1,4,0.0909091
1688,244,1,4,0.1111111
1653,247,1,4,0.1666667
1765,250,1,4,0.25
1705,253,1,4,0.5
1715,256,1,4,0.1111111
1728,259,1,4,0.25
1731,262,1,4,0.5
1756,265,1,4,0.0909091
1643,268,1,4,0.2
1515,270,1,3,1.0
270,271,1,4,1.0
1683,274,1,4,0.25
1654,277,1,4,0.5
1689,280,1,4,0.5
1648,283,1,4,0.25
1757,286,1,4,0.5
1785,289,1,4,0.5
1755,292,1,4,0.1
1672,295,1,4,0.3333333
1648,298,1,4,0.25
1663,301,1,4,0.2
1631,304,1,4,0.25
1630,307,1,4,0.5
1502,309,1,3,0.5
309,310,1,4,1.0
1580,312,1,3,0.5
312,313,1,4,1.0
1659,316,1,4,0.3333333
1562,318,1,3,0.5
318,319,1,4,1.0
1564,321,1,3,0.5
321,322,1,4,1.0
1709,325,1,4,1.0
1755,328,1,4,0.1
