NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1565,4,1,4,1.0
1614,7,1,4,1.0
1652,10,1,4,0.3333333
1570,13,1,4,1.0
1629,16,1,4,0.25
1546,19,1,4,1.0
1597,22,1,4,0.5
1502,24,1,3,0.1
24,25,1,4,1.0
1627,28,1,4,0.3333333
1525,30,1,3,0.1
30,31,1,4,1.0
1506,33,1,3,0.2
33,34,1,4,1.0
1537,37,1,4,0.3333333
1651,40,1,4,0.1666667
1535,43,1,4,0.2
1531,46,1,4,0.3333333
1538,49,1,4,0.125
1669,52,1,4,0.25
1550,55,1,4,0.25
1523,57,1,3,0.1666667
57,58,1,4,1.0
1611,61,1,4,0.5
1533,64,1,4,0.1111111
1572,67,1,4,0.5
1510,69,1,3,0.1
69,70,1,4,1.0
1600,73,1,4,0.5
1536,76,1,4,0.5
1621,79,1,4,1.0
1631,82,1,4,0.25
1533,85,1,4,0.1111111
1525,87,1,3,0.1
87,88,1,4,1.0
1525,90,1,3,0.1
90,91,1,4,1.0
1598,94,1,4,0.2
1547,97,1,4,0.1666667
1524,99,1,3,0.1666667
99,100,1,4,1.0
1540,103,1,4,0.3333333
1506,105,1,3,0.2
105,106,1,4,1.0
1595,109,1,4,0.5
1651,112,1,4,0.1666667
1654,115,1,4,0.2
1545,118,1,4,0.25
1593,121,1,4,0.1666667
1674,124,1,4,1.0
1599,127,1,4,0.2
1631,130,1,4,0.25
1525,132,1,3,0.1
132,133,1,4,1.0
1538,136,1,4,0.125
1556,139,1,4,0.25
1648,142,1,4,0.2
1528,145,1,4,0.3333333
1616,148,1,4,1.0
1551,151,1,4,0.5
1539,154,1,4,0.1428571
1638,157,1,4,0.125
1506,159,1,3,0.2
159,160,1,4,1.0
1539,163,1,4,0.1428571
1525,165,1,3,0.1
165,166,1,4,1.0
1531,169,1,4,0.3333333
1641,172,1,4,0.1666667
1592,175,1,4,1.0
1525,177,1,3,0.1
177,178,1,4,1.0
1559,181,1,4,0.3333333
1594,184,1,4,0.5
1647,187,1,4,0.1428571
1545,190,1,4,0.25
1581,193,1,4,0.1
1533,196,1,4,0.1111111
1506,198,1,3,0.2
198,199,1,4,1.0
1510,201,1,3,0.1
201,202,1,4,1.0
1581,205,1,4,0.1
1612,208,1,4,0.5
1536,211,1,4,0.5
1624,214,1,4,1.0
1639,217,1,4,0.25
1637,220,1,4,0.1111111
1629,223,1,4,0.25
1613,226,1,4,0.5
1540,229,1,4,0.3333333
1539,232,1,4,0.1428571
1641,235,1,4,0.1666667
1657,238,1,4,0.25
1535,241,1,4,0.2
1531,244,1,4,0.3333333
1508,246,1,3,0.1
246,247,1,4,1.0
1548,250,1,4,0.2
1537,253,1,4,0.3333333
1644,256,1,4,0.1666667
1665,259,1,4,0.5
1601,262,1,4,0.5
1651,265,1,4,0.1666667
1646,268,1,4,0.3333333
1506,270,1,3,0.2
270,271,1,4,1.0
1667,274,1,4,0.5
1508,276,1,3,0.1
276,277,1,4,1.0
1589,280,1,4,0.3333333
1533,283,1,4,0.1111111
1548,286,1,4,0.2
1641,289,1,4,0.1666667
1654,292,1,4,0.2
1578,295,1,4,0.3333333
1529,298,1,4,0.25
1653,301,1,4,0.1666667
1502,303,1,3,0.1
303,304,1,4,1.0
1535,307,1,4,0.2
1666,310,1,4,1.0
1595,313,1,4,0.5
1613,316,1,4,0.5
1630,319,1,4,0.5
1510,321,1,3,0.1
321,322,1,4,1.0
1567,325,1,4,1.0
1647,328,1,4,0.1428571
1598,331,1,4,0.2
1541,334,1,4,0.2
1591,337,1,4,0.3333333
1650,340,1,4,0.25
1508,342,1,3,0.1
342,343,1,4,1.0
1562,346,1,4,1.0
1639,349,1,4,0.25
1523,351,1,3,0.1666667
351,352,1,4,1.0
1653,355,1,4,0.1666667
1586,358,1,4,0.5
1542,361,1,4,0.5
1633,364,1,4,0.5
1599,367,1,4,0.2
1551,370,1,4,0.5
1636,373,1,4,0.5
1609,376,1,4,0.2
1647,379,1,4,0.1428571
1559,382,1,4,0.3333333
1617,385,1,4,0.5
1658,388,1,4,0.3333333
1535,391,1,4,0.2
1539,394,1,4,0.1428571
1581,397,1,4,0.1
1660,400,1,4,0.2
1642,403,1,4,0.1428571
1591,406,1,4,0.3333333
1596,409,1,4,1.0
1627,412,1,4,0.3333333
1547,415,1,4,0.1666667
1654,418,1,4,0.2
1634,421,1,4,0.3333333
1611,424,1,4,0.5
1539,427,1,4,0.1428571
1550,430,1,4,0.25
1663,433,1,4,0.1666667
1525,435,1,3,0.1
435,436,1,4,1.0
1571,439,1,4,0.5
1607,442,1,4,0.5
1564,445,1,4,1.0
1541,448,1,4,0.2
1548,451,1,4,0.2
1635,454,1,4,0.5
1547,457,1,4,0.1666667
1508,459,1,3,0.1
459,460,1,4,1.0
1625,463,1,4,0.5
1655,466,1,4,0.3333333
1657,469,1,4,0.25
1508,471,1,3,0.1
471,472,1,4,1.0
1550,475,1,4,0.25
1648,478,1,4,0.2
1597,481,1,4,0.5
1529,484,1,4,0.25
1566,487,1,4,1.0
1670,490,1,4,1.0
1555,493,1,4,0.3333333
1627,496,1,4,0.3333333
1606,499,1,4,0.3333333
1642,502,1,4,0.1428571
1653,505,1,4,0.1666667
1648,508,1,4,0.2
1568,511,1,4,0.3333333
1641,514,1,4,0.1666667
1623,517,1,4,1.0
1552,520,1,4,0.2
1526,522,1,3,0.1
522,523,1,4,1.0
1509,525,1,3,0.5
525,526,1,4,1.0
1563,529,1,4,0.5
1622,532,1,4,1.0
1527,535,1,4,0.3333333
1599,538,1,4,0.2
1532,541,1,4,0.5
1538,544,1,4,0.125
1580,547,1,4,0.5
1552,550,1,4,0.2
1609,553,1,4,0.2
1663,556,1,4,0.1666667
1651,559,1,4,0.1666667
1631,562,1,4,0.25
1649,565,1,4,0.25
1598,568,1,4,0.2
1647,571,1,4,0.1428571
1602,574,1,4,0.5
1664,577,1,4,0.5
1641,580,1,4,0.1666667
1550,583,1,4,0.25
1575,586,1,4,1.0
1634,589,1,4,0.3333333
1533,592,1,4,0.1111111
1667,595,1,4,0.5
1640,598,1,4,0.25
1657,601,1,4,0.25
1573,604,1,4,1.0
1515,606,1,3,0.1666667
606,607,1,4,1.0
1510,609,1,3,0.1
609,610,1,4,1.0
1525,612,1,3,0.1
612,613,1,4,1.0
1524,615,1,3,0.1666667
615,616,1,4,1.0
1646,619,1,4,0.3333333
1637,622,1,4,0.1111111
1607,625,1,4,0.5
1593,628,1,4,0.1666667
1582,631,1,4,1.0
1587,634,1,4,0.5
1581,637,1,4,0.1
1545,640,1,4,0.25
1629,643,1,4,0.25
1524,645,1,3,0.1666667
645,646,1,4,1.0
1640,649,1,4,0.25
1527,652,1,4,0.3333333
1538,655,1,4,0.125
1647,658,1,4,0.1428571
1658,661,1,4,0.3333333
1526,663,1,3,0.1
663,664,1,4,1.0
1650,667,1,4,0.25
1619,670,1,4,1.0
1651,673,1,4,0.1666667
1533,676,1,4,0.1111111
1508,678,1,3,0.1
678,679,1,4,1.0
1662,682,1,4,0.25
1647,685,1,4,0.1428571
1590,688,1,4,0.125
1606,691,1,4,0.3333333
1609,694,1,4,0.2
1637,697,1,4,0.1111111
1660,700,1,4,0.2
1639,703,1,4,0.25
1539,706,1,4,0.1428571
1549,709,1,4,0.25
1588,712,1,4,0.5
1603,715,1,4,0.3333333
1628,718,1,4,0.3333333
1669,721,1,4,0.25
1543,724,1,4,1.0
1649,727,1,4,0.25
1652,730,1,4,0.3333333
1620,733,1,4,1.0
1540,736,1,4,0.3333333
1641,739,1,4,0.1666667
1541,742,1,4,0.2
1665,745,1,4,0.5
1663,748,1,4,0.1666667
1617,751,1,4,0.5
1631,754,1,4,0.25
1542,757,1,4,0.5
1558,760,1,4,0.5
1537,763,1,4,0.3333333
1526,765,1,3,0.1
765,766,1,4,1.0
1585,769,1,4,1.0
1626,772,1,4,1.0
1601,775,1,4,0.5
1523,777,1,3,0.1666667
777,778,1,4,1.0
1603,781,1,4,0.3333333
1593,784,1,4,0.1666667
1538,787,1,4,0.125
1642,790,1,4,0.1428571
1510,792,1,3,0.1
792,793,1,4,1.0
1552,796,1,4,0.2
1553,799,1,4,0.5
1661,802,1,4,1.0
1533,805,1,4,0.1111111
1663,808,1,4,0.1666667
1502,810,1,3,0.1
810,811,1,4,1.0
1538,814,1,4,0.125
1548,817,1,4,0.2
1642,820,1,4,0.1428571
1599,823,1,4,0.2
1561,826,1,4,1.0
1638,829,1,4,0.125
1599,832,1,4,0.2
1510,834,1,3,0.1
834,835,1,4,1.0
1579,838,1,4,0.25
1591,841,1,4,0.3333333
1535,844,1,4,0.2
1586,847,1,4,0.5
1578,850,1,4,0.3333333
1642,853,1,4,0.1428571
1590,856,1,4,0.125
1658,859,1,4,0.3333333
1638,862,1,4,0.125
1528,865,1,4,0.3333333
1579,868,1,4,0.25
1510,870,1,3,0.1
870,871,1,4,1.0
1523,873,1,3,0.1666667
873,874,1,4,1.0
1668,877,1,4,1.0
1538,880,1,4,0.125
1560,883,1,4,1.0
1669,886,1,4,0.25
1656,889,1,4,0.1428571
1568,892,1,4,0.3333333
1649,895,1,4,0.25
1646,898,1,4,0.3333333
1589,901,1,4,0.3333333
1669,904,1,4,0.25
1584,907,1,4,1.0
1662,910,1,4,0.25
1527,913,1,4,0.3333333
1568,916,1,4,0.3333333
1510,918,1,3,0.1
918,919,1,4,1.0
1638,922,1,4,0.125
1552,925,1,4,0.2
1508,927,1,3,0.1
927,928,1,4,1.0
1533,931,1,4,0.1111111
1547,934,1,4,0.1666667
1578,937,1,4,0.3333333
1609,940,1,4,0.2
1569,943,1,4,1.0
1509,945,1,3,0.5
945,946,1,4,1.0
1652,949,1,4,0.3333333
1593,952,1,4,0.1666667
1528,955,1,4,0.3333333
1628,958,1,4,0.3333333
1653,961,1,4,0.1666667
1656,964,1,4,0.1428571
1530,967,1,4,0.3333333
1530,970,1,4,0.3333333
1587,973,1,4,0.5
1644,976,1,4,0.1666667
1548,979,1,4,0.2
1552,982,1,4,0.2
1659,985,1,4,0.25
1526,987,1,3,0.1
987,988,1,4,1.0
1508,990,1,3,0.1
990,991,1,4,1.0
1645,994,1,4,0.25
1604,997,1,4,1.0
1651,1000,1,4,0.1666667
1610,1003,1,4,1.0
1660,1006,1,4,0.2
1650,1009,1,4,0.25
1563,1012,1,4,0.5
1556,1015,1,4,0.25
1629,1018,1,4,0.25
1654,1021,1,4,0.2
1644,1024,1,4,0.1666667
1590,1027,1,4,0.125
1559,1030,1,4,0.3333333
1644,1033,1,4,0.1666667
1558,1036,1,4,0.5
1637,1039,1,4,0.1111111
1577,1042,1,4,1.0
1526,1044,1,3,0.1
1044,1045,1,4,1.0
1650,1048,1,4,0.25
1638,1051,1,4,0.125
1526,1053,1,3,0.1
1053,1054,1,4,1.0
1656,1057,1,4,0.1428571
1556,1060,1,4,0.25
1654,1063,1,4,0.2
1655,1066,1,4,0.3333333
1637,1069,1,4,0.1111111
1642,1072,1,4,0.1428571
1571,1075,1,4,0.5
1579,1078,1,4,0.25
1526,1080,1,3,0.1
1080,1081,1,4,1.0
1549,1084,1,4,0.25
1529,1087,1,4,0.25
1502,1089,1,3,0.1
1089,1090,1,4,1.0
1612,1093,1,4,0.5
1637,1096,1,4,0.1111111
1538,1099,1,4,0.125
1502,1101,1,3,0.1
1101,1102,1,4,1.0
1544,1105,1,4,1.0
1671,1108,1,4,1.0
1645,1111,1,4,0.25
1662,1114,1,4,0.25
1576,1117,1,4,1.0
1572,1120,1,4,0.5
1515,1122,1,3,0.1666667
1122,1123,1,4,1.0
1508,1125,1,3,0.1
1125,1126,1,4,1.0
1648,1129,1,4,0.2
1653,1132,1,4,0.1666667
1640,1135,1,4,0.25
1515,1137,1,3,0.1666667
1137,1138,1,4,1.0
1656,1141,1,4,0.1428571
1663,1144,1,4,0.1666667
1673,1147,1,4,1.0
1588,1150,1,4,0.5
1647,1153,1,4,0.1428571
1523,1155,1,3,0.1666667
1155,1156,1,4,1.0
1600,1159,1,4,0.5
1557,1162,1,4,0.5
1529,1165,1,4,0.25
1526,1167,1,3,0.1
1167,1168,1,4,1.0
1606,1171,1,4,0.3333333
1557,1174,1,4,0.5
1541,1177,1,4,0.2
1534,1180,1,4,1.0
1615,1183,1,4,0.5
1515,1185,1,3,0.1666667
1185,1186,1,4,1.0
1662,1189,1,4,0.25
1593,1192,1,4,0.1666667
1502,1194,1,3,0.1
1194,1195,1,4,1.0
1636,1198,1,4,0.5
1676,1201,1,4,1.0
1549,1204,1,4,0.25
1556,1207,1,4,0.25
1648,1210,1,4,0.2
1638,1213,1,4,0.125
1583,1216,1,4,0.5
1628,1219,1,4,0.3333333
1590,1222,1,4,0.125
1539,1225,1,4,0.1428571
1581,1228,1,4,0.1
1581,1231,1,4,0.1
1634,1234,1,4,0.3333333
1532,1237,1,4,0.5
1524,1239,1,3,0.1666667
1239,1240,1,4,1.0
1659,1243,1,4,0.25
1502,1245,1,3,0.1
1245,1246,1,4,1.0
1656,1249,1,4,0.1428571
1602,1252,1,4,0.5
1618,1255,1,4,0.5
1593,1258,1,4,0.1666667
1659,1261,1,4,0.25
1555,1264,1,4,0.3333333
1660,1267,1,4,0.2
1545,1270,1,4,0.25
1524,1272,1,3,0.1666667
1272,1273,1,4,1.0
1643,1276,1,4,1.0
1644,1279,1,4,0.1666667
1638,1282,1,4,0.125
1659,1285,1,4,0.25
1581,1288,1,4,0.1
1510,1290,1,3,0.1
1290,1291,1,4,1.0
1547,1294,1,4,0.1666667
1644,1297,1,4,0.1666667
1515,1299,1,3,0.1666667
1299,1300,1,4,1.0
1553,1303,1,4,0.5
1649,1306,1,4,0.25
1581,1309,1,4,0.1
1523,1311,1,3,0.1666667
1311,1312,1,4,1.0
1590,1315,1,4,0.125
1579,1318,1,4,0.25
1526,1320,1,3,0.1
1320,1321,1,4,1.0
1547,1324,1,4,0.1666667
1533,1327,1,4,0.1111111
1530,1330,1,4,0.3333333
1645,1333,1,4,0.25
1590,1336,1,4,0.125
1554,1339,1,4,1.0
1590,1342,1,4,0.125
1525,1344,1,3,0.1
1344,1345,1,4,1.0
1515,1347,1,3,0.1666667
1347,1348,1,4,1.0
1672,1351,1,4,1.0
1657,1354,1,4,0.25
1510,1356,1,3,0.1
1356,1357,1,4,1.0
