NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1557,4,1,4,0.3333333
1652,7,1,4,1.0
1615,10,1,4,0.3333333
1673,13,1,4,1.0
1583,16,1,4,0.25
1563,19,1,4,1.0
1675,22,1,4,0.5
1595,25,1,4,0.1111111
1580,28,1,4,0.3333333
1560,31,1,4,1.0
1510,33,1,3,0.3333333
33,34,1,4,1.0
1517,36,1,3,0.1
36,37,1,4,1.0
1616,40,1,4,0.1
1529,43,1,4,0.0833333
1531,46,1,4,0.1
1621,49,1,4,1.0
1554,52,1,4,0.5
1540,55,1,4,0.3333333
1514,57,1,3,0.2
57,58,1,4,1.0
1593,61,1,4,0.5
1529,64,1,4,0.0833333
1674,67,1,4,0.5
1617,70,1,4,1.0
1671,73,1,4,0.1428571
1608,76,1,4,0.3333333
1574,79,1,4,1.0
1539,82,1,4,1.0
1529,85,1,4,0.0833333
1597,88,1,4,0.5
1562,91,1,4,0.5
1668,94,1,4,0.2
1588,97,1,4,0.25
1511,99,1,3,0.1666667
99,100,1,4,1.0
1559,103,1,4,0.3333333
1510,105,1,3,0.3333333
105,106,1,4,1.0
1682,109,1,4,0.5
1616,112,1,4,0.1
1607,115,1,4,1.0
1598,118,1,4,0.25
1685,121,1,4,1.0
1555,124,1,4,1.0
1670,127,1,4,0.3333333
1582,130,1,4,0.3333333
1566,133,1,4,1.0
1604,136,1,4,0.5
1587,139,1,4,0.1
1610,142,1,4,0.3333333
1531,145,1,4,0.1
1591,148,1,4,0.2
1588,151,1,4,0.25
1605,154,1,4,0.2
1640,157,1,4,0.0769231
1507,159,1,3,0.25
159,160,1,4,1.0
1577,163,1,4,0.3333333
1507,165,1,3,0.25
165,166,1,4,1.0
1531,169,1,4,0.1
1531,172,1,4,0.1
1681,175,1,4,0.5
1543,178,1,4,1.0
1517,180,1,3,0.1
180,181,1,4,1.0
1665,184,1,4,1.0
1612,187,1,4,0.0625
1598,190,1,4,0.25
1595,193,1,4,0.1111111
1611,196,1,4,0.0526316
1510,198,1,3,0.3333333
198,199,1,4,1.0
1622,202,1,4,1.0
1643,205,1,4,0.125
1595,208,1,4,0.1111111
1536,211,1,4,0.1666667
1568,214,1,4,0.3333333
1535,217,1,4,0.25
1528,220,1,4,0.125
1583,223,1,4,0.25
1592,226,1,4,0.3333333
1559,229,1,4,0.3333333
1605,232,1,4,0.2
1531,235,1,4,0.1
1536,238,1,4,0.1666667
1612,241,1,4,0.0625
1531,244,1,4,0.1
1516,246,1,3,0.1
246,247,1,4,1.0
1588,250,1,4,0.25
1557,253,1,4,0.3333333
1637,256,1,4,0.125
1532,259,1,4,0.1666667
1671,262,1,4,0.1428571
1616,265,1,4,0.1
1642,268,1,4,0.2
1507,270,1,3,0.25
270,271,1,4,1.0
1550,274,1,4,0.5
1516,276,1,3,0.1
276,277,1,4,1.0
1538,280,1,4,0.5
1614,283,1,4,0.2
1541,286,1,4,1.0
1645,289,1,4,0.1666667
1611,292,1,4,0.0526316
1638,295,1,4,0.25
1529,298,1,4,0.0833333
1612,301,1,4,0.0625
1594,304,1,4,0.3333333
1612,307,1,4,0.0625
1659,310,1,4,0.1428571
1682,313,1,4,0.5
1592,316,1,4,0.3333333
1579,319,1,4,0.5
1623,322,1,4,1.0
1572,325,1,4,1.0
1612,328,1,4,0.0625
1668,331,1,4,0.2
1600,334,1,4,0.2
1678,337,1,4,0.3333333
1616,340,1,4,0.1
1516,342,1,3,0.1
342,343,1,4,1.0
1517,345,1,3,0.1
345,346,1,4,1.0
1535,349,1,4,0.25
1507,351,1,3,0.25
351,352,1,4,1.0
1612,355,1,4,0.0625
1644,358,1,4,0.1666667
1564,361,1,4,1.0
1586,364,1,4,1.0
1587,367,1,4,0.1
1588,370,1,4,0.25
1585,373,1,4,0.5
1654,376,1,4,0.5
1612,379,1,4,0.0625
1517,381,1,3,0.1
381,382,1,4,1.0
1570,385,1,4,0.3333333
1522,387,1,3,0.3333333
387,388,1,4,1.0
1529,391,1,4,0.0833333
1565,394,1,4,1.0
1640,397,1,4,0.0769231
1528,400,1,4,0.125
1637,403,1,4,0.125
1678,406,1,4,0.3333333
1681,409,1,4,0.5
1580,412,1,4,0.3333333
1520,414,1,3,0.2
414,415,1,4,1.0
1611,418,1,4,0.0526316
1578,421,1,4,0.3333333
1593,424,1,4,0.5
1605,427,1,4,0.2
1540,430,1,4,0.3333333
1530,433,1,4,0.2
1599,436,1,4,0.5
1571,439,1,4,0.1666667
1649,442,1,4,0.5
1517,444,1,3,0.1
444,445,1,4,1.0
1600,448,1,4,0.2
1592,451,1,4,0.3333333
1584,454,1,4,0.3333333
1666,457,1,4,1.0
1516,459,1,3,0.1
459,460,1,4,1.0
1573,463,1,4,0.25
1611,466,1,4,0.0526316
1536,469,1,4,0.1666667
1516,471,1,3,0.1
471,472,1,4,1.0
1540,475,1,4,0.3333333
1614,478,1,4,0.2
1675,481,1,4,0.5
1527,484,1,4,0.2
1517,486,1,3,0.1
486,487,1,4,1.0
1549,490,1,4,0.5
1587,493,1,4,0.1
1580,496,1,4,0.3333333
1671,499,1,4,0.1428571
1637,502,1,4,0.125
1612,505,1,4,0.0625
1614,508,1,4,0.2
1633,511,1,4,1.0
1645,514,1,4,0.1666667
1571,517,1,4,0.1666667
1591,520,1,4,0.2
1635,523,1,4,1.0
1506,525,1,3,0.125
525,526,1,4,1.0
1520,528,1,3,0.2
528,529,1,4,1.0
1576,532,1,4,1.0
1611,535,1,4,0.0526316
1676,538,1,4,1.0
1613,541,1,4,0.3333333
1604,544,1,4,0.5
1642,547,1,4,0.2
1591,550,1,4,0.2
1654,553,1,4,0.5
1530,556,1,4,0.2
1616,559,1,4,0.1
1582,562,1,4,0.3333333
1609,565,1,4,0.3333333
1668,568,1,4,0.2
1612,571,1,4,0.0625
1669,574,1,4,0.5
1677,577,1,4,0.5
1645,580,1,4,0.1666667
1537,583,1,4,1.0
1614,586,1,4,0.2
1578,589,1,4,0.3333333
1529,592,1,4,0.0833333
1550,595,1,4,0.5
1641,598,1,4,0.5
1536,601,1,4,0.1666667
1568,604,1,4,0.3333333
1506,606,1,3,0.125
606,607,1,4,1.0
1619,610,1,4,1.0
1603,613,1,4,0.5
1511,615,1,3,0.1666667
615,616,1,4,1.0
1613,619,1,4,0.3333333
