NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1630,4,1,4,0.5
1640,7,1,4,1.0
1528,10,1,4,0.1
1572,13,1,4,1.0
1623,16,1,4,0.3333333
1634,19,1,4,0.3333333
1603,22,1,4,0.5
1582,25,1,4,0.0909091
1617,28,1,4,0.25
1656,31,1,4,1.0
1514,33,1,3,0.3333333
33,34,1,4,1.0
1550,37,1,4,0.5
1535,40,1,4,0.1
1533,43,1,4,0.125
1565,46,1,4,0.25
1627,49,1,4,0.25
1539,52,1,4,0.25
1620,55,1,4,0.3333333
1517,57,1,3,0.1666667
57,58,1,4,1.0
1579,61,1,4,0.3333333
1558,64,1,4,0.1111111
1600,67,1,4,0.3333333
1524,69,1,3,0.1428571
69,70,1,4,1.0
1601,73,1,4,0.2
1533,76,1,4,0.125
1575,79,1,4,1.0
1625,82,1,4,0.3333333
1529,85,1,4,0.047619
1648,88,1,4,0.5
1648,91,1,4,0.5
1598,94,1,4,0.2
1617,97,1,4,0.25
1509,99,1,3,0.1666667
99,100,1,4,1.0
1549,103,1,4,0.3333333
1514,105,1,3,0.3333333
105,106,1,4,1.0
1611,109,1,4,0.2
1535,112,1,4,0.1
1529,115,1,4,0.047619
1633,118,1,4,0.25
1607,121,1,4,0.5
1544,124,1,4,0.5
1599,127,1,4,0.25
1625,130,1,4,0.3333333
1649,133,1,4,1.0
1627,136,1,4,0.25
1577,139,1,4,0.0909091
1527,142,1,4,0.1428571
1532,145,1,4,0.5
1580,148,1,4,0.2
1586,151,1,4,0.3333333
1628,154,1,4,0.25
1593,157,1,4,0.0909091
1518,159,1,3,0.3333333
159,160,1,4,1.0
1556,163,1,4,1.0
1518,165,1,3,0.3333333
165,166,1,4,1.0
1565,169,1,4,0.25
1587,172,1,4,0.25
1613,175,1,4,0.5
1651,178,1,4,1.0
1526,180,1,3,0.1111111
180,181,1,4,1.0
1611,184,1,4,0.2
1536,187,1,4,0.2
1633,190,1,4,0.25
1582,193,1,4,0.0909091
1529,196,1,4,0.047619
1514,198,1,3,0.3333333
198,199,1,4,1.0
1554,202,1,4,1.0
1591,205,1,4,0.1
1582,208,1,4,0.0909091
1558,211,1,4,0.1111111
1571,214,1,4,0.3333333
1589,217,1,4,0.2
1590,220,1,4,0.1
1623,223,1,4,0.3333333
1583,226,1,4,0.5
1549,229,1,4,0.3333333
1628,232,1,4,0.25
1587,235,1,4,0.25
1558,238,1,4,0.1111111
1536,241,1,4,0.2
1606,244,1,4,0.3333333
1516,246,1,3,0.1
246,247,1,4,1.0
1578,250,1,4,0.25
1630,253,1,4,0.5
1591,256,1,4,0.1
1559,259,1,4,0.2
1604,262,1,4,0.5
1535,265,1,4,0.1
1588,268,1,4,0.0909091
1518,270,1,3,0.3333333
270,271,1,4,1.0
1537,274,1,4,0.5
1516,276,1,3,0.1
276,277,1,4,1.0
1609,280,1,4,0.5
1527,283,1,4,0.1428571
1584,286,1,4,0.2
1596,289,1,4,0.2
1529,292,1,4,0.047619
1588,295,1,4,0.0909091
1560,298,1,4,0.1666667
1533,301,1,4,0.125
1585,304,1,4,0.3333333
1533,307,1,4,0.125
1608,310,1,4,0.1111111
1563,313,1,4,0.1428571
1583,316,1,4,0.5
1512,318,1,3,0.1428571
318,319,1,4,1.0
1524,321,1,3,0.1428571
321,322,1,4,1.0
1574,325,1,4,1.0
1536,328,1,4,0.2
1598,331,1,4,0.2
1631,334,1,4,0.25
1610,337,1,4,0.3333333
1535,340,1,4,0.1
1516,342,1,3,0.1
342,343,1,4,1.0
1526,345,1,3,0.1111111
345,346,1,4,1.0
1589,349,1,4,0.2
1517,351,1,3,0.1666667
351,352,1,4,1.0
1528,355,1,4,0.1
1590,358,1,4,0.1
1650,361,1,4,1.0
1548,364,1,4,0.5
1559,367,1,4,0.2
1586,370,1,4,0.3333333
1512,372,1,3,0.1428571
372,373,1,4,1.0
1643,376,1,4,0.5
1528,379,1,4,0.1
1526,381,1,3,0.1111111
381,382,1,4,1.0
1570,385,1,4,0.3333333
1619,388,1,4,0.5
1536,391,1,4,0.2
1653,394,1,4,1.0
