NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1685,4,1,4,1.0
1621,7,1,4,0.3333333
1675,10,1,4,0.3333333
1600,13,1,4,1.0
1655,16,1,4,0.3333333
1588,19,1,4,0.1666667
1618,22,1,4,0.5
1562,25,1,4,0.5
1648,28,1,4,0.3333333
1590,31,1,4,0.3333333
1526,33,1,3,0.3333333
33,34,1,4,1.0
1681,37,1,4,1.0
1667,40,1,4,0.3333333
1580,43,1,4,0.5
1579,46,1,4,0.25
1550,49,1,4,0.5
1611,52,1,4,0.2
1557,55,1,4,0.3333333
1517,57,1,3,0.1666667
57,58,1,4,1.0
1616,61,1,4,0.3333333
1584,64,1,4,0.1111111
1599,67,1,4,0.5
1551,70,1,4,1.0
1624,73,1,4,0.2
1578,76,1,4,1.0
1532,79,1,4,1.0
1651,82,1,4,0.25
1584,85,1,4,0.1111111
1588,88,1,4,0.1666667
1588,91,1,4,0.1666667
1623,94,1,4,0.2
1560,97,1,4,0.25
1520,99,1,3,0.1666667
99,100,1,4,1.0
1589,103,1,4,0.3333333
1526,105,1,3,0.3333333
105,106,1,4,1.0
1641,109,1,4,0.5
1676,112,1,4,0.3333333
1543,115,1,4,1.0
1587,118,1,4,0.1
1645,121,1,4,1.0
1607,124,1,4,0.3333333
1620,127,1,4,0.3333333
1651,130,1,4,0.25
1590,133,1,4,0.3333333
1550,136,1,4,0.5
1627,139,1,4,0.1666667
1671,142,1,4,0.1666667
1581,145,1,4,0.3333333
1607,148,1,4,0.3333333
1628,151,1,4,0.125
1587,154,1,4,0.1
1665,157,1,4,0.1111111
1509,159,1,3,0.3333333
159,160,1,4,1.0
1592,163,1,4,0.5
1509,165,1,3,0.3333333
165,166,1,4,1.0
1579,169,1,4,0.25
1579,172,1,4,0.25
1642,175,1,4,1.0
1594,178,1,4,0.3333333
1677,181,1,4,0.3333333
1692,184,1,4,0.5
1674,187,1,4,0.1666667
1587,190,1,4,0.1
1635,193,1,4,0.2
1584,196,1,4,0.1111111
1526,198,1,3,0.3333333
198,199,1,4,1.0
1549,202,1,4,0.5
1663,205,1,4,0.1111111
1610,208,1,4,0.3333333
1698,211,1,4,0.1666667
1533,214,1,4,1.0
1659,217,1,4,0.2
1701,220,1,4,0.1111111
1655,223,1,4,0.3333333
1614,226,1,4,0.5
1589,229,1,4,0.3333333
1587,232,1,4,0.1
1663,235,1,4,0.1111111
1698,238,1,4,0.1666667
1674,241,1,4,0.1666667
1579,244,1,4,0.25
1573,247,1,4,0.3333333
1628,250,1,4,0.125
1593,253,1,4,0.2
