NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1694,4,1,4,0.5
1653,7,1,4,0.3333333
1645,10,1,4,0.047619
1630,13,1,4,1.0
1658,16,1,4,0.3333333
1695,19,1,4,1.0
1674,22,1,4,0.2
1553,25,1,4,0.25
1543,27,1,3,0.25
27,28,1,4,1.0
1584,31,1,4,1.0
1533,33,1,3,1.0
33,34,1,4,1.0
1692,37,1,4,1.0
1642,40,1,4,0.0555556
1597,43,1,4,0.1111111
1597,46,1,4,0.1111111
1634,49,1,4,1.0
1526,51,1,3,0.2
51,52,1,4,1.0
1666,55,1,4,0.3333333
1513,57,1,3,0.25
57,58,1,4,1.0
1554,61,1,4,0.3333333
1601,64,1,4,0.0769231
1628,67,1,4,0.25
1547,69,1,3,0.5
69,70,1,4,1.0
1672,73,1,4,0.2
1597,76,1,4,0.1111111
1574,79,1,4,1.0
1612,82,1,4,0.5
1601,85,1,4,0.0769231
1689,88,1,4,0.5
1689,91,1,4,0.5
1656,94,1,4,0.2
1614,97,1,4,0.5
1589,100,1,4,1.0
1503,102,1,3,0.2
102,103,1,4,1.0
1504,105,1,3,0.5
105,106,1,4,1.0
1684,109,1,4,0.2
1642,112,1,4,0.0555556
1645,115,1,4,0.047619
1592,118,1,4,0.25
1640,121,1,4,0.5
1604,124,1,4,0.2
1673,127,1,4,0.25
1612,130,1,4,0.5
1687,133,1,4,1.0
1632,136,1,4,0.5
1649,139,1,4,0.125
1643,142,1,4,0.3333333
1599,145,1,4,0.5
1604,148,1,4,0.2
1648,151,1,4,0.3333333
1595,154,1,4,0.25
1557,157,1,4,0.0625
1514,159,1,3,0.5
159,160,1,4,1.0
1678,163,1,4,0.5
1523,165,1,3,0.5
165,166,1,4,1.0
1626,169,1,4,0.1428571
1560,172,1,4,0.0666667
1638,175,1,4,0.5
1585,178,1,4,1.0
1522,180,1,3,0.2
180,181,1,4,1.0
1568,184,1,4,0.5
1645,187,1,4,0.047619
1592,190,1,4,0.25
1669,193,1,4,0.0769231
1601,196,1,4,0.0769231
1504,198,1,3,0.5
198,199,1,4,1.0
1542,201,1,3,0.5
201,202,1,4,1.0
1669,205,1,4,0.0769231
1553,208,1,4,0.25
1623,211,1,4,0.125
1572,214,1,4,0.5
1558,217,1,4,0.25
1622,220,1,4,0.1428571
1658,223,1,4,0.3333333
1602,226,1,4,0.3333333
1503,228,1,3,0.2
228,229,1,4,1.0
1595,232,1,4,0.25
1560,235,1,4,0.0666667
1623,238,1,4,0.125
1601,241,1,4,0.0769231
1674,244,1,4,0.2
