"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf95";"mediaLimSup95";"mediaLimInf99";"mediaLimSup99";"error_margin_mean_95";"error_margin_mean_99";"Low_ci_95_mean_orig";"Low_ci_99_mean_orig";"Low_ci_95_mean_red";"Low_ci_99_mean_red";"Low_ci_95_var_orig";"Low_ci_99_var_orig";"Low_ci_95_var_red";"Low_ci_99_var_red";"Sup_ci_95_mean_orig";"Sup_ci_99_mean_orig";"Sup_ci_95_mean_red";"Sup_ci_99_mean_red";"Sup_ci_95_var_orig";"Sup_ci_99_var_orig";"Sup_ci_95_var_red";"Sup_ci_99_var_red";"stdOrig";"stdRed";"stdLimInf95";"stdLimSup95";"chi2_lower95";"chi2_upper95";"stdLimInf99";"stdLimSup99";"chi2_lower99";"chi2_upper99";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"1";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;269;684,186;684,36;1,96;2564,408;661,519;706,853;654,397;713,975;22,667;29,789;661,799;656,402;645,927;639,349;59513,152;57738,017;55303,768;53336,214;707,156;713,952;720,614;735,345;74331,116;76120,794;79870,589;83211,908;258,598;259,556;243,502;275,704;562,789;438,998;239,013;281,407;584,125;421,385;0,15;0,226;-0,502;-0,335;8,478;0,016;1;0,993;0,508;0,383;0,995;0,954;0,392
"2";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;204;794,78;791,63;1,96;2564,408;767,382;822,178;758,773;830,787;27,398;36,007;768,101;758,84;746,977;728,368;87599,828;85295,561;80232,775;77374,668;821,083;829,907;833,894;844,458;107138,261;109972,02;111997,679;117078,045;312,58;310,642;294,332;333,257;562,789;438,998;288,907;340,151;584,125;421,385;0,543;0,544;-0,549;-0,592;8,102;0,012;1;0,896;0,498;0,531;0,903;0,904;0,742
"3";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;191;98,474;97,782;1,96;2564,408;86,709;110,239;83,012;113,936;11,765;15,462;86,411;82,381;78,594;73,92;12485,504;10802,761;9939,628;8376,921;110,604;114,632;117,204;124,698;23378,014;26714,559;27914,574;30145,622;134,229;133,603;126,393;143,109;562,789;438,998;124,063;146,069;584,125;421,385;2,811;2,802;9,362;9,303;1,536;0,012;1;0,947;0,229;0,294;0,958;0,974;0,056
"4";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;280;2,4;2,368;1,96;2564,408;2,311;2,489;2,283;2,517;0,089;0,117;2,312;2,29;2,236;2,196;0,914;0,881;0,835;0,778;2,492;2,522;2,518;2,558;1,136;1,16;1,16;1,217;1,014;0,998;0,955;1,081;562,789;438,998;0,937;1,103;584,125;421,385;0,336;0,312;-0,548;-0,664;0,032;0,006;1;0,681;0,804;1;0,735;0,801;0,787
"5";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;228;104,49;104,21;1,96;2564,408;100,246;108,734;98,912;110,068;4,244;5,578;100,522;99,751;98,073;95,673;1124,319;1045,439;993,161;929,865;109,335;110,696;111,74;115,562;3885,5;4480,976;4710,014;6171,768;48,424;47,824;45,597;51,627;562,789;438,998;44,757;52,695;584,125;421,385;4,962;4,714;43,27;40,293;0,86;0,014;1;0,94;0,271;0,851;0,94;0,969;0,141
"6";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;277;130,924;130,558;1,96;2564,408;128,016;133,832;127,103;134,745;2,908;3,821;128,066;127,248;126,082;124,946;860,557;769,015;680,479;611,497;133,941;134,604;135,143;137,264;1350,886;1428,765;1398,207;1557,492;33,171;31,927;31,235;35,366;562,789;438,998;30,659;36,097;584,125;421,385;2,109;2,052;5,059;4,84;0,93;0,026;1;0,884;0,954;0,856;0,892;0,759;0,924
"7";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;291;498,42;499,208;1,96;2564,408;485,511;511,329;481,454;515,386;12,909;16,966;485,261;481,057;477,722;471,428;15987,535;14948,076;15143,591;13743,936;511,124;515,136;521,05;527,248;28740,895;31307,606;33403,38;37811,818;147,28;148,424;138,683;157,023;562,789;438,998;136,126;160,271;584,125;421,385;1,925;1,681;9,504;7,583;4,632;0,018;1;0,945;0,265;0,472;0,945;0,95;0,048
"8";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;271;2041,43;2027,488;1,96;2564,408;1918,369;2164,491;1879,701;2203,159;123,061;161,729;1921,967;1879,717;1835,963;1786,222;1688732,028;1593237,958;1509621,404;1388379,686;2162,293;2193,162;2247,275;2329,551;2263150,202;2351196,762;2493786,699;2661025,981;1403,963;1402,541;1322,005;1496,838;562,789;438,998;1297,636;1527,8;584,125;421,385;1,15;1,193;0,846;1,027;32,782;0,024;1;0,898;0,632;0,507;0,907;0,982;0,04
"9";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;297;6,452;6,42;1,96;2564,408;6,231;6,673;6,162;6,742;0,221;0,29;6,22;6,168;6,052;5,954;5,611;5,438;5,225;4,803;6,684;6,75;6,772;6,864;7,004;7,234;7,417;7,736;2,521;2,515;2,374;2,688;562,789;438,998;2,33;2,743;584,125;421,385;0,555;0,54;-0,529;-0,582;0,068;0,006;1;0,87;0,469;0,63;0,884;0,962;0,77
"10";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;296;43,5;43,532;1,96;2564,408;43,027;43,973;42,878;44,122;0,473;0,622;43,06;42,978;42,868;42,688;17,715;14,885;13,285;10,889;44,016;44,24;44,402;44,614;45,054;52,963;54,085;65,576;5,398;5,339;5,082;5,755;562,789;438,998;4,989;5,874;584,125;421,385;4,053;3,89;25,236;23,333;0,124;0,014;1;0,939;0,156;0,555;0,954;0,953;0,371
