TIPO,CASO,FALHA,EST,TESTE,NPOSTOS,PERC.ENA
avaliaArvores/A_50_5_2_Teste,BKAssimetrico,FALHA_T_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,BKSimetrico,FALHA_T_TEST,3,FALHOU_AO_MENOS_UMTESTE,1.0,0.25
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoLinear,FALHA_T_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoLinearQuad,FALHA_T_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoPacote,FALHA_T_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoProb,FALHA_T_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoProbQuad,FALHA_T_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoLinear,FALHA_T_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoLinearQuad,FALHA_T_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoPacote,FALHA_T_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoProb,FALHA_T_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoProbQuad,FALHA_T_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,NeuralGas,FALHA_T_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,NeuralGasSimetrico,FALHA_T_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,BKAssimetrico,FALHA_T_TEST,2,FALHOU_AO_MENOS_UMTESTE,3.0,0.2
avaliaArvores/A_50_5_2_Teste,BKSimetrico,FALHA_T_TEST,2,FALHOU_AO_MENOS_UMTESTE,44.0,36.48
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoLinear,FALHA_T_TEST,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoLinearQuad,FALHA_T_TEST,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoPacote,FALHA_T_TEST,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoProb,FALHA_T_TEST,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoProbQuad,FALHA_T_TEST,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoLinear,FALHA_T_TEST,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoLinearQuad,FALHA_T_TEST,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoPacote,FALHA_T_TEST,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoProb,FALHA_T_TEST,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoProbQuad,FALHA_T_TEST,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,NeuralGas,FALHA_T_TEST,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,NeuralGasSimetrico,FALHA_T_TEST,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,BKAssimetrico,FALHA_W-TEST,3,FALHOU_AO_MENOS_UMTESTE,6.0,9.73
avaliaArvores/A_50_5_2_Teste,BKSimetrico,FALHA_W-TEST,3,FALHOU_AO_MENOS_UMTESTE,6.0,9.73
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoLinear,FALHA_W-TEST,3,FALHOU_AO_MENOS_UMTESTE,67.0,77.08
