NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1740,4,1,4,0.5
1771,7,1,4,0.3333333
1721,10,1,4,0.3333333
1683,13,1,4,1.0
1697,16,1,4,0.3333333
1739,19,1,4,1.0
1717,22,1,4,0.5
1749,25,1,4,1.0
1618,27,1,3,0.5
27,28,1,4,1.0
1746,31,1,4,0.5
1702,34,1,4,0.25
1514,36,1,3,0.5
36,37,1,4,1.0
1628,40,1,4,0.3333333
1693,43,1,4,0.0909091
1751,46,1,4,0.5
1639,49,1,4,1.0
1589,51,1,3,0.5
51,52,1,4,1.0
1688,55,1,4,1.0
1701,58,1,4,1.0
1794,61,1,4,0.5
1775,64,1,4,0.3333333
1656,67,1,4,0.5
1591,69,1,3,0.5
69,70,1,4,1.0
1662,73,1,4,0.5
1776,76,1,4,0.5
1705,79,1,4,0.25
1671,82,1,4,0.5
1752,85,1,4,0.1666667
1686,88,1,4,0.5
1745,91,1,4,1.0
1643,94,1,4,0.125
1561,96,1,3,0.5
96,97,1,4,1.0
1634,100,1,4,1.0
1630,103,1,4,0.5
1702,106,1,4,0.25
1593,108,1,3,0.5
108,109,1,4,1.0
1796,112,1,4,0.3333333
1651,115,1,4,0.2
1743,118,1,4,0.25
1668,121,1,4,0.25
1700,124,1,4,1.0
1643,127,1,4,0.125
1671,130,1,4,0.5
1746,133,1,4,0.5
1640,136,1,4,0.5
1715,139,1,4,0.2
1693,142,1,4,0.0909091
1694,145,1,4,0.25
1759,148,1,4,0.3333333
1790,151,1,4,0.5
1685,154,1,4,0.1666667
1763,157,1,4,0.5
1741,160,1,4,1.0
1723,163,1,4,0.5
1742,166,1,4,0.5
1637,169,1,4,0.5
1764,172,1,4,0.1111111
1730,175,1,4,0.3333333
1515,177,1,3,0.5
177,178,1,4,1.0
1755,181,1,4,0.5
1736,184,1,4,0.5
1795,187,1,4,0.1428571
1743,190,1,4,0.25
1617,192,1,3,0.5
192,193,1,4,1.0
1752,196,1,4,0.1666667
1702,199,1,4,0.25
1624,201,1,3,0.5
201,202,1,4,1.0
1747,205,1,4,0.1666667
1750,208,1,4,0.3333333
1727,211,1,4,0.3333333
1625,213,1,3,0.5
213,214,1,4,1.0
1782,217,1,4,0.2
1774,220,1,4,0.5
1697,223,1,4,0.3333333
1759,226,1,4,0.3333333
1630,229,1,4,0.5
1685,232,1,4,0.1666667
1764,235,1,4,0.1111111
1727,238,1,4,0.3333333
1693,241,1,4,0.0909091
1751,244,1,4,0.5
1657,247,1,4,0.125
1779,250,1,4,0.25
1740,253,1,4,0.5
1718,256,1,4,0.1666667
1673,259,1,4,0.3333333
1604,261,1,3,0.5
261,262,1,4,1.0
1689,265,1,4,0.5
1773,268,1,4,0.5
1635,271,1,4,0.5
