NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1602,3,1,3,0.5
3,4,1,4,1.0
1757,7,1,4,0.5
1763,10,1,4,0.0833333
1615,12,1,3,1.0
12,13,1,4,1.0
1635,16,1,4,0.3333333
1596,18,1,3,1.0
18,19,1,4,1.0
1659,22,1,4,0.1666667
1589,24,1,3,0.5
24,25,1,4,1.0
1661,28,1,4,0.5
1756,31,1,4,0.5
1674,34,1,4,0.5
1624,36,1,3,0.5
36,37,1,4,1.0
1633,40,1,4,0.5
1763,43,1,4,0.0833333
1556,45,1,3,0.5
45,46,1,4,1.0
1668,49,1,4,0.3333333
1532,51,1,3,0.5
51,52,1,4,1.0
1722,55,1,4,1.0
1704,58,1,4,1.0
1715,61,1,4,0.2
1733,64,1,4,0.3333333
1627,67,1,4,0.5
1530,69,1,3,0.5
69,70,1,4,1.0
1688,73,1,4,0.5
1734,76,1,4,1.0
1656,79,1,4,0.3333333
1724,82,1,4,0.3333333
1762,85,1,4,0.3333333
1682,88,1,4,1.0
1755,91,1,4,1.0
1659,94,1,4,0.1666667
1662,97,1,4,0.5
1708,100,1,4,1.0
1671,103,1,4,0.5
1641,106,1,4,0.3333333
1581,108,1,3,0.5
108,109,1,4,1.0
1714,112,1,4,0.2
1775,115,1,4,0.2
1644,118,1,4,0.2
1680,121,1,4,1.0
1742,124,1,4,0.25
1658,127,1,4,0.2
1724,130,1,4,0.3333333
1756,133,1,4,0.5
1668,136,1,4,0.3333333
1654,139,1,4,0.2
1763,142,1,4,0.0833333
1647,145,1,4,0.25
1652,148,1,4,0.1428571
1653,151,1,4,0.3333333
1681,154,1,4,0.1666667
1676,157,1,4,0.0714286
1720,160,1,4,1.0
1622,162,1,3,0.5
162,163,1,4,1.0
1719,166,1,4,0.3333333
1556,168,1,3,0.5
168,169,1,4,1.0
1676,172,1,4,0.0714286
1618,174,1,3,1.0
174,175,1,4,1.0
1744,178,1,4,0.5
1640,181,1,4,0.3333333
1773,184,1,4,0.5
1713,187,1,4,0.1111111
