NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1680,4,1,4,0.5
1753,7,1,4,0.5
1826,10,1,4,0.5
1794,13,1,4,0.5
1684,16,1,4,0.5
1679,19,1,4,0.5
1831,22,1,4,0.5
1832,25,1,4,0.5
1692,28,1,4,0.5
1715,31,1,4,0.5
1791,34,1,4,0.5
1680,37,1,4,0.5
1834,40,1,4,0.5
1857,43,1,4,0.5
1870,46,1,4,0.5
1723,49,1,4,0.5
1694,52,1,4,0.5
1775,55,1,4,0.5
1792,58,1,4,0.5
1725,61,1,4,0.5
1801,64,1,4,0.5
1690,67,1,4,0.5
1682,70,1,4,0.5
1821,73,1,4,0.5
1802,76,1,4,0.5
1648,79,1,4,0.5
1850,82,1,4,0.5
1736,85,1,4,0.5
1846,88,1,4,0.5
1846,91,1,4,0.5
1861,94,1,4,0.5
1691,97,1,4,0.5
1811,100,1,4,0.5
1711,103,1,4,0.5
1674,106,1,4,0.5
1780,109,1,4,0.5
1633,112,1,4,0.5
1823,115,1,4,0.5
1670,118,1,4,0.5
1672,121,1,4,0.5
1809,124,1,4,0.5
1730,127,1,4,0.5
1849,130,1,4,0.5
1845,133,1,4,0.5
1723,136,1,4,0.5
1728,139,1,4,0.5
1868,142,1,4,0.5
1710,145,1,4,0.5
1636,148,1,4,0.5
1750,151,1,4,0.5
1716,154,1,4,0.5
1820,157,1,4,0.5
1816,160,1,4,0.5
1769,163,1,4,0.5
1816,166,1,4,0.5
1761,169,1,4,0.5
1764,172,1,4,0.5
1796,175,1,4,0.5
1745,178,1,4,0.5
1840,181,1,4,0.5
1828,184,1,4,0.5
1634,187,1,4,0.5
1669,190,1,4,0.5
1675,193,1,4,0.5
1735,196,1,4,0.5
1791,199,1,4,0.5
1766,202,1,4,0.5
1721,205,1,4,0.5
1726,208,1,4,0.5
1817,211,1,4,0.5
1803,214,1,4,0.5
1856,217,1,4,0.5
1719,220,1,4,0.5
1657,223,1,4,0.5
1703,226,1,4,0.5
1711,229,1,4,0.5
1872,232,1,4,0.5
1851,235,1,4,0.5
1783,238,1,4,0.5
1708,241,1,4,0.5
1852,244,1,4,0.5
1656,247,1,4,0.5
1676,250,1,4,0.5
1873,253,1,4,0.5
1847,256,1,4,0.5
1786,259,1,4,0.5
1729,262,1,4,0.5
1767,265,1,4,0.5
1698,268,1,4,0.5
