NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1769,4,1,4,0.5
1787,7,1,4,0.5
1794,10,1,4,0.5
1660,13,1,4,0.5
1853,16,1,4,0.5
1744,19,1,4,0.5
1824,22,1,4,0.5
1691,25,1,4,0.5
1736,28,1,4,0.5
1759,31,1,4,0.5
1643,34,1,4,0.5
1858,37,1,4,0.5
1679,40,1,4,0.5
1751,43,1,4,0.5
1719,46,1,4,0.5
1737,49,1,4,0.5
1717,52,1,4,0.5
1730,55,1,4,0.5
1686,58,1,4,0.5
1640,61,1,4,0.5
1658,64,1,4,0.5
1860,67,1,4,0.5
1690,70,1,4,0.5
1708,73,1,4,0.5
1865,76,1,4,0.5
1741,79,1,4,0.5
1662,82,1,4,0.5
1628,85,1,4,0.5
1839,88,1,4,0.5
1839,91,1,4,0.5
1819,94,1,4,0.5
1735,97,1,4,0.5
1634,100,1,4,0.5
1748,103,1,4,0.5
1644,106,1,4,0.5
1849,109,1,4,0.5
1641,112,1,4,0.5
1844,115,1,4,0.5
1749,118,1,4,0.5
1828,121,1,4,0.5
1699,124,1,4,0.5
1720,127,1,4,0.5
1662,130,1,4,0.5
1771,133,1,4,0.5
1737,136,1,4,0.5
1638,139,1,4,0.5
1755,142,1,4,0.5
1847,145,1,4,0.5
1703,148,1,4,0.5
1773,151,1,4,0.5
1750,154,1,4,0.5
1636,157,1,4,0.5
1779,160,1,4,0.5
1712,163,1,4,0.5
1694,166,1,4,0.5
1719,169,1,4,0.5
1726,172,1,4,0.5
1764,175,1,4,0.5
1743,178,1,4,0.5
1697,181,1,4,0.5
1696,184,1,4,0.5
1666,187,1,4,0.5
1655,190,1,4,0.5
1818,193,1,4,0.5
1627,196,1,4,0.5
1643,199,1,4,0.5
1727,202,1,4,0.5
1701,205,1,4,0.5
1777,208,1,4,0.5
1671,211,1,4,0.5
1804,214,1,4,0.5
1745,217,1,4,0.5
1667,220,1,4,0.5
1854,223,1,4,0.5
1703,226,1,4,0.5
1747,229,1,4,0.5
1674,232,1,4,0.5
1726,235,1,4,0.5
1845,238,1,4,0.5
1631,241,1,4,0.5
1734,244,1,4,0.5
1829,247,1,4,0.5
1629,250,1,4,0.5
1770,253,1,4,0.5
1867,256,1,4,0.5
1810,259,1,4,0.5
1816,262,1,4,0.5
1789,265,1,4,0.5
1668,268,1,4,0.5
1644,271,1,4,0.5
1704,274,1,4,0.5
1768,277,1,4,0.5
1869,280,1,4,0.5
1762,283,1,4,0.5
1823,286,1,4,0.5
1861,289,1,4,0.5
1812,292,1,4,0.5
1740,295,1,4,0.5
1776,298,1,4,0.5
1875,301,1,4,0.5
1677,304,1,4,0.5
1762,307,1,4,0.5
1649,310,1,4,0.5
1849,313,1,4,0.5
1639,316,1,4,0.5
1663,319,1,4,0.5
1728,322,1,4,0.5
1860,325,1,4,0.5
1642,328,1,4,0.5
1765,331,1,4,0.5
1783,334,1,4,0.5
1865,337,1,4,0.5
1874,340,1,4,0.5
1830,343,1,4,0.5
1651,346,1,4,0.5
1746,349,1,4,0.5
1780,352,1,4,0.5
1843,355,1,4,0.5
1723,358,1,4,0.5
1857,361,1,4,0.5
1713,364,1,4,0.5
1734,367,1,4,0.5
1678,370,1,4,0.5
1801,373,1,4,0.5
1837,376,1,4,0.5
1632,379,1,4,0.5
1698,382,1,4,0.5
1742,385,1,4,0.5
1753,388,1,4,0.5
1872,391,1,4,0.5
1674,394,1,4,0.5
1710,397,1,4,0.5
1796,400,1,4,0.5
1871,403,1,4,0.5
1866,406,1,4,0.5
1764,409,1,4,0.5
1735,412,1,4,0.5
1744,415,1,4,0.5
1812,418,1,4,0.5
1688,421,1,4,0.5
1639,424,1,4,0.5
1673,427,1,4,0.5
1729,430,1,4,0.5
1756,433,1,4,0.5
1840,436,1,4,0.5
1757,439,1,4,0.5
1778,442,1,4,0.5
1698,445,1,4,0.5
1760,448,1,4,0.5
1638,451,1,4,0.5
1711,454,1,4,0.5
1870,457,1,4,0.5
1681,460,1,4,0.5
1721,463,1,4,0.5
1821,466,1,4,0.5
1846,469,1,4,0.5
1830,472,1,4,0.5
1729,475,1,4,0.5
1876,478,1,4,0.5
1820,481,1,4,0.5
