NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1677,4,1,4,0.5
1658,7,1,4,1.0
1774,10,1,4,0.1
1590,12,1,3,1.0
12,13,1,4,1.0
1771,16,1,4,0.3333333
1678,19,1,4,1.0
1632,22,1,4,0.0833333
1606,24,1,3,0.5
24,25,1,4,1.0
1673,28,1,4,0.5
1745,31,1,4,0.3333333
1704,34,1,4,0.3333333
1603,36,1,3,0.5
36,37,1,4,1.0
1665,40,1,4,0.3333333
1774,43,1,4,0.1
1770,46,1,4,0.5
1682,49,1,4,1.0
1599,51,1,3,0.5
51,52,1,4,1.0
1688,55,1,4,1.0
1703,58,1,4,1.0
1710,61,1,4,0.3333333
1752,64,1,4,0.3333333
1739,67,1,4,0.5
1701,70,1,4,0.5
1679,73,1,4,0.25
1751,76,1,4,1.0
1762,79,1,4,0.25
1654,82,1,4,0.3333333
1769,85,1,4,0.3333333
1764,88,1,4,1.0
1746,91,1,4,1.0
1650,94,1,4,0.1
1674,97,1,4,0.5
1642,100,1,4,1.0
1684,103,1,4,0.5
1639,106,1,4,0.3333333
1588,108,1,3,0.5
108,109,1,4,1.0
1699,112,1,4,0.0769231
1691,115,1,4,0.25
1633,118,1,4,0.1666667
1609,120,1,3,0.5
120,121,1,4,1.0
1791,124,1,4,0.5
1649,127,1,4,0.3333333
1654,130,1,4,0.3333333
1745,133,1,4,0.3333333
1681,136,1,4,0.5
1629,139,1,4,0.125
1700,142,1,4,0.5
1773,145,1,4,0.25
1655,148,1,4,0.25
1767,151,1,4,1.0
1763,154,1,4,0.2
1782,157,1,4,0.1111111
1705,160,1,4,1.0
1734,163,1,4,1.0
1706,166,1,4,0.5
1770,169,1,4,0.5
1632,172,1,4,0.0833333
1553,174,1,3,1.0
174,175,1,4,1.0
1737,178,1,4,0.5
1790,181,1,4,0.5
1675,184,1,4,0.5
1699,187,1,4,0.0769231
1633,190,1,4,0.1666667
1787,193,1,4,0.5
1759,196,1,4,0.3333333
1704,199,1,4,0.3333333
1697,202,1,4,0.5
1719,205,1,4,0.1666667
1786,208,1,4,0.5
1749,211,1,4,0.3333333
1761,214,1,4,0.5
1741,217,1,4,0.25
1727,220,1,4,0.2
1771,223,1,4,0.3333333
1709,226,1,4,0.5
1684,229,1,4,0.5
1763,232,1,4,0.2
1632,235,1,4,0.0833333
1749,238,1,4,0.3333333
1699,241,1,4,0.0769231
1715,244,1,4,0.5
1669,247,1,4,0.1666667
1754,250,1,4,0.3333333
1677,253,1,4,0.5
1672,256,1,4,0.1666667
1728,259,1,4,0.3333333
1680,262,1,4,0.3333333
1777,265,1,4,0.1666667
1742,268,1,4,0.5
1639,271,1,4,0.3333333
1792,274,1,4,0.5
1670,277,1,4,0.5
1735,280,1,4,0.5
1612,282,1,3,0.5
282,283,1,4,1.0
1686,286,1,4,0.3333333
1632,289,1,4,0.0833333
1777,292,1,4,0.1666667
1643,295,1,4,0.3333333
1618,297,1,3,0.5
297,298,1,4,1.0
1692,301,1,4,0.3333333
1779,304,1,4,0.3333333
1774,307,1,4,0.1
1628,310,1,4,1.0
1588,312,1,3,0.5
312,313,1,4,1.0
1709,316,1,4,0.5
1533,318,1,3,0.5
318,319,1,4,1.0
1517,321,1,3,0.5
321,322,1,4,1.0
1514,324,1,3,0.5
324,325,1,4,1.0
1699,328,1,4,0.0769231
1650,331,1,4,0.1
1743,334,1,4,1.0
1722,337,1,4,1.0
1638,340,1,4,0.25
1669,343,1,4,0.1666667
1506,345,1,3,0.5
345,346,1,4,1.0
1741,349,1,4,0.25
1640,352,1,4,1.0
1691,355,1,4,0.25
1644,358,1,4,0.1666667
1737,361,1,4,0.5
1733,364,1,4,0.5
1696,367,1,4,0.3333333
1629,370,1,4,0.125
1624,372,1,3,0.5
372,373,1,4,1.0
1545,375,1,3,0.5
375,376,1,4,1.0
1699,379,1,4,0.0769231
1789,382,1,4,1.0
1762,385,1,4,0.25
1662,388,1,4,0.5
1699,391,1,4,0.0769231
1763,394,1,4,0.2
1672,397,1,4,0.1666667
1652,400,1,4,0.3333333
1672,403,1,4,0.1666667
1721,406,1,4,0.5
1755,409,1,4,1.0
1674,412,1,4,0.5
1564,414,1,3,0.5
414,415,1,4,1.0
1777,418,1,4,0.1666667
1646,421,1,4,1.0
1710,424,1,4,0.3333333
1763,427,1,4,0.2
1687,430,1,4,0.5
1723,433,1,4,0.3333333
1766,436,1,4,0.5
1664,439,1,4,0.5
1726,442,1,4,0.5
1506,444,1,3,0.5
444,445,1,4,1.0
1725,448,1,4,0.3333333
1630,451,1,4,1.0
1573,453,1,3,0.5
453,454,1,4,1.0
1685,457,1,4,0.5
1669,460,1,4,0.1666667
1696,463,1,4,0.3333333
1666,466,1,4,0.1428571
1750,469,1,4,0.3333333
1597,471,1,3,0.5
471,472,1,4,1.0
1687,475,1,4,0.5
1778,478,1,4,0.3333333
1650,481,1,4,0.1
1618,483,1,3,0.5
483,484,1,4,1.0
1718,487,1,4,0.5
1656,490,1,4,0.5
1787,493,1,4,0.5
1673,496,1,4,0.5
1680,499,1,4,0.3333333
1794,502,1,4,0.1666667
1692,505,1,4,0.3333333
1778,508,1,4,0.3333333
1783,511,1,4,0.3333333
1632,514,1,4,0.0833333
1541,516,1,3,1.0
516,517,1,4,1.0
1629,520,1,4,0.125
1636,523,1,4,0.25
1505,525,1,3,0.5
525,526,1,4,1.0
1667,529,1,4,0.5
1571,531,1,3,1.0
531,532,1,4,1.0
1666,535,1,4,0.1428571
1715,538,1,4,0.5
1773,541,1,4,0.25
1681,544,1,4,0.5
1708,547,1,4,0.3333333
1768,550,1,4,0.3333333
1545,552,1,3,0.5
552,553,1,4,1.0
1727,556,1,4,0.2
1699,559,1,4,0.0769231
1654,562,1,4,0.3333333
1776,565,1,4,0.5
1650,568,1,4,0.1
1665,571,1,4,0.3333333
1650,574,1,4,0.1
1756,577,1,4,0.5
1632,580,1,4,0.0833333
1686,583,1,4,0.3333333
1760,586,1,4,1.0
1645,589,1,4,0.5
1752,592,1,4,0.3333333
1792,595,1,4,0.5
1644,598,1,4,0.1666667
1749,601,1,4,0.3333333
1514,603,1,3,0.5
603,604,1,4,1.0
1732,607,1,4,0.5
1702,610,1,4,1.0
1522,612,1,3,0.5
612,613,1,4,1.0
1641,616,1,4,0.5
1794,619,1,4,0.1666667
1782,622,1,4,0.1111111
1726,625,1,4,0.5
1609,627,1,3,0.5
627,628,1,4,1.0
1712,631,1,4,0.5
1747,634,1,4,0.1428571
1719,637,1,4,0.1666667
1633,640,1,4,0.1666667
1772,643,1,4,1.0
1713,646,1,4,0.5
1671,649,1,4,1.0
1752,652,1,4,0.3333333
1634,655,1,4,0.5
1699,658,1,4,0.0769231
1662,661,1,4,0.5
1556,663,1,3,0.5
663,664,1,4,1.0
1638,667,1,4,0.25
1706,670,1,4,0.5
1699,673,1,4,0.0769231
1759,676,1,4,0.3333333
1670,679,1,4,0.5
1748,682,1,4,0.3333333
1777,685,1,4,0.1666667
1627,688,1,4,0.1666667
1679,691,1,4,0.25
1693,694,1,4,0.5
1741,697,1,4,0.25
1652,700,1,4,0.3333333
1782,703,1,4,0.1111111
1763,706,1,4,0.2
1629,709,1,4,0.125
1653,712,1,4,0.5
1620,714,1,3,1.0
714,715,1,4,1.0
1598,717,1,3,0.5
717,718,1,4,1.0
1659,721,1,4,0.5
1522,723,1,3,0.5
723,724,1,4,1.0
1776,727,1,4,0.5
1774,730,1,4,0.1
1761,733,1,4,0.5
1683,736,1,4,1.0
1632,739,1,4,0.0833333
1725,742,1,4,0.3333333
1728,745,1,4,0.3333333
1723,748,1,4,0.3333333
1762,751,1,4,0.25
1768,754,1,4,0.3333333
1594,756,1,3,0.5
756,757,1,4,1.0
1718,760,1,4,0.5
1603,762,1,3,0.5
762,763,1,4,1.0
1556,765,1,3,0.5
765,766,1,4,1.0
1707,769,1,4,0.25
1762,772,1,4,0.25
1680,775,1,4,0.3333333
1540,777,1,3,0.5
777,778,1,4,1.0
1650,781,1,4,0.1
1730,784,1,4,0.3333333
1738,787,1,4,1.0
1644,790,1,4,0.1666667
1701,793,1,4,0.5
1655,796,1,4,0.25
1745,799,1,4,0.3333333
1724,802,1,4,1.0
1759,805,1,4,0.3333333
1723,808,1,4,0.3333333
1780,811,1,4,1.0
1634,814,1,4,0.5
1754,817,1,4,0.3333333
1692,820,1,4,0.3333333
1649,823,1,4,0.3333333
1547,825,1,3,1.0
825,826,1,4,1.0
1782,829,1,4,0.1111111
1785,832,1,4,1.0
1744,835,1,4,0.5
1720,838,1,4,0.3333333
1721,841,1,4,0.5
1774,844,1,4,0.1
1632,847,1,4,0.0833333
1708,850,1,4,0.3333333
1774,853,1,4,0.1
1627,856,1,4,0.1666667
1661,859,1,4,1.0
1632,862,1,4,0.0833333
1773,865,1,4,0.25
1720,868,1,4,0.3333333
1517,870,1,3,0.5
870,871,1,4,1.0
1540,873,1,3,0.5
873,874,1,4,1.0
1689,877,1,4,1.0
1733,880,1,4,0.5
1521,882,1,3,1.0
882,883,1,4,1.0
1599,885,1,3,0.5
885,886,1,4,1.0
1637,889,1,4,0.25
1783,892,1,4,0.3333333
1775,895,1,4,0.5
1742,898,1,4,0.5
1736,901,1,4,1.0
1659,904,1,4,0.5
1543,906,1,3,0.5
906,907,1,4,1.0
1747,910,1,4,0.1428571
1750,913,1,4,0.3333333
1783,916,1,4,0.3333333
1698,919,1,4,1.0
1672,922,1,4,0.1666667
1711,925,1,4,1.0
1669,928,1,4,0.1666667
1769,931,1,4,0.3333333
1758,934,1,4,1.0
1643,937,1,4,0.3333333
1693,940,1,4,0.5
1740,943,1,4,1.0
1505,945,1,3,0.5
945,946,1,4,1.0
1774,949,1,4,0.1
1729,952,1,4,1.0
1612,954,1,3,0.5
954,955,1,4,1.0
1562,957,1,3,1.0
957,958,1,4,1.0
1691,961,1,4,0.25
1699,964,1,4,0.0769231
1774,967,1,4,0.1
1665,970,1,4,0.3333333
1747,973,1,4,0.1428571
1794,976,1,4,0.1666667
1754,979,1,4,0.3333333
1768,982,1,4,0.3333333
1757,985,1,4,0.5
1596,987,1,3,0.5
987,988,1,4,1.0
1669,991,1,4,0.1666667
1781,994,1,4,0.5
1649,997,1,4,0.3333333
1777,1000,1,4,0.1666667
1543,1002,1,3,0.5
1002,1003,1,4,1.0
1727,1006,1,4,0.2
1638,1009,1,4,0.25
1667,1012,1,4,0.5
1629,1015,1,4,0.125
1771,1018,1,4,0.3333333
1666,1021,1,4,0.1428571
1794,1024,1,4,0.1666667
1627,1027,1,4,0.1666667
1790,1030,1,4,0.5
1644,1033,1,4,0.1666667
1717,1036,1,4,1.0
1782,1039,1,4,0.1111111
1629,1042,1,4,0.125
1636,1045,1,4,0.25
1638,1048,1,4,0.25
1672,1051,1,4,0.1666667
1596,1053,1,3,0.5
1053,1054,1,4,1.0
1637,1057,1,4,0.25
1629,1060,1,4,0.125
1777,1063,1,4,0.1666667
