"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf95";"mediaLimSup95";"mediaLimInf99";"mediaLimSup99";"error_margin_mean_95";"error_margin_mean_99";"Low_ci_95_mean_orig";"Low_ci_99_mean_orig";"Low_ci_95_mean_red";"Low_ci_99_mean_red";"Low_ci_95_var_orig";"Low_ci_99_var_orig";"Low_ci_95_var_red";"Low_ci_99_var_red";"Sup_ci_95_mean_orig";"Sup_ci_99_mean_orig";"Sup_ci_95_mean_red";"Sup_ci_99_mean_red";"Sup_ci_95_var_orig";"Sup_ci_99_var_orig";"Sup_ci_95_var_red";"Sup_ci_99_var_red";"stdOrig";"stdRed";"stdLimInf95";"stdLimSup95";"chi2_lower95";"chi2_upper95";"stdLimInf99";"stdLimSup99";"chi2_lower99";"chi2_upper99";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"Brunner_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"1";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;271;2041,43;2032,608;1,96;2564,408;1918,369;2164,491;1879,701;2203,159;123,061;161,729;1920,859;1869,726;1836,264;1770,299;1672783,677;1622804,95;1498256,048;1396084,942;2168,186;2203,319;2240,66;2333,642;2275831,936;2361874,698;2497414,045;2675270,692;1403,963;1400,909;1322,005;1496,838;562,789;438,998;1297,636;1527,8;584,125;421,385;1,15;1,173;0,846;0,97;29,41;0,016;1;0,935;0,626;0,532;0,036;0,704;0,732;0,038
"2";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;285;23413,208;23420,252;1,96;2564,408;23401,132;23425,284;23397,337;23429,079;12,076;15,871;23401,076;23398,178;23401,048;23396,549;16715,547;15952,104;15121,303;13805,231;23424,519;23429,922;23440,629;23445,893;21229,057;22200,756;22824,292;24453,547;137,774;136,937;129,732;146,888;562,789;438,998;127,34;149,927;584,125;421,385;0,302;0,328;-0,008;-0,013;7,632;0,028;1;0,509;0,418;0,525;0,669;0,422;0,694;0,671
"3";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;273;800,006;796,888;1,96;2564,408;704,394;895,618;674,351;925,661;95,612;125,655;705,766;677,754;655,293;608,34;874050,146;741749,155;676761,007;582245,432;892,715;926,641;969,527;1019,555;1548430,426;1660028,307;1792251,175;2047597,643;1090,807;1087,833;1027,13;1162,966;562,789;438,998;1008,197;1187,022;584,125;421,385;2,811;2,804;9,363;9,301;10,25;0,008;1;0,971;0,695;0,587;0,057;0,659;0,355;0,06
"4";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;257;763,09;760,104;1,96;2564,408;671,891;854,289;643,234;882,946;91,199;119,856;670,418;647,626;617,196;577,998;774682,731;703942,864;627241,316;503393,476;851,201;876,963;917,508;983,67;1374741,749;1480927,188;1639114,239;1891516,155;1040,463;1037,598;979,724;1109,291;562,789;438,998;961,665;1132,237;584,125;421,385;2,811;2,804;9,361;9,301;9,778;0,01;1;0,97;0,695;0,587;0,057;0,781;0,36;0,06
"5";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;288;3184,762;3184,588;1,96;2564,408;3145,016;3224,508;3132,527;3236,997;39,746;52,235;3147,243;3136,392;3120,244;3103,885;173881,421;165745,143;155146,884;141490,634;3225,771;3237,773;3251,061;3267,349;238887,802;248911,29;259659,159;278965,257;453,451;454,55;426,98;483,448;562,789;438,998;419,11;493,448;584,125;421,385;1,052;1,057;0,975;1,076;10,11;0,018;1;0,996;0,636;0,68;0,266;0,63;0,211;0,271
"6";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;279;700,144;705,692;1,96;2564,408;682,084;718,204;676,409;723,879;18,06;23,735;682,811;677,318;676,359;667,067;34452,997;31593,137;30305,742;27892,247;718,297;725,259;734,173;745,497;52198,647;56190,686;59360,461;67446,567;206,04;204,781;194,012;219,67;562,789;438,998;190,436;224,214;584,125;421,385;1,231;1,227;3,812;3,825;7,404;0,038;0,99;0,728;0,207;0,749;0,509;0,951;0,531;0,51
"7";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;287;712,03;718,798;1,96;2564,408;698,341;725,719;694,04;730,02;13,689;17,99;699,441;695,084;697,902;690,42;20834,1;19781,775;17259,03;15979,192;725,234;730,812;741,499;746,193;28276,399;29179,902;29670,945;31873,753;156,171;151,273;147,054;166,502;562,789;438,998;144,343;169,946;584,125;421,385;-0,715;-0,781;1,1;1,414;7,78;0,03;1;0,569;0,513;0,6;0,624;0,772;0,332;0,625
"8";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;270;1104,072;1102,898;1,96;2564,408;987,646;1220,498;951,063;1257,081;116,426;153,009;986,247;966,747;906,909;851,082;1353720,991;1280895,004;1191133,905;1051654,121;1222,255;1270,176;1296,201;1373,132;2170792,548;2255666,516;2482760,338;2660789,253;1328,269;1333,344;1250,729;1416,136;562,789;438,998;1227,675;1445,429;584,125;421,385;2,08;2,124;4,636;5,013;18,926;0,016;1;0,991;0,917;0,61;0,076;0,956;0,153;0,079
"9";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;227;1124,762;1121,788;1,96;2564,408;1079,061;1170,463;1064,7;1184,824;45,701;60,062;1082,684;1071,125;1054,57;1042,76;131645,025;122002,726;114721,363;105211,356;1172,722;1184,78;1200,337;1227,226;443478,339;516734,947;557378,626;714284,074;521,392;513,451;490,955;555,883;562,789;438,998;481,905;567,381;584,125;421,385;4,961;4,752;43,253;40,676;9,254;0,014;1;0,941;0,326;0,775;0,113;0,945;0,857;0,119
"10";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;229;2256,644;2252,208;1,96;2564,408;2169,543;2343,745;2142,175;2371,113;87,101;114,469;2170,057;2147,993;2125,419;2091,202;526639,804;470387,155;426481,139;352529,821;2346,564;2385,407;2402,534;2460,726;1568967,724;1812775,064;1963388,8;2457315,034;993,705;991,12;935,696;1059,441;562,789;438,998;918,449;1081,355;584,125;421,385;4,505;4,514;33,653;33,8;16,344;0,016;1;0,954;0,278;0,998;0,074;0,346;0,846;0,077
"11";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;275;5825,37;5811,924;1,96;2564,408;5488,473;6162,267;5382,612;6268,128;336,897;442,758;5515,627;5419,721;5322,5;5155,075;10509838,241;9624543,476;8169980,591;6891650,396;6200,164;6307,859;6396,175;6674,975;19674207,735;21329444,117;23035756,811;25698353,304;3843,566;3840,64;3619,192;4097,824;562,789;438,998;3552,48;4182,589;584,125;421,385;2,707;2,707;10,051;10,001;48,15;0,012;1;0,964;0,193;0,56;0,063;0,722;0,53;0,068
"12";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;169;1031,748;1024,058;1,96;2564,408;975,371;1088,125;957,656;1105,84;56,377;74,092;975,116;952,016;935,195;903,44;369684,642;355776,858;342660,771;313842,897;1086,768;1107,101;1116;1137,807;457015,588;467916,578;474116,302;499211,415;643,193;639,335;605,645;685,741;562,789;438,998;594,482;699,926;584,125;421,385;0,853;0,867;-0,621;-0,602;11,002;0,016;1;0,877;0,672;0,931;0,15;0,81;0,701;0,156
"13";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;156;874,092;872,004;1,96;2564,408;804,693;943,491;782,887;965,297;69,399;91,205;801,235;782,015;766,228;736,036;510608,317;488322,803;471372,58;407135,296;944,043;961,889;988,454;1025,003;732804,418;771203,706;820388,463;862154,6;791,749;797,95;745,53;844,125;562,789;438,998;731,788;861,586;584,125;421,385;1,546;1,531;2,108;2,006;15,264;0,022;1;0,973;0,179;0,565;0,295;0,621;0,672;0,302
"14";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;237;400,57;396,874;1,96;2564,408;372,019;429,121;363,048;438,092;28,551;37,522;373,654;364,341;349,488;341,276;87341,305;79753,44;77642,277;71069,185;427,891;439,183;448,649;464,204;124917,323;131252,744;142980,567;156111,84;325,728;329,902;306,714;347,276;562,789;438,998;301,06;354,459;584,125;421,385;1,56;1,571;2,133;2,09;10,42;0,02;1;0,885;0,594;0,532;0,284;0,221;0,209;0,286
"15";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;32;75,192;74,816;1,96;2564,408;71,715;78,669;70,622;79,762;3,477;4,57;71,935;70,853;69,24;67,644;1385,596;1325,787;1284,032;1218,888;79;80,144;80,836;83,347;1782,065;1847,33;1893,095;1993,2;39,668;39,595;37,352;42,292;562,789;438,998;36,664;43,167;584,125;421,385;0,777;0,752;-0,056;-0,185;0,892;0,012;1;0,903;0,97;0,809;0,257;0,189;0,145;0,262
"16";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;61;454,426;445,502;1,96;2564,408;401,024;507,828;384,244;524,608;53,402;70,182;406,997;392,553;367,462;349,869;229032,682;186247,207;149064,79;108658,286;513,1;533,446;541,921;575,988;562798,289;632973,064;651387,191;747924,212;609,25;594,2;573,684;649,553;562,789;438,998;563,11;662,989;584,125;421,385;4,34;4,28;23,42;22,674;12,128;0,012;1;0,848;0,026;0,221;0,3;0,306;0,479;0,296
"17";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;49;123,072;120,478;1,96;2564,408;109,774;136,37;105,596;140,548;13,298;17,476;110,513;106,998;101,338;97,011;13330,95;10738,155;8677,662;7083,058;138,024;141,975;144,971;152,181;35146,942;39895,852;44135,328;53363,416;151,709;150,891;142,853;161,745;562,789;438,998;140,22;165,091;584,125;421,385;4,478;4,538;25,781;26,248;4,13;0,02;1;0,825;0,083;0,474;0,52;0,146;0,601;0,517
"18";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;24;551,38;552,052;1,96;2564,408;490,682;612,078;471,609;631,151;60,698;79,771;491,946;469,368;453,043;432,422;325000,717;280962,627;259586,246;230550,72;612,995;629,84;667,838;717,134;647013,242;699122,943;815681,148;927810,568;692,491;706,73;652,066;738,301;562,789;438,998;640,047;753,573;584,125;421,385;3,102;3,14;11,998;12,188;12,8;0,018;1;0,99;0,052;0,672;0,187;0,018;0,124;0,193
"19";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;6;773,326;764,904;1,96;2564,408;724,568;822,084;709,247;837,405;48,758;64,079;723,813;710,919;688,484;668,584;262540,403;250348,236;230570,866;214024,84;822,499;836,657;848,832;881,459;353937,974;371504,005;382443,188;412505,357;556,266;555,792;523,793;593,064;562,789;438,998;514,138;605,332;584,125;421,385;1,128;1,122;0,963;0,978;13,79;0,034;0,998;0,845;0,345;0,609;0,285;0,371;0,314;0,285
