TIPO,CASO,FALHA,EST,TESTE,NPOSTOS,PERC.ENA
avaliaArvoresRepresentativo/A_125_2_2,BKAssimetrico,FALHA_T_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,BKSimetrico,FALHA_T_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,KMeansAssimetricoProb,FALHA_T_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,KMeansSimetricoProbQuad,FALHA_T_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,NeuralGas,FALHA_T_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,NeuralGasSimetrico,FALHA_T_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,BKAssimetrico,FALHA_T_TEST,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,BKSimetrico,FALHA_T_TEST,2,FALHOU_AO_MENOS_UMTESTE,50.0,62.07
avaliaArvoresRepresentativo/A_125_2_2,KMeansAssimetricoProb,FALHA_T_TEST,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,KMeansSimetricoProbQuad,FALHA_T_TEST,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,NeuralGas,FALHA_T_TEST,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,NeuralGasSimetrico,FALHA_T_TEST,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,BKAssimetrico,FALHA_W-TEST,3,FALHOU_AO_MENOS_UMTESTE,2.0,3.52
avaliaArvoresRepresentativo/A_125_2_2,BKSimetrico,FALHA_W-TEST,3,FALHOU_AO_MENOS_UMTESTE,2.0,3.52
avaliaArvoresRepresentativo/A_125_2_2,KMeansAssimetricoProb,FALHA_W-TEST,3,FALHOU_AO_MENOS_UMTESTE,50.0,70.27
avaliaArvoresRepresentativo/A_125_2_2,KMeansSimetricoProbQuad,FALHA_W-TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,NeuralGas,FALHA_W-TEST,3,FALHOU_AO_MENOS_UMTESTE,42.0,62.72
avaliaArvoresRepresentativo/A_125_2_2,NeuralGasSimetrico,FALHA_W-TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,BKAssimetrico,FALHA_W-TEST,2,FALHOU_AO_MENOS_UMTESTE,15.0,23.88
avaliaArvoresRepresentativo/A_125_2_2,BKSimetrico,FALHA_W-TEST,2,FALHOU_AO_MENOS_UMTESTE,69.0,73.66
avaliaArvoresRepresentativo/A_125_2_2,KMeansAssimetricoProb,FALHA_W-TEST,2,FALHOU_AO_MENOS_UMTESTE,57.99999999999999,71.89
avaliaArvoresRepresentativo/A_125_2_2,KMeansSimetricoProbQuad,FALHA_W-TEST,2,FALHOU_AO_MENOS_UMTESTE,4.0,1.92
avaliaArvoresRepresentativo/A_125_2_2,NeuralGas,FALHA_W-TEST,2,FALHOU_AO_MENOS_UMTESTE,56.00000000000001,70.78
avaliaArvoresRepresentativo/A_125_2_2,NeuralGasSimetrico,FALHA_W-TEST,2,FALHOU_AO_MENOS_UMTESTE,15.0,3.3
avaliaArvoresRepresentativo/A_125_2_2,BKAssimetrico,FALHA_F_TEST,3,FALHOU_AO_MENOS_UMTESTE,15.0,11.92
avaliaArvoresRepresentativo/A_125_2_2,BKSimetrico,FALHA_F_TEST,3,FALHOU_AO_MENOS_UMTESTE,15.0,11.92
avaliaArvoresRepresentativo/A_125_2_2,KMeansAssimetricoProb,FALHA_F_TEST,3,FALHOU_AO_MENOS_UMTESTE,33.0,44.76
avaliaArvoresRepresentativo/A_125_2_2,KMeansSimetricoProbQuad,FALHA_F_TEST,3,FALHOU_AO_MENOS_UMTESTE,17.0,18.76
avaliaArvoresRepresentativo/A_125_2_2,NeuralGas,FALHA_F_TEST,3,FALHOU_AO_MENOS_UMTESTE,19.0,15.95
avaliaArvoresRepresentativo/A_125_2_2,NeuralGasSimetrico,FALHA_F_TEST,3,FALHOU_AO_MENOS_UMTESTE,40.0,30.66
avaliaArvoresRepresentativo/A_125_2_2,BKAssimetrico,FALHA_F_TEST,2,FALHOU_AO_MENOS_UMTESTE,38.0,27.89
avaliaArvoresRepresentativo/A_125_2_2,BKSimetrico,FALHA_F_TEST,2,FALHOU_AO_MENOS_UMTESTE,56.00000000000001,29.84
avaliaArvoresRepresentativo/A_125_2_2,KMeansAssimetricoProb,FALHA_F_TEST,2,FALHOU_AO_MENOS_UMTESTE,46.0,44.53
avaliaArvoresRepresentativo/A_125_2_2,KMeansSimetricoProbQuad,FALHA_F_TEST,2,FALHOU_AO_MENOS_UMTESTE,21.0,19.14
avaliaArvoresRepresentativo/A_125_2_2,NeuralGas,FALHA_F_TEST,2,FALHOU_AO_MENOS_UMTESTE,28.999999999999996,33.87
avaliaArvoresRepresentativo/A_125_2_2,NeuralGasSimetrico,FALHA_F_TEST,2,FALHOU_AO_MENOS_UMTESTE,71.0,84.23
avaliaArvoresRepresentativo/A_125_2_2,BKAssimetrico,FALHA_L_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,BKSimetrico,FALHA_L_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,KMeansAssimetricoProb,FALHA_L_TEST,3,FALHOU_AO_MENOS_UMTESTE,2.0,15.67
avaliaArvoresRepresentativo/A_125_2_2,KMeansSimetricoProbQuad,FALHA_L_TEST,3,FALHOU_AO_MENOS_UMTESTE,6.0,15.67
avaliaArvoresRepresentativo/A_125_2_2,NeuralGas,FALHA_L_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,NeuralGasSimetrico,FALHA_L_TEST,3,FALHOU_AO_MENOS_UMTESTE,6.0,16.56
avaliaArvoresRepresentativo/A_125_2_2,BKAssimetrico,FALHA_L_TEST,2,FALHOU_AO_MENOS_UMTESTE,2.0,4.65
avaliaArvoresRepresentativo/A_125_2_2,BKSimetrico,FALHA_L_TEST,2,FALHOU_AO_MENOS_UMTESTE,15.0,10.32
avaliaArvoresRepresentativo/A_125_2_2,KMeansAssimetricoProb,FALHA_L_TEST,2,FALHOU_AO_MENOS_UMTESTE,6.0,15.93
avaliaArvoresRepresentativo/A_125_2_2,KMeansSimetricoProbQuad,FALHA_L_TEST,2,FALHOU_AO_MENOS_UMTESTE,8.0,16.37
avaliaArvoresRepresentativo/A_125_2_2,NeuralGas,FALHA_L_TEST,2,FALHOU_AO_MENOS_UMTESTE,4.0,15.93
avaliaArvoresRepresentativo/A_125_2_2,NeuralGasSimetrico,FALHA_L_TEST,2,FALHOU_AO_MENOS_UMTESTE,15.0,19.71
avaliaArvoresRepresentativo/A_125_2_2,BKAssimetrico,FALHA_P_Boot_mean,3,FALHOU_AO_MENOS_UMTESTE,2.0,5.19
avaliaArvoresRepresentativo/A_125_2_2,BKSimetrico,FALHA_P_Boot_mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,KMeansAssimetricoProb,FALHA_P_Boot_mean,3,FALHOU_AO_MENOS_UMTESTE,2.0,4.65
avaliaArvoresRepresentativo/A_125_2_2,KMeansSimetricoProbQuad,FALHA_P_Boot_mean,3,FALHOU_AO_MENOS_UMTESTE,6.0,5.81
avaliaArvoresRepresentativo/A_125_2_2,NeuralGas,FALHA_P_Boot_mean,3,FALHOU_AO_MENOS_UMTESTE,2.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,NeuralGasSimetrico,FALHA_P_Boot_mean,3,FALHOU_AO_MENOS_UMTESTE,6.0,11.36
avaliaArvoresRepresentativo/A_125_2_2,BKAssimetrico,FALHA_P_Boot_mean,2,FALHOU_AO_MENOS_UMTESTE,10.0,5.58
avaliaArvoresRepresentativo/A_125_2_2,BKSimetrico,FALHA_P_Boot_mean,2,FALHOU_AO_MENOS_UMTESTE,6.0,26.18
avaliaArvoresRepresentativo/A_125_2_2,KMeansAssimetricoProb,FALHA_P_Boot_mean,2,FALHOU_AO_MENOS_UMTESTE,6.0,6.33
avaliaArvoresRepresentativo/A_125_2_2,KMeansSimetricoProbQuad,FALHA_P_Boot_mean,2,FALHOU_AO_MENOS_UMTESTE,2.0,0.44
avaliaArvoresRepresentativo/A_125_2_2,NeuralGas,FALHA_P_Boot_mean,2,FALHOU_AO_MENOS_UMTESTE,4.0,0.75
avaliaArvoresRepresentativo/A_125_2_2,NeuralGasSimetrico,FALHA_P_Boot_mean,2,FALHOU_AO_MENOS_UMTESTE,4.0,3.55
avaliaArvoresRepresentativo/A_125_2_2,BKAssimetrico,FALHA_P_Boot_Variance,3,FALHOU_AO_MENOS_UMTESTE,2.0,0.2
avaliaArvoresRepresentativo/A_125_2_2,BKSimetrico,FALHA_P_Boot_Variance,3,FALHOU_AO_MENOS_UMTESTE,15.0,10.58
avaliaArvoresRepresentativo/A_125_2_2,KMeansAssimetricoProb,FALHA_P_Boot_Variance,3,FALHOU_AO_MENOS_UMTESTE,4.0,7.06
avaliaArvoresRepresentativo/A_125_2_2,KMeansSimetricoProbQuad,FALHA_P_Boot_Variance,3,FALHOU_AO_MENOS_UMTESTE,6.0,2.67
avaliaArvoresRepresentativo/A_125_2_2,NeuralGas,FALHA_P_Boot_Variance,3,FALHOU_AO_MENOS_UMTESTE,2.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,NeuralGasSimetrico,FALHA_P_Boot_Variance,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,BKAssimetrico,FALHA_P_Boot_Variance,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,BKSimetrico,FALHA_P_Boot_Variance,2,FALHOU_AO_MENOS_UMTESTE,4.0,2.71
avaliaArvoresRepresentativo/A_125_2_2,KMeansAssimetricoProb,FALHA_P_Boot_Variance,2,FALHOU_AO_MENOS_UMTESTE,6.0,1.27
avaliaArvoresRepresentativo/A_125_2_2,KMeansSimetricoProbQuad,FALHA_P_Boot_Variance,2,FALHOU_AO_MENOS_UMTESTE,4.0,0.83
avaliaArvoresRepresentativo/A_125_2_2,NeuralGas,FALHA_P_Boot_Variance,2,FALHOU_AO_MENOS_UMTESTE,2.0,0.2
avaliaArvoresRepresentativo/A_125_2_2,NeuralGasSimetrico,FALHA_P_Boot_Variance,2,FALHOU_AO_MENOS_UMTESTE,4.0,2.11
avaliaArvoresRepresentativo/A_125_2_2,BKAssimetrico,mean_limite,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,BKSimetrico,mean_limite,3,FALHOU_AO_MENOS_UMTESTE,15.0,19.56
avaliaArvoresRepresentativo/A_125_2_2,KMeansAssimetricoProb,mean_limite,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,KMeansSimetricoProbQuad,mean_limite,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,NeuralGas,mean_limite,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,NeuralGasSimetrico,mean_limite,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,BKAssimetrico,mean_limite,2,FALHOU_AO_MENOS_UMTESTE,2.0,0.26
avaliaArvoresRepresentativo/A_125_2_2,BKSimetrico,mean_limite,2,FALHOU_AO_MENOS_UMTESTE,92.0,82.38
avaliaArvoresRepresentativo/A_125_2_2,KMeansAssimetricoProb,mean_limite,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,KMeansSimetricoProbQuad,mean_limite,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,NeuralGas,mean_limite,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,NeuralGasSimetrico,mean_limite,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,BKAssimetrico,std_limite,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,BKSimetrico,std_limite,3,FALHOU_AO_MENOS_UMTESTE,4.0,4.65
avaliaArvoresRepresentativo/A_125_2_2,KMeansAssimetricoProb,std_limite,3,FALHOU_AO_MENOS_UMTESTE,12.0,16.71
avaliaArvoresRepresentativo/A_125_2_2,KMeansSimetricoProbQuad,std_limite,3,FALHOU_AO_MENOS_UMTESTE,12.0,18.31
avaliaArvoresRepresentativo/A_125_2_2,NeuralGas,std_limite,3,FALHOU_AO_MENOS_UMTESTE,6.0,15.93
avaliaArvoresRepresentativo/A_125_2_2,NeuralGasSimetrico,std_limite,3,FALHOU_AO_MENOS_UMTESTE,35.0,40.69
avaliaArvoresRepresentativo/A_125_2_2,BKAssimetrico,std_limite,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,BKSimetrico,std_limite,2,FALHOU_AO_MENOS_UMTESTE,56.00000000000001,48.22
avaliaArvoresRepresentativo/A_125_2_2,KMeansAssimetricoProb,std_limite,2,FALHOU_AO_MENOS_UMTESTE,10.0,16.71
avaliaArvoresRepresentativo/A_125_2_2,KMeansSimetricoProbQuad,std_limite,2,FALHOU_AO_MENOS_UMTESTE,25.0,28.22
avaliaArvoresRepresentativo/A_125_2_2,NeuralGas,std_limite,2,FALHOU_AO_MENOS_UMTESTE,15.0,23.38
avaliaArvoresRepresentativo/A_125_2_2,NeuralGasSimetrico,std_limite,2,FALHOU_AO_MENOS_UMTESTE,67.0,88.58
avaliaArvoresRepresentativo/A_125_2_2,BKAssimetrico,distribution,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,BKSimetrico,distribution,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
