NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1661,4,1,4,0.5
1755,7,1,4,0.5
1600,10,1,4,0.5
1528,13,1,4,0.5
1772,16,1,4,0.5
1663,19,1,4,0.5
1679,22,1,4,0.5
1596,25,1,4,0.5
1665,28,1,4,0.5
1559,31,1,4,0.5
1656,34,1,4,0.5
1662,37,1,4,0.5
1729,40,1,4,0.5
1606,43,1,4,0.5
1734,46,1,4,0.5
1663,49,1,4,0.5
1637,52,1,4,0.5
1697,55,1,4,0.5
1647,58,1,4,0.5
1754,61,1,4,0.5
1732,64,1,4,0.5
1723,67,1,4,0.5
1549,70,1,4,0.5
1673,73,1,4,0.5
1733,76,1,4,0.5
1718,79,1,4,0.5
1620,82,1,4,0.5
1733,85,1,4,0.5
1551,88,1,4,0.5
1566,91,1,4,0.5
1676,94,1,4,0.5
1619,97,1,4,0.5
1627,100,1,4,0.5
1569,103,1,4,0.5
1651,106,1,4,0.5
1648,109,1,4,0.5
1539,112,1,4,0.5
1546,115,1,4,0.5
1570,118,1,4,0.5
1693,121,1,4,0.5
1644,124,1,4,0.5
1670,127,1,4,0.5
1620,130,1,4,0.5
1559,133,1,4,0.5
1551,136,1,4,0.5
1565,139,1,4,0.5
1604,142,1,4,0.5
1760,145,1,4,0.5
1646,148,1,4,0.5
1701,151,1,4,0.5
1573,154,1,4,0.5
1708,157,1,4,0.5
1649,160,1,4,0.5
1570,163,1,4,0.5
1724,166,1,4,0.5
1601,169,1,4,0.5
1678,172,1,4,0.5
1694,175,1,4,0.5
1564,178,1,4,0.5
1665,181,1,4,0.5
1700,184,1,4,0.5
1542,187,1,4,0.5
1567,190,1,4,0.5
1743,193,1,4,0.5
1735,196,1,4,0.5
1656,199,1,4,0.5
1571,202,1,4,0.5
1744,205,1,4,0.5
1756,208,1,4,0.5
1759,211,1,4,0.5
1722,214,1,4,0.5
1590,217,1,4,0.5
1596,220,1,4,0.5
1772,223,1,4,0.5
1750,226,1,4,0.5
1569,229,1,4,0.5
1547,232,1,4,0.5
1678,235,1,4,0.5
1611,238,1,4,0.5
1757,241,1,4,0.5
1675,244,1,4,0.5
1626,247,1,4,0.5
1561,250,1,4,0.5
1661,253,1,4,0.5
1682,256,1,4,0.5
1595,259,1,4,0.5
1671,262,1,4,0.5
1581,265,1,4,0.5
1716,268,1,4,0.5
1654,271,1,4,0.5
1640,274,1,4,0.5
1617,277,1,4,0.5
1588,280,1,4,0.5
1734,283,1,4,0.5
1563,286,1,4,0.5
1681,289,1,4,0.5
1585,292,1,4,0.5
1711,295,1,4,0.5
1758,298,1,4,0.5
1598,301,1,4,0.5
1754,304,1,4,0.5
1605,307,1,4,0.5
1613,310,1,4,0.5
1648,313,1,4,0.5
1750,316,1,4,0.5
1769,319,1,4,0.5
1628,322,1,4,0.5
1720,325,1,4,0.5
1542,328,1,4,0.5
1675,331,1,4,0.5
1574,334,1,4,0.5
1736,337,1,4,0.5
1761,340,1,4,0.5
1625,343,1,4,0.5
1662,346,1,4,0.5
1707,349,1,4,0.5
1654,352,1,4,0.5
1603,355,1,4,0.5
1746,358,1,4,0.5
1573,361,1,4,0.5
1774,364,1,4,0.5
1587,367,1,4,0.5
1701,370,1,4,0.5
1775,373,1,4,0.5
1751,376,1,4,0.5
1597,379,1,4,0.5
1658,382,1,4,0.5
1719,385,1,4,0.5
1699,388,1,4,0.5
1757,391,1,4,0.5
1552,394,1,4,0.5
1738,397,1,4,0.5
1687,400,1,4,0.5
1545,403,1,4,0.5
1689,406,1,4,0.5
1692,409,1,4,0.5
1619,412,1,4,0.5
1591,415,1,4,0.5
1583,418,1,4,0.5
1773,421,1,4,0.5
1752,424,1,4,0.5
1554,427,1,4,0.5
1706,430,1,4,0.5
1610,433,1,4,0.5
1548,436,1,4,0.5
1534,439,1,4,0.5
1639,442,1,4,0.5
1664,445,1,4,0.5
1549,448,1,4,0.5
1563,451,1,4,0.5
1768,454,1,4,0.5
1593,457,1,4,0.5
1622,460,1,4,0.5
1717,463,1,4,0.5
1580,466,1,4,0.5
1611,469,1,4,0.5
1621,472,1,4,0.5
1697,475,1,4,0.5
1578,478,1,4,0.5
1672,481,1,4,0.5
1765,484,1,4,0.5
1657,487,1,4,0.5
1641,490,1,4,0.5
1737,493,1,4,0.5
1623,496,1,4,0.5
1674,499,1,4,0.5
1539,502,1,4,0.5
1598,505,1,4,0.5
1584,508,1,4,0.5
1529,511,1,4,0.5
1685,514,1,4,0.5
1534,517,1,4,0.5
1742,520,1,4,0.5
1531,523,1,4,0.5
1630,526,1,4,0.5
1659,529,1,4,0.5
1530,532,1,4,0.5
1736,535,1,4,0.5
1672,538,1,4,0.5
1762,541,1,4,0.5
1553,544,1,4,0.5
1740,547,1,4,0.5
1645,550,1,4,0.5
1749,553,1,4,0.5
1616,556,1,4,0.5
1601,559,1,4,0.5
1703,562,1,4,0.5
1582,565,1,4,0.5
1667,568,1,4,0.5
1586,571,1,4,0.5
1669,574,1,4,0.5
1691,577,1,4,0.5
1681,580,1,4,0.5
1589,583,1,4,0.5
1730,586,1,4,0.5
1767,589,1,4,0.5
1689,592,1,4,0.5
1640,595,1,4,0.5
1712,598,1,4,0.5
1759,601,1,4,0.5
1725,604,1,4,0.5
1636,607,1,4,0.5
1556,610,1,4,0.5
1555,613,1,4,0.5
1632,616,1,4,0.5
1540,619,1,4,0.5
1707,622,1,4,0.5
1643,625,1,4,0.5
1696,628,1,4,0.5
1595,631,1,4,0.5
1693,634,1,4,0.5
1677,637,1,4,0.5
1567,640,1,4,0.5
1776,643,1,4,0.5
1635,646,1,4,0.5
1712,649,1,4,0.5
1727,652,1,4,0.5
1572,655,1,4,0.5
1541,658,1,4,0.5
1698,661,1,4,0.5
1527,664,1,4,0.5
1758,667,1,4,0.5
1724,670,1,4,0.5
1546,673,1,4,0.5
1727,676,1,4,0.5
1624,679,1,4,0.5
1612,682,1,4,0.5
1586,685,1,4,0.5
1614,688,1,4,0.5
1673,691,1,4,0.5
1748,694,1,4,0.5
1709,697,1,4,0.5
1695,700,1,4,0.5
1538,703,1,4,0.5
1547,706,1,4,0.5
1560,709,1,4,0.5
1622,712,1,4,0.5
1752,715,1,4,0.5
1770,718,1,4,0.5
1625,721,1,4,0.5
1556,724,1,4,0.5
1730,727,1,4,0.5
1599,730,1,4,0.5
1725,733,1,4,0.5
1568,736,1,4,0.5
1680,739,1,4,0.5
1550,742,1,4,0.5
1594,745,1,4,0.5
1616,748,1,4,0.5
1719,751,1,4,0.5
1771,754,1,4,0.5
1555,757,1,4,0.5
1660,760,1,4,0.5
1576,763,1,4,0.5
1527,766,1,4,0.5
1565,769,1,4,0.5
1718,772,1,4,0.5
1671,775,1,4,0.5
1655,778,1,4,0.5
1676,781,1,4,0.5
1694,784,1,4,0.5
1575,787,1,4,0.5
1714,790,1,4,0.5
1554,793,1,4,0.5
1646,796,1,4,0.5
1557,799,1,4,0.5
1609,802,1,4,0.5
1735,805,1,4,0.5
1610,808,1,4,0.5
1653,811,1,4,0.5
1572,814,1,4,0.5
1562,817,1,4,0.5
1682,820,1,4,0.5
1726,823,1,4,0.5
1664,826,1,4,0.5
1544,829,1,4,0.5
1747,832,1,4,0.5
1631,835,1,4,0.5
1745,838,1,4,0.5
1722,841,1,4,0.5
1692,844,1,4,0.5
1686,847,1,4,0.5
1557,850,1,4,0.5
1606,853,1,4,0.5
1614,856,1,4,0.5
1699,859,1,4,0.5
1684,862,1,4,0.5
1760,865,1,4,0.5
1738,868,1,4,0.5
1628,871,1,4,0.5
1655,874,1,4,0.5
1639,877,1,4,0.5
1575,880,1,4,0.5
1660,883,1,4,0.5
1637,886,1,4,0.5
1577,889,1,4,0.5
1529,892,1,4,0.5
1578,895,1,4,0.5
1709,898,1,4,0.5
1589,901,1,4,0.5
1621,904,1,4,0.5
1742,907,1,4,0.5
1607,910,1,4,0.5
1763,913,1,4,0.5
1533,916,1,4,0.5
1634,919,1,4,0.5
1713,922,1,4,0.5
1737,925,1,4,0.5
1624,928,1,4,0.5
1683,931,1,4,0.5
1706,934,1,4,0.5
1740,937,1,4,0.5
1748,940,1,4,0.5
1723,943,1,4,0.5
1630,946,1,4,0.5
1599,949,1,4,0.5
1652,952,1,4,0.5
1728,955,1,4,0.5
1773,958,1,4,0.5
1602,961,1,4,0.5
1600,964,1,4,0.5
1766,967,1,4,0.5
1729,970,1,4,0.5
1607,973,1,4,0.5
1543,976,1,4,0.5
1562,979,1,4,0.5
1645,982,1,4,0.5
1592,985,1,4,0.5
1528,988,1,4,0.5
1618,991,1,4,0.5
1710,994,1,4,0.5
1670,997,1,4,0.5
1581,1000,1,4,0.5
1749,1003,1,4,0.5
1593,1006,1,4,0.5
1761,1009,1,4,0.5
1659,1012,1,4,0.5
1704,1015,1,4,0.5
1776,1018,1,4,0.5
1584,1021,1,4,0.5
1543,1024,1,4,0.5
1608,1027,1,4,0.5
1658,1030,1,4,0.5
1540,1033,1,4,0.5
1657,1036,1,4,0.5
1765,1039,1,4,0.5
1739,1042,1,4,0.5
1535,1045,1,4,0.5
1766,1048,1,4,0.5
1713,1051,1,4,0.5
1532,1054,1,4,0.5
1577,1057,1,4,0.5
1739,1060,1,4,0.5
1585,1063,1,4,0.5
1731,1066,1,4,0.5
1708,1069,1,4,0.5
1714,1072,1,4,0.5
1533,1075,1,4,0.5
1743,1078,1,4,0.5
1535,1081,1,4,0.5
1560,1084,1,4,0.5
1764,1087,1,4,0.5
1653,1090,1,4,0.5
1756,1093,1,4,0.5
1715,1096,1,4,0.5
1552,1099,1,4,0.5
1652,1102,1,4,0.5
1571,1105,1,4,0.5
1623,1108,1,4,0.5
1680,1111,1,4,0.5
1612,1114,1,4,0.5
1531,1117,1,4,0.5
1720,1120,1,4,0.5
1636,1123,1,4,0.5
1626,1126,1,4,0.5
1579,1129,1,4,0.5
1605,1132,1,4,0.5
1594,1135,1,4,0.5
1629,1138,1,4,0.5
1579,1141,1,4,0.5
1695,1144,1,4,0.5
1644,1147,1,4,0.5
1703,1150,1,4,0.5
1597,1153,1,4,0.5
1647,1156,1,4,0.5
1667,1159,1,4,0.5
1666,1162,1,4,0.5
1764,1165,1,4,0.5
1536,1168,1,4,0.5
1674,1171,1,4,0.5
1666,1174,1,4,0.5
1550,1177,1,4,0.5
1679,1180,1,4,0.5
1753,1183,1,4,0.5
1633,1186,1,4,0.5
1696,1189,1,4,0.5
1688,1192,1,4,0.5
1643,1195,1,4,0.5
1775,1198,1,4,0.5
1617,1201,1,4,0.5
1566,1204,1,4,0.5
1698,1207,1,4,0.5
1604,1210,1,4,0.5
1602,1213,1,4,0.5
1741,1216,1,4,0.5
1770,1219,1,4,0.5
1609,1222,1,4,0.5
1568,1225,1,4,0.5
1558,1228,1,4,0.5
1741,1231,1,4,0.5
1767,1234,1,4,0.5
1762,1237,1,4,0.5
1632,1240,1,4,0.5
1615,1243,1,4,0.5
1649,1246,1,4,0.5
1728,1249,1,4,0.5
1669,1252,1,4,0.5
1721,1255,1,4,0.5
