NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1558,4,1,4,0.5
1511,6,1,3,0.25
6,7,1,4,1.0
1552,10,1,4,0.0384615
1628,13,1,4,1.0
1663,16,1,4,0.5
1561,19,1,4,1.0
1638,22,1,4,0.0909091
1570,25,1,4,0.125
1545,27,1,3,0.25
27,28,1,4,1.0
1647,31,1,4,0.3333333
1530,33,1,3,0.2
33,34,1,4,1.0
1559,37,1,4,0.5
1556,40,1,4,0.05
1556,43,1,4,0.05
1687,46,1,4,0.5
1557,49,1,4,0.25
1541,51,1,3,0.2
51,52,1,4,1.0
1573,55,1,4,0.3333333
1530,57,1,3,0.2
57,58,1,4,1.0
1618,61,1,4,0.3333333
1688,64,1,4,0.125
1594,67,1,4,0.3333333
1525,69,1,3,0.3333333
69,70,1,4,1.0
1640,73,1,4,0.1666667
1691,76,1,4,1.0
1614,79,1,4,0.3333333
1572,82,1,4,0.5
1688,85,1,4,0.125
1653,88,1,4,1.0
1649,91,1,4,0.5
1593,94,1,4,0.1111111
1574,97,1,4,1.0
1506,99,1,3,0.3333333
99,100,1,4,1.0
1589,103,1,4,0.3333333
1509,105,1,3,0.2
105,106,1,4,1.0
1679,109,1,4,0.3333333
1556,112,1,4,0.05
1552,115,1,4,0.0384615
1652,118,1,4,0.1666667
1609,121,1,4,0.2
1684,124,1,4,1.0
1595,127,1,4,0.3333333
1572,130,1,4,0.5
1647,133,1,4,0.3333333
1591,136,1,4,0.3333333
1568,139,1,4,0.2
1555,142,1,4,0.1428571
1672,145,1,4,0.2
1619,148,1,4,0.25
1644,151,1,4,1.0
1652,154,1,4,0.1666667
1675,157,1,4,0.0909091
1612,160,1,4,0.25
1587,163,1,4,0.25
1612,166,1,4,0.25
1675,169,1,4,0.0909091
1638,172,1,4,0.0909091
1607,175,1,4,0.25
1648,178,1,4,0.2
1543,180,1,3,0.2
180,181,1,4,1.0
1668,184,1,4,0.5
1552,187,1,4,0.0384615
1590,190,1,4,0.5
1570,193,1,4,0.125
1688,196,1,4,0.125
1509,198,1,3,0.2
198,199,1,4,1.0
1588,202,1,4,0.5
1633,205,1,4,0.0909091
1617,208,1,4,0.25
1604,211,1,4,0.1666667
1613,214,1,4,0.5
1676,217,1,4,0.2
1673,220,1,4,0.5
1664,223,1,4,1.0
1619,226,1,4,0.25
1589,229,1,4,0.3333333
1652,232,1,4,0.1666667
1638,235,1,4,0.0909091
1604,238,1,4,0.1666667
1552,241,1,4,0.0384615
1638,244,1,4,0.0909091
1601,247,1,4,0.5
1648,250,1,4,0.2
1558,253,1,4,0.5
1622,256,1,4,0.1666667
1674,259,1,4,0.125
1596,262,1,4,0.2
1556,265,1,4,0.05
1674,268,1,4,0.125
1509,270,1,3,0.2
270,271,1,4,1.0
1685,274,1,4,0.5
1599,277,1,4,1.0
1658,280,1,4,0.3333333
1689,283,1,4,0.2
1569,286,1,4,0.5
1638,289,1,4,0.0909091
1552,292,1,4,0.0384615
1623,295,1,4,0.5
1687,298,1,4,0.5
1556,301,1,4,0.05
1678,304,1,4,1.0
1556,307,1,4,0.05
1670,310,1,4,1.0
1679,313,1,4,0.3333333
1619,316,1,4,0.25
1519,318,1,3,0.5
318,319,1,4,1.0
1531,321,1,3,0.25
321,322,1,4,1.0
1629,325,1,4,0.5
1552,328,1,4,0.0384615
1593,331,1,4,0.1111111
1591,334,1,4,0.3333333
1689,337,1,4,0.2
1556,340,1,4,0.05
1601,343,1,4,0.5
1543,345,1,3,0.2
345,346,1,4,1.0
1676,349,1,4,0.2
1509,351,1,3,0.2
351,352,1,4,1.0
1556,355,1,4,0.05
1635,358,1,4,0.25
1647,361,1,4,0.3333333
1520,363,1,3,0.25
363,364,1,4,1.0
1680,367,1,4,0.25
1571,370,1,4,0.5
1546,372,1,3,0.25
372,373,1,4,1.0
1548,375,1,3,0.2
375,376,1,4,1.0
1556,379,1,4,0.05
1543,381,1,3,0.2
381,382,1,4,1.0
1612,385,1,4,0.25
1512,387,1,3,0.3333333
387,388,1,4,1.0
1552,391,1,4,0.0384615
1648,394,1,4,0.2
1633,397,1,4,0.0909091
1608,400,1,4,0.2
1675,403,1,4,0.0909091
1689,406,1,4,0.2
1610,409,1,4,0.5
1545,411,1,3,0.25
411,412,1,4,1.0
1659,415,1,4,0.5
1552,418,1,4,0.0384615
1662,421,1,4,1.0
1618,424,1,4,0.3333333
1652,427,1,4,0.1666667
1573,430,1,4,0.3333333
1606,433,1,4,0.25
1578,436,1,4,0.5
1631,439,1,4,0.2
1550,441,1,3,0.2
441,442,1,4,1.0
1543,444,1,3,0.2
444,445,1,4,1.0
1550,447,1,3,0.2
447,448,1,4,1.0
1569,451,1,4,0.5
1643,454,1,4,0.5
1657,457,1,4,1.0
1597,460,1,4,0.25
1615,463,1,4,1.0
1552,466,1,4,0.0384615
1604,469,1,4,0.1666667
1600,472,1,4,0.5
1573,475,1,4,0.3333333
1555,478,1,4,0.1428571
1593,481,1,4,0.1111111
1640,484,1,4,0.1666667
1526,486,1,3,0.25
486,487,1,4,1.0
1682,490,1,4,1.0
1570,493,1,4,0.125
1545,495,1,3,0.25
495,496,1,4,1.0
1596,499,1,4,0.2
1624,502,1,4,0.1111111
1556,505,1,4,0.05
1555,508,1,4,0.1428571
1631,511,1,4,0.2
1638,514,1,4,0.0909091
1616,517,1,4,1.0
1567,520,1,4,0.5
1582,523,1,4,0.3333333
1532,525,1,3,0.5
525,526,1,4,1.0
1521,528,1,3,0.25
528,529,1,4,1.0
1629,532,1,4,0.5
1552,535,1,4,0.0384615
1641,538,1,4,0.5
1554,541,1,4,0.5
1591,544,1,4,0.3333333
1632,547,1,4,0.5
1642,550,1,4,1.0
1548,552,1,3,0.2
552,553,1,4,1.0
1672,556,1,4,0.2
1556,559,1,4,0.05
1576,562,1,4,1.0
1553,565,1,4,0.25
1593,568,1,4,0.1111111
1556,571,1,4,0.05
1592,574,1,4,0.5
1607,577,1,4,0.25
1638,580,1,4,0.0909091
1661,583,1,4,1.0
1689,586,1,4,0.2
1666,589,1,4,0.5
1688,592,1,4,0.125
1685,595,1,4,0.5
1625,598,1,4,0.5
1604,601,1,4,0.1666667
1627,604,1,4,0.5
1564,607,1,4,0.5
1525,609,1,3,0.3333333
609,610,1,4,1.0
1580,613,1,4,1.0
1506,615,1,3,0.3333333
615,616,1,4,1.0
1625,619,1,4,0.5
1675,622,1,4,0.0909091
1550,624,1,3,0.2
624,625,1,4,1.0
1609,628,1,4,0.2
1571,631,1,4,0.5
1608,634,1,4,0.2
1633,637,1,4,0.0909091
1590,640,1,4,0.5
1665,643,1,4,1.0
1547,645,1,3,0.3333333
645,646,1,4,1.0
1674,649,1,4,0.125
1688,652,1,4,0.125
1655,655,1,4,1.0
1556,658,1,4,0.05
1512,660,1,3,0.3333333
660,661,1,4,1.0
1538,663,1,3,0.5
663,664,1,4,1.0
1556,667,1,4,0.05
1612,670,1,4,0.25
1556,673,1,4,0.05
1688,676,1,4,0.125
1598,679,1,4,1.0
1603,682,1,4,0.2
1556,685,1,4,0.05
1667,688,1,4,0.5
1596,691,1,4,0.2
1548,693,1,3,0.2
693,694,1,4,1.0
1675,697,1,4,0.0909091
1608,700,1,4,0.2
1676,703,1,4,0.2
1652,706,1,4,0.1666667
1570,709,1,4,0.125
1575,712,1,4,0.5
1593,715,1,4,0.1111111
1520,717,1,3,0.25
717,718,1,4,1.0
1541,720,1,3,0.2
720,721,1,4,1.0
1577,724,1,4,1.0
1553,727,1,4,0.25
1552,730,1,4,0.0384615
1613,733,1,4,0.5
1589,736,1,4,0.3333333
1638,739,1,4,0.0909091
1550,741,1,3,0.2
741,742,1,4,1.0
1674,745,1,4,0.125
1606,748,1,4,0.25
1614,751,1,4,0.3333333
1646,754,1,4,1.0
1560,757,1,4,1.0
1526,759,1,3,0.25
759,760,1,4,1.0
1559,763,1,4,0.5
1538,765,1,3,0.5
765,766,1,4,1.0
1635,769,1,4,0.25
1614,772,1,4,0.3333333
1596,775,1,4,0.2
1530,777,1,3,0.2
777,778,1,4,1.0
1593,781,1,4,0.1111111
1609,784,1,4,0.2
1557,787,1,4,0.25
1624,790,1,4,0.1111111
1525,792,1,3,0.3333333
792,793,1,4,1.0
1619,796,1,4,0.25
1651,799,1,4,1.0
1605,802,1,4,1.0
1688,805,1,4,0.125
1606,808,1,4,0.25
1539,810,1,3,0.3333333
810,811,1,4,1.0
1656,814,1,4,1.0
1648,817,1,4,0.2
1624,820,1,4,0.1111111
1595,823,1,4,0.3333333
1526,825,1,3,0.25
825,826,1,4,1.0
1624,829,1,4,0.1111111
1595,832,1,4,0.3333333
1587,835,1,4,0.25
1633,838,1,4,0.0909091
1689,841,1,4,0.2
1610,844,1,4,0.5
1637,847,1,4,0.5
1634,850,1,4,0.5
1675,853,1,4,0.0909091
1667,856,1,4,0.5
1512,858,1,3,0.3333333
858,859,1,4,1.0
1640,862,1,4,0.1666667
1672,865,1,4,0.2
1633,868,1,4,0.0909091
1531,870,1,3,0.25
870,871,1,4,1.0
1530,873,1,3,0.2
873,874,1,4,1.0
1683,877,1,4,0.3333333
1557,880,1,4,0.25
1545,882,1,3,0.25
882,883,1,4,1.0
1541,885,1,3,0.2
885,886,1,4,1.0
1552,889,1,4,0.0384615
1631,892,1,4,0.2
1553,895,1,4,0.25
1674,898,1,4,0.125
1658,901,1,4,0.3333333
1541,903,1,3,0.2
903,904,1,4,1.0
1635,907,1,4,0.25
1603,910,1,4,0.2
1604,913,1,4,0.1666667
1631,916,1,4,0.2
1531,918,1,3,0.25
918,919,1,4,1.0
1675,922,1,4,0.0909091
1567,925,1,4,0.5
1597,928,1,4,0.25
1640,931,1,4,0.1666667
1677,934,1,4,1.0
1634,937,1,4,0.5
1548,939,1,3,0.2
939,940,1,4,1.0
1630,943,1,4,0.5
1532,945,1,3,0.5
945,946,1,4,1.0
1552,949,1,4,0.0384615
1679,952,1,4,0.3333333
1690,955,1,4,1.0
1520,957,1,3,0.25
957,958,1,4,1.0
1552,961,1,4,0.0384615
1552,964,1,4,0.0384615
1606,967,1,4,0.25
1556,970,1,4,0.05
1603,973,1,4,0.2
1622,976,1,4,0.1666667
1648,979,1,4,0.2
1645,982,1,4,1.0
1681,985,1,4,0.5
1584,988,1,4,1.0
1597,991,1,4,0.25
1672,994,1,4,0.2
1594,997,1,4,0.3333333
1556,1000,1,4,0.05
1617,1003,1,4,0.25
1676,1006,1,4,0.2
1556,1009,1,4,0.05
1521,1011,1,3,0.25
1011,1012,1,4,1.0
1568,1015,1,4,0.2
1663,1018,1,4,0.5
1552,1021,1,4,0.0384615
1622,1024,1,4,0.1666667
1671,1027,1,4,0.25
1543,1029,1,3,0.2
1029,1030,1,4,1.0
1622,1033,1,4,0.1666667
1526,1035,1,3,0.25
1035,1036,1,4,1.0
1675,1039,1,4,0.0909091
1635,1042,1,4,0.25
1582,1045,1,4,0.3333333
1554,1048,1,4,0.5
1675,1051,1,4,0.0909091
1583,1054,1,4,1.0
1552,1057,1,4,0.0384615
1568,1060,1,4,0.2
1552,1063,1,4,0.0384615
1552,1066,1,4,0.0384615
1675,1069,1,4,0.0909091
1624,1072,1,4,0.1111111
1631,1075,1,4,0.2
1633,1078,1,4,0.0909091
1582,1081,1,4,0.3333333
1570,1084,1,4,0.125
1555,1087,1,4,0.1428571
1511,1089,1,3,0.25
1089,1090,1,4,1.0
1617,1093,1,4,0.25
1624,1096,1,4,0.1111111
1579,1099,1,4,1.0
1539,1101,1,3,0.3333333
1101,1102,1,4,1.0
1588,1105,1,4,0.5
1557,1108,1,4,0.25
1641,1111,1,4,0.5
1603,1114,1,4,0.2
1627,1117,1,4,0.5
1594,1120,1,4,0.3333333
1566,1123,1,4,1.0
1600,1126,1,4,0.5
1555,1129,1,4,0.1428571
1552,1132,1,4,0.0384615
1674,1135,1,4,0.125
1562,1138,1,4,1.0
1552,1141,1,4,0.0384615
1608,1144,1,4,0.2
1686,1147,1,4,1.0
1575,1150,1,4,0.5
1552,1153,1,4,0.0384615
1530,1155,1,3,0.2
1155,1156,1,4,1.0
1640,1159,1,4,0.1666667
1521,1161,1,3,0.25
1161,1162,1,4,1.0
1555,1165,1,4,0.1428571
1585,1168,1,4,0.5
1596,1171,1,4,0.2
1521,1173,1,3,0.25
1173,1174,1,4,1.0
1550,1176,1,3,0.2
1176,1177,1,4,1.0
1639,1180,1,4,1.0
1618,1183,1,4,0.3333333
1565,1186,1,4,1.0
1607,1189,1,4,0.25
1609,1192,1,4,0.2
1650,1195,1,4,1.0
1546,1197,1,3,0.25
1197,1198,1,4,1.0
1541,1200,1,3,0.2
1200,1201,1,4,1.0
1617,1204,1,4,0.25
1568,1207,1,4,0.2
1555,1210,1,4,0.1428571
1675,1213,1,4,0.0909091
1636,1216,1,4,0.5
1520,1218,1,3,0.25
1218,1219,1,4,1.0
1671,1222,1,4,0.25
1587,1225,1,4,0.25
1633,1228,1,4,0.0909091
1633,1231,1,4,0.0909091
1666,1234,1,4,0.5
1674,1237,1,4,0.125
1547,1239,1,3,0.3333333
1239,1240,1,4,1.0
1603,1243,1,4,0.2
1539,1245,1,3,0.3333333
1245,1246,1,4,1.0
1552,1249,1,4,0.0384615
1592,1252,1,4,0.5
