NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1693,4,1,4,0.5
1699,7,1,4,0.3333333
1668,10,1,4,0.047619
1673,13,1,4,1.0
1631,16,1,4,1.0
1692,19,1,4,0.3333333
1703,22,1,4,0.1111111
1647,25,1,4,0.1666667
1657,28,1,4,0.25
1603,31,1,4,0.5
1594,34,1,4,0.3333333
1695,37,1,4,0.5
1575,40,1,4,0.0833333
1669,43,1,4,0.125
1619,46,1,4,0.5
1692,49,1,4,0.3333333
1549,51,1,3,0.25
51,52,1,4,1.0
1658,55,1,4,0.3333333
1593,58,1,4,0.3333333
1720,61,1,4,0.5
1618,64,1,4,0.125
1564,67,1,4,0.5
1547,69,1,3,0.3333333
69,70,1,4,1.0
1637,73,1,4,0.2
1620,76,1,4,0.5
1710,79,1,4,0.3333333
1659,82,1,4,0.5
1618,85,1,4,0.125
1612,88,1,4,0.5
1605,91,1,4,1.0
1701,94,1,4,0.2
1657,97,1,4,0.25
1664,100,1,4,1.0
1557,103,1,4,0.3333333
1596,106,1,4,1.0
1716,109,1,4,1.0
1669,112,1,4,0.125
1575,115,1,4,0.0833333
1560,118,1,4,0.1666667
1532,120,1,3,0.5
120,121,1,4,1.0
1623,124,1,4,1.0
1697,127,1,4,0.3333333
1659,130,1,4,0.5
1603,133,1,4,0.5
1696,136,1,4,0.5
1649,139,1,4,0.25
1670,142,1,4,0.25
1671,145,1,4,0.5
1643,148,1,4,0.1428571
1650,151,1,4,0.5
1613,154,1,4,0.25
1706,157,1,4,0.2
1707,160,1,4,0.5
1560,163,1,4,0.1666667
1711,166,1,4,0.5
1619,169,1,4,0.5
1703,172,1,4,0.1111111
1539,174,1,3,0.25
174,175,1,4,1.0
1602,178,1,4,0.25
1526,180,1,3,0.2
180,181,1,4,1.0
1598,184,1,4,0.3333333
1668,187,1,4,0.047619
1560,190,1,4,0.1666667
1677,193,1,4,1.0
1618,196,1,4,0.125
1594,199,1,4,0.3333333
1513,201,1,3,0.2
201,202,1,4,1.0
1705,205,1,4,0.1666667
1679,208,1,4,0.5
1588,211,1,4,0.3333333
1708,214,1,4,0.5
1556,217,1,4,0.3333333
1554,220,1,4,0.2
1630,223,1,4,1.0
1643,226,1,4,0.1428571
1557,229,1,4,0.3333333
1613,232,1,4,0.25
1703,235,1,4,0.1111111
1588,238,1,4,0.3333333
1668,241,1,4,0.047619
1641,244,1,4,0.5
1569,247,1,4,0.2
1648,250,1,4,0.5
1693,253,1,4,0.5
1704,256,1,4,0.3333333
1552,259,1,4,0.2
1640,262,1,4,0.3333333
1669,265,1,4,0.125
1555,268,1,4,1.0
1592,271,1,4,0.5
1625,274,1,4,0.5
1570,277,1,4,1.0
1597,280,1,4,0.3333333
1621,283,1,4,0.5
1651,286,1,4,0.5
1703,289,1,4,0.1111111
1575,292,1,4,0.0833333
1635,295,1,4,0.3333333
1689,298,1,4,0.25
1573,301,1,4,0.25
1721,304,1,4,0.3333333
1668,307,1,4,0.047619
1684,310,1,4,1.0
1712,313,1,4,1.0
1643,316,1,4,0.1428571
1628,319,1,4,0.5
1513,321,1,3,0.2
321,322,1,4,1.0
1563,325,1,4,1.0
1668,328,1,4,0.047619
1701,331,1,4,0.2
1558,334,1,4,0.5
1617,337,1,4,0.3333333
1669,340,1,4,0.125
1569,343,1,4,0.2
1526,345,1,3,0.2
345,346,1,4,1.0
1556,349,1,4,0.3333333
1595,352,1,4,1.0
1575,355,1,4,0.0833333
1652,358,1,4,0.1666667
1606,361,1,4,1.0
1578,364,1,4,0.3333333
1717,367,1,4,0.25
1650,370,1,4,0.5
1580,373,1,4,0.5
1548,375,1,3,0.2
375,376,1,4,1.0
1668,379,1,4,0.047619
1526,381,1,3,0.2
381,382,1,4,1.0
1707,385,1,4,0.5
1527,387,1,3,0.3333333
387,388,1,4,1.0
1668,391,1,4,0.047619
1602,394,1,4,0.25
1553,397,1,4,0.25
1688,400,1,4,0.25
1633,403,1,4,0.1
1617,406,1,4,0.3333333
1539,408,1,3,0.25
408,409,1,4,1.0
1657,412,1,4,0.25
1515,414,1,3,0.5
414,415,1,4,1.0
1575,418,1,4,0.0833333
1579,421,1,4,0.3333333
1720,424,1,4,0.5
1613,427,1,4,0.25
1658,430,1,4,0.3333333
1587,433,1,4,0.25
1614,436,1,4,0.3333333
1675,439,1,4,0.5
1545,441,1,3,0.25
441,442,1,4,1.0
1526,444,1,3,0.2
444,445,1,4,1.0
1616,448,1,4,0.3333333
1651,451,1,4,0.5
1581,454,1,4,0.3333333
1600,457,1,4,0.3333333
1569,460,1,4,0.2
1562,463,1,4,0.25
1576,466,1,4,0.3333333
1590,469,1,4,0.3333333
1568,472,1,4,0.5
1658,475,1,4,0.3333333
1572,478,1,4,0.3333333
1681,481,1,4,1.0
1637,484,1,4,0.2
1510,486,1,3,0.3333333
486,487,1,4,1.0
1624,490,1,4,1.0
1717,493,1,4,0.25
1657,496,1,4,0.25
1640,499,1,4,0.3333333
1633,502,1,4,0.1
1573,505,1,4,0.25
1572,508,1,4,0.3333333
1672,511,1,4,0.3333333
1703,514,1,4,0.1111111
1709,517,1,4,0.5
1652,520,1,4,0.1666667
1582,523,1,4,1.0
1508,525,1,3,0.5
525,526,1,4,1.0
1535,528,1,3,0.2
528,529,1,4,1.0
1565,532,1,4,1.0
1668,535,1,4,0.047619
1638,538,1,4,1.0
1667,541,1,4,0.3333333
1696,544,1,4,0.5
1655,547,1,4,0.5
1643,550,1,4,0.1428571
1548,552,1,3,0.2
552,553,1,4,1.0
1554,556,1,4,0.2
1669,559,1,4,0.125
1660,562,1,4,1.0
1574,565,1,4,0.25
1701,568,1,4,0.2
1573,571,1,4,0.25
1699,574,1,4,0.3333333
1539,576,1,3,0.25
576,577,1,4,1.0
1703,580,1,4,0.1111111
1601,583,1,4,1.0
1621,586,1,4,0.5
1579,589,1,4,0.3333333
1618,592,1,4,0.125
1625,595,1,4,0.5
1634,598,1,4,0.1428571
1588,601,1,4,0.3333333
1674,604,1,4,1.0
1607,607,1,4,0.5
1547,609,1,3,0.3333333
609,610,1,4,1.0
1614,613,1,4,0.3333333
1663,616,1,4,1.0
1635,619,1,4,0.3333333
1706,622,1,4,0.2
1545,624,1,3,0.25
624,625,1,4,1.0
1532,627,1,3,0.5
627,628,1,4,1.0
1718,631,1,4,0.5
1691,634,1,4,0.5
1705,637,1,4,0.1666667
1559,640,1,4,0.3333333
1627,643,1,4,1.0
1662,646,1,4,0.5
1552,649,1,4,0.2
1618,652,1,4,0.125
1612,655,1,4,0.5
1668,658,1,4,0.047619
1527,660,1,3,0.3333333
660,661,1,4,1.0
1544,663,1,3,0.5
663,664,1,4,1.0
1669,667,1,4,0.125
1711,670,1,4,0.5
1669,673,1,4,0.125
1618,676,1,4,0.125
1571,679,1,4,1.0
1687,682,1,4,0.3333333
1668,685,1,4,0.047619
1685,688,1,4,0.5
1637,691,1,4,0.2
1548,693,1,3,0.2
693,694,1,4,1.0
1553,697,1,4,0.25
1688,700,1,4,0.25
1633,703,1,4,0.1
1613,706,1,4,0.25
1647,709,1,4,0.1666667
1600,712,1,4,0.3333333
1697,715,1,4,0.3333333
1577,718,1,4,0.3333333
1536,720,1,3,0.3333333
720,721,1,4,1.0
1615,724,1,4,1.0
1574,727,1,4,0.25
1668,730,1,4,0.047619
1708,733,1,4,0.5
1557,736,1,4,0.3333333
1703,739,1,4,0.1111111
1616,742,1,4,0.3333333
1552,745,1,4,0.2
1587,748,1,4,0.25
1710,751,1,4,0.3333333
1581,754,1,4,0.3333333
1695,757,1,4,0.5
1510,759,1,3,0.3333333
759,760,1,4,1.0
1559,763,1,4,0.3333333
1544,765,1,3,0.5
765,766,1,4,1.0
1652,769,1,4,0.1666667
1710,772,1,4,0.3333333
1640,775,1,4,0.3333333
1593,778,1,4,0.3333333
1697,781,1,4,0.3333333
1713,784,1,4,0.5
1692,787,1,4,0.3333333
1633,790,1,4,0.1
1547,792,1,3,0.3333333
792,793,1,4,1.0
1643,796,1,4,0.1428571
1604,799,1,4,1.0
1683,802,1,4,1.0
1618,805,1,4,0.125
1587,808,1,4,0.25
1719,811,1,4,1.0
1602,814,1,4,0.25
1648,817,1,4,0.5
1705,820,1,4,0.1666667
1562,823,1,4,0.25
1694,826,1,4,0.5
1633,829,1,4,0.1
1678,832,1,4,1.0
1561,835,1,4,0.5
1704,838,1,4,0.3333333
1617,841,1,4,0.3333333
1589,844,1,4,1.0
1705,847,1,4,0.1666667
1653,850,1,4,0.5
1668,853,1,4,0.047619
1685,856,1,4,0.5
1527,858,1,3,0.3333333
858,859,1,4,1.0
1706,862,1,4,0.2
1671,865,1,4,0.5
1704,868,1,4,0.3333333
1513,870,1,3,0.2
870,871,1,4,1.0
1593,874,1,4,0.3333333
1622,877,1,4,0.3333333
1560,880,1,4,0.1666667
1535,882,1,3,0.2
882,883,1,4,1.0
1549,885,1,3,0.25
885,886,1,4,1.0
1668,889,1,4,0.047619
1672,892,1,4,0.3333333
1574,895,1,4,0.25
1634,898,1,4,0.1428571
1597,901,1,4,0.3333333
1536,903,1,3,0.3333333
903,904,1,4,1.0
1652,907,1,4,0.1666667
1690,910,1,4,0.5
1590,913,1,4,0.3333333
1672,916,1,4,0.3333333
1513,918,1,3,0.2
918,919,1,4,1.0
1553,922,1,4,0.25
1721,925,1,4,0.3333333
1567,928,1,4,1.0
1706,931,1,4,0.2
1721,934,1,4,0.3333333
1653,937,1,4,0.5
1548,939,1,3,0.2
939,940,1,4,1.0
1562,943,1,4,0.25
1508,945,1,3,0.5
945,946,1,4,1.0
1668,949,1,4,0.047619
1715,952,1,4,1.0
1620,955,1,4,0.5
1577,958,1,4,0.3333333
1575,961,1,4,0.0833333
1668,964,1,4,0.047619
1587,967,1,4,0.25
1573,970,1,4,0.25
1691,973,1,4,0.5
1634,976,1,4,0.1428571
1602,979,1,4,0.25
1643,982,1,4,0.1428571
1598,985,1,4,0.3333333
1583,988,1,4,0.5
1569,991,1,4,0.2
1632,994,1,4,0.5
1700,997,1,4,1.0
1575,1000,1,4,0.0833333
1652,1003,1,4,0.1666667
1554,1006,1,4,0.2
1669,1009,1,4,0.125
1535,1011,1,3,0.2
1011,1012,1,4,1.0
1649,1015,1,4,0.25
1629,1018,1,4,1.0
1575,1021,1,4,0.0833333
1634,1024,1,4,0.1428571
1686,1027,1,4,0.3333333
1526,1029,1,3,0.2
1029,1030,1,4,1.0
1634,1033,1,4,0.1428571
1510,1035,1,3,0.3333333
1035,1036,1,4,1.0
1591,1039,1,4,1.0
1652,1042,1,4,0.1666667
1586,1045,1,4,0.5
1667,1048,1,4,0.3333333
1553,1051,1,4,0.25
1583,1054,1,4,0.5
1668,1057,1,4,0.047619
1649,1060,1,4,0.25
1575,1063,1,4,0.0833333
1576,1066,1,4,0.3333333
