NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1797,4,1,4,0.5
1628,7,1,4,0.5
1682,10,1,4,0.5
1599,13,1,4,0.5
1727,16,1,4,0.5
1798,19,1,4,0.5
1613,22,1,4,0.5
1641,25,1,4,0.5
1624,28,1,4,0.5
1577,31,1,4,0.5
1664,34,1,4,0.5
1800,37,1,4,0.5
1642,40,1,4,0.5
1683,43,1,4,0.5
1764,46,1,4,0.5
1798,49,1,4,0.5
1761,52,1,4,0.5
1621,55,1,4,0.5
1666,58,1,4,0.5
1724,61,1,4,0.5
1762,64,1,4,0.5
1769,67,1,4,0.5
1712,70,1,4,0.5
1745,73,1,4,0.5
1741,76,1,4,0.5
1611,79,1,4,0.5
1620,82,1,4,0.5
1743,85,1,4,0.5
1701,88,1,4,0.5
1578,91,1,4,0.5
1790,94,1,4,0.5
1619,97,1,4,0.5
1589,100,1,4,0.5
1757,103,1,4,0.5
1665,106,1,4,0.5
1782,109,1,4,0.5
1733,112,1,4,0.5
1687,115,1,4,0.5
1657,118,1,4,0.5
1751,121,1,4,0.5
1571,124,1,4,0.5
1787,127,1,4,0.5
1617,130,1,4,0.5
1577,133,1,4,0.5
1713,136,1,4,0.5
1641,139,1,4,0.5
1576,142,1,4,0.5
1708,145,1,4,0.5
1570,148,1,4,0.5
1621,151,1,4,0.5
1661,154,1,4,0.5
1563,157,1,4,0.5
1694,160,1,4,0.5
1774,163,1,4,0.5
1737,166,1,4,0.5
1764,169,1,4,0.5
1648,172,1,4,0.5
1747,175,1,4,0.5
1581,178,1,4,0.5
1622,181,1,4,0.5
1670,184,1,4,0.5
1602,187,1,4,0.5
1660,190,1,4,0.5
1638,193,1,4,0.5
1771,196,1,4,0.5
1664,199,1,4,0.5
1714,202,1,4,0.5
1681,205,1,4,0.5
1722,208,1,4,0.5
1707,211,1,4,0.5
1611,214,1,4,0.5
1564,217,1,4,0.5
1696,220,1,4,0.5
1727,223,1,4,0.5
1567,226,1,4,0.5
1757,229,1,4,0.5
1700,232,1,4,0.5
1648,235,1,4,0.5
1710,238,1,4,0.5
1685,241,1,4,0.5
1744,244,1,4,0.5
1596,247,1,4,0.5
1637,250,1,4,0.5
1797,253,1,4,0.5
1793,256,1,4,0.5
1703,259,1,4,0.5
1616,262,1,4,0.5
1734,265,1,4,0.5
1566,268,1,4,0.5
1662,271,1,4,0.5
1569,274,1,4,0.5
1594,277,1,4,0.5
1633,280,1,4,0.5
1768,283,1,4,0.5
1640,286,1,4,0.5
1614,289,1,4,0.5
1644,292,1,4,0.5
