NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1613,4,1,4,0.5
1695,7,1,4,0.5
1646,10,1,4,0.5
1611,13,1,4,0.5
1638,16,1,4,0.5
1729,19,1,4,0.5
1557,22,1,4,0.5
1778,25,1,4,0.5
1572,28,1,4,0.5
1632,31,1,4,0.5
1625,34,1,4,0.5
1728,37,1,4,0.5
1765,40,1,4,0.5
1644,43,1,4,0.5
1610,46,1,4,0.5
1752,49,1,4,0.5
1724,52,1,4,0.5
1576,55,1,4,0.5
1623,58,1,4,0.5
1726,61,1,4,0.5
1701,64,1,4,0.5
1608,67,1,4,0.5
1704,70,1,4,0.5
1679,73,1,4,0.5
1609,76,1,4,0.5
1748,79,1,4,0.5
1574,82,1,4,0.5
1678,85,1,4,0.5
1767,88,1,4,0.5
1767,91,1,4,0.5
1717,94,1,4,0.5
1575,97,1,4,0.5
1686,100,1,4,0.5
1569,103,1,4,0.5
1626,106,1,4,0.5
1619,109,1,4,0.5
1743,112,1,4,0.5
1761,115,1,4,0.5
1753,118,1,4,0.5
1620,121,1,4,0.5
1601,124,1,4,0.5
1790,127,1,4,0.5
1574,130,1,4,0.5
1632,133,1,4,0.5
1756,136,1,4,0.5
1785,139,1,4,0.5
1646,142,1,4,0.5
1664,145,1,4,0.5
1733,148,1,4,0.5
1782,151,1,4,0.5
1600,154,1,4,0.5
1714,157,1,4,0.5
1711,160,1,4,0.5
1568,163,1,4,0.5
1711,166,1,4,0.5
1738,169,1,4,0.5
1558,172,1,4,0.5
1621,175,1,4,0.5
1771,178,1,4,0.5
1729,181,1,4,0.5
1648,184,1,4,0.5
1742,187,1,4,0.5
1567,190,1,4,0.5
1690,193,1,4,0.5
1766,196,1,4,0.5
1625,199,1,4,0.5
1754,202,1,4,0.5
1775,205,1,4,0.5
1719,208,1,4,0.5
1564,211,1,4,0.5
1710,214,1,4,0.5
1795,217,1,4,0.5
1660,220,1,4,0.5
1638,223,1,4,0.5
1735,226,1,4,0.5
1569,229,1,4,0.5
1706,232,1,4,0.5
1558,235,1,4,0.5
1563,238,1,4,0.5
1645,241,1,4,0.5
1680,244,1,4,0.5
1605,247,1,4,0.5
1633,250,1,4,0.5
1768,253,1,4,0.5
1739,256,1,4,0.5
1796,259,1,4,0.5
1789,262,1,4,0.5
1591,265,1,4,0.5
1792,268,1,4,0.5
1622,271,1,4,0.5
1722,274,1,4,0.5
1604,277,1,4,0.5
1777,280,1,4,0.5
1607,283,1,4,0.5
1779,286,1,4,0.5
1557,289,1,4,0.5
1589,292,1,4,0.5
1593,295,1,4,0.5
1697,298,1,4,0.5
1759,301,1,4,0.5
1687,304,1,4,0.5
1741,307,1,4,0.5
1676,310,1,4,0.5
1619,313,1,4,0.5
1735,316,1,4,0.5
1553,319,1,4,0.5
1577,322,1,4,0.5
1747,325,1,4,0.5
1742,328,1,4,0.5
1787,331,1,4,0.5
1756,334,1,4,0.5
1697,337,1,4,0.5
1668,340,1,4,0.5
1605,343,1,4,0.5
1728,346,1,4,0.5
1793,349,1,4,0.5
1622,352,1,4,0.5
1761,355,1,4,0.5
1718,358,1,4,0.5
1771,361,1,4,0.5
1731,364,1,4,0.5
1691,367,1,4,0.5
1782,370,1,4,0.5
1556,373,1,4,0.5
1696,376,1,4,0.5
1588,379,1,4,0.5
1727,382,1,4,0.5
1751,385,1,4,0.5
1657,388,1,4,0.5
1663,391,1,4,0.5
1770,394,1,4,0.5
1715,397,1,4,0.5
1627,400,1,4,0.5
1662,403,1,4,0.5
1698,406,1,4,0.5
1629,409,1,4,0.5
1573,412,1,4,0.5
1794,415,1,4,0.5
1588,418,1,4,0.5
1637,421,1,4,0.5
1736,424,1,4,0.5
1770,427,1,4,0.5
1572,430,1,4,0.5
1658,433,1,4,0.5
1768,436,1,4,0.5
1653,439,1,4,0.5
1599,442,1,4,0.5
1730,445,1,4,0.5
1705,448,1,4,0.5
1784,451,1,4,0.5
1555,454,1,4,0.5
1781,457,1,4,0.5
1603,460,1,4,0.5
1710,463,1,4,0.5
1764,466,1,4,0.5
1565,469,1,4,0.5
1602,472,1,4,0.5
1576,475,1,4,0.5
1760,478,1,4,0.5
1788,481,1,4,0.5
1559,484,1,4,0.5
1613,487,1,4,0.5
