TIPO,CASO,FALHA,TESTE,NPOSTOS,PERC.ENA
avaliaArvoresRepresentativo/A_50_5_2,BKAssimetrico,hypotesis_mean,FALHOU_AO_MENOS_UMTESTE,2.0,0.26
avaliaArvoresRepresentativo/A_50_5_2,BKSimetrico,hypotesis_mean,FALHOU_AO_MENOS_UMTESTE,21.0,30.76
avaliaArvoresRepresentativo/A_50_5_2,KMeansAssimetricoProb,hypotesis_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_50_5_2,KMeansSimetricoProbQuad,hypotesis_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_50_5_2,NeuralGas,hypotesis_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_50_5_2,NeuralGasSimetrico,hypotesis_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_50_5_2,BKAssimetrico,hypotesis_variance,FALHOU_AO_MENOS_UMTESTE,4.0,12.63
avaliaArvoresRepresentativo/A_50_5_2,BKSimetrico,hypotesis_variance,FALHOU_AO_MENOS_UMTESTE,8.0,10.4
avaliaArvoresRepresentativo/A_50_5_2,KMeansAssimetricoProb,hypotesis_variance,FALHOU_AO_MENOS_UMTESTE,4.0,15.67
avaliaArvoresRepresentativo/A_50_5_2,KMeansSimetricoProbQuad,hypotesis_variance,FALHOU_AO_MENOS_UMTESTE,8.0,16.37
avaliaArvoresRepresentativo/A_50_5_2,NeuralGas,hypotesis_variance,FALHOU_AO_MENOS_UMTESTE,17.0,33.83
avaliaArvoresRepresentativo/A_50_5_2,NeuralGasSimetrico,hypotesis_variance,FALHOU_AO_MENOS_UMTESTE,27.0,38.04
avaliaArvoresRepresentativo/A_50_5_2,BKAssimetrico,mean_limite,FALHOU_AO_MENOS_UMTESTE,23.0,19.28
avaliaArvoresRepresentativo/A_50_5_2,BKSimetrico,mean_limite,FALHOU_AO_MENOS_UMTESTE,77.0,77.94
avaliaArvoresRepresentativo/A_50_5_2,KMeansAssimetricoProb,mean_limite,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_50_5_2,KMeansSimetricoProbQuad,mean_limite,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_50_5_2,NeuralGas,mean_limite,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_50_5_2,NeuralGasSimetrico,mean_limite,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_50_5_2,BKAssimetrico,std_limite,FALHOU_AO_MENOS_UMTESTE,21.0,27.92
avaliaArvoresRepresentativo/A_50_5_2,BKSimetrico,std_limite,FALHOU_AO_MENOS_UMTESTE,69.0,83.09
avaliaArvoresRepresentativo/A_50_5_2,KMeansAssimetricoProb,std_limite,FALHOU_AO_MENOS_UMTESTE,35.0,30.61
avaliaArvoresRepresentativo/A_50_5_2,KMeansSimetricoProbQuad,std_limite,FALHOU_AO_MENOS_UMTESTE,56.00000000000001,60.74
avaliaArvoresRepresentativo/A_50_5_2,NeuralGas,std_limite,FALHOU_AO_MENOS_UMTESTE,40.0,33.1
avaliaArvoresRepresentativo/A_50_5_2,NeuralGasSimetrico,std_limite,FALHOU_AO_MENOS_UMTESTE,96.0,99.83
avaliaArvoresRepresentativo/A_50_5_2,BKAssimetrico,distribution,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_50_5_2,BKSimetrico,distribution,FALHOU_AO_MENOS_UMTESTE,17.0,30.07
avaliaArvoresRepresentativo/A_50_5_2,KMeansAssimetricoProb,distribution,FALHOU_AO_MENOS_UMTESTE,6.0,2.8
avaliaArvoresRepresentativo/A_50_5_2,KMeansSimetricoProbQuad,distribution,FALHOU_AO_MENOS_UMTESTE,12.0,3.54
avaliaArvoresRepresentativo/A_50_5_2,NeuralGas,distribution,FALHOU_AO_MENOS_UMTESTE,4.0,1.97
avaliaArvoresRepresentativo/A_50_5_2,NeuralGasSimetrico,distribution,FALHOU_AO_MENOS_UMTESTE,71.0,68.7
