NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1305,13,1,4,0.1666667
411,91,1,4,0.4444444
1,128,43,2,0.032
128,129,1,3,0.6875
129,130,1,4,0.6363636
936,133,1,4,0.375
1220,168,1,3,0.5454545
168,169,1,4,0.75
1155,229,1,4,0.375
1,233,78,2,0.05
233,234,1,3,0.68
234,235,1,4,0.8823529
1311,253,1,4,0.375
978,316,1,4,0.2857143
1,341,114,2,0.04
341,342,1,3,0.65
342,343,1,4,0.7692308
660,370,1,4,0.5714286
659,390,1,3,0.6818182
390,391,1,4,0.6666667
758,411,1,3,0.6
411,412,1,4,0.5555556
1,422,141,2,0.036
422,423,1,3,0.7222222
423,424,1,4,0.4615385
128,474,1,3,0.3125
474,475,1,4,0.6
1008,514,1,4,0.2916667
1298,543,1,3,0.35
543,544,1,4,0.7142857
939,553,1,4,0.5
1203,568,1,4,0.3846154
1188,601,1,4,0.3076923
1239,616,1,4,0.5
705,625,1,4,0.1818182
1,659,220,2,0.044
659,660,1,3,0.3181818
660,661,1,4,0.4285714
890,669,1,3,0.4666667
669,670,1,4,0.5714286
1,704,235,2,0.042
704,705,1,3,0.5238095
705,706,1,4,0.8181818
1470,724,1,4,0.4
960,730,1,4,0.2352941
1265,744,1,3,0.3636364
744,745,1,4,0.75
1010,747,1,3,0.6086957
747,748,1,4,0.7142857
1422,757,1,4,0.25
1,758,253,2,0.03
758,759,1,3,0.4
759,760,1,4,0.5
759,763,1,4,0.5
891,766,1,4,0.25
669,772,1,4,0.4285714
234,775,1,4,0.1176471
879,793,1,4,0.3
885,796,1,4,0.3
1221,802,1,4,0.1
1,803,268,2,0.054
803,804,1,3,0.7777778
804,805,1,4,0.8095238
804,841,1,4,0.1904762
1266,844,1,4,0.4285714
233,864,1,3,0.32
864,865,1,4,0.75
1296,868,1,4,0.3333333
1356,871,1,4,0.4
1,878,293,2,0.03
878,879,1,3,0.6666667
879,880,1,4,0.7
1,884,295,2,0.032
884,885,1,3,0.625
885,886,1,4,0.7
1,890,297,2,0.03
890,891,1,3,0.5333333
891,892,1,4,0.75
744,898,1,4,0.25
1295,936,1,3,0.3478261
936,937,1,4,0.625
1397,939,1,3,0.3529412
939,940,1,4,0.5
1,944,315,2,0.036
944,945,1,3,0.5555556
945,946,1,4,0.2
1,959,320,2,0.046
959,960,1,3,0.7391304
960,961,1,4,0.7647059
1202,978,1,3,0.35
978,979,1,4,0.7142857
1,1007,336,2,0.074
1007,1008,1,3,0.6486486
1008,1009,1,4,0.7083333
1,1010,337,2,0.046
1010,1011,1,3,0.3913043
1011,1012,1,4,0.4444444
1028,1017,1,3,0.5
1017,1018,1,4,0.7777778
1,1028,343,2,0.036
1028,1029,1,3,0.5
1029,1030,1,4,0.5555556
1443,1048,1,4,0.4545455
1251,1054,1,4,0.375
423,1066,1,4,0.5384615
1238,1080,1,3,0.5
1080,1081,1,4,0.6666667
390,1096,1,4,0.3333333
474,1105,1,4,0.4
803,1119,1,3,0.2222222
1119,1120,1,4,0.6666667
944,1155,1,3,0.4444444
1155,1156,1,4,0.625
1011,1171,1,4,0.5555556
342,1177,1,4,0.2307692
1007,1188,1,3,0.3513514
1188,1189,1,4,0.6923077
1218,1198,1,4,0.5
1,1202,401,2,0.04
1202,1203,1,3,0.65
1203,1204,1,4,0.6153846
704,1206,1,3,0.4761905
1206,1207,1,4,0.8
884,1218,1,3,0.375
1218,1219,1,4,0.5
1,1220,407,2,0.044
1220,1221,1,3,0.4545455
1221,1222,1,4,0.9
1,1238,413,2,0.024
1238,1239,1,3,0.5
1239,1240,1,4,0.5
1310,1251,1,3,0.5
1251,1252,1,4,0.625
1299,1258,1,4,0.5384615
1,1265,422,2,0.044
1265,1266,1,3,0.6363636
1266,1267,1,4,0.5714286
543,1291,1,4,0.2857143
1398,1294,1,4,0.1818182
1,1295,432,2,0.046
1295,1296,1,3,0.6521739
1296,1297,1,4,0.6666667
1,1298,433,2,0.04
1298,1299,1,3,0.65
1299,1300,1,4,0.4615385
959,1305,1,3,0.2608696
1305,1306,1,4,0.8333333
1,1310,437,2,0.032
1310,1311,1,3,0.5
1311,1312,1,4,0.625
1080,1321,1,4,0.3333333
1206,1324,1,4,0.2
747,1330,1,4,0.2857143
864,1333,1,4,0.25
1473,1354,1,4,0.5714286
878,1356,1,3,0.3333333
1356,1357,1,4,0.6
1119,1387,1,4,0.3333333
1,1397,466,2,0.034
1397,1398,1,3,0.6470588
1398,1399,1,4,0.8181818
129,1411,1,4,0.3636364
1,1421,474,2,0.038
1421,1422,1,3,0.4210526
1422,1423,1,4,0.75
1017,1426,1,4,0.2222222
1421,1443,1,3,0.5789474
1443,1444,1,4,0.5454545
1029,1447,1,4,0.4444444
168,1453,1,4,0.25
945,1465,1,4,0.8
422,1470,1,3,0.2777778
1470,1471,1,4,0.6
341,1473,1,3,0.35
1473,1474,1,4,0.4285714
