NOME_UHE,NO,VAZAO
271,1,1137.118380158522
271,70,4656.0
271,388,1360.0
271,525,4983.0
271,526,3081.0
271,529,1683.0
271,661,1433.0
271,793,4327.0
271,802,1026.0
271,859,1380.0
271,945,4833.0
271,946,2732.0
271,1012,1635.0
271,1156,6188.0
285,1,22887.37867495273
285,70,24349.0
285,388,24161.0
285,525,23425.0
285,526,24096.0
285,529,23975.0
285,661,24060.0
285,793,24402.0
285,802,23919.0
285,859,24258.0
285,945,23382.0
285,946,23957.0
285,1012,24032.0
285,1156,24092.0
273,1,274.4823865115581
273,70,1980.0
273,388,585.0
273,525,1887.0
273,526,1295.0
273,529,1106.0
273,661,556.0
273,793,1671.0
273,802,506.0
273,859,559.0
273,945,2018.0
273,946,1114.0
273,1012,1060.0
273,1156,5757.0
257,1,261.8139686725631
257,70,1888.0
257,388,558.0
257,525,1800.0
257,526,1235.0
257,529,1055.0
257,661,531.0
257,793,1593.0
257,802,483.0
257,859,533.0
257,945,1925.0
257,946,1062.0
257,1012,1011.0
257,1156,5491.0
288,1,2897.8215264191904
288,70,5190.0
288,388,6145.0
288,525,4785.0
288,526,8657.0
288,529,4190.0
288,661,5717.0
288,793,5406.0
288,802,3726.0
288,859,6728.0
288,945,5028.0
288,946,9088.0
288,1012,4142.0
288,1156,4482.0
279,1,544.3367533407837
279,70,993.0
279,388,1559.0
279,525,759.0
279,526,868.0
279,529,608.0
279,661,1673.0
279,793,977.0
279,802,1479.0
279,859,1626.0
279,945,738.0
279,946,896.0
279,1012,601.0
279,1156,663.0
287,1,750.1433507225073
287,70,917.0
287,388,768.0
287,525,801.0
287,526,804.0
287,529,714.0
287,661,800.0
287,793,947.0
287,802,673.0
287,859,822.0
287,945,778.0
287,946,820.0
287,1012,663.0
287,1156,573.0
270,1,397.15737729175714
270,70,2126.0
270,388,1219.0
270,525,7061.0
270,526,2473.0
270,529,1172.0
270,661,1194.0
270,793,1902.0
270,802,1613.0
270,859,1098.0
270,945,7662.0
270,946,1803.0
270,1012,1295.0
270,1156,2628.0
227,1,745.2153833783542
227,70,1401.0
227,388,8051.0
227,525,1771.0
227,526,1982.0
227,529,1289.0
227,661,7780.0
227,793,1429.0
227,802,6363.0
227,859,8062.0
227,945,1823.0
227,946,1938.0
227,1012,1290.0
227,1156,1538.0
229,1,1912.145183411491
229,70,2608.0
229,388,13238.0
229,525,3162.0
229,526,3013.0
229,529,2007.0
229,661,12637.0
229,793,2623.0
229,802,10997.0
229,859,13981.0
229,945,3122.0
229,946,2915.0
229,1012,2085.0
229,1156,3077.0
275,1,3186.349687288033
275,70,10623.0
275,388,4532.0
275,525,26284.0
275,526,21901.0
275,529,8314.0
275,661,4223.0
275,793,8873.0
275,802,2708.0
275,859,4930.0
275,945,25877.0
275,946,20999.0
275,1012,8245.0
275,1156,10002.0
169,1,931.215823971476
169,70,2539.0
169,388,826.0
169,525,536.0
169,526,508.0
169,529,2018.0
169,661,861.0
169,793,2556.0
169,802,1106.0
169,859,870.0
169,945,470.0
169,946,472.0
169,1012,2036.0
169,1156,3095.0
156,1,458.9027391157509
156,70,1657.0
156,388,495.0
156,525,209.0
156,526,158.0
156,529,1308.0
156,661,659.0
156,793,1478.0
156,802,831.0
156,859,515.0
156,945,178.0
156,946,144.0
156,1012,1247.0
156,1156,1849.0
237,1,198.44351895932417
237,70,169.0
237,388,293.0
237,525,442.0
237,526,240.0
237,529,1203.0
237,661,288.0
237,793,207.0
237,802,212.0
237,859,356.0
237,945,398.0
237,946,225.0
237,1012,1212.0
237,1156,522.0
32,1,49.72075444641993
32,70,140.0
32,388,88.0
32,525,61.0
32,526,49.0
32,529,102.0
32,661,84.0
32,793,132.0
32,802,89.0
32,859,81.0
32,945,54.0
32,946,43.0
32,1012,105.0
32,1156,116.0
61,1,207.5553302865157
61,70,138.0
61,388,183.0
61,525,401.0
61,526,187.0
61,529,562.0
61,661,191.0
61,793,119.0
61,802,140.0
61,859,181.0
61,945,398.0
61,946,172.0
61,1012,512.0
61,1156,280.0
49,1,60.71193494840166
49,70,46.0
49,388,70.0
49,525,106.0
49,526,44.0
49,529,189.0
49,661,106.0
49,793,42.0
49,802,91.0
49,859,87.0
49,945,99.0
49,946,40.0
49,1012,180.0
49,1156,123.0
24,1,211.5082530021833
24,70,1209.0
24,388,1763.0
24,525,215.0
24,526,242.0
24,529,852.0
24,661,2328.0
24,793,1112.0
24,802,2124.0
24,859,1307.0
24,945,196.0
24,946,185.0
24,1012,848.0
24,1156,647.0
6,1,421.6784856888548
6,70,606.0
6,388,482.0
6,525,337.0
6,526,234.0
6,529,2037.0
6,661,609.0
6,793,711.0
6,802,768.0
6,859,510.0
6,945,260.0
6,946,188.0
6,1012,2204.0
6,1156,961.0
34,1,372.19667164650014
34,70,542.0
34,388,360.0
34,525,666.0
34,526,494.0
34,529,532.0
34,661,333.0
34,793,558.0
34,802,288.0
34,859,293.0
34,945,626.0
34,946,450.0
34,1012,551.0
34,1156,679.0
266,1,2181.744345254545
266,70,1869.0
266,388,1512.0
266,525,1896.0
266,526,1809.0
266,529,2035.0
266,661,1544.0
266,793,1906.0
266,802,1444.0
266,859,1622.0
266,945,1941.0
266,946,1756.0
266,1012,2070.0
266,1156,2440.0
31,1,188.7018162843887
31,70,1070.0
31,388,778.0
31,525,189.0
31,526,195.0
31,529,644.0
31,661,780.0
31,793,916.0
31,802,711.0
31,859,565.0
31,945,184.0
31,946,158.0
31,1012,624.0
31,1156,624.0
245,1,381.17625403747473
245,70,522.0
245,388,417.0
245,525,507.0
245,526,457.0
245,529,530.0
245,661,413.0
245,793,580.0
245,802,376.0
245,859,383.0
245,945,512.0
245,946,437.0
245,1012,539.0
245,1156,414.0
47,1,106.87912718970658
47,70,79.0
47,388,126.0
47,525,375.0
47,526,198.0
47,529,338.0
47,661,245.0
47,793,88.0
47,802,161.0
47,859,208.0
47,945,347.0
47,946,177.0
47,1012,334.0
47,1156,217.0
8,1,25.209505904841016
8,70,44.0
8,388,46.0
8,525,27.0
8,526,20.0
8,529,81.0
8,661,43.0
8,793,38.0
8,802,42.0
