NOME_UHE,NO,VAZAO
271,1,1137.118380158522
271,13,2439.0
271,91,1024.0
271,128,2448.0
271,129,1806.0
271,130,2382.0
271,133,2965.0
271,168,674.0
271,169,545.0
271,229,7502.0
271,233,939.0
271,234,1257.0
271,235,1236.0
271,253,3795.0
271,316,5684.0
271,342,2015.0
271,343,2241.0
271,370,2216.0
271,390,1067.0
271,391,705.0
271,411,2412.0
271,412,1998.0
271,422,1010.0
271,423,1277.0
271,424,1454.0
271,474,5327.0
271,475,6140.0
271,514,1238.0
271,543,3675.0
271,544,2419.0
271,553,1421.0
271,568,2227.0
271,601,2564.0
271,616,3530.0
271,625,3118.0
271,660,890.0
271,661,1433.0
271,669,2377.0
271,670,4398.0
271,704,3305.0
271,705,3994.0
271,706,4405.0
271,724,5035.0
271,730,846.0
271,744,3487.0
271,745,3791.0
271,747,2831.0
271,748,2109.0
271,757,7304.0
271,759,3449.0
271,760,3637.0
271,763,2873.0
271,766,1224.0
271,772,3223.0
271,775,1634.0
271,793,4327.0
271,796,3517.0
271,802,1026.0
271,804,506.0
271,805,983.0
271,841,1722.0
271,844,1432.0
271,864,1922.0
271,865,2422.0
271,868,635.0
271,871,3983.0
271,879,2882.0
271,880,1672.0
271,885,1978.0
271,886,1998.0
271,891,642.0
271,892,1106.0
271,898,4441.0
271,936,2919.0
271,937,3499.0
271,939,1308.0
271,940,1760.0
271,945,4833.0
271,946,2732.0
271,960,769.0
271,961,809.0
271,978,3285.0
271,979,3690.0
271,1008,1289.0
271,1009,2184.0
271,1011,1177.0
271,1012,1635.0
271,1017,4486.0
271,1018,7585.0
271,1029,2794.0
271,1030,2037.0
271,1048,4489.0
271,1054,1447.0
271,1066,682.0
271,1080,807.0
271,1081,650.0
271,1096,1175.0
271,1105,3486.0
271,1119,2400.0
271,1120,2541.0
271,1155,6050.0
271,1156,6188.0
271,1171,1803.0
271,1177,4729.0
271,1188,752.0
271,1189,767.0
271,1198,3053.0
271,1203,961.0
271,1204,698.0
271,1206,1203.0
271,1207,1092.0
271,1218,3736.0
271,1219,3926.0
271,1221,1024.0
271,1222,1774.0
271,1239,4215.0
271,1240,4060.0
271,1251,821.0
271,1252,723.0
271,1258,1179.0
271,1266,1808.0
271,1267,2341.0
271,1291,4904.0
271,1294,7335.0
271,1296,1187.0
271,1297,1769.0
271,1298,6012.0
271,1299,4663.0
271,1300,2767.0
271,1305,1074.0
271,1306,1564.0
271,1311,4051.0
271,1312,7470.0
271,1321,1907.0
271,1324,1570.0
271,1330,2016.0
271,1333,2264.0
271,1354,1382.0
271,1356,4349.0
271,1357,2343.0
271,1387,1993.0
271,1398,1682.0
271,1399,1583.0
271,1411,3733.0
271,1422,4917.0
271,1423,4901.0
271,1426,6892.0
271,1443,3624.0
271,1444,5666.0
271,1447,2116.0
271,1453,2457.0
271,1465,1358.0
271,1470,3249.0
271,1471,4986.0
271,1473,1781.0
271,1474,1250.0
285,1,22887.37867495273
285,13,24009.0
285,91,23536.0
285,128,22848.0
285,129,23459.0
285,130,24160.0
285,133,23764.0
285,168,23316.0
285,169,23740.0
285,229,23971.0
285,233,22872.0
285,234,23556.0
285,235,24438.0
285,253,23972.0
285,316,23536.0
285,342,23636.0
285,343,24554.0
285,370,23949.0
285,390,23240.0
285,391,23564.0
285,411,23562.0
285,412,24426.0
285,422,22830.0
285,423,23409.0
285,424,24095.0
285,474,23530.0
285,475,24257.0
285,514,24149.0
285,543,23516.0
285,544,24245.0
285,553,23586.0
285,568,24254.0
285,601,24436.0
285,616,24160.0
285,625,24807.0
285,660,23340.0
285,661,24060.0
285,669,23283.0
285,670,23679.0
285,704,22836.0
285,705,23436.0
285,706,24134.0
285,724,24201.0
285,730,23037.0
285,744,23331.0
285,745,23753.0
285,747,23454.0
285,748,24093.0
285,757,24540.0
285,759,23391.0
285,760,23945.0
285,763,25036.0
285,766,24421.0
285,772,23786.0
285,775,23948.0
285,793,24402.0
285,796,24059.0
285,802,23919.0
285,804,23423.0
285,805,24013.0
285,841,24211.0
285,844,23480.0
285,864,23238.0
285,865,23625.0
285,868,24063.0
285,871,23312.0
285,879,23522.0
285,880,24254.0
285,885,23349.0
285,886,23793.0
285,891,23624.0
285,892,24578.0
285,898,23770.0
285,936,23434.0
285,937,24096.0
285,939,23288.0
285,940,23627.0
285,945,23382.0
285,946,23957.0
285,960,23256.0
285,961,23591.0
285,978,23301.0
285,979,23770.0
285,1008,23264.0
285,1009,23665.0
285,1011,23414.0
285,1012,24032.0
285,1017,23403.0
285,1018,23971.0
285,1029,23677.0
285,1030,24713.0
285,1048,24048.0
285,1054,23985.0
285,1066,24927.0
285,1080,23507.0
285,1081,24211.0
285,1096,24332.0
285,1105,23387.0
285,1119,23580.0
285,1120,24440.0
285,1155,23486.0
285,1156,24092.0
285,1171,25326.0
285,1177,24044.0
285,1188,23395.0
285,1189,23963.0
285,1198,23490.0
285,1203,23388.0
285,1204,23875.0
285,1206,23344.0
285,1207,23827.0
285,1218,23409.0
285,1219,23996.0
285,1221,23311.0
285,1222,23712.0
285,1239,23555.0
285,1240,24421.0
285,1251,23368.0
285,1252,23899.0
285,1258,23595.0
285,1266,23304.0
285,1267,23709.0
285,1291,23736.0
285,1294,24810.0
285,1296,23321.0
285,1297,23802.0
285,1298,22853.0
285,1299,23572.0
285,1300,24500.0
285,1305,23150.0
285,1306,23347.0
285,1311,23377.0
285,1312,23847.0
285,1321,23911.0
285,1324,24271.0
285,1330,23840.0
285,1333,23704.0
285,1354,24436.0
285,1356,23184.0
285,1357,23283.0
285,1387,23824.0
285,1398,23461.0
285,1399,24129.0
285,1411,24257.0
285,1422,23534.0
285,1423,24318.0
285,1426,23871.0
285,1443,23349.0
285,1444,23822.0
285,1447,23830.0
285,1453,23619.0
285,1465,24510.0
285,1470,23564.0
285,1471,24447.0
285,1473,23557.0
285,1474,24473.0
273,1,274.4823865115581
273,13,723.0
273,91,171.0
273,128,960.0
273,129,601.0
273,130,608.0
273,133,1540.0
273,168,130.0
273,169,81.0
273,229,9030.0
273,233,166.0
273,234,331.0
273,235,300.0
273,253,2952.0
273,316,1361.0
273,342,376.0
273,343,583.0
273,370,586.0
273,390,273.0
273,391,200.0
273,411,1226.0
273,412,798.0
273,422,158.0
273,423,162.0
273,424,121.0
273,474,3113.0
273,475,4526.0
273,514,193.0
273,543,1515.0
273,544,1196.0
273,553,186.0
273,568,430.0
273,601,1114.0
273,616,1632.0
273,625,820.0
273,660,417.0
273,661,556.0
273,669,955.0
273,670,4090.0
273,704,560.0
273,705,1285.0
273,706,2642.0
273,724,1939.0
273,730,106.0
273,744,682.0
273,745,1368.0
273,747,470.0
273,748,527.0
273,757,4278.0
273,759,3483.0
273,760,3463.0
273,763,1395.0
273,766,221.0
273,772,2178.0
273,775,365.0
273,793,1671.0
273,796,1217.0
273,802,506.0
273,804,59.0
273,805,143.0
273,841,585.0
273,844,160.0
273,864,428.0
273,865,436.0
273,868,154.0
273,871,1381.0
273,879,695.0
273,880,344.0
273,885,293.0
273,886,406.0
273,891,110.0
273,892,219.0
273,898,3422.0
273,936,2358.0
273,937,3036.0
273,939,183.0
273,940,509.0
273,945,2018.0
273,946,1114.0
273,960,175.0
273,961,200.0
273,978,832.0
273,979,1385.0
273,1008,177.0
273,1009,192.0
273,1011,966.0
273,1012,1060.0
273,1017,4446.0
273,1018,8305.0
273,1029,1277.0
273,1030,1179.0
273,1048,1576.0
273,1054,287.0
273,1066,42.0
273,1080,82.0
273,1081,49.0
273,1096,360.0
273,1105,870.0
273,1119,741.0
273,1120,762.0
273,1155,5425.0
273,1156,5757.0
273,1171,880.0
