NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
890,12,1,3,0.1
12,13,1,4,1.0
1268,18,1,3,0.0222222
18,19,1,4,1.0
1092,25,1,4,0.3333333
1155,34,1,4,0.25
543,49,1,4,0.3333333
1155,58,1,4,0.25
423,61,1,4,0.5
792,70,1,4,0.5
1170,73,1,4,0.1666667
1143,76,1,4,0.3333333
794,90,1,3,0.0697674
90,91,1,4,0.6666667
1311,106,1,4,0.25
960,115,1,4,0.1428571
795,124,1,4,0.1428571
1398,127,1,4,0.2
1,128,43,2,0.052
128,129,1,3,0.1538462
129,130,1,4,0.75
794,132,1,3,0.0697674
132,133,1,4,0.6666667
600,142,1,4,0.25
1050,157,1,4,0.2
669,160,1,4,0.25
1224,163,1,4,0.5
669,166,1,4,0.25
803,168,1,3,0.1
168,169,1,4,0.6666667
1377,175,1,4,0.3333333
978,178,1,4,0.2
1155,199,1,4,0.25
1356,202,1,4,0.3333333
1170,214,1,4,0.1666667
1268,228,1,3,0.0666667
228,229,1,4,1.0
1,233,78,2,0.126
233,234,1,3,0.1111111
234,235,1,4,0.7142857
978,250,1,4,0.2
1268,252,1,3,0.0666667
252,253,1,4,0.6666667
672,256,1,4,0.25
1485,268,1,4,0.2
342,277,1,4,0.1
840,283,1,4,0.25
132,286,1,4,0.3333333
1164,298,1,4,0.2
803,306,1,3,0.1666667
306,307,1,4,0.4
1221,310,1,4,0.1111111
1265,312,1,3,0.0487805
312,313,1,4,1.0
794,315,1,3,0.0465116
315,316,1,4,1.0
870,322,1,4,0.5
668,324,1,3,0.1
324,325,1,4,1.0
1176,334,1,4,0.25
1,341,114,2,0.026
341,342,1,3,0.7692308
342,343,1,4,0.7
1311,352,1,4,0.25
756,361,1,4,0.5
1374,364,1,4,0.3333333
1397,369,1,3,0.1363636
369,370,1,4,0.6666667
669,385,1,4,0.25
660,388,1,4,0.3333333
683,390,1,3,0.0877193
390,391,1,4,1.0
705,394,1,4,0.2
495,412,1,4,0.5
794,423,1,3,0.0465116
423,424,1,4,0.5
1028,444,1,3,0.2222222
444,445,1,4,1.0
1485,451,1,4,0.2
1005,457,1,4,0.3333333
128,474,1,3,0.1153846
474,475,1,4,1.0
566,480,1,3,0.15
480,481,1,4,0.6666667
1164,484,1,4,0.2
1104,490,1,4,0.5
1397,492,1,3,0.0909091
492,493,1,4,1.0
128,495,1,3,0.1538462
495,496,1,4,0.5
1095,502,1,4,0.1666667
306,505,1,4,0.4
683,507,1,3,0.0877193
507,508,1,4,0.4
233,513,1,3,0.0634921
513,514,1,4,0.75
1101,517,1,4,0.3333333
795,520,1,4,0.1428571
1080,523,1,4,0.3333333
945,526,1,4,0.5
1422,532,1,4,0.2
804,535,1,4,0.0833333
864,538,1,4,0.25
1268,543,1,3,0.0666667
543,544,1,4,0.6666667
795,550,1,4,0.1428571
938,552,1,3,0.2222222
552,553,1,4,1.0
1,566,189,2,0.04
566,567,1,3,0.25
567,568,1,4,1.0
684,571,1,4,0.125
1443,583,1,4,0.3333333
507,586,1,4,0.2
804,592,1,4,0.1666667
794,594,1,3,0.0465116
594,595,1,4,1.0
1296,598,1,4,0.125
1265,600,1,3,0.097561
600,601,1,4,0.75
891,604,1,4,0.1428571
1355,609,1,3,0.1111111
609,610,1,4,1.0
1446,613,1,4,0.25
1238,615,1,3,0.5
615,616,1,4,1.0
1485,619,1,4,0.2
1268,624,1,3,0.0444444
624,625,1,4,1.0
1265,627,1,3,0.0487805
627,628,1,4,1.0
1293,631,1,4,0.5
1017,643,1,4,0.25
744,649,1,4,0.25
1497,655,1,4,0.25
1,659,220,2,0.006
659,660,1,3,1.0
660,661,1,4,0.3333333
1,668,223,2,0.02
668,669,1,3,0.4
669,670,1,4,0.25
683,672,1,3,0.0701754
672,673,1,4,0.75
342,679,1,4,0.1
1,683,228,2,0.114
683,684,1,3,0.1403509
684,685,1,4,0.375
1095,697,1,4,0.1666667
683,702,1,3,0.0350877
702,703,1,4,1.0
1268,705,1,3,0.1111111
705,706,1,4,0.8
1149,712,1,4,0.5
1362,715,1,4,0.3333333
1268,723,1,3,0.0222222
723,724,1,4,1.0
1305,727,1,4,0.25
683,729,1,3,0.0701754
729,730,1,4,0.75
233,744,1,3,0.0634921
744,745,1,4,0.5
233,747,1,3,0.0634921
747,748,1,4,1.0
771,751,1,4,0.3333333
129,754,1,4,0.25
1268,756,1,3,0.0444444
756,757,1,4,0.5
1028,759,1,3,0.3333333
759,760,1,4,1.0
1268,762,1,3,0.0666667
762,763,1,4,0.6666667
1079,765,1,3,0.2
765,766,1,4,1.0
1002,769,1,4,0.3333333
668,771,1,3,0.3
771,772,1,4,0.6666667
566,774,1,3,0.1
774,775,1,4,1.0
90,787,1,4,0.3333333
1355,792,1,3,0.2222222
792,793,1,4,0.5
1,794,265,2,0.086
794,795,1,3,0.1627907
795,796,1,4,0.2857143
252,799,1,4,0.3333333
1220,801,1,3,0.0833333
801,802,1,4,1.0
1,803,268,2,0.06
803,804,1,3,0.4
804,805,1,4,0.3333333
1101,811,1,4,0.3333333
978,814,1,4,0.2
978,817,1,4,0.2
960,820,1,4,0.1428571
1368,823,1,4,0.5
1028,825,1,3,0.1111111
825,826,1,4,1.0
1398,832,1,4,0.2
803,840,1,3,0.1333333
840,841,1,4,0.75
1265,843,1,3,0.0487805
843,844,1,4,1.0
1296,847,1,4,0.25
660,859,1,4,0.3333333
684,862,1,4,0.125
233,864,1,3,0.0634921
864,865,1,4,0.5
233,867,1,3,0.0793651
867,868,1,4,0.6
1355,870,1,3,0.2222222
870,871,1,4,0.5
1154,873,1,3,0.2
873,874,1,4,1.0
1470,877,1,4,0.3333333
1497,880,1,4,0.25
1422,883,1,4,0.2
1268,885,1,3,0.0444444
885,886,1,4,1.0
1,890,297,2,0.02
890,891,1,3,0.7
891,892,1,4,0.5714286
1485,898,1,4,0.2
1422,901,1,4,0.2
341,903,1,3,0.2307692
903,904,1,4,0.6666667
1356,919,1,4,0.3333333
1397,924,1,3,0.0909091
924,925,1,4,1.0
1005,934,1,4,0.3333333
1275,937,1,4,0.5
1,938,313,2,0.018
938,939,1,3,0.3333333
939,940,1,4,0.6666667
1119,943,1,4,0.25
1346,945,1,3,0.25
945,946,1,4,0.5
803,954,1,3,0.0666667
954,955,1,4,1.0
1218,958,1,4,0.3333333
683,960,1,3,0.122807
960,961,1,4,0.4285714
729,964,1,4,0.25
1008,967,1,4,0.1666667
1265,972,1,3,0.0487805
972,973,1,4,1.0
794,978,1,3,0.1162791
978,979,1,4,0.2
795,982,1,4,0.1428571
1476,985,1,4,0.5
1053,988,1,4,0.3333333
1119,997,1,4,0.25
684,1000,1,4,0.375
794,1002,1,3,0.0697674
1002,1003,1,4,0.6666667
1265,1005,1,3,0.0731707
1005,1006,1,4,0.3333333
683,1008,1,3,0.1052632
1008,1009,1,4,0.6666667
1,1010,337,2,0.008
1010,1011,1,3,1.0
1011,1012,1,4,0.5
128,1017,1,3,0.1538462
1017,1018,1,4,0.75
1,1028,343,2,0.018
1028,1029,1,3,0.3333333
1029,1030,1,4,1.0
1296,1033,1,4,0.125
1095,1039,1,4,0.1666667
1008,1048,1,4,0.1666667
233,1050,1,3,0.0793651
1050,1051,1,4,0.8
1079,1053,1,3,0.3
1053,1054,1,4,0.3333333
683,1056,1,3,0.122807
1056,1057,1,4,0.4285714
1413,1060,1,4,0.4
1056,1063,1,4,0.4285714
803,1065,1,3,0.1333333
1065,1066,1,4,1.0
234,1069,1,4,0.1428571
1464,1072,1,4,0.2857143
891,1075,1,4,0.2857143
867,1078,1,4,0.2
1,1079,360,2,0.02
1079,1080,1,3,0.3
1080,1081,1,4,0.6666667
938,1089,1,3,0.1111111
1089,1090,1,4,1.0
1397,1092,1,3,0.1363636
1092,1093,1,4,0.6666667
1295,1095,1,3,0.2608696
1095,1096,1,4,0.5
1268,1098,1,3,0.0222222
1098,1099,1,4,1.0
1397,1101,1,3,0.1363636
1101,1102,1,4,0.3333333
1268,1104,1,3,0.0444444
1104,1105,1,4,0.5
1355,1107,1,3,0.1111111
1107,1108,1,4,1.0
864,1111,1,4,0.25
566,1119,1,3,0.2
1119,1120,1,4,0.5
342,1126,1,4,0.1
507,1129,1,4,0.2
306,1132,1,4,0.2
744,1135,1,4,0.25
1299,1138,1,4,0.3333333
1056,1141,1,4,0.1428571
1265,1143,1,3,0.0731707
1143,1144,1,4,0.6666667
795,1147,1,4,0.1428571
128,1149,1,3,0.0769231
1149,1150,1,4,0.5
1,1154,385,2,0.02
1154,1155,1,3,0.4
1155,1156,1,4,0.25
1170,1159,1,4,0.1666667
1011,1162,1,4,0.25
683,1164,1,3,0.0877193
1164,1165,1,4,0.4
1320,1168,1,4,0.5
233,1170,1,3,0.0952381
1170,1171,1,4,0.5
1011,1174,1,4,0.25
1268,1176,1,3,0.0888889
1176,1177,1,4,0.75
233,1179,1,3,0.015873
1179,1180,1,4,1.0
1371,1183,1,4,0.3333333
1265,1188,1,3,0.0731707
1188,1189,1,4,1.0
1397,1194,1,3,0.0454545
1194,1195,1,4,1.0
1496,1197,1,3,0.2
1197,1198,1,4,1.0
903,1201,1,4,0.3333333
794,1203,1,3,0.0697674
1203,1204,1,4,0.6666667
794,1206,1,3,0.0697674
1206,1207,1,4,1.0
507,1210,1,4,0.2
168,1216,1,4,0.3333333
128,1218,1,3,0.1153846
1218,1219,1,4,0.6666667
1,1220,407,2,0.024
1220,1221,1,3,0.75
1221,1222,1,4,0.6666667
1268,1224,1,3,0.0444444
1224,1225,1,4,0.5
1203,1228,1,4,0.3333333
128,1233,1,3,0.1153846
1233,1234,1,4,1.0
233,1236,1,3,0.031746
1236,1237,1,4,1.0
1,1238,413,2,0.012
1238,1239,1,3,0.5
1239,1240,1,4,1.0
1397,1245,1,3,0.0454545
1245,1246,1,4,1.0
804,1249,1,4,0.1666667
566,1251,1,3,0.15
1251,1252,1,4,1.0
1265,1257,1,3,0.1219512
1257,1258,1,4,0.8
1265,1260,1,3,0.0731707
1260,1261,1,4,1.0
1,1265,422,2,0.082
1265,1266,1,3,0.097561
1266,1267,1,4,0.75
1,1268,423,2,0.09
1268,1269,1,3,0.0888889
1269,1270,1,4,1.0
1295,1275,1,3,0.173913
1275,1276,1,4,0.5
1296,1279,1,4,0.125
960,1282,1,4,0.2857143
1268,1290,1,3,0.0444444
1290,1291,1,4,1.0
1397,1293,1,3,0.0909091
1293,1294,1,4,0.5
1,1295,432,2,0.046
1295,1296,1,3,0.3478261
1296,1297,1,4,0.375
1346,1299,1,3,0.375
1299,1300,1,4,0.6666667
762,1303,1,4,0.3333333
683,1305,1,3,0.0701754
1305,1306,1,4,0.75
1154,1311,1,3,0.4
1311,1312,1,4,0.5
1079,1320,1,3,0.2
1320,1321,1,4,0.5
1421,1323,1,3,0.2857143
1323,1324,1,4,1.0
804,1327,1,4,0.25
233,1329,1,3,0.0634921
1329,1330,1,4,0.75
480,1333,1,4,0.3333333
1257,1339,1,4,0.2
1221,1342,1,4,0.2222222
1446,1345,1,4,0.25
1,1346,449,2,0.016
1346,1347,1,3,0.375
1347,1348,1,4,1.0
369,1351,1,4,0.3333333
1265,1353,1,3,0.0731707
1353,1354,1,4,1.0
1,1355,452,2,0.018
1355,1356,1,3,0.3333333
1356,1357,1,4,0.3333333
566,1362,1,3,0.15
1362,1363,1,4,0.6666667
890,1368,1,3,0.2
1368,1369,1,4,0.5
938,1371,1,3,0.3333333
1371,1372,1,4,0.3333333
128,1374,1,3,0.1153846
1374,1375,1,4,0.6666667
1265,1377,1,3,0.0731707
1377,1378,1,4,0.6666667
668,1386,1,3,0.2
1386,1387,1,4,1.0
1398,1390,1,4,0.2
1268,1395,1,3,0.0222222
1395,1396,1,4,1.0
1,1397,466,2,0.044
1397,1398,1,3,0.2272727
1398,1399,1,4,0.4
939,1402,1,4,0.3333333
1497,1405,1,4,0.25
794,1410,1,3,0.0465116
1410,1411,1,4,1.0
794,1413,1,3,0.1162791
1413,1414,1,4,0.6
233,1416,1,3,0.031746
1416,1417,1,4,1.0
1,1421,474,2,0.014
1421,1422,1,3,0.7142857
1422,1423,1,4,0.4
1496,1425,1,3,0.2
1425,1426,1,4,1.0
513,1432,1,4,0.25
1295,1434,1,3,0.1304348
1434,1435,1,4,1.0
1464,1438,1,4,0.1428571
233,1443,1,3,0.047619
1443,1444,1,4,0.6666667
1268,1446,1,3,0.0888889
1446,1447,1,4,0.5
1329,1450,1,4,0.25
1295,1452,1,3,0.0869565
1452,1453,1,4,1.0
1164,1456,1,4,0.2
1053,1459,1,4,0.3333333
233,1464,1,3,0.1111111
1464,1465,1,4,0.5714286
1470,1468,1,4,0.3333333
794,1470,1,3,0.0697674
1470,1471,1,4,0.3333333
1371,1474,1,4,0.3333333
1265,1476,1,3,0.0487805
1476,1477,1,4,0.5
1266,1480,1,4,0.25
867,1483,1,4,0.2
233,1485,1,3,0.0793651
1485,1486,1,4,0.2
1220,1488,1,3,0.1666667
1488,1489,1,4,1.0
1496,1494,1,3,0.2
1494,1495,1,4,1.0
1,1496,499,2,0.02
1496,1497,1,3,0.4
1497,1498,1,4,0.25
234,1501,1,4,0.1428571
