NOME_UHE,NO,VAZAO
271,1,1137.118380158522
271,13,2439.0
271,28,2123.0
271,31,3001.0
271,46,546.0
271,55,6226.0
271,58,5592.0
271,70,4656.0
271,73,1053.0
271,76,3175.0
271,87,1590.0
271,88,1158.0
271,90,1377.0
271,91,1024.0
271,97,1886.0
271,100,3779.0
271,109,888.0
271,133,2965.0
271,169,545.0
271,174,901.0
271,175,926.0
271,178,3341.0
271,201,5124.0
271,202,2529.0
271,214,1059.0
271,280,4721.0
271,286,3769.0
271,310,3159.0
271,313,741.0
271,318,6977.0
271,319,6921.0
271,322,3348.0
271,334,2407.0
271,346,2500.0
271,363,2150.0
271,364,1274.0
271,373,2694.0
271,375,1035.0
271,376,1449.0
271,388,1360.0
271,412,1998.0
271,430,6502.0
271,441,4342.0
271,442,3455.0
271,445,2302.0
271,448,4227.0
271,472,2253.0
271,475,6140.0
271,496,2012.0
271,517,805.0
271,525,4983.0
271,526,3081.0
271,552,1062.0
271,553,1421.0
271,607,3085.0
271,610,4667.0
271,616,3530.0
271,624,3855.0
271,625,3118.0
271,646,3931.0
271,661,1433.0
271,663,901.0
271,664,1262.0
271,712,1872.0
271,724,5035.0
271,727,1854.0
271,733,704.0
271,742,4494.0
271,754,2418.0
271,765,880.0
271,766,1224.0
271,778,4768.0
271,793,4327.0
271,799,3621.0
271,811,1011.0
271,826,4578.0
271,835,5131.0
271,850,3616.0
271,859,1380.0
271,871,3983.0
271,874,5089.0
271,879,2882.0
271,880,1672.0
271,883,4141.0
271,919,2571.0
271,945,4833.0
271,946,2732.0
271,967,3152.0
271,1033,903.0
271,1090,1334.0
271,1102,850.0
271,1108,3427.0
271,1123,2720.0
271,1126,2194.0
271,1138,2859.0
271,1150,2026.0
271,1159,1241.0
271,1177,4729.0
271,1186,2574.0
271,1198,3053.0
271,1240,4060.0
271,1246,1601.0
271,1254,2193.0
271,1255,2061.0
271,1273,3679.0
271,1279,1089.0
271,1291,4904.0
271,1300,2767.0
271,1303,3410.0
271,1320,977.0
271,1321,1907.0
271,1345,1743.0
271,1348,2759.0
271,1356,4349.0
271,1357,2343.0
271,1366,4146.0
271,1377,954.0
271,1378,1006.0
271,1386,2034.0
271,1387,1993.0
271,1396,1625.0
271,1405,1930.0
271,1411,3733.0
271,1423,4901.0
271,1425,6976.0
271,1426,6892.0
271,1450,1924.0
271,1474,1250.0
271,1498,1578.0
285,1,22887.37867495273
285,13,24009.0
285,28,24263.0
285,31,23854.0
285,46,23711.0
285,55,24189.0
285,58,24268.0
285,70,24349.0
285,73,24962.0
285,76,24517.0
285,87,23289.0
285,88,23655.0
285,90,23250.0
285,91,23536.0
285,97,24439.0
285,100,24126.0
285,109,23882.0
285,133,23764.0
285,169,23740.0
285,174,23232.0
285,175,23461.0
285,178,23980.0
285,201,23206.0
285,202,23339.0
285,214,24211.0
285,280,24360.0
285,286,23844.0
285,310,23764.0
285,313,23949.0
285,318,23379.0
285,319,23871.0
285,322,23272.0
285,334,24291.0
285,346,24753.0
285,363,23624.0
285,364,24501.0
285,373,23546.0
285,375,23310.0
285,376,23677.0
285,388,24161.0
285,412,24426.0
285,430,24263.0
285,441,23607.0
285,442,24672.0
285,445,24759.0
285,448,24079.0
285,472,24420.0
285,475,24257.0
285,496,24382.0
285,517,24212.0
285,525,23425.0
285,526,24096.0
285,552,23272.0
285,553,23586.0
285,607,24434.0
285,610,24205.0
285,616,24160.0
285,624,23677.0
285,625,24807.0
285,646,24438.0
285,661,24060.0
285,663,23572.0
285,664,24429.0
285,712,23785.0
285,724,24201.0
285,727,23303.0
285,733,23910.0
285,742,23806.0
285,754,24004.0
285,765,23570.0
285,766,24421.0
285,778,24191.0
285,793,24402.0
285,799,23838.0
285,811,24197.0
285,826,23734.0
285,835,23803.0
285,850,24293.0
285,859,24258.0
285,871,23312.0
285,874,24269.0
285,879,23522.0
285,880,24254.0
285,883,24222.0
285,919,23243.0
285,945,23382.0
285,946,23957.0
285,967,23514.0
285,1033,23372.0
285,1090,24211.0
285,1102,24250.0
285,1108,23643.0
285,1123,24482.0
285,1126,24035.0
285,1138,24336.0
285,1150,23939.0
285,1159,24868.0
285,1177,24044.0
285,1186,24614.0
285,1198,23490.0
285,1240,24421.0
285,1246,24274.0
285,1254,23330.0
285,1255,23817.0
285,1273,24471.0
285,1279,23421.0
285,1291,23736.0
285,1300,24500.0
285,1303,24433.0
285,1320,23376.0
285,1321,23911.0
285,1345,23754.0
285,1348,24477.0
285,1356,23184.0
285,1357,23283.0
285,1366,24319.0
285,1377,23304.0
285,1378,23647.0
285,1386,23332.0
285,1387,23824.0
285,1396,23495.0
285,1405,23953.0
285,1411,24257.0
285,1423,24318.0
285,1425,23379.0
285,1426,23871.0
285,1450,23785.0
285,1474,24473.0
285,1498,23763.0
273,1,274.4823865115581
273,13,723.0
273,28,1044.0
273,31,1657.0
273,46,81.0
273,55,4575.0
273,58,5660.0
273,70,1980.0
273,73,450.0
273,76,1644.0
273,87,401.0
273,88,222.0
273,90,311.0
273,91,171.0
273,97,692.0
273,100,1641.0
273,109,247.0
273,133,1540.0
273,169,81.0
273,174,94.0
273,175,74.0
273,178,2555.0
273,201,1300.0
273,202,656.0
273,214,150.0
273,280,3947.0
273,286,2334.0
273,310,1992.0
273,313,194.0
273,318,7022.0
273,319,7256.0
273,322,951.0
273,334,369.0
273,346,1472.0
273,363,429.0
273,364,219.0
273,373,490.0
273,375,114.0
273,376,181.0
273,388,585.0
273,412,798.0
273,430,4468.0
273,441,1111.0
273,442,796.0
273,445,1393.0
273,448,1273.0
273,472,618.0
273,475,4526.0
273,496,805.0
273,517,85.0
273,525,1887.0
273,526,1295.0
273,552,121.0
273,553,186.0
273,607,1589.0
273,610,1300.0
273,616,1632.0
273,624,1084.0
273,625,820.0
273,646,1845.0
273,661,556.0
273,663,151.0
273,664,236.0
273,712,645.0
273,724,1939.0
273,727,330.0
273,733,222.0
273,742,1658.0
273,754,554.0
273,765,129.0
273,766,221.0
273,778,5494.0
273,793,1671.0
273,799,2984.0
273,811,153.0
273,826,3440.0
273,835,5461.0
273,850,3034.0
273,859,559.0
273,871,1381.0
273,874,5093.0
273,879,695.0
273,880,344.0
273,883,2729.0
273,919,697.0
273,945,2018.0
273,946,1114.0
273,967,592.0
273,1033,57.0
273,1090,275.0
273,1102,116.0
273,1108,1838.0
273,1123,1541.0
273,1126,614.0
273,1138,1471.0
273,1150,617.0
273,1159,633.0
273,1177,1550.0
273,1186,1540.0
273,1198,582.0
273,1240,1844.0
273,1246,299.0
273,1254,439.0
273,1255,343.0
273,1273,1688.0
273,1279,68.0
273,1291,5752.0
273,1300,1578.0
273,1303,1644.0
273,1320,113.0
273,1321,284.0
273,1345,876.0
273,1348,1489.0
273,1356,932.0
273,1357,528.0
273,1366,1912.0
273,1377,77.0
273,1378,93.0
273,1386,438.0
273,1387,342.0
273,1396,173.0
273,1405,385.0
273,1411,2295.0
273,1423,3623.0
273,1425,6973.0
273,1426,7228.0
273,1450,323.0
273,1474,105.0
273,1498,354.0
257,1,261.8139686725631
257,13,689.0
257,28,996.0
257,31,1581.0
257,46,77.0
257,55,4364.0
257,58,5399.0
257,70,1888.0
257,73,429.0
257,76,1568.0
257,87,383.0
257,88,212.0
257,90,296.0
257,91,163.0
257,97,660.0
257,100,1565.0
257,109,236.0
257,133,1469.0
257,169,77.0
257,174,89.0
257,175,71.0
257,178,2437.0
257,201,1240.0
257,202,626.0
257,214,143.0
257,280,3765.0
257,286,2227.0
257,310,1900.0
257,313,185.0
257,318,6698.0
257,319,6922.0
257,322,907.0
257,334,352.0
257,346,1404.0
257,363,409.0
