NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1726,13,1,4,0.5
1724,19,1,4,0.5
1669,25,1,4,0.5
1647,34,1,4,0.5
1724,49,1,4,0.5
1648,58,1,4,0.3333333
1665,61,1,4,0.5
1680,70,1,4,0.5
1633,73,1,4,0.5
1676,76,1,4,0.5
1721,91,1,4,0.6666666
1583,106,1,4,0.5
1725,115,1,4,0.5
1606,124,1,4,0.5
1649,127,1,4,0.1666667
1592,130,1,4,0.75
1722,133,1,4,0.6666666
1602,142,1,4,0.25
1703,157,1,4,0.25
1710,160,1,4,0.5
1629,163,1,4,0.25
1709,166,1,4,0.5
1601,169,1,4,0.5
1676,175,1,4,0.5
1700,178,1,4,0.5
1583,199,1,4,0.5
1682,202,1,4,0.5
1672,214,1,4,0.3333334
1629,229,1,4,0.75
1653,235,1,4,0.7142858
1668,250,1,4,0.5
1610,253,1,4,0.6666666
1639,256,1,4,0.5
1687,268,1,4,0.5
1613,277,1,4,0.5
1725,283,1,4,0.5
1670,286,1,4,0.5
1597,298,1,4,0.3333334
1717,307,1,4,0.6666666
1620,310,1,4,0.5
1644,313,1,4,0.6666666
1627,316,1,4,0.6666666
1590,322,1,4,0.5
1586,325,1,4,0.5
1681,334,1,4,0.3333333
1614,343,1,4,0.875
1584,352,1,4,0.3333333
1700,361,1,4,0.5
1699,364,1,4,0.5
1719,370,1,4,0.5
1710,385,1,4,0.5
1617,388,1,4,0.5
1642,391,1,4,0.625
1638,394,1,4,0.5
1706,412,1,4,0.4
1666,424,1,4,0.5
1632,445,1,4,0.4
1668,451,1,4,0.5
1678,457,1,4,0.5
1706,475,1,4,0.6
1650,481,1,4,0.4
1634,484,1,4,0.3333333
1623,490,1,4,0.5
1674,493,1,4,0.6666667
1705,496,1,4,0.5
1711,502,1,4,0.25
1718,505,1,4,0.6666666
1580,508,1,4,0.4
1703,514,1,4,0.75
1585,517,1,4,0.5
1593,520,1,4,0.5
1708,523,1,4,0.5
1590,526,1,4,0.5
1586,532,1,4,0.5
1598,535,1,4,0.3333334
1673,538,1,4,0.25
1657,544,1,4,0.6666667
1667,550,1,4,0.3333333
1621,553,1,4,0.6666666
1649,568,1,4,0.8333333
1661,571,1,4,0.3333333
1678,583,1,4,0.5
1626,586,1,4,0.3333334
1598,592,1,4,0.6666666
1605,595,1,4,0.6666667
1582,598,1,4,0.5
1607,601,1,4,0.5
1651,604,1,4,0.5
1680,610,1,4,0.5
1637,613,1,4,0.5
1589,616,1,4,0.5
1712,619,1,4,0.5
1683,625,1,4,0.6666666
1675,628,1,4,0.5
1670,631,1,4,0.5
1655,643,1,4,0.3333333
1702,649,1,4,0.5
1637,655,1,4,0.5
1618,661,1,4,0.5
1709,670,1,4,0.5
1641,673,1,4,0.5999999
1613,679,1,4,0.5
1692,685,1,4,0.5
1688,697,1,4,0.3333333
1646,703,1,4,0.6666667
1663,706,1,4,0.5
1643,712,1,4,0.3333334
1621,715,1,4,0.3333334
1638,724,1,4,0.5
1726,727,1,4,0.5
1642,730,1,4,0.375
1645,745,1,4,0.5
1608,748,1,4,0.8
1671,751,1,4,0.3333334
1714,754,1,4,0.5
1658,757,1,4,0.5
1723,760,1,4,0.75
1609,763,1,4,0.6666666
1695,766,1,4,0.6666666
1721,769,1,4,0.3333334
1671,772,1,4,0.6666666
1634,775,1,4,0.6666667
1699,787,1,4,0.5
1679,793,1,4,0.5
1628,796,1,4,0.6666666
1610,799,1,4,0.3333334
1620,802,1,4,0.5
1662,805,1,4,0.5
1685,811,1,4,0.5
1664,814,1,4,0.2499999
1722,817,1,4,0.3333334
1639,820,1,4,0.5
1585,823,1,4,0.5
1723,826,1,4,0.25
1578,832,1,4,0.5
1602,841,1,4,0.75
1635,844,1,4,0.6666667
1640,847,1,4,0.6666667
1617,859,1,4,0.5
1654,862,1,4,0.5
1601,865,1,4,0.5
1596,868,1,4,0.5
1679,871,1,4,0.5
1648,874,1,4,0.6666667
1624,877,1,4,0.5
1631,880,1,4,0.5
1603,883,1,4,0.5
1715,886,1,4,0.6666667
1652,892,1,4,0.6666667
1600,898,1,4,0.3333333
1693,901,1,4,0.3333333
1643,904,1,4,0.6666666
1657,919,1,4,0.3333333
1719,925,1,4,0.5
1644,934,1,4,0.3333334
1581,937,1,4,0.5
1622,940,1,4,0.6666666
1625,943,1,4,0.3333334
1612,946,1,4,0.5
1597,955,1,4,0.6666666
1714,958,1,4,0.5
1579,961,1,4,0.5
1646,964,1,4,0.3333333
1635,967,1,4,0.3333333
1619,973,1,4,0.25
1609,979,1,4,0.3333334
1715,982,1,4,0.3333333
1686,985,1,4,0.3333333
1695,988,1,4,0.3333334
1578,997,1,4,0.5
1691,1000,1,4,0.4285714
1577,1003,1,4,0.5
1616,1006,1,4,0.25
1691,1009,1,4,0.5714286
1604,1012,1,4,0.6666667
1591,1018,1,4,0.5
1632,1030,1,4,0.6
1712,1033,1,4,0.5
1608,1039,1,4,0.2
1718,1048,1,4,0.3333334
1701,1051,1,4,0.6666667
1707,1054,1,4,0.5
1692,1057,1,4,0.5
1720,1060,1,4,0.4
1579,1063,1,4,0.5
1662,1066,1,4,0.5
1654,1069,1,4,0.5
1660,1072,1,4,0.6666667
1652,1075,1,4,0.3333333
1582,1078,1,4,0.5
1696,1081,1,4,0.6666666
1698,1090,1,4,0.5
1577,1093,1,4,0.5
1659,1096,1,4,0.4285714
1658,1099,1,4,0.5
1698,1102,1,4,0.5
1630,1105,1,4,0.5
1631,1108,1,4,0.5
1660,1111,1,4,0.3333333
1625,1120,1,4,0.6666666
1614,1126,1,4,0.125
1717,1129,1,4,0.3333334
1587,1132,1,4,0.25
1687,1135,1,4,0.5
1612,1138,1,4,0.5
1599,1141,1,4,0.5
1636,1144,1,4,0.3333333
1605,1147,1,4,0.3333333
1592,1150,1,4,0.25
1647,1156,1,4,0.5
1633,1159,1,4,0.5
1604,1162,1,4,0.3333333
1641,1165,1,4,0.4000001
1708,1168,1,4,0.5
1595,1171,1,4,0.75
1603,1174,1,4,0.5
1664,1177,1,4,0.7500001
1704,1180,1,4,0.5
1665,1183,1,4,0.5
1616,1189,1,4,0.75
1716,1195,1,4,0.5
1713,1198,1,4,0.5
1716,1201,1,4,0.5
1594,1204,1,4,0.4
1720,1207,1,4,0.6
1588,1210,1,4,0.3333333
1690,1216,1,4,0.5
1713,1219,1,4,0.5
1619,1222,1,4,0.75
1630,1225,1,4,0.5
1593,1228,1,4,0.5
1591,1234,1,4,0.5
1653,1237,1,4,0.2857142
1589,1240,1,4,0.5
1685,1246,1,4,0.5
1661,1249,1,4,0.6666667
1650,1252,1,4,0.6
1636,1258,1,4,0.6666667
1615,1261,1,4,0.5
1615,1267,1,4,0.5
1663,1270,1,4,0.5
1581,1276,1,4,0.5
1640,1279,1,4,0.3333333
1588,1282,1,4,0.6666667
1681,1291,1,4,0.6666667
1666,1294,1,4,0.5
1711,1297,1,4,0.75
1611,1300,1,4,0.4
1627,1303,1,4,0.3333334
1580,1306,1,4,0.6
1584,1312,1,4,0.6666667
1696,1321,1,4,0.3333334
1688,1324,1,4,0.6666667
1596,1327,1,4,0.5
1673,1330,1,4,0.75
1669,1333,1,4,0.5
1677,1339,1,4,0.5
1694,1342,1,4,0.5
1683,1345,1,4,0.3333334
1611,1348,1,4,0.6
1628,1351,1,4,0.3333334
1607,1354,1,4,0.5
1682,1357,1,4,0.5
1626,1363,1,4,0.6666666
1651,1369,1,4,0.5
1697,1372,1,4,0.5
1705,1375,1,4,0.5
1675,1378,1,4,0.5
1672,1387,1,4,0.6666666
1684,1390,1,4,0.3333334
1623,1396,1,4,0.5
1686,1399,1,4,0.6666667
1622,1402,1,4,0.3333334
1656,1405,1,4,0.5
1689,1411,1,4,0.6666667
1594,1414,1,4,0.6
1701,1417,1,4,0.3333333
1693,1423,1,4,0.6666667
1655,1426,1,4,0.6666667
1689,1432,1,4,0.3333333
1587,1435,1,4,0.75
1595,1438,1,4,0.25
1645,1444,1,4,0.5
1684,1447,1,4,0.6666666
1674,1450,1,4,0.3333333
1600,1453,1,4,0.6666667
1599,1456,1,4,0.5
1707,1459,1,4,0.5
1659,1465,1,4,0.5714286
1624,1468,1,4,0.5
1606,1471,1,4,0.5
1697,1474,1,4,0.5
1677,1477,1,4,0.5
1618,1480,1,4,0.5
1690,1483,1,4,0.5
1702,1486,1,4,0.5
1694,1489,1,4,0.5
1667,1495,1,4,0.6666667
1656,1498,1,4,0.5
1704,1501,1,4,0.5
1,1502,1,2,0.012
1,1503,2,2,0.022
1,1504,3,2,0.012
1,1505,4,2,0.01
1,1506,5,2,0.008
1,1507,6,2,0.014
1,1508,7,2,0.016
1,1509,8,2,0.02
1,1510,9,2,0.014
1,1511,10,2,0.020000000000000004
1,1512,11,2,0.012
1,1513,12,2,0.01
1,1514,13,2,0.016
1,1515,14,2,0.01
1,1516,15,2,0.01
1,1517,16,2,0.022
1,1518,17,2,0.012
1,1519,18,2,0.014
1,1520,19,2,0.020000000000000004
1,1521,20,2,0.02
1,1522,21,2,0.008
1,1523,22,2,0.02
1,1524,23,2,0.012
1,1525,24,2,0.008
1,1526,25,2,0.012
1,1527,26,2,0.012
1,1528,27,2,0.012
1,1529,28,2,0.014
1,1530,29,2,0.01
1,1531,30,2,0.018000000000000002
1,1532,31,2,0.008
1,1533,32,2,0.01
1,1534,33,2,0.026
1,1535,34,2,0.012
1,1536,35,2,0.014
1,1537,36,2,0.01
1,1538,37,2,0.022
1,1539,38,2,0.016
1,1540,39,2,0.018000000000000002
1,1541,40,2,0.01
1,1542,41,2,0.01
1,1543,42,2,0.02
1,1544,43,2,0.022000000000000002
1,1545,44,2,0.024
1,1546,45,2,0.008
1,1547,46,2,0.01
1,1548,47,2,0.008
1,1549,48,2,0.012
1,1550,49,2,0.014
1,1551,50,2,0.012
1,1552,51,2,0.008
1,1553,52,2,0.008
1,1554,53,2,0.01
1,1555,54,2,0.012
1,1556,55,2,0.01
1,1557,56,2,0.01
1,1558,57,2,0.01
1,1559,58,2,0.026000000000000002
1,1560,59,2,0.014
1,1561,60,2,0.012
1,1562,61,2,0.008
1,1563,62,2,0.008
1,1564,63,2,0.016
1,1565,64,2,0.012
1,1566,65,2,0.018000000000000002
1,1567,66,2,0.008
1,1568,67,2,0.008
1,1569,68,2,0.012
1,1570,69,2,0.012
1,1571,70,2,0.01
1,1572,71,2,0.012
1,1573,72,2,0.018000000000000002
1,1574,73,2,0.012
1,1575,74,2,0.012
1,1576,75,2,0.008
1502,1577,1,3,0.6666666
1502,1578,2,3,0.3333334
1503,1579,1,3,0.5454546
1503,1580,2,3,0.45454550000000005
1504,1581,1,3,0.6666666
1504,1582,2,3,0.3333334
1505,1583,1,3,0.4
1505,1584,2,3,0.6000000000000001
1506,1585,1,3,0.5
1506,1586,2,3,0.5
1507,1587,1,3,0.5714285
1507,1588,2,3,0.42857139999999994
1508,1589,1,3,0.75
1508,1590,2,3,0.25
1509,1591,1,3,0.6
1509,1592,2,3,0.4
1510,1593,1,3,0.2857142
1510,1594,2,3,0.7142857
1511,1595,1,3,0.4
1511,1596,2,3,0.6
1512,1597,1,3,0.5
1512,1598,2,3,0.5
1513,1599,1,3,0.4
1513,1600,2,3,0.6000000000000001
1514,1601,1,3,0.5
1514,1602,2,3,0.5
1515,1603,1,3,0.4
1515,1604,2,3,0.6000000000000001
1516,1605,1,3,0.6000000000000001
1516,1606,2,3,0.4
1517,1607,1,3,0.5454546
1517,1608,2,3,0.45454550000000005
1518,1609,1,3,0.5
1518,1610,2,3,0.5
1519,1611,1,3,0.7142857
1519,1612,2,3,0.2857142
1520,1613,1,3,0.2
1520,1614,2,3,0.7999999999999999
1521,1615,1,3,0.6
1521,1616,2,3,0.4
1522,1617,1,3,0.5
1522,1618,2,3,0.5
1523,1619,1,3,0.8
1523,1620,2,3,0.2
1524,1621,1,3,0.5
1524,1622,2,3,0.5
1525,1623,1,3,0.5
1525,1624,2,3,0.5
1526,1625,1,3,0.5
1526,1626,2,3,0.5
1527,1627,1,3,0.5
1527,1628,2,3,0.5
1528,1629,1,3,0.6666667
1528,1630,2,3,0.3333334
1529,1631,1,3,0.2857142
1529,1632,2,3,0.7142857
1530,1633,1,3,0.4
1530,1634,2,3,0.6000000000000001
1531,1635,1,3,0.3333333
1531,1636,2,3,0.6666666
1532,1637,1,3,0.5
1532,1638,2,3,0.5
1533,1639,1,3,0.4
1533,1640,2,3,0.6000000000000001
1534,1641,1,3,0.3846154
1534,1642,2,3,0.6153846000000001
1535,1643,1,3,0.5
1535,1644,2,3,0.5
1536,1645,1,3,0.5714286
1536,1646,2,3,0.42857139999999994
1537,1647,1,3,0.4
1537,1648,2,3,0.6000000000000001
1538,1649,1,3,0.5454546
1538,1650,2,3,0.45454550000000005
1539,1651,1,3,0.25
1539,1652,2,3,0.75
1540,1653,1,3,0.7777778000000001
1540,1654,2,3,0.2222222
1541,1655,1,3,0.6000000000000001
1541,1656,2,3,0.4
1542,1657,1,3,0.6000000000000001
1542,1658,2,3,0.4
1543,1659,1,3,0.7
1543,1660,2,3,0.30000000000000004
1544,1661,1,3,0.2727273
1544,1662,2,3,0.7272728
1545,1663,1,3,0.6666666
1545,1664,2,3,0.3333333
1546,1665,1,3,0.5
1546,1666,2,3,0.5
1547,1667,1,3,0.6000000000000001
1547,1668,2,3,0.4
1548,1669,1,3,0.5
1548,1670,2,3,0.5
1549,1671,1,3,0.5
1549,1672,2,3,0.5
1550,1673,1,3,0.5714285
1550,1674,2,3,0.42857139999999994
1551,1675,1,3,0.6666666
1551,1676,2,3,0.3333334
1552,1677,1,3,0.5
1552,1678,2,3,0.5
1553,1679,1,3,0.5
