NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1638,4,1,4,0.5
1616,7,1,4,0.5
1622,13,1,4,1.0
1637,19,1,4,1.0
1580,25,1,4,0.5
1632,28,1,4,0.5
1706,37,1,4,0.5
1652,55,1,4,1.0
1647,58,1,4,1.0
1670,70,1,4,0.5
1640,73,1,4,0.5
1624,76,1,4,1.0
1631,97,1,4,0.5
1594,100,1,4,1.0
1643,103,1,4,0.5
1672,106,1,4,1.0
1702,109,1,4,0.5
1668,121,1,4,0.5
1646,160,1,4,1.0
1664,202,1,4,0.5
1643,229,1,4,0.5
1638,253,1,4,0.5
1592,271,1,4,0.5
1628,277,1,4,0.5
1595,295,1,4,0.5
1578,310,1,4,1.0
1702,313,1,4,0.5
1533,318,1,3,0.5
318,319,1,4,1.0
1606,322,1,4,0.5
1584,346,1,4,0.5
1591,352,1,4,1.0
1635,373,1,4,0.5
1545,375,1,3,0.5
375,376,1,4,1.0
1619,388,1,4,0.5
1631,412,1,4,0.5
1564,414,1,3,0.5
414,415,1,4,1.0
1651,430,1,4,0.5
1584,445,1,4,0.5
1651,475,1,4,0.5
1688,487,1,4,0.5
1632,496,1,4,0.5
1650,517,1,4,0.5
1505,525,1,3,0.5
525,526,1,4,1.0
1521,528,1,3,0.5
528,529,1,4,1.0
1571,531,1,3,1.0
531,532,1,4,1.0
1545,552,1,3,0.5
552,553,1,4,1.0
1703,607,1,4,0.5
1669,610,1,4,1.0
1593,616,1,4,0.5
1668,628,1,4,0.5
1684,646,1,4,0.5
1586,655,1,4,0.5
1619,661,1,4,0.5
1556,663,1,3,0.5
663,664,1,4,1.0
1628,679,1,4,0.5
1660,694,1,4,0.5
1616,715,1,4,0.5
1681,718,1,4,0.5
1613,724,1,4,1.0
1644,736,1,4,1.0
1641,757,1,4,1.0
1688,760,1,4,0.5
1706,763,1,4,0.5
1556,765,1,3,0.5
765,766,1,4,1.0
1648,778,1,4,0.5
1670,793,1,4,0.5
1693,802,1,4,1.0
1679,811,1,4,0.5
1586,814,1,4,0.5
1547,825,1,3,1.0
825,826,1,4,1.0
1620,859,1,4,1.0
1606,871,1,4,0.5
1648,874,1,4,0.5
1521,882,1,3,0.5
882,883,1,4,1.0
1605,919,1,4,1.0
1660,940,1,4,0.5
1505,945,1,3,0.5
945,946,1,4,1.0
1691,955,1,4,1.0
1682,958,1,4,1.0
1626,1012,1,4,1.0
1687,1036,1,4,1.0
1649,1090,1,4,1.0
1650,1102,1,4,0.5
1554,1107,1,3,1.0
1107,1108,1,4,1.0
1602,1123,1,4,0.5
1704,1138,1,4,1.0
1640,1159,1,4,0.5
1625,1162,1,4,0.5
1625,1174,1,4,0.5
1601,1186,1,4,1.0
1635,1198,1,4,0.5
1617,1201,1,4,1.0
1658,1210,1,4,0.5
1681,1219,1,4,0.5
1684,1240,1,4,0.5
1679,1246,1,4,0.5
1551,1254,1,3,0.5
1254,1255,1,4,1.0
1593,1273,1,4,0.5
1595,1276,1,4,0.5
1703,1300,1,4,0.5
1658,1306,1,4,0.5
1592,1312,1,4,0.5
1564,1323,1,3,0.5
1323,1324,1,4,1.0
1602,1348,1,4,0.5
1664,1357,1,4,0.5
1683,1366,1,4,1.0
1615,1372,1,4,0.5
1609,1375,1,4,1.0
1551,1386,1,3,0.5
1386,1387,1,4,1.0
1580,1390,1,4,0.5
1680,1393,1,4,0.5
1680,1399,1,4,0.5
1659,1402,1,4,1.0
1636,1405,1,4,0.5
1533,1425,1,3,0.5
1425,1426,1,4,1.0
1662,1450,1,4,1.0
1615,1474,1,4,0.5
1636,1498,1,4,0.5
1,1502,1,2,0.014
1,1503,2,2,0.01
1,1504,3,2,0.032
1,1505,4,2,0.004
1,1506,5,2,0.01
1,1507,6,2,0.024000000000000007
1,1508,7,2,0.016
1,1509,8,2,0.02600000000000001
1,1510,9,2,0.006
1,1511,10,2,0.006
1,1512,11,2,0.02600000000000001
1,1513,12,2,0.014
1,1514,13,2,0.014
1,1515,14,2,0.006
1,1516,15,2,0.024000000000000007
1,1517,16,2,0.006
1,1518,17,2,0.030000000000000013
1,1519,18,2,0.012
1,1520,19,2,0.020000000000000004
1,1521,20,2,0.004
1,1522,21,2,0.012
1,1523,22,2,0.008
1,1524,23,2,0.01
1,1525,24,2,0.006
1,1526,25,2,0.014
1,1527,26,2,0.020000000000000004
1,1528,27,2,0.006
1,1529,28,2,0.020000000000000004
1,1530,29,2,0.038000000000000006
1,1531,30,2,0.008
1,1532,31,2,0.014
1,1533,32,2,0.004
1,1534,33,2,0.008
1,1535,34,2,0.006
1,1536,35,2,0.014
1,1537,36,2,0.008
1,1538,37,2,0.006
1,1539,38,2,0.012
1,1540,39,2,0.006
1,1541,40,2,0.006
1,1542,41,2,0.006
1,1543,42,2,0.020000000000000004
1,1544,43,2,0.016
1,1545,44,2,0.004
1,1546,45,2,0.020000000000000004
1,1547,46,2,0.002
1,1548,47,2,0.006
1,1549,48,2,0.008
1,1550,49,2,0.01
1,1551,50,2,0.004
1,1552,51,2,0.05
1,1553,52,2,0.012
1,1554,53,2,0.002
1,1555,54,2,0.006
1,1556,55,2,0.004
1,1557,56,2,0.008
1,1558,57,2,0.018000000000000002
1,1559,58,2,0.036000000000000004
1,1560,59,2,0.02600000000000001
1,1561,60,2,0.008
1,1562,61,2,0.006
1,1563,62,2,0.006
1,1564,63,2,0.004
1,1565,64,2,0.036000000000000004
1,1566,65,2,0.006
1,1567,66,2,0.02600000000000001
1,1568,67,2,0.014
1,1569,68,2,0.020000000000000004
1,1570,69,2,0.012
1,1571,70,2,0.002
1,1572,71,2,0.030000000000000013
1,1573,72,2,0.014
1,1574,73,2,0.012
1,1575,74,2,0.006
1,1576,75,2,0.01
1502,1577,1,3,0.8571425999999999
1502,1578,2,3,0.1428571
1503,1579,1,3,0.6000000000000001
1503,1580,2,3,0.4
1504,1581,1,3,0.1875
1504,1582,2,3,0.8125
1506,1583,1,3,0.6000000000000001
1506,1584,2,3,0.4
1507,1585,1,3,0.8333330000000001
1507,1586,2,3,0.1666666
1508,1587,1,3,0.375
1508,1588,2,3,0.625
1509,1589,1,3,0.23076929999999998
1509,1590,2,3,0.769231
1510,1591,1,3,0.3333333
1510,1592,2,3,0.6666666
1511,1593,1,3,0.6666666
1511,1594,2,3,0.3333333
1512,1595,1,3,0.1538462
1512,1596,2,3,0.8461541
1513,1597,1,3,0.5714284
1513,1598,2,3,0.4285713
1514,1599,1,3,0.4285713
1514,1600,2,3,0.5714284
1515,1601,1,3,0.3333333
1515,1602,2,3,0.6666666
1516,1603,1,3,0.7499997
1516,1604,2,3,0.2499999
1517,1605,1,3,0.3333333
1517,1606,2,3,0.6666666
1518,1607,1,3,0.6000002999999999
1518,1608,2,3,0.4000001999999999
1519,1609,1,3,0.1666667
1519,1610,2,3,0.8333335
1520,1611,1,3,0.4
1520,1612,2,3,0.6
1522,1613,1,3,0.1666667
1522,1614,2,3,0.8333335
1523,1615,1,3,0.5
1523,1616,2,3,0.5
1524,1617,1,3,0.2
1524,1618,2,3,0.8
1525,1619,1,3,0.6666666
1525,1620,2,3,0.3333333
1526,1621,1,3,0.8571425999999999
1526,1622,2,3,0.1428571
1527,1623,1,3,0.9
1527,1624,2,3,0.1
1528,1625,1,3,0.6666666
1528,1626,2,3,0.3333333
1529,1627,1,3,0.8
1529,1628,2,3,0.2
1530,1629,1,3,0.789474
1530,1630,2,3,0.2105264
1531,1631,1,3,0.5
1531,1632,2,3,0.5
1532,1633,1,3,0.4285713
1532,1634,2,3,0.5714284
1534,1635,1,3,0.5
1534,1636,2,3,0.5
1535,1637,1,3,0.3333333
1535,1638,2,3,0.6666666
1536,1639,1,3,0.7142854999999999
1536,1640,2,3,0.2857142
1537,1641,1,3,0.25
1537,1642,2,3,0.75
1538,1643,1,3,0.6666666
1538,1644,2,3,0.3333333
1539,1645,1,3,0.8333335
1539,1646,2,3,0.1666667
1540,1647,1,3,0.3333333
1540,1648,2,3,0.6666666
1541,1649,1,3,0.3333333
1541,1650,2,3,0.6666666
1542,1651,1,3,0.6666666
1542,1652,2,3,0.3333333
1543,1653,1,3,0.4
1543,1654,2,3,0.6
1544,1655,1,3,0.375
1544,1656,2,3,0.625
1546,1657,1,3,0.8
1546,1658,2,3,0.2
1548,1659,1,3,0.3333333
1548,1660,2,3,0.6666666
1549,1661,1,3,0.75
1549,1662,2,3,0.25
1550,1663,1,3,0.6000000000000001
1550,1664,2,3,0.4
1552,1665,1,3,0.8800000000000002
1552,1666,2,3,0.12
1553,1667,1,3,0.6666668
1553,1668,2,3,0.3333334
1555,1669,1,3,0.3333333
1555,1670,2,3,0.6666666
1557,1671,1,3,0.75
1557,1672,2,3,0.25
1558,1673,1,3,0.6666666
1558,1674,2,3,0.3333333
1559,1675,1,3,0.1666668
1559,1676,2,3,0.8333340000000002
1560,1677,1,3,0.5384617
1560,1678,2,3,0.4615386
1561,1679,1,3,0.5
1561,1680,2,3,0.5
1562,1681,1,3,0.6666666
1562,1682,2,3,0.3333333
1563,1683,1,3,0.3333333
1563,1684,2,3,0.6666666
1565,1685,1,3,0.27777799999999997
1565,1686,2,3,0.7222228000000002
1566,1687,1,3,0.3333333
1566,1688,2,3,0.6666666
1567,1689,1,3,0.769231
1567,1690,2,3,0.23076929999999998
1568,1691,1,3,0.1428571
1568,1692,2,3,0.8571425999999999
1569,1693,1,3,0.1
1569,1694,2,3,0.9
1570,1695,1,3,0.5000001000000001
1570,1696,2,3,0.5000001000000001
1572,1697,1,3,0.5333336
1572,1698,2,3,0.4666668999999999
1573,1699,1,3,0.4285713
1573,1700,2,3,0.5714284
1574,1701,1,3,0.6666668
1574,1702,2,3,0.3333334
1575,1703,1,3,0.6666666
1575,1704,2,3,0.3333333
1576,1705,1,3,0.6000000000000001
1576,1706,2,3,0.4
1577,1707,1,4,0.5000001000000001
1577,1708,2,4,0.5000001000000001
1579,1709,1,4,0.6666666
1579,1710,2,4,0.3333333
1581,1711,1,4,0.3333333
1581,1712,2,4,0.6666666
1582,1713,1,4,0.3076924
1582,1714,2,4,0.6923079
1583,1715,1,4,0.3333333
1583,1716,2,4,0.6666666
1585,1717,1,4,0.9
1585,1718,2,4,0.1
1587,1719,1,4,0.3333333
1587,1720,2,4,0.6666666
1588,1721,1,4,0.4
1588,1722,2,4,0.6000000000000001
1589,1723,1,4,0.6666666
1589,1724,2,4,0.3333333
1590,1725,1,4,0.5
1590,1726,2,4,0.5
1596,1727,1,4,0.0909091
1596,1728,2,4,0.909091
1597,1729,1,4,0.75
1597,1730,2,4,0.25
1598,1731,1,4,0.3333333
1598,1732,2,4,0.6666666
1599,1733,1,4,0.6666666
1599,1734,2,4,0.3333333
1600,1735,1,4,0.25
1600,1736,2,4,0.75
1603,1737,1,4,0.7777777
1603,1738,2,4,0.2222222
1604,1739,1,4,0.3333333
1604,1740,2,4,0.6666666
1607,1741,1,4,0.3333333
1607,1742,2,4,0.6666666
1608,1743,1,4,0.8333335
1608,1744,2,4,0.1666667
1610,1745,1,4,0.4
1610,1746,2,4,0.6000000000000001
1611,1747,1,4,0.5
1611,1748,2,4,0.5
1612,1749,1,4,0.1666667
1612,1750,2,4,0.8333335
1614,1751,1,4,0.6000000000000001
1614,1752,2,4,0.4
1618,1753,1,4,0.75
1618,1754,2,4,0.25
1621,1755,1,4,0.6666668
1621,1756,2,4,0.3333334
1623,1757,1,4,0.3333333
1623,1758,2,4,0.6666666
1627,1759,1,4,0.125
1627,1760,2,4,0.875
1629,1761,1,4,0.6666669999999999
1629,1762,2,4,0.33333349999999995
1630,1763,1,4,0.5
1630,1764,2,4,0.5
1633,1765,1,4,0.6666666
1633,1766,2,4,0.3333333
1634,1767,1,4,0.5
1634,1768,2,4,0.5
1639,1769,1,4,0.4
1639,1770,2,4,0.6000000000000001
1642,1771,1,4,0.6666666
1642,1772,2,4,0.3333333
1645,1773,1,4,0.8
1645,1774,2,4,0.2
1653,1775,1,4,0.5
1653,1776,2,4,0.5
1654,1777,1,4,0.3333334
1654,1778,2,4,0.6666668
1655,1779,1,4,0.6666666
1655,1780,2,4,0.3333333
1656,1781,1,4,0.2
