NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1,1502,1,2,0.012
1,1503,2,2,0.012
1,1504,3,2,0.012
1,1505,4,2,0.012
1,1506,5,2,0.012
1,1507,6,2,0.012
1,1508,7,2,0.012
1,1509,8,2,0.012
1,1510,9,2,0.012
1,1511,10,2,0.012
1,1512,11,2,0.012
1,1513,12,2,0.012
1,1514,13,2,0.012
1,1515,14,2,0.012
1,1516,15,2,0.012
1,1517,16,2,0.012
1,1518,17,2,0.012
1,1519,18,2,0.012
1,1520,19,2,0.012
1,1521,20,2,0.012
1,1522,21,2,0.012
1,1523,22,2,0.012
1,1524,23,2,0.012
1,1525,24,2,0.012
1,1526,25,2,0.012
1,1527,26,2,0.012
1,1528,27,2,0.012
1,1529,28,2,0.012
1,1530,29,2,0.012
1,1531,30,2,0.012
1,1532,31,2,0.012
1,1533,32,2,0.012
1,1534,33,2,0.012
1,1535,34,2,0.012
1,1536,35,2,0.012
1,1537,36,2,0.012
1,1538,37,2,0.012
1,1539,38,2,0.012
1,1540,39,2,0.012
1,1541,40,2,0.012
1,1542,41,2,0.012
1,1543,42,2,0.012
1,1544,43,2,0.012
1,1545,44,2,0.012
1,1546,45,2,0.012
1,1547,46,2,0.012
1,1548,47,2,0.012
1,1549,48,2,0.012
1,1550,49,2,0.012
1,1551,50,2,0.012
1,1552,51,2,0.012
1,1553,52,2,0.012
1,1554,53,2,0.012
1,1555,54,2,0.012
1,1556,55,2,0.012
1,1557,56,2,0.012
1,1558,57,2,0.012
1,1559,58,2,0.030000000000000013
1,1560,59,2,0.02600000000000001
1,1561,60,2,0.012
1,1562,61,2,0.012
1,1563,62,2,0.012
1,1564,63,2,0.012
1,1565,64,2,0.036000000000000004
1,1566,65,2,0.012
1,1567,66,2,0.02600000000000001
1,1568,67,2,0.014
1,1569,68,2,0.020000000000000004
1,1570,69,2,0.012
1,1571,70,2,0.012
1,1572,71,2,0.030000000000000013
1,1573,72,2,0.014
1,1574,73,2,0.012
1,1575,74,2,0.012
1,1576,75,2,0.012
1502,1577,1,3,0.5000001000000001
1502,1578,2,3,0.5000001000000001
1503,1579,1,3,0.5000001000000001
1503,1580,2,3,0.5000001000000001
1504,1581,1,3,0.5000001000000001
1504,1582,2,3,0.5000001000000001
1505,1583,1,3,0.5000001000000001
1505,1584,2,3,0.5000001000000001
1506,1585,1,3,0.5000001000000001
1506,1586,2,3,0.5000001000000001
1507,1587,1,3,0.5000001000000001
1507,1588,2,3,0.5000001000000001
1508,1589,1,3,0.5000001000000001
1508,1590,2,3,0.5000001000000001
1509,1591,1,3,0.5000001000000001
1509,1592,2,3,0.5000001000000001
1510,1593,1,3,0.5000001000000001
1510,1594,2,3,0.5000001000000001
1511,1595,1,3,0.5000001000000001
1511,1596,2,3,0.5000001000000001
1512,1597,1,3,0.5000001000000001
1512,1598,2,3,0.5000001000000001
1513,1599,1,3,0.5000001000000001
1513,1600,2,3,0.5000001000000001
1514,1601,1,3,0.5000001000000001
1514,1602,2,3,0.5000001000000001
1515,1603,1,3,0.5000001000000001
1515,1604,2,3,0.5000001000000001
1516,1605,1,3,0.5000001000000001
1516,1606,2,3,0.5000001000000001
1517,1607,1,3,0.5000001000000001
1517,1608,2,3,0.5000001000000001
1518,1609,1,3,0.5000001000000001
1518,1610,2,3,0.5000001000000001
1519,1611,1,3,0.5000001000000001
1519,1612,2,3,0.5000001000000001
1520,1613,1,3,0.5000001000000001
1520,1614,2,3,0.5000001000000001
1521,1615,1,3,0.5000001000000001
1521,1616,2,3,0.5000001000000001
1522,1617,1,3,0.5000001000000001
1522,1618,2,3,0.5000001000000001
1523,1619,1,3,0.5000001000000001
1523,1620,2,3,0.5000001000000001
1524,1621,1,3,0.5000001000000001
1524,1622,2,3,0.5000001000000001
1525,1623,1,3,0.5000001000000001
1525,1624,2,3,0.5000001000000001
1526,1625,1,3,0.5000001000000001
1526,1626,2,3,0.5000001000000001
1527,1627,1,3,0.5000001000000001
1527,1628,2,3,0.5000001000000001
1528,1629,1,3,0.5000001000000001
1528,1630,2,3,0.5000001000000001
1529,1631,1,3,0.5000001000000001
1529,1632,2,3,0.5000001000000001
1530,1633,1,3,0.5000001000000001
1530,1634,2,3,0.5000001000000001
1531,1635,1,3,0.5000001000000001
1531,1636,2,3,0.5000001000000001
1532,1637,1,3,0.5000001000000001
1532,1638,2,3,0.5000001000000001
1533,1639,1,3,0.5000001000000001
1533,1640,2,3,0.5000001000000001
1534,1641,1,3,0.5000001000000001
1534,1642,2,3,0.5000001000000001
1535,1643,1,3,0.5000001000000001
1535,1644,2,3,0.5000001000000001
1536,1645,1,3,0.5000001000000001
1536,1646,2,3,0.5000001000000001
1537,1647,1,3,0.5000001000000001
1537,1648,2,3,0.5000001000000001
1538,1649,1,3,0.5000001000000001
1538,1650,2,3,0.5000001000000001
1539,1651,1,3,0.5000001000000001
1539,1652,2,3,0.5000001000000001
1540,1653,1,3,0.5000001000000001
1540,1654,2,3,0.5000001000000001
1541,1655,1,3,0.5000001000000001
1541,1656,2,3,0.5000001000000001
1542,1657,1,3,0.5000001000000001
1542,1658,2,3,0.5000001000000001
1543,1659,1,3,0.5000001000000001
1543,1660,2,3,0.5000001000000001
1544,1661,1,3,0.5000001000000001
1544,1662,2,3,0.5000001000000001
1545,1663,1,3,0.5000001000000001
1545,1664,2,3,0.5000001000000001
1546,1665,1,3,0.5000001000000001
1546,1666,2,3,0.5000001000000001
1547,1667,1,3,0.5000001000000001
1547,1668,2,3,0.5000001000000001
1548,1669,1,3,0.5000001000000001
1548,1670,2,3,0.5000001000000001
1549,1671,1,3,0.5000001000000001
1549,1672,2,3,0.5000001000000001
1550,1673,1,3,0.5000001000000001
1550,1674,2,3,0.5000001000000001
