NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
297,4,1,4,0.3333333
42,7,1,4,0.3333333
90,10,1,4,0.5
251,12,1,3,0.2
12,13,1,4,1.0
279,16,1,4,0.3333333
89,18,1,3,0.25
18,19,1,4,1.0
296,21,1,3,0.25
21,22,1,4,1.0
189,25,1,4,0.3333333
143,27,1,3,0.2
27,28,1,4,1.0
105,31,1,4,0.5
57,34,1,4,0.25
57,37,1,4,0.25
144,40,1,4,0.3333333
1,41,14,2,0.006
41,42,1,3,1.0
42,43,1,4,0.3333333
81,46,1,4,0.5
192,49,1,4,0.5
161,51,1,3,0.2
51,52,1,4,1.0
297,55,1,4,0.3333333
1,56,19,2,0.008
56,57,1,3,1.0
57,58,1,4,0.25
300,61,1,4,0.5
69,64,1,4,0.3333333
189,67,1,4,0.3333333
1,68,23,2,0.006
68,69,1,3,1.0
69,70,1,4,0.3333333
198,73,1,4,0.3333333
284,75,1,3,0.3333333
75,76,1,4,1.0
69,79,1,4,0.3333333
1,80,27,2,0.004
80,81,1,3,1.0
81,82,1,4,0.5
252,85,1,4,0.3333333
174,88,1,4,0.5
1,89,30,2,0.008
89,90,1,3,0.5
90,91,1,4,0.5
293,93,1,3,0.2
93,94,1,4,1.0
102,97,1,4,0.5
57,100,1,4,0.25
1,101,34,2,0.004
101,102,1,3,1.0
102,103,1,4,0.5
182,105,1,3,0.4
105,106,1,4,0.5
161,108,1,3,0.2
108,109,1,4,1.0
204,112,1,4,0.3333333
183,115,1,4,0.3333333
210,118,1,4,0.3333333
282,121,1,4,0.3333333
264,124,1,4,0.3333333
42,127,1,4,0.3333333
282,130,1,4,0.3333333
206,132,1,3,0.2
132,133,1,4,1.0
168,136,1,4,0.3333333
299,138,1,3,0.3333333
138,139,1,4,1.0
207,142,1,4,0.3333333
1,143,48,2,0.01
143,144,1,3,0.6
144,145,1,4,0.3333333
162,148,1,4,0.3333333
210,151,1,4,0.3333333
204,154,1,4,0.3333333
285,157,1,4,0.5
264,160,1,4,0.3333333
1,161,54,2,0.01
161,162,1,3,0.6
162,163,1,4,0.3333333
213,166,1,4,0.5
1,167,56,2,0.006
167,168,1,3,1.0
168,169,1,4,0.3333333
198,172,1,4,0.3333333
1,173,58,2,0.004
173,174,1,3,1.0
174,175,1,4,0.5
207,178,1,4,0.3333333
270,181,1,4,0.2
1,182,61,2,0.01
182,183,1,3,0.6
183,184,1,4,0.3333333
279,187,1,4,0.3333333
1,188,63,2,0.008
188,189,1,3,0.75
189,190,1,4,0.3333333
266,192,1,3,0.5
192,193,1,4,0.5
162,196,1,4,0.3333333
1,197,66,2,0.006
197,198,1,3,1.0
198,199,1,4,0.3333333
270,202,1,4,0.2
1,203,68,2,0.006
203,204,1,3,1.0
204,205,1,4,0.3333333
1,206,69,2,0.01
206,207,1,3,0.6
207,208,1,4,0.3333333
1,209,70,2,0.006
209,210,1,3,1.0
210,211,1,4,0.3333333
1,212,71,2,0.006
212,213,1,3,0.6666667
