NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
96,4,1,4,0.3333333
228,7,1,4,0.5
198,10,1,4,0.5
216,13,1,4,0.3333333
155,15,1,3,0.0666667
15,16,1,4,1.0
240,19,1,4,0.3333333
206,21,1,3,0.047619
21,22,1,4,1.0
273,25,1,4,0.3333333
84,28,1,4,0.3333333
206,30,1,3,0.047619
30,31,1,4,1.0
206,33,1,3,0.047619
33,34,1,4,1.0
255,37,1,4,0.5
42,40,1,4,0.5
275,42,1,3,0.1538462
42,43,1,4,0.5
279,46,1,4,0.2
195,49,1,4,0.25
192,52,1,4,0.3333333
192,55,1,4,0.3333333
206,57,1,3,0.047619
57,58,1,4,1.0
114,61,1,4,0.3333333
206,63,1,3,0.047619
63,64,1,4,1.0
279,67,1,4,0.2
206,69,1,3,0.047619
69,70,1,4,1.0
93,73,1,4,0.3333333
279,76,1,4,0.2
206,78,1,3,0.047619
78,79,1,4,1.0
156,82,1,4,0.2
215,84,1,3,0.1304348
84,85,1,4,0.3333333
155,87,1,3,0.0666667
87,88,1,4,1.0
96,91,1,4,0.3333333
215,93,1,3,0.1304348
93,94,1,4,0.3333333
215,96,1,3,0.1304348
96,97,1,4,0.3333333
231,100,1,4,0.25
207,103,1,4,0.3333333
155,105,1,3,0.0666667
105,106,1,4,1.0
195,109,1,4,0.25
245,111,1,3,0.1
111,112,1,4,1.0
275,114,1,3,0.2307692
114,115,1,4,0.3333333
156,118,1,4,0.2
129,121,1,4,0.5
206,123,1,3,0.047619
123,124,1,4,1.0
300,127,1,4,0.3333333
245,129,1,3,0.2
129,130,1,4,0.5
206,132,1,3,0.047619
132,133,1,4,1.0
206,135,1,3,0.047619
135,136,1,4,1.0
300,139,1,4,0.3333333
231,142,1,4,0.25
275,144,1,3,0.0769231
144,145,1,4,1.0
195,148,1,4,0.25
231,151,1,4,0.25
282,154,1,4,0.5
1,155,52,2,0.03
155,156,1,3,0.3333333
156,157,1,4,0.2
206,159,1,3,0.047619
159,160,1,4,1.0
215,162,1,3,0.0434783
162,163,1,4,1.0
245,165,1,3,0.1
165,166,1,4,1.0
267,169,1,4,0.5
156,172,1,4,0.2
275,174,1,3,0.0769231
174,175,1,4,1.0
207,178,1,4,0.3333333
84,181,1,4,0.3333333
261,184,1,4,0.5
155,186,1,3,0.0666667
186,187,1,4,1.0
273,190,1,4,0.3333333
266,192,1,3,0.1034483
192,193,1,4,0.3333333
266,195,1,3,0.137931
195,196,1,4,0.25
266,198,1,3,0.0689655
198,199,1,4,0.5
240,202,1,4,0.3333333
114,205,1,4,0.3333333
1,206,69,2,0.042
206,207,1,3,0.1428571
207,208,1,4,0.3333333
266,210,1,3,0.0344828
210,211,1,4,1.0
246,214,1,4,0.5
1,215,72,2,0.046
215,216,1,3,0.1304348
216,217,1,4,0.3333333
270,220,1,4,0.3333333
93,223,1,4,0.3333333
270,226,1,4,0.3333333
266,228,1,3,0.0689655
228,229,1,4,0.5
266,231,1,3,0.137931
231,232,1,4,0.25
266,234,1,3,0.0344828
234,235,1,4,1.0
276,238,1,4,0.3333333
266,240,1,3,0.1034483
240,241,1,4,0.3333333
216,244,1,4,0.3333333
1,245,82,2,0.02
245,246,1,3,0.2
246,247,1,4,0.5
258,250,1,4,0.5
276,253,1,4,0.3333333
206,255,1,3,0.0952381
255,256,1,4,0.5
215,258,1,3,0.0869565
258,259,1,4,0.5
215,261,1,3,0.0869565
261,262,1,4,0.5
206,264,1,3,0.047619
264,265,1,4,1.0
1,266,89,2,0.058
266,267,1,3,0.0689655
267,268,1,4,0.5
155,270,1,3,0.2
270,271,1,4,0.3333333
155,273,1,3,0.2
273,274,1,4,0.3333333
1,275,92,2,0.026
275,276,1,3,0.2307692
276,277,1,4,0.3333333
266,279,1,3,0.1724138
279,280,1,4,0.2
245,282,1,3,0.2
282,283,1,4,0.5
156,286,1,4,0.2
245,288,1,3,0.1
288,289,1,4,1.0
245,291,1,3,0.1
291,292,1,4,1.0
279,295,1,4,0.2
215,297,1,3,0.0434783
297,298,1,4,1.0
275,300,1,3,0.2307692
300,301,1,4,0.3333333
444,304,1,4,0.5
548,306,1,3,0.0833333
306,307,1,4,1.0
480,310,1,4,0.3333333
324,313,1,4,0.3333333
579,316,1,4,0.25
426,319,1,4,0.25
561,322,1,4,0.5
488,324,1,3,0.0882353
324,325,1,4,0.3333333
342,328,1,4,0.3333333
540,331,1,4,0.5
357,334,1,4,0.3333333
549,337,1,4,0.5
488,339,1,3,0.0294118
339,340,1,4,1.0
488,342,1,3,0.0882353
342,343,1,4,0.3333333
585,346,1,4,0.5
480,349,1,4,0.3333333
576,352,1,4,0.3333333
426,355,1,4,0.25
1,356,119,2,0.038
356,357,1,3,0.1578947
357,358,1,4,0.3333333
425,360,1,3,0.04
360,361,1,4,1.0
356,363,1,3,0.0526316
363,364,1,4,1.0
516,367,1,4,0.3333333
356,369,1,3,0.0526316
369,370,1,4,1.0
488,372,1,3,0.0294118
372,373,1,4,1.0
356,375,1,3,0.0526316
375,376,1,4,1.0
356,378,1,3,0.0526316
378,379,1,4,1.0
342,382,1,4,0.3333333
489,385,1,4,0.25
488,387,1,3,0.0294118
387,388,1,4,1.0
570,391,1,4,0.5
356,393,1,3,0.0526316
393,394,1,4,1.0
426,397,1,4,0.25
357,400,1,4,0.3333333
435,403,1,4,0.5
425,405,1,3,0.04
405,406,1,4,1.0
492,409,1,4,0.3333333
588,412,1,4,0.3333333
425,414,1,3,0.04
414,415,1,4,1.0
489,418,1,4,0.25
591,421,1,4,0.3333333
492,424,1,4,0.3333333
1,425,142,2,0.05
425,426,1,3,0.16
426,427,1,4,0.25
590,429,1,3,0.0909091
429,430,1,4,1.0
356,432,1,3,0.0526316
432,433,1,4,1.0
488,435,1,3,0.0588235
435,436,1,4,0.5
425,438,1,3,0.04
438,439,1,4,1.0
516,442,1,4,0.3333333
425,444,1,3,0.08
444,445,1,4,0.5
537,448,1,4,0.5
498,451,1,4,0.5
425,453,1,3,0.04
453,454,1,4,1.0
356,456,1,3,0.0526316
456,457,1,4,1.0
548,459,1,3,0.0833333
459,460,1,4,1.0
488,462,1,3,0.0294118
462,463,1,4,1.0
425,465,1,3,0.04
465,466,1,4,1.0
548,468,1,3,0.0833333
468,469,1,4,1.0
579,472,1,4,0.25
579,475,1,4,0.25
501,478,1,4,0.3333333
356,480,1,3,0.1578947
480,481,1,4,0.3333333
567,484,1,4,0.5
488,486,1,3,0.0294118
486,487,1,4,1.0
1,488,163,2,0.068
488,489,1,3,0.1176471
489,490,1,4,0.25
488,492,1,3,0.0882353
492,493,1,4,0.3333333
425,495,1,3,0.04
495,496,1,4,1.0
488,498,1,3,0.0588235
498,499,1,4,0.5
488,501,1,3,0.0882353
501,502,1,4,0.3333333
576,505,1,4,0.3333333
489,508,1,4,0.25
356,510,1,3,0.0526316
510,511,1,4,1.0
590,513,1,3,0.0909091
513,514,1,4,1.0
548,516,1,3,0.25
516,517,1,4,0.3333333
356,519,1,3,0.0526316
519,520,1,4,1.0
324,523,1,4,0.3333333
501,526,1,4,0.3333333
534,529,1,4,0.5
356,531,1,3,0.0526316
531,532,1,4,1.0
488,534,1,3,0.0588235
534,535,1,4,0.5
548,537,1,3,0.1666667
537,538,1,4,0.5
488,540,1,3,0.0588235
540,541,1,4,0.5
