NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1730,4,1,4,0.5
1711,7,1,4,0.2
1562,10,1,4,0.5
1728,13,1,4,0.25
1608,16,1,4,0.3333333
1559,19,1,4,0.5
1736,22,1,4,1.0
1613,25,1,4,0.25
1708,28,1,4,1.0
1557,31,1,4,0.5
1607,34,1,4,0.3333333
1607,37,1,4,0.3333333
1711,40,1,4,0.2
1711,43,1,4,0.2
1729,46,1,4,0.25
1558,49,1,4,0.3333333
1716,52,1,4,0.5
1728,55,1,4,0.25
1607,58,1,4,0.3333333
1710,61,1,4,0.3333333
1609,64,1,4,0.25
1615,67,1,4,0.1428571
1609,70,1,4,0.25
1614,73,1,4,0.3333333
1565,76,1,4,1.0
1609,79,1,4,0.25
1729,82,1,4,0.25
1728,85,1,4,0.25
1729,88,1,4,0.25
1562,91,1,4,0.5
1612,94,1,4,0.25
1732,97,1,4,1.0
1609,100,1,4,0.25
1616,103,1,4,0.5
1559,106,1,4,0.5
1557,109,1,4,0.5
1707,112,1,4,0.3333333
1712,115,1,4,1.0
1615,118,1,4,0.1428571
1710,121,1,4,0.3333333
1615,124,1,4,0.1428571
1713,127,1,4,1.0
1715,130,1,4,1.0
1612,133,1,4,0.25
1560,136,1,4,0.3333333
1714,139,1,4,0.5
1613,142,1,4,0.25
1711,145,1,4,0.2
1709,148,1,4,0.25
1615,151,1,4,0.1428571
1707,154,1,4,0.3333333
1733,157,1,4,1.0
1611,160,1,4,0.25
1709,163,1,4,0.25
1727,166,1,4,0.5
1560,169,1,4,0.3333333
1614,172,1,4,0.3333333
1729,175,1,4,0.25
1613,178,1,4,0.25
1561,181,1,4,0.2
1564,184,1,4,0.3333333
1608,187,1,4,0.3333333
1615,190,1,4,0.1428571
1714,193,1,4,0.5
1709,196,1,4,0.25
1614,199,1,4,0.3333333
1558,202,1,4,0.3333333
1707,205,1,4,0.3333333
1613,208,1,4,0.25
1615,211,1,4,0.1428571
1727,214,1,4,0.5
1558,217,1,4,0.3333333
1561,220,1,4,0.2
1612,223,1,4,0.25
1560,226,1,4,0.3333333
1564,229,1,4,0.3333333
1612,232,1,4,0.25
1616,235,1,4,0.5
1561,238,1,4,0.2
1561,241,1,4,0.2
1563,244,1,4,0.5
1731,247,1,4,1.0
1711,250,1,4,0.2
1728,253,1,4,0.25
1611,256,1,4,0.25
1610,259,1,4,1.0
1564,262,1,4,0.3333333
1615,265,1,4,0.1428571
1563,268,1,4,0.5
1561,271,1,4,0.2
1611,274,1,4,0.25
1735,277,1,4,1.0
1608,280,1,4,0.3333333
1710,283,1,4,0.3333333
1566,286,1,4,1.0
1734,289,1,4,1.0
1716,292,1,4,0.5
1611,295,1,4,0.25
1730,298,1,4,0.5
1709,301,1,4,0.25
1649,304,1,4,0.2
1652,307,1,4,0.25
1535,310,1,4,0.3333333
1652,313,1,4,0.25
1740,316,1,4,0.5
1536,319,1,4,0.5
1649,322,1,4,0.2
1742,325,1,4,0.3333333
1585,328,1,4,0.25
1527,331,1,4,1.0
1577,334,1,4,0.25
1577,337,1,4,0.25
1578,340,1,4,0.3333333
1581,343,1,4,0.5
1585,346,1,4,0.25
1648,349,1,4,0.5
1745,352,1,4,1.0
1649,355,1,4,0.2
1577,358,1,4,0.25
1743,361,1,4,1.0
1579,364,1,4,0.5
1532,367,1,4,1.0
1654,370,1,4,0.5
1740,373,1,4,0.5
1582,376,1,4,0.5
1654,379,1,4,0.5
1586,382,1,4,1.0
1652,385,1,4,0.25
1581,388,1,4,0.5
1528,391,1,4,0.25
1582,394,1,4,0.5
1533,397,1,4,1.0
1577,400,1,4,0.25
1531,403,1,4,1.0
1530,406,1,4,0.5
1656,409,1,4,0.3333333
1516,411,1,3,0.1666667
411,412,1,4,1.0
1530,415,1,4,0.5
1650,418,1,4,0.3333333
1746,421,1,4,1.0
1528,424,1,4,0.25
1583,427,1,4,0.5
1738,430,1,4,0.3333333
1534,433,1,4,0.3333333
1535,436,1,4,0.3333333
1649,439,1,4,0.2
1529,442,1,4,0.5
1583,445,1,4,0.5
1648,448,1,4,0.5
1650,451,1,4,0.3333333
1516,453,1,3,0.1666667
453,454,1,4,1.0
1585,457,1,4,0.25
1534,460,1,4,0.3333333
1652,463,1,4,0.25
1516,465,1,3,0.1666667
465,466,1,4,1.0
1647,469,1,4,0.3333333
1737,472,1,4,0.5
1741,475,1,4,0.5
1650,478,1,4,0.3333333
1647,481,1,4,0.3333333
1528,484,1,4,0.25
1742,487,1,4,0.3333333
1742,490,1,4,0.3333333
1656,493,1,4,0.3333333
1649,496,1,4,0.2
1578,499,1,4,0.3333333
1655,502,1,4,0.25
1516,504,1,3,0.1666667
504,505,1,4,1.0
1529,508,1,4,0.5
1580,511,1,4,1.0
1516,513,1,3,0.1666667
513,514,1,4,1.0
1653,517,1,4,0.3333333
1656,520,1,4,0.3333333
1744,523,1,4,0.5
1535,526,1,4,0.3333333
1653,529,1,4,0.3333333
1579,532,1,4,0.5
1655,535,1,4,0.25
1647,538,1,4,0.3333333
1584,541,1,4,0.5
1655,544,1,4,0.25
1738,547,1,4,0.3333333
1585,550,1,4,0.25
1737,553,1,4,0.5
1534,556,1,4,0.3333333
1744,559,1,4,0.5
1528,562,1,4,0.25
1653,565,1,4,0.3333333
1655,568,1,4,0.25
1584,571,1,4,0.5
1651,574,1,4,0.5
1739,577,1,4,0.3333333
1741,580,1,4,0.5
1738,583,1,4,0.3333333
1578,586,1,4,0.3333333
1739,589,1,4,0.3333333
1516,591,1,3,0.1666667
591,592,1,4,1.0
1651,595,1,4,0.5
1739,598,1,4,0.3333333
1536,601,1,4,0.5
1718,604,1,4,0.3333333
1720,607,1,4,0.5
1725,610,1,4,1.0
1724,613,1,4,0.5
1592,616,1,4,0.25
1692,619,1,4,1.0
1723,622,1,4,1.0
