"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf";"mediaLimSup";"stdOrig";"stdRed";"stdLimInf";"stdLimSup";"chi2_lower";"chi2_upper";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"1";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;1;114,29;113,792;1,96;3,117;111,173;117,407;35,559;35,064;33,483;37,911;562,789;438,998;0,732;0,792;-0,779;-0,662;1,174;0,012;1;0,856;0,959;0,72;0,893;0,784;0,086
"2";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;2;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
"3";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;6;599,318;597,47;1,96;19,404;579,914;618,722;221,38;222,486;208,456;236,024;562,789;438,998;0,067;0,073;-0,979;-0,977;4,148;0,026;1;0,915;0,56;0,815;0,935;0,925;0,069
"4";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;7;130,332;130,52;1,96;4,171;126,161;134,503;47,589;48,249;44,811;50,737;562,789;438,998;-1,125;-1,121;-0,103;-0,135;0,952;0,014;1;0,96;0,054;0,084;0,97;0,834;0,121
"5";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;8;31,402;31,46;1,96;1,036;30,366;32,438;11,817;11,997;11,128;12,599;562,789;438,998;-1,232;-1,24;0,006;-0,006;0,234;0,02;1;0,95;0,033;0,063;0,965;0,806;0,172
"6";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;9;14,344;14,396;1,96;0,532;13,812;14,876;6,064;6,109;5,71;6,466;562,789;438,998;-1,134;-1,131;-0,075;-0,08;0,104;0,01;1;0,912;0,022;0,06;0,926;0,899;0,211
"7";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;10;38,392;38,438;1,96;1,298;37,094;39,69;14,811;15,031;13,946;15,791;562,789;438,998;-1,198;-1,203;-0,043;-0,051;0,274;0,012;1;0,968;0,026;0,051;0,971;0,84;0,271
"8";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;11;79,58;79,69;1,96;2,457;77,123;82,037;28,033;28,36;26,397;29,888;562,789;438,998;-1,07;-1,1;-0,166;-0,166;0,75;0,032;0,999;0,96;0,045;0,069;0,963;0,848;0,162
"9";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;12;184,836;184,688;1,96;5,579;179,257;190,415;63,649;63,726;59,934;67,86;562,789;438,998;-0,895;-0,919;-0,385;-0,363;1,508;0,02;1;0,976;0,041;0,043;0,985;0,977;0,328
"10";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;14;53,566;53,43;1,96;1,263;52,303;54,829;14,406;14,411;13,565;15,359;562,789;438,998;-0,031;-0,008;-1,06;-1,029;0,316;0,022;1;0,903;0,462;0,485;0,892;0,991;0,119
