NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
252,4,1,4,0.5
1497,7,1,4,0.5
90,10,1,4,0.5
161,12,1,3,0.02
12,13,1,4,0.5
288,16,1,4,0.5
161,18,1,3,0.02
18,19,1,4,0.5
161,21,1,3,0.02
21,22,1,4,0.5
255,25,1,4,0.5
161,27,1,3,0.02
27,28,1,4,0.5
108,31,1,4,0.5
57,34,1,4,0.5
291,37,1,4,0.5
144,40,1,4,0.5
161,42,1,3,0.02
42,43,1,4,0.5
846,46,1,4,0.5
192,49,1,4,0.5
161,51,1,3,0.02
51,52,1,4,0.5
897,55,1,4,0.5
161,57,1,3,0.02
57,58,1,4,0.5
876,61,1,4,0.5
69,64,1,4,0.5
234,67,1,4,0.5
161,69,1,3,0.02
69,70,1,4,0.5
618,73,1,4,0.5
161,75,1,3,0.02
75,76,1,4,0.5
1293,79,1,4,0.5
161,81,1,3,0.02
81,82,1,4,0.5
105,85,1,4,0.5
174,88,1,4,0.5
563,90,1,3,0.02
90,91,1,4,0.5
161,93,1,3,0.02
93,94,1,4,0.5
831,97,1,4,0.5
1323,100,1,4,0.5
161,102,1,3,0.02
102,103,1,4,0.5
161,105,1,3,0.02
105,106,1,4,0.5
161,108,1,3,0.02
108,109,1,4,0.5
282,112,1,4,0.5
183,115,1,4,0.5
210,118,1,4,0.5
813,121,1,4,0.5
690,124,1,4,0.5
1296,127,1,4,0.5
900,130,1,4,0.5
161,132,1,3,0.02
132,133,1,4,0.5
1395,136,1,4,0.5
161,138,1,3,0.02
138,139,1,4,0.5
207,142,1,4,0.5
161,144,1,3,0.02
144,145,1,4,0.5
162,148,1,4,0.5
138,151,1,4,0.5
204,154,1,4,0.5
807,157,1,4,0.5
264,160,1,4,0.5
1,161,54,2,0.2
161,162,1,3,0.02
162,163,1,4,0.5
213,166,1,4,0.5
161,168,1,3,0.02
168,169,1,4,0.5
198,172,1,4,0.5
161,174,1,3,0.02
174,175,1,4,0.5
189,178,1,4,0.5
237,181,1,4,0.5
161,183,1,3,0.02
183,184,1,4,0.5
75,187,1,4,0.5
161,189,1,3,0.02
189,190,1,4,0.5
161,192,1,3,0.02
192,193,1,4,0.5
300,196,1,4,0.5
161,198,1,3,0.02
198,199,1,4,0.5
270,202,1,4,0.5
161,204,1,3,0.02
204,205,1,4,0.5
161,207,1,3,0.02
207,208,1,4,0.5
161,210,1,3,0.02
210,211,1,4,0.5
161,213,1,3,0.02
213,214,1,4,0.5
627,217,1,4,0.5
168,220,1,4,0.5
161,222,1,3,0.02
222,223,1,4,0.5
606,226,1,4,0.5
161,228,1,3,0.02
228,229,1,4,0.5
161,231,1,3,0.02
231,232,1,4,0.5
161,234,1,3,0.02
234,235,1,4,0.5
161,237,1,3,0.02
237,238,1,4,0.5
258,241,1,4,0.5
267,244,1,4,0.5
1130,246,1,3,0.02
246,247,1,4,0.5
42,250,1,4,0.5
161,252,1,3,0.02
252,253,1,4,0.5
161,255,1,3,0.02
255,256,1,4,0.5
161,258,1,3,0.02
258,259,1,4,0.5
1329,262,1,4,0.5
161,264,1,3,0.02
264,265,1,4,0.5
161,267,1,3,0.02
267,268,1,4,0.5
161,270,1,3,0.02
270,271,1,4,0.5
294,274,1,4,0.5
696,277,1,4,0.5
161,279,1,3,0.02
279,280,1,4,0.5
161,282,1,3,0.02
282,283,1,4,0.5
161,285,1,3,0.02
285,286,1,4,0.5
161,288,1,3,0.02
288,289,1,4,0.5
161,291,1,3,0.02
291,292,1,4,0.5
1130,294,1,3,0.02
294,295,1,4,0.5
161,297,1,3,0.02
297,298,1,4,0.5
161,300,1,3,0.02
300,301,1,4,0.5
12,304,1,4,0.5
798,307,1,4,0.5
563,309,1,3,0.02
309,310,1,4,0.5
393,313,1,4,0.5
372,316,1,4,0.5
1305,319,1,4,0.5
279,322,1,4,0.5
486,325,1,4,0.5
345,328,1,4,0.5
810,331,1,4,0.5
357,334,1,4,0.5
342,337,1,4,0.5
498,340,1,4,0.5
563,342,1,3,0.02
342,343,1,4,0.5
563,345,1,3,0.02
345,346,1,4,0.5
1338,349,1,4,0.5
27,352,1,4,0.5
563,354,1,3,0.02
354,355,1,4,0.5
1130,357,1,3,0.02
357,358,1,4,0.5
563,360,1,3,0.02
360,361,1,4,0.5
1242,364,1,4,0.5
378,367,1,4,0.5
1485,370,1,4,0.5
563,372,1,3,0.02
372,373,1,4,0.5
780,376,1,4,0.5
563,378,1,3,0.02
378,379,1,4,0.5
563,381,1,3,0.02
381,382,1,4,0.5
563,384,1,3,0.02
384,385,1,4,0.5
474,388,1,4,0.5
1314,391,1,4,0.5
563,393,1,3,0.02
393,394,1,4,0.5
563,396,1,3,0.02
396,397,1,4,0.5
384,400,1,4,0.5
768,403,1,4,0.5
414,406,1,4,0.5
519,409,1,4,0.5
1398,412,1,4,0.5
563,414,1,3,0.02
414,415,1,4,0.5
396,418,1,4,0.5
563,420,1,3,0.02
420,421,1,4,0.5
563,423,1,3,0.02
423,424,1,4,0.5
444,427,1,4,0.5
582,430,1,4,0.5
423,433,1,4,0.5
600,436,1,4,0.5
354,439,1,4,0.5
507,442,1,4,0.5
563,444,1,3,0.02
444,445,1,4,0.5
563,447,1,3,0.02
