NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1647,4,1,4,0.5
1628,7,1,4,0.5
1619,10,1,4,0.5
1647,13,1,4,0.5
1631,16,1,4,0.25
1639,19,1,4,0.5
1656,22,1,4,1.0
1637,25,1,4,1.0
1636,28,1,4,0.5
1640,31,1,4,0.5
1649,34,1,4,0.5
1612,37,1,4,1.0
1632,40,1,4,0.3333333
1614,43,1,4,0.5
1629,46,1,4,0.5
1611,49,1,4,0.5
1628,52,1,4,0.5
1646,55,1,4,1.0
1649,58,1,4,0.5
1608,61,1,4,0.5
1626,64,1,4,0.3333333
1617,67,1,4,0.25
1626,70,1,4,0.3333333
1642,73,1,4,0.3333333
1617,76,1,4,0.25
1626,79,1,4,0.3333333
1631,82,1,4,0.25
1615,85,1,4,0.5
1631,88,1,4,0.25
1619,91,1,4,0.5
1634,94,1,4,0.5
1624,97,1,4,0.5
1613,100,1,4,1.0
1624,103,1,4,0.5
1639,106,1,4,0.5
1640,109,1,4,0.5
1625,112,1,4,1.0
1620,115,1,4,0.3333333
1648,118,1,4,0.5
1608,121,1,4,0.5
1609,124,1,4,0.5
1632,127,1,4,0.3333333
1641,130,1,4,0.3333333
1607,133,1,4,1.0
1645,136,1,4,0.5
1651,139,1,4,1.0
1616,142,1,4,0.3333333
1632,145,1,4,0.3333333
1621,148,1,4,0.3333333
1617,151,1,4,0.25
1652,154,1,4,0.5
1655,157,1,4,1.0
1623,160,1,4,0.3333333
1621,163,1,4,0.3333333
1627,166,1,4,0.5
1609,169,1,4,0.5
1642,172,1,4,0.3333333
1631,175,1,4,0.25
1616,178,1,4,0.3333333
1630,181,1,4,0.25
1620,184,1,4,0.3333333
1610,187,1,4,0.5
1617,190,1,4,0.25
1611,193,1,4,0.5
1650,196,1,4,1.0
1642,199,1,4,0.3333333
1618,202,1,4,0.5
1652,205,1,4,0.5
1616,208,1,4,0.3333333
1648,211,1,4,0.5
1627,214,1,4,0.5
1618,217,1,4,0.5
1635,220,1,4,0.5
1634,223,1,4,0.5
1645,226,1,4,0.5
1653,229,1,4,0.5
1638,232,1,4,1.0
1653,235,1,4,0.5
1635,238,1,4,0.5
1630,241,1,4,0.25
1633,244,1,4,0.5
1641,247,1,4,0.3333333
1614,250,1,4,0.5
1615,253,1,4,0.5
1623,256,1,4,0.3333333
1630,259,1,4,0.25
1620,262,1,4,0.3333333
1623,265,1,4,0.3333333
1633,268,1,4,0.5
1630,271,1,4,0.25
1644,274,1,4,0.5
1636,277,1,4,0.5
1610,280,1,4,0.5
1641,283,1,4,0.3333333
1629,286,1,4,0.5
1654,289,1,4,1.0
1643,292,1,4,1.0
1644,295,1,4,0.5
1622,298,1,4,1.0
1621,301,1,4,0.3333333
1522,304,1,4,0.25
1528,307,1,4,1.0
1533,310,1,4,0.3333333
1535,313,1,4,0.5
1513,316,1,4,0.5
1551,319,1,4,0.5
1550,322,1,4,0.3333333
1556,325,1,4,0.3333333
1519,328,1,4,0.25
1529,331,1,4,1.0
1510,334,1,4,0.5
1510,337,1,4,0.5
1522,340,1,4,0.25
1535,343,1,4,0.5
1519,346,1,4,0.25
1523,349,1,4,0.5
1547,352,1,4,1.0
1550,355,1,4,0.3333333
1539,358,1,4,0.3333333
1537,361,1,4,1.0
1549,364,1,4,1.0
1521,367,1,4,0.5
1526,370,1,4,1.0
1513,373,1,4,0.5
1530,376,1,4,1.0
1516,379,1,4,1.0
1536,382,1,4,1.0
1545,385,1,4,1.0
1518,388,1,4,0.5
1512,391,1,4,0.2
1543,394,1,4,1.0
1512,397,1,4,0.2
1539,400,1,4,0.3333333
1534,403,1,4,1.0
1514,406,1,4,0.5
1540,409,1,4,0.3333333
1515,412,1,4,0.25
1514,415,1,4,0.5
1531,418,1,4,0.2
1542,421,1,4,0.5
1512,424,1,4,0.2
1553,427,1,4,1.0
1525,430,1,4,0.25
1507,433,1,4,1.0
1552,436,1,4,1.0
1508,439,1,4,0.5
1527,442,1,4,0.5
1522,445,1,4,0.25
1523,448,1,4,0.5
1531,451,1,4,0.2
1515,454,1,4,0.25
1519,457,1,4,0.25
1546,460,1,4,0.5
1532,463,1,4,1.0
1515,466,1,4,0.25
1533,469,1,4,0.3333333
1554,472,1,4,1.0
1518,475,1,4,0.5
1531,478,1,4,0.2
1524,481,1,4,0.5
1512,484,1,4,0.2
1556,487,1,4,0.3333333
1520,490,1,4,1.0
1540,493,1,4,0.3333333
1508,496,1,4,0.5
1522,499,1,4,0.25
1538,502,1,4,0.3333333
1548,505,1,4,1.0
1527,508,1,4,0.5
1555,511,1,4,1.0
1515,514,1,4,0.25
1521,517,1,4,0.5
1540,520,1,4,0.3333333
1509,523,1,4,0.3333333
1533,526,1,4,0.3333333
1544,529,1,4,0.5
1539,532,1,4,0.3333333
1531,535,1,4,0.2
1524,538,1,4,0.5
1538,541,1,4,0.3333333
1531,544,1,4,0.2
1525,547,1,4,0.25
1519,550,1,4,0.25
1550,553,1,4,0.3333333
1546,556,1,4,0.5
1509,559,1,4,0.3333333
1512,562,1,4,0.2
1544,565,1,4,0.5
1509,568,1,4,0.3333333
1538,571,1,4,0.3333333
1517,574,1,4,0.5
1511,577,1,4,0.5
1556,580,1,4,0.3333333
1525,583,1,4,0.25
1541,586,1,4,1.0
1511,589,1,4,0.5
1542,592,1,4,0.5
1517,595,1,4,0.5
1525,598,1,4,0.25
1551,601,1,4,0.5
1571,604,1,4,0.2
1570,607,1,4,0.5
1599,610,1,4,1.0
1598,613,1,4,1.0
1567,616,1,4,0.3333333
1587,619,1,4,1.0
1584,622,1,4,1.0
1565,625,1,4,0.3333333
1578,628,1,4,0.3333333
1604,631,1,4,0.5
1574,634,1,4,0.3333333
1574,637,1,4,0.3333333
1571,640,1,4,0.2
1578,643,1,4,0.3333333
1559,646,1,4,0.3333333
1603,649,1,4,1.0
1576,652,1,4,1.0
1558,655,1,4,0.1666667
1574,658,1,4,0.3333333
1575,661,1,4,0.5
1583,664,1,4,0.3333333
1561,667,1,4,0.25
1562,670,1,4,1.0
1567,673,1,4,0.3333333
1595,676,1,4,1.0
1589,679,1,4,1.0
1559,682,1,4,0.3333333
1571,685,1,4,0.2
1606,688,1,4,0.5
1601,691,1,4,1.0
1583,694,1,4,0.3333333
1586,697,1,4,1.0
1578,700,1,4,0.3333333
1570,703,1,4,0.5
1604,706,1,4,0.5
1558,709,1,4,0.1666667
1577,712,1,4,0.3333333
1602,715,1,4,0.5
1561,718,1,4,0.25
1575,721,1,4,0.5
1566,724,1,4,1.0
1558,727,1,4,0.1666667
1600,730,1,4,0.5
1594,733,1,4,1.0
1590,736,1,4,0.5
1569,739,1,4,0.3333333
1561,742,1,4,0.25
1571,745,1,4,0.2
1596,748,1,4,1.0
1588,751,1,4,0.3333333
1577,754,1,4,0.3333333
1559,757,1,4,0.3333333
1588,760,1,4,0.3333333
1558,763,1,4,0.1666667
1568,766,1,4,0.3333333
1579,769,1,4,0.5
1567,772,1,4,0.3333333
1565,775,1,4,0.3333333
1572,778,1,4,0.3333333
1579,781,1,4,0.5
1602,784,1,4,0.5
1606,787,1,4,0.5
1580,790,1,4,0.5
1591,793,1,4,1.0
1558,796,1,4,0.1666667
1571,799,1,4,0.2
1582,802,1,4,0.2
1568,805,1,4,0.3333333
1572,808,1,4,0.3333333
1593,811,1,4,1.0
1568,814,1,4,0.3333333
1588,817,1,4,0.3333333
1557,820,1,4,1.0
1572,823,1,4,0.3333333
1590,826,1,4,0.5
1585,829,1,4,0.5
1583,832,1,4,0.3333333
1580,835,1,4,0.5
1573,838,1,4,0.5
1582,841,1,4,0.2
1561,844,1,4,0.25
1600,847,1,4,0.5
1592,850,1,4,1.0
1558,853,1,4,0.1666667
1573,856,1,4,0.5
1582,859,1,4,0.2
1569,862,1,4,0.3333333
1585,865,1,4,0.5
1582,868,1,4,0.2
1582,871,1,4,0.2
1581,874,1,4,0.5
1564,877,1,4,1.0
1565,880,1,4,0.3333333
1605,883,1,4,1.0
1597,886,1,4,1.0
1577,889,1,4,0.3333333
1560,892,1,4,1.0
1581,895,1,4,0.5
1563,898,1,4,1.0
1569,901,1,4,0.3333333
1714,904,1,4,0.25
1755,907,1,4,0.5
1753,910,1,4,1.0
1707,913,1,4,0.5
1732,916,1,4,0.3333333
1752,919,1,4,0.5
1739,922,1,4,0.3333333
1741,925,1,4,0.3333333
1715,928,1,4,0.5
1733,931,1,4,0.3333333
1729,934,1,4,0.5
1740,937,1,4,0.5
1742,940,1,4,0.5
1715,943,1,4,0.5
1718,946,1,4,1.0
1741,949,1,4,0.3333333
1743,952,1,4,0.5
1727,955,1,4,0.5
1729,958,1,4,0.5
1710,961,1,4,0.5
1754,964,1,4,0.3333333
1735,967,1,4,0.5
1708,970,1,4,1.0
1713,973,1,4,0.3333333
1754,976,1,4,0.3333333
1737,979,1,4,1.0
1731,982,1,4,0.5
1707,985,1,4,0.5
1709,988,1,4,0.5
1743,991,1,4,0.5
1750,994,1,4,1.0
1749,997,1,4,1.0
1740,1000,1,4,0.5
1730,1003,1,4,0.5
1714,1006,1,4,0.25
1739,1009,1,4,0.3333333
1722,1012,1,4,0.3333333
1733,1015,1,4,0.3333333
1745,1018,1,4,0.5
1710,1021,1,4,0.5
1720,1024,1,4,0.5
1714,1027,1,4,0.25
1727,1030,1,4,0.5
1724,1033,1,4,0.5
1719,1036,1,4,0.3333333
1748,1039,1,4,0.5
