NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1632,4,1,4,0.5
1615,7,1,4,0.5
1644,10,1,4,0.5
1614,13,1,4,0.5
1630,16,1,4,0.5
1651,19,1,4,0.5
1632,22,1,4,0.5
1607,25,1,4,0.5
1628,28,1,4,0.5
1631,31,1,4,0.5
1626,34,1,4,0.5
1614,37,1,4,0.5
1627,40,1,4,0.5
1652,43,1,4,0.5
1634,46,1,4,0.5
1629,49,1,4,0.5
1649,52,1,4,0.5
1655,55,1,4,0.5
1626,58,1,4,0.5
1647,61,1,4,0.5
1617,64,1,4,0.5
1642,67,1,4,0.5
1617,70,1,4,0.5
1609,73,1,4,0.5
1642,76,1,4,0.5
1656,79,1,4,0.5
1654,82,1,4,0.5
1635,85,1,4,0.5
1609,88,1,4,0.5
1644,91,1,4,0.5
1624,94,1,4,0.5
1618,97,1,4,0.5
1656,100,1,4,0.5
1618,103,1,4,0.5
1631,106,1,4,0.5
1639,109,1,4,0.5
1613,112,1,4,0.5
1612,115,1,4,0.5
1611,118,1,4,0.5
1641,121,1,4,0.5
1640,124,1,4,0.5
1652,127,1,4,0.5
1608,130,1,4,0.5
1653,133,1,4,0.5
1616,136,1,4,0.5
1647,139,1,4,0.5
1638,142,1,4,0.5
1627,145,1,4,0.5
1619,148,1,4,0.5
1648,151,1,4,0.5
1645,154,1,4,0.5
1633,157,1,4,0.5
1620,160,1,4,0.5
1619,163,1,4,0.5
1634,166,1,4,0.5
1640,169,1,4,0.5
1623,172,1,4,0.5
1621,175,1,4,0.5
1638,178,1,4,0.5
1622,181,1,4,0.5
1612,184,1,4,0.5
1651,187,1,4,0.5
1607,190,1,4,0.5
1629,193,1,4,0.5
1650,196,1,4,0.5
1623,199,1,4,0.5
1610,202,1,4,0.5
1645,205,1,4,0.5
1653,208,1,4,0.5
1611,211,1,4,0.5
1613,214,1,4,0.5
1610,217,1,4,0.5
1646,220,1,4,0.5
1624,223,1,4,0.5
1616,226,1,4,0.5
1637,229,1,4,0.5
1636,232,1,4,0.5
1648,235,1,4,0.5
1646,238,1,4,0.5
1643,241,1,4,0.5
1625,244,1,4,0.5
1608,247,1,4,0.5
1615,250,1,4,0.5
1635,253,1,4,0.5
1620,256,1,4,0.5
1643,259,1,4,0.5
1639,262,1,4,0.5
1637,265,1,4,0.5
1625,268,1,4,0.5
1622,271,1,4,0.5
1633,274,1,4,0.5
1628,277,1,4,0.5
1630,280,1,4,0.5
1641,283,1,4,0.5
1621,286,1,4,0.5
1654,289,1,4,0.5
1649,292,1,4,0.5
1636,295,1,4,0.5
1655,298,1,4,0.5
1650,301,1,4,0.5
1516,304,1,4,0.5
1543,307,1,4,0.5
1550,310,1,4,0.5
1507,313,1,4,0.5
1548,316,1,4,0.5
1540,319,1,4,0.5
1524,322,1,4,0.5
1532,325,1,4,0.5
1515,328,1,4,0.5
1528,331,1,4,0.5
1555,334,1,4,0.5
1555,337,1,4,0.5
1529,340,1,4,0.5
1507,343,1,4,0.5
1552,346,1,4,0.5
1546,349,1,4,0.5
1537,352,1,4,0.5
1516,355,1,4,0.5
1517,358,1,4,0.5
1509,361,1,4,0.5
1553,364,1,4,0.5
1520,367,1,4,0.5
1527,370,1,4,0.5
1548,373,1,4,0.5
1513,376,1,4,0.5
1551,379,1,4,0.5
1535,382,1,4,0.5
1543,385,1,4,0.5
1533,388,1,4,0.5
1518,391,1,4,0.5
1513,394,1,4,0.5
1518,397,1,4,0.5
1517,400,1,4,0.5
1544,403,1,4,0.5
1510,406,1,4,0.5
1511,409,1,4,0.5
1509,412,1,4,0.5
1510,415,1,4,0.5
1546,418,1,4,0.5
1549,421,1,4,0.5
1544,424,1,4,0.5
1535,427,1,4,0.5
1526,430,1,4,0.5
1551,433,1,4,0.5
1538,436,1,4,0.5
1536,439,1,4,0.5
1531,442,1,4,0.5
1529,445,1,4,0.5
1534,448,1,4,0.5
1541,451,1,4,0.5
1545,454,1,4,0.5
1552,457,1,4,0.5
1512,460,1,4,0.5
1537,463,1,4,0.5
1519,466,1,4,0.5
1550,469,1,4,0.5
1528,472,1,4,0.5
1533,475,1,4,0.5
1541,478,1,4,0.5
1525,481,1,4,0.5
1554,484,1,4,0.5
1514,487,1,4,0.5
1530,490,1,4,0.5
1534,493,1,4,0.5
1536,496,1,4,0.5
1539,499,1,4,0.5
1522,502,1,4,0.5
1519,505,1,4,0.5
1531,508,1,4,0.5
1530,511,1,4,0.5
