"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf";"mediaLimSup";"stdOrig";"stdRed";"stdLimInf";"stdLimSup";"chi2_lower";"chi2_upper";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"1";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;1;79,578;79,578;1,96;1,725;77,853;81,303;19,684;19,684;18,535;20,986;562,789;438,998;0,285;0,285;-1,312;-1,312;0;0;1;1;1;1;1;1;1
"2";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;2;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
"3";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;6;350,984;350,984;1,96;9,433;341,551;360,417;107,621;107,621;101,338;114,74;562,789;438,998;0,149;0,149;-1,048;-1,048;0;0;1;1;1;1;1;1;1
"4";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;7;83,458;83,458;1,96;2,156;81,302;85,614;24,594;24,594;23,159;26,221;562,789;438,998;1,232;1,232;0,552;0,552;0;0;1;1;1;1;1;1;1
"5";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;8;20,34;20,34;1,96;0,525;19,815;20,865;5,99;5,99;5,641;6,387;562,789;438,998;1,265;1,265;0,571;0,571;0;0;1;1;1;1;0,998;1;1
"6";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;9;9,512;9,512;1,96;0,247;9,265;9,759;2,82;2,82;2,655;3,006;562,789;438,998;1,267;1,267;0,546;0,546;0;0;1;1;1;1;0,995;1;1
"7";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;10;25,052;25,052;1,96;0,653;24,399;25,705;7,445;7,445;7,011;7,938;562,789;438,998;1,274;1,274;0,554;0,554;0;0;1;1;1;1;0,996;1;1
"8";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;11;50,778;50,778;1,96;1,342;49,436;52,12;15,309;15,309;14,416;16,322;562,789;438,998;1,187;1,187;0,478;0,478;0;0;1;1;1;1;0,999;1;1
"9";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;12;130,478;130,478;1,96;3,372;127,106;133,85;38,47;38,47;36,224;41,014;562,789;438,998;0,634;0,634;-0,363;-0,363;0;0;1;1;1;1;0,999;1;1
"10";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;14;38,29;38,29;1,96;0,786;37,504;39,076;8,968;8,968;8,444;9,561;562,789;438,998;-0,426;-0,426;-1,114;-1,114;0;0;1;1;1;1;0,998;1;1
"11";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;15;24,722;24,722;1,96;0,51;24,212;25,232;5,816;5,816;5,476;6,201;562,789;438,998;-0,4;-0,4;-1,146;-1,146;0;0;1;1;1;1;1;1;1
"12";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;16;1,12;1,12;1,96;0,037;1,083;1,157;0,417;0,417;0,392;0,444;562,789;438,998;0,771;0,771;1,845;1,845;0;0;1;1;1;1;0,987;0,998;1
"13";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;17;454,662;454,662;1,96;10,218;444,444;464,88;116,575;116,575;109,77;124,286;562,789;438,998;-0,353;-0,353;-1,064;-1,064;0;0;1;1;1;1;1;1;1
"14";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;18;264,96;264,96;1,96;5,877;259,083;270,837;67,052;67,052;63,138;71,488;562,789;438,998;0,004;0,004;-0,621;-0,621;0;0;1;1;1;1;1;1;1
"15";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;22;74,466;74,466;1,96;2,62;71,846;77,086;29,891;29,891;28,146;31,868;562,789;438,998;0,165;0,165;-1,201;-1,201;0;0;1;1;1;1;0,999;1;1
"16";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;23;26,508;26,508;1,96;0,54;25,968;27,048;6,158;6,158;5,799;6,565;562,789;438,998;-0,053;-0,053;-0,742;-0,742;0;0;1;1;1;1;0,999;1;1
"17";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;24;197,716;197,716;1,96;5,51;192,206;203,226;62,863;62,863;59,193;67,022;562,789;438,998;0,428;0,428;-0,309;-0,309;0;0;1;1;1;1;1;1;1
"18";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;25;251,284;251,284;1,96;7,643;243,641;258,927;87,202;87,202;82,112;92,971;562,789;438,998;0,884;0,884;0,001;0,001;0;0;1;1;1;1;1;1;1
"19";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;28;3,792;3,792;1,96;0,128;3,664;3,92;1,456;1,456;1,371;1,553;562,789;438,998;0,352;0,352;0,308;0,308;0;0;1;1;1;1;0,991;0,999;1
"20";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;31;189,54;189,54;1,96;5,078;184,462;194,618;57,937;57,937;54,555;61,77;562,789;438,998;0,684;0,684;-0,335;-0,335;0;0;1;1;1;1;0,999;1;1
"21";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;32;55,946;55,946;1,96;1,172;54,774;57,118;13,375;13,375;12,595;14,26;562,789;438,998;0,559;0,559;-0,678;-0,678;0;0;1;1;1;1;1;1;1
"22";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;33;771,6;771,6;1,96;18,405;753,195;790,005;209,983;209,983;197,725;223,874;562,789;438,998;0,935;0,935;-0,322;-0,322;0;0;1;1;1;1;1;1;1
"23";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;34;445,552;445,552;1,96;10,174;435,378;455,726;116,075;116,075;109,299;123,754;562,789;438,998;-0,182;-0,182;-1,409;-1,409;0;0;1;1;1;1;1;1;1
"24";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;47;272,314;272,314;1,96;6,786;265,528;279,1;77,423;77,423;72,904;82,545;562,789;438,998;0,628;0,628;-0,93;-0,93;0;0;1;1;1;1;1;1;1
"25";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;48;6,112;6,112;1,96;0,229;5,883;6,341;2,612;2,612;2,46;2,785;562,789;438,998;1,303;1,303;1,226;1,226;0;0;1;1;1;1;1;1;1
