etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
FW,5,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,5,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,5,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,5,2,26,0.444,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,2,26,0.444,1,ANGRA2,2,35.0,20.0,700.0
FW,5,2,26,0.444,1,ANGRA2,3,35.0,30.0,1050.0
FW,5,2,26,0.444,1,ANGRA2,4,35.0,40.0,1400.0
FW,5,2,71,0.555,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,2,71,0.555,1,ANGRA2,2,500.0,20.0,10000.0
FW,5,2,71,0.555,1,ANGRA2,3,500.0,30.0,15000.0
FW,5,2,71,0.555,1,ANGRA2,4,500.0,40.0,20000.0
FW,5,3,27,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,3,27,1.0,1,ANGRA2,2,-0.0,20.0,-0.0
FW,5,3,27,1.0,1,ANGRA2,3,-0.0,30.0,-0.0
FW,5,3,27,1.0,1,ANGRA2,4,-0.0,40.0,-0.0
FW,5,3,72,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,3,72,1.0,1,ANGRA2,2,164.7,20.0,3294.0
FW,5,3,72,1.0,1,ANGRA2,3,164.7,30.0,4941.0
FW,5,3,72,1.0,1,ANGRA2,4,164.7,40.0,6588.0
FW,5,4,10,0.25,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,10,0.25,1,ANGRA2,2,-0.0,20.0,-0.0
FW,5,4,10,0.25,1,ANGRA2,3,-0.0,30.0,-0.0
FW,5,4,10,0.25,1,ANGRA2,4,-0.0,40.0,-0.0
FW,5,4,19,0.25,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,19,0.25,1,ANGRA2,2,80.3,20.0,1606.0
FW,5,4,19,0.25,1,ANGRA2,3,80.3,30.0,2409.0
FW,5,4,19,0.25,1,ANGRA2,4,80.3,40.0,3212.0
FW,5,4,28,0.25,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,28,0.25,1,ANGRA2,2,134.3,20.0,2686.0
FW,5,4,28,0.25,1,ANGRA2,3,134.3,30.0,4029.0000000000005
FW,5,4,28,0.25,1,ANGRA2,4,134.3,40.0,5372.0
FW,5,4,37,0.25,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,37,0.25,1,ANGRA2,2,108.0,20.0,2160.0
FW,5,4,37,0.25,1,ANGRA2,3,108.0,30.0,3240.0
FW,5,4,37,0.25,1,ANGRA2,4,108.0,40.0,4320.0
FW,5,4,46,0.2,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,46,0.2,1,ANGRA2,2,133.0,20.0,2660.0
FW,5,4,46,0.2,1,ANGRA2,3,133.0,30.0,3990.0
FW,5,4,46,0.2,1,ANGRA2,4,133.0,40.0,5320.0
FW,5,4,52,0.2,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,52,0.2,1,ANGRA2,2,-0.0,20.0,-0.0
FW,5,4,52,0.2,1,ANGRA2,3,-0.0,30.0,-0.0
FW,5,4,52,0.2,1,ANGRA2,4,-0.0,40.0,-0.0
FW,5,4,64,0.2,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,64,0.2,1,ANGRA2,2,114.7,20.0,2294.0
FW,5,4,64,0.2,1,ANGRA2,3,114.7,30.0,3441.0
FW,5,4,64,0.2,1,ANGRA2,4,114.7,40.0,4588.0
FW,5,4,73,0.4,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,73,0.4,1,ANGRA2,2,192.3,20.0,3846.0
FW,5,4,73,0.4,1,ANGRA2,3,192.3,30.0,5769.0
FW,5,4,73,0.4,1,ANGRA2,4,192.3,40.0,7692.0
