etapa,iter,est,node,prob,Submercado,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CMO
FW,1,1,1,1.0,1,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,30.0
FW,1,2,26,0.444,1,2000.0,300.0,1700.0,0.0,0.0,2109.0,0.0,409.0,3000.0,10.0
FW,1,2,71,0.555,1,2000.0,1294.0,706.0,0.0,0.0,706.0,0.0,0.0,28819.999999999996,30.0
FW,1,3,27,1.0,1,2000.0,434.0,1566.0,0.0,0.0,1157.0,409.0,0.0,4340.0,10.0
FW,1,3,72,1.0,1,2000.0,1163.0,837.0,0.0,0.0,837.0,0.0,0.0,24890.0,30.0
FW,1,4,10,0.25,1,2000.0,871.0,1129.0,0.0,0.0,1129.0,0.0,0.0,16130.000000000002,30.0
FW,1,4,19,0.25,1,2000.0,1112.0,888.0,0.0,0.0,888.0,0.0,0.0,23360.0,30.0
FW,1,4,28,0.25,1,2000.0,1274.0,726.0,0.0,0.0,726.0,0.0,0.0,28220.0,30.0
FW,1,4,37,0.25,1,2000.0,1195.0000000000002,805.0,0.0,0.0,805.0,0.0,0.0,25850.000000000004,30.0
FW,1,4,46,0.2,1,2000.0,1436.0,564.0,0.0,0.0,564.0,0.0,0.0,33080.0,30.0
FW,1,4,52,0.2,1,2000.0,1037.0,963.0,0.0,0.0,963.0,0.0,0.0,21110.0,30.0
FW,1,4,64,0.2,1,2000.0,1381.0,619.0,0.0,0.0,619.0,0.0,0.0,31429.999999999993,30.0
FW,1,4,73,0.4,1,2000.0,1614.0,386.0,0.0,0.0,386.0,0.0,0.0,38420.00000000001,30.0
FW,2,1,1,1.0,1,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,30.0
FW,2,2,26,0.444,1,2000.0,1180.3333333333335,819.6666666666667,0.0,0.0,2109.0,0.0,1289.3333333333333,25410.0,30.0
FW,2,2,71,0.555,1,2000.0,2000.0,0.0,0.0,0.0,706.0,0.0,706.0,50000.0,30.0
FW,2,3,27,1.0,1,2000.0,333.33333333333326,1666.6666666666667,0.0,0.0,1157.0,1289.3333333333333,779.6666666666666,3333.333333333329,10.0
FW,2,3,72,1.0,1,2000.0,1540.0666666666666,459.93333333333317,0.0,0.0,837.0,706.0,1083.0666666666668,36202.0,30.0
FW,2,4,10,0.25,1,2000.0,300.0,1700.0,0.0,0.0,1129.0,779.6666666666666,208.66666666666652,3000.0,10.0
FW,2,4,19,0.25,1,2000.0,332.3333333333335,1667.6666666666665,0.0,0.0,888.0,779.6666666666666,0.0,3323.333333333335,10.0
FW,2,4,28,0.25,1,2000.0,494.33333333333326,1505.6666666666667,0.0,0.0,726.0,779.6666666666666,0.0,4943.3333333333285,10.0
FW,2,4,37,0.25,1,2000.0,415.3333333333335,1584.6666666666665,0.0,0.0,805.0,779.6666666666666,0.0,4153.333333333335,10.0
FW,2,4,46,0.2,1,2000.0,352.93333333333317,1647.0666666666668,0.0,0.0,564.0,1083.0666666666668,0.0,3529.3333333333317,10.0
FW,2,4,52,0.2,1,2000.0,300.0,1700.0,0.0,0.0,963.0,1083.0666666666668,346.06666666666683,3000.0,10.0
FW,2,4,64,0.2,1,2000.0,300.0,1700.0,0.0,0.0,619.0,1083.0666666666668,2.0666666666668334,3000.0,10.0
