iter,est,noUso,usina,Indep,Coef
1,1,1,6,59124.15,-29.970000000000002
2,1,1,6,59124.15,-29.970000000000002
3,1,1,6,59124.15,-29.97
4,1,1,6,59124.15,-29.97
5,1,1,6,0.0,0.0
6,1,1,6,0.0,0.0
7,1,1,6,0.0,0.0
8,1,1,6,0.0,0.0
9,1,1,6,0.0,0.0
10,1,1,6,0.0,0.0
1,2,26,6,38680.0,-30.0
2,2,26,6,16775.0,-7.499999999999999
3,2,26,6,32824.999999999985,-22.5
4,2,26,6,35110.0,-25.000000000000004
5,2,26,6,0.0,0.0
6,2,26,6,0.0,0.0
7,2,26,6,0.0,0.0
8,2,26,6,0.0,0.0
9,2,26,6,0.0,0.0
10,2,26,6,0.0,0.0
1,2,71,6,57382.0,-30.0
2,2,71,6,57382.00000000001,-30.0
3,2,71,6,57382.000000000015,-30.0
4,2,71,6,57382.00000000001,-30.0
5,2,71,6,0.0,0.0
6,2,71,6,0.0,0.0
7,2,71,6,0.0,0.0
8,2,71,6,0.0,0.0
9,2,71,6,0.0,0.0
10,2,71,6,0.0,0.0
1,3,27,6,23390.0,-30.0
2,3,27,6,9702.499999999998,-7.499999999999998
3,3,27,6,20107.499999999996,-22.5
4,3,27,6,21535.0,-25.0
5,3,27,6,0.0,0.0
6,3,27,6,0.0,0.0
7,3,27,6,0.0,0.0
8,3,27,6,0.0,0.0
9,3,27,6,0.0,0.0
10,3,27,6,0.0,0.0
1,3,72,6,32492.000000000004,-30.0
2,3,72,6,19440.0,-14.0
3,3,72,6,28870.0,-24.0
4,3,72,6,30344.0,-26.0
5,3,72,6,0.0,0.0
6,3,72,6,0.0,0.0
7,3,72,6,0.0,0.0
8,3,72,6,0.0,0.0
9,3,72,6,0.0,0.0
10,3,72,6,0.0,0.0
