iter,est,no,usina,Indep,Coef
1,4,87,6,3000.0,0.0
1,4,88,6,8209.99999999999,-9.999999999999998
1,4,89,6,28220.0,-30.0
1,4,90,6,22325.0,-30.0
1,4,91,6,24574.999999999996,-30.0
1,4,92,6,38442.50000000001,-30.0
1,4,93,6,14892.500000000002,-30.0
1,4,94,6,32082.499999999993,-30.0
1,3,85,6,13762.221346000004,-13.333331999999999
1,3,86,6,44083.33333333334,-30.0
1,2,83,6,10642.221593777791,-13.333330666666798
1,2,84,6,65283.345560000016,-30.000024
1,1,1,6,97022.56793368803,-30.0
2,4,87,6,3000.0,0.0
2,4,88,6,3000.0,0.0
2,4,89,6,12739.999999999993,-9.999999999999998
2,4,90,6,3000.0,0.0
2,4,91,6,3000.0,0.0
2,4,92,6,38442.5,-30.0
2,4,93,6,3000.0,0.0
2,4,94,6,14027.499999999993,-9.999999999999998
2,3,85,6,7048.518113666665,-1.1111109999999997
2,3,86,6,44083.33933052634,-30.0
2,2,83,6,10841.211279030358,-9.999999999999998
2,2,84,6,65283.35155719781,-30.000024
2,1,1,6,97088.83549301085,-30.0
3,4,87,6,3000.0,0.0
3,4,88,6,3000.0,0.0
3,4,89,6,28220.0,-30.0
3,4,90,6,10775.0,-9.999999999999998
3,4,91,6,11524.99999999999,-9.999999999999998
3,4,92,6,38442.5,-30.0
3,4,93,6,3000.0,0.0
3,4,94,6,32082.499999999996,-30.0
3,3,85,6,10361.480745333338,-5.555555000000001
3,3,86,6,31797.24366000001,-16.66668
3,2,83,6,11214.760732571522,-10.0
3,2,84,6,65283.35248220349,-30.0
3,1,1,6,97213.22807709384,-30.0
4,4,87,6,3000.0,0.0
4,4,88,6,3000.0,0.0
4,4,89,6,28220.0,-30.0
4,4,90,6,22325.0,-30.0
4,4,91,6,24574.999999999996,-30.0
4,4,92,6,38442.5,-30.0
4,4,93,6,8297.499999999998,-9.999999999999998
4,4,94,6,32082.5,-30.0
4,3,85,6,12793.332901166676,-10.0
4,3,86,6,40853.36201600001,-25.555576
4,2,83,6,11703.332169000052,-10.0
4,2,84,6,65283.35715524008,-30.0
4,1,1,6,97375.92547766691,-30.0
