etapa,iter,est,node,prob,Submercado,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CMO
FW,5,1,1,1.0,1,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,30.0
FW,5,2,83,0.666,1,2000.0,1333.4165995885578,666.5834004114423,0.0,0.0,959.9999999999998,0.0,293.41659958855746,30002.497987656734,30.0
FW,5,2,84,0.33299999999999996,1,2000.0,500.0,1500.0,0.0,0.0,2109.0,0.0,609.0000000000002,5000.0,10.0
FW,5,3,85,0.5000004,1,2000.0,1651.2500670781092,348.74993292189106,0.0,0.0,669.6666666666667,293.41659958855746,614.3333333333331,39537.50201234327,30.0
FW,5,3,86,0.5000004,1,2000.0,500.00006707810917,1499.9999329218908,0.0,0.0,1536.3333333333337,293.41659958855746,329.75000000000006,5000.002012343275,30.0
FW,5,3,87,0.3333333,1,2000.0,300.0,1700.0,0.0,0.0,2381.0,609.0000000000002,1290.0,3000.0,10.0
FW,5,3,88,0.6666666,1,2000.0,500.0,1500.0,0.0,0.0,1405.0000000000002,609.0000000000002,514.0000000000008,5000.0,15.0
FW,5,4,89,0.6666666,1,2000.0,927.8333333333335,1072.1666666666665,0.0,0.0,457.83333333333337,614.3333333333331,0.0,17835.000000000004,30.0
FW,5,4,90,0.3333333,1,2000.0,500.0,1500.0,0.0,0.0,885.6666666666669,614.3333333333331,0.0,5000.0,30.0
FW,5,4,91,0.5555555,1,2000.0,948.05,1051.95,0.0,0.0,722.2,329.75000000000006,0.0,18441.5,30.0
FW,5,4,92,0.4444444,1,2000.0,500.0,1500.0,0.0,0.0,1170.25,329.75000000000006,0.0,5000.0,30.0
FW,5,4,93,0.6666666,1,2000.0,300.0,1700.0,0.0,0.0,1253.5,1290.0,843.5,3000.0,10.0
FW,5,4,94,0.3333333,1,2000.0,300.0,1700.0,0.0,0.0,1691.0,1290.0,1281.0,3000.0,10.0
FW,5,4,95,0.5000001000000001,1,2000.0,628.9999999999991,1371.000000000001,0.0,0.0,857.0,514.0000000000008,0.0,8869.999999999975,30.0
FW,5,4,96,0.5000001000000001,1,2000.0,300.0,1700.0,0.0,0.0,1285.0,514.0000000000008,99.00000000000091,3000.0,10.0
