iter,est,noUso,usina,Indep,Coef
1,1,1,6,47463.60681251316,-26.640015318000003
2,1,1,6,48237.283235569834,-23.310000332999934
3,1,1,6,48237.28658772932,-23.310000332999934
4,1,1,6,48237.2876533292,-23.310000332999934
5,1,1,6,0.0,0.0
6,1,1,6,0.0,0.0
7,1,1,6,0.0,0.0
8,1,1,6,0.0,0.0
9,1,1,6,0.0,0.0
10,1,1,6,0.0,0.0
1,2,83,6,44083.367000665385,-30.000024
2,2,83,6,37119.10303399676,-17.777791722222002
3,2,83,6,41682.8097227211,-23.333351166666
4,2,83,6,42779.29187173945,-25.5555749444436
5,2,83,6,0.0,0.0
6,2,83,6,0.0,0.0
7,2,83,6,0.0,0.0
8,2,83,6,0.0,0.0
9,2,83,6,0.0,0.0
10,2,83,6,0.0,0.0
1,2,84,6,19146.66465200001,-19.999998
2,2,84,6,15380.000371333143,-10.000000999999802
3,2,84,6,15380.000371333139,-10.000000999999802
4,2,84,6,15380.000371333139,-10.000000999999802
5,2,84,6,0.0,0.0
6,2,84,6,0.0,0.0
7,2,84,6,0.0,0.0
8,2,84,6,0.0,0.0
9,2,84,6,0.0,0.0
10,2,84,6,0.0,0.0
1,3,85,6,31986.663468,-29.999997
2,3,85,6,11281.109982999998,-6.666665999999998
3,3,85,6,25176.664149,-19.999998
4,3,85,6,27891.108322,-23.333331
5,3,85,6,0.0,0.0
6,3,85,6,0.0,0.0
7,3,85,6,0.0,0.0
8,3,85,6,0.0,0.0
9,3,85,6,0.0,0.0
10,3,85,6,0.0,0.0
1,3,86,6,22359.997764,-29.999997
2,3,86,6,8432.221378999995,-5.555554999999999
3,3,86,6,17074.442737,-16.666665
4,3,86,6,19428.886946,-21.111109
5,3,86,6,0.0,0.0
6,3,86,6,0.0,0.0
7,3,86,6,0.0,0.0
8,3,86,6,0.0,0.0
9,3,86,6,0.0,0.0
10,3,86,6,0.0,0.0
1,3,87,6,17870.003574000002,-30.000006000000003
2,3,87,6,13645.002729000003,-15.000003000000001
3,3,87,6,13645.002729000002,-15.000003000000001
4,3,87,6,13645.002729000002,-15.000003000000001
5,3,87,6,0.0,0.0
6,3,87,6,0.0,0.0
7,3,87,6,0.0,0.0
8,3,87,6,0.0,0.0
9,3,87,6,0.0,0.0
10,3,87,6,0.0,0.0
1,3,88,6,2999.9997000000003,0.0
2,3,88,6,2999.9997000000003,0.0
3,3,88,6,2999.9997000000003,0.0
4,3,88,6,2999.9997000000003,0.0
5,3,88,6,0.0,0.0
6,3,88,6,0.0,0.0
7,3,88,6,0.0,0.0
8,3,88,6,0.0,0.0
9,3,88,6,0.0,0.0
10,3,88,6,0.0,0.0
