etapa,iter,est,node,prob,Submercado,nome,usina,generation,VI,AFL,TURB,VERT,VF
FW,1,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,1,2,83,0.666,1,6,6,959.9999999999998,0.0,959.9999999999998,959.9999999999998,0.0,0.0
FW,1,2,84,0.33299999999999996,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,1,3,85,0.5000004,1,6,6,669.6666666666667,0.0,669.6666666666667,669.6666666666667,0.0,0.0
FW,1,3,86,0.5000004,1,6,6,1536.3333333333337,0.0,1536.3333333333337,1536.3333333333337,0.0,0.0
FW,1,3,87,0.6666666,1,6,6,1700.0,409.0,1405.0000000000002,1700.0,0.0,114.00000000000023
FW,1,3,88,0.3333333,1,6,6,1700.0,409.0,2381.0,1700.0,0.0,1090.0
FW,1,4,89,0.6666666,1,6,6,457.83333333333337,0.0,457.83333333333337,457.83333333333337,0.0,0.0
FW,1,4,90,0.3333333,1,6,6,885.6666666666669,0.0,885.6666666666669,885.6666666666669,0.0,0.0
FW,1,4,91,0.4444444,1,6,6,1170.25,0.0,1170.25,1170.25,0.0,0.0
FW,1,4,92,0.5555555,1,6,6,722.2,0.0,722.2,722.2,0.0,0.0
FW,1,4,93,0.5000001000000001,1,6,6,971.0000000000002,114.00000000000023,857.0,971.0000000000002,0.0,0.0
FW,1,4,94,0.5000001000000001,1,6,6,1399.0000000000002,114.00000000000023,1285.0,1399.0000000000002,0.0,0.0
FW,1,4,95,0.6666666,1,6,6,1700.0,1090.0,1253.5,1700.0,0.0,643.5
FW,1,4,96,0.3333333,1,6,6,1700.0,1090.0,1691.0,1700.0,0.0,1081.0
FW,2,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,2,2,83,0.666,1,6,6,0.0,0.0,959.9999999999998,0.0,0.0,959.9999999999998
