etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
FW,1,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,1,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,1,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,1,2,83,0.666,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,83,0.666,1,ANGRA2,2,180.0,20.0,3600.0
FW,1,2,83,0.666,1,ANGRA2,3,180.0,30.0,5400.0
FW,1,2,83,0.666,1,ANGRA2,4,180.0,40.0,7200.0
FW,1,2,84,0.33299999999999996,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,2,84,0.33299999999999996,1,ANGRA2,2,0.0,20.0,0.0
FW,1,2,84,0.33299999999999996,1,ANGRA2,3,0.0,30.0,0.0
FW,1,2,84,0.33299999999999996,1,ANGRA2,4,0.0,40.0,0.0
FW,1,3,85,0.5000004,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,3,85,0.5000004,1,ANGRA2,2,276.8,20.0,5536.0
FW,1,3,85,0.5000004,1,ANGRA2,3,276.8,30.0,8304.0
FW,1,3,85,0.5000004,1,ANGRA2,4,276.8,40.0,11072.0
FW,1,3,86,0.5000004,1,ANGRA1,1,463.7,10.0,4637.0
FW,1,3,86,0.5000004,1,ANGRA2,2,0.0,20.0,0.0
FW,1,3,86,0.5000004,1,ANGRA2,3,0.0,30.0,0.0
FW,1,3,86,0.5000004,1,ANGRA2,4,0.0,40.0,0.0
FW,1,3,87,0.6666666,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,3,87,0.6666666,1,ANGRA2,2,0.0,20.0,0.0
FW,1,3,87,0.6666666,1,ANGRA2,3,0.0,30.0,0.0
FW,1,3,87,0.6666666,1,ANGRA2,4,0.0,40.0,0.0
FW,1,3,88,0.3333333,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,3,88,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,1,3,88,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,1,3,88,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,1,4,89,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,89,0.6666666,1,ANGRA2,2,347.4,20.0,6948.0
FW,1,4,89,0.6666666,1,ANGRA2,3,347.4,30.0,10422.0
FW,1,4,89,0.6666666,1,ANGRA2,4,347.4,40.0,13896.0
FW,1,4,90,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,90,0.3333333,1,ANGRA2,2,204.8,20.0,4096.0
FW,1,4,90,0.3333333,1,ANGRA2,3,204.8,30.0,6144.0
FW,1,4,90,0.3333333,1,ANGRA2,4,204.8,40.0,8192.0
FW,1,4,91,0.4444444,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,91,0.4444444,1,ANGRA2,2,109.9,20.0,2198.0
FW,1,4,91,0.4444444,1,ANGRA2,3,109.9,30.0,3297.0
FW,1,4,91,0.4444444,1,ANGRA2,4,109.9,40.0,4396.0
FW,1,4,92,0.5555555,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,92,0.5555555,1,ANGRA2,2,259.3,20.0,5186.0
FW,1,4,92,0.5555555,1,ANGRA2,3,259.3,30.0,7779.0
FW,1,4,92,0.5555555,1,ANGRA2,4,259.3,40.0,10372.0
FW,1,4,93,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,93,0.5000001000000001,1,ANGRA2,2,176.3,20.0,3526.0
FW,1,4,93,0.5000001000000001,1,ANGRA2,3,176.3,30.0,5289.0
FW,1,4,93,0.5000001000000001,1,ANGRA2,4,176.3,40.0,7052.0
FW,1,4,94,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,94,0.5000001000000001,1,ANGRA2,2,33.7,20.0,674.0
FW,1,4,94,0.5000001000000001,1,ANGRA2,3,33.7,30.0,1011.0000000000001
FW,1,4,94,0.5000001000000001,1,ANGRA2,4,33.7,40.0,1348.0
FW,1,4,95,0.6666666,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,4,95,0.6666666,1,ANGRA2,2,0.0,20.0,0.0
FW,1,4,95,0.6666666,1,ANGRA2,3,0.0,30.0,0.0
FW,1,4,95,0.6666666,1,ANGRA2,4,0.0,40.0,0.0
FW,1,4,96,0.3333333,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,4,96,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,1,4,96,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,1,4,96,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,2,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,2,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,2,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,2,2,83,0.666,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,2,83,0.666,1,ANGRA2,2,500.0,20.0,10000.0
FW,2,2,83,0.666,1,ANGRA2,3,500.0,30.0,15000.0
FW,2,2,83,0.666,1,ANGRA2,4,500.0,40.0,20000.0
FW,2,2,84,0.33299999999999996,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,2,84,0.33299999999999996,1,ANGRA2,2,-0.0,20.0,-0.0
FW,2,2,84,0.33299999999999996,1,ANGRA2,3,-0.0,30.0,-0.0
FW,2,2,84,0.33299999999999996,1,ANGRA2,4,-0.0,40.0,-0.0
FW,2,3,85,0.5000004,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,3,85,0.5000004,1,ANGRA2,2,312.2,20.0,6244.0
FW,2,3,85,0.5000004,1,ANGRA2,3,312.2,30.0,9366.0
FW,2,3,85,0.5000004,1,ANGRA2,4,312.2,40.0,12488.0
FW,2,3,86,0.5000004,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,3,86,0.5000004,1,ANGRA2,2,0.0,20.0,0.0
FW,2,3,86,0.5000004,1,ANGRA2,3,0.0,30.0,0.0
FW,2,3,86,0.5000004,1,ANGRA2,4,0.0,40.0,0.0
FW,2,3,87,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,3,87,0.6666666,1,ANGRA2,2,27.2,20.0,544.0
FW,2,3,87,0.6666666,1,ANGRA2,3,27.2,30.0,816.0
FW,2,3,87,0.6666666,1,ANGRA2,4,27.2,40.0,1088.0
FW,2,3,88,0.3333333,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,3,88,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,2,3,88,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,2,3,88,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,89,0.6666666,1,ANGRA1,1,475.9,10.0,4759.0
FW,2,4,89,0.6666666,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,89,0.6666666,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,89,0.6666666,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,90,0.3333333,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,4,90,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,90,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,90,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,91,0.4444444,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,4,91,0.4444444,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,91,0.4444444,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,91,0.4444444,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,92,0.5555555,1,ANGRA1,1,481.5,10.0,4815.0
FW,2,4,92,0.5555555,1,ANGRA2,2,-0.0,20.0,-0.0
