iter,est,no,usina,Indep,Coef
1,4,89,6,12050.0,-30.0
1,4,90,6,25197.5,-30.0
1,4,91,6,35810.0,-30.0
1,4,92,6,22711.999999999996,-30.0
1,4,93,6,3000.0,0.0
1,4,94,6,3000.0,0.0
1,4,95,6,24755.0,-30.0
1,4,96,6,11599.999999999998,-30.0
1,3,85,6,18734.999999999993,-30.0
1,3,86,6,56757.48785899999,-30.0
1,3,87,6,6000.0006,0.0
1,3,88,6,35660.0,-30.0
1,2,83,6,65283.33746599352,-30.000024000000003
1,2,84,6,14796.665886999956,-9.999999
1,1,1,6,98405.99249272267,-30.0
2,4,89,6,3000.0,0.0
2,4,90,6,3000.0,0.0
2,4,91,6,35810.0,-30.0
2,4,92,6,3000.0,0.0
2,4,93,6,3000.0,0.0
2,4,94,6,3000.0,0.0
2,4,95,6,11585.0,-9.999999999999998
2,4,96,6,3000.0,0.0
2,3,85,6,6000.000599999999,0.0
2,3,86,6,56757.479297,-29.999988
2,3,87,6,6000.0006,0.0
2,3,88,6,35659.99946042858,-30.0
2,2,83,6,65283.35031798846,-30.0
2,2,84,6,14796.665886999956,-9.999998999999997
2,1,1,6,98406.0010521513,-30.0
3,4,89,6,3000.0,0.0
3,4,90,6,25197.499999999996,-30.0
3,4,91,6,35810.0,-30.0
3,4,92,6,22711.999999999996,-30.0
3,4,93,6,3000.0,0.0
3,4,94,6,3000.0,0.0
3,4,95,6,24755.000000000004,-30.0
3,4,96,6,3000.0,0.0
3,3,85,6,18078.335948999986,-20.000003999999997
3,3,86,6,56757.487859,-30.0
3,3,87,6,6000.0006,0.0
3,3,88,6,35659.998823000016,-30.0
3,2,83,6,65283.35892999918,-30.0
3,2,84,6,14796.665886999956,-9.999998999999997
3,1,1,6,98406.00678775043,-30.0
4,4,89,6,7350.0,-9.999999999999998
4,4,90,6,25197.5,-30.0
4,4,91,6,35810.0,-30.0
4,4,92,6,22711.999999999996,-30.0
4,4,93,6,3000.0,0.0
4,4,94,6,3000.0,0.0
4,4,95,6,24754.999999999996,-30.0
4,4,96,6,7199.999999999993,-9.999999999999998
4,3,85,6,18741.66941499999,-23.333337999999998
4,3,86,6,56757.487859,-30.0
4,3,87,6,6000.0006,0.0
4,3,88,6,35659.99862299999,-30.0
4,2,83,6,65285.58364610537,-30.0
4,2,84,6,14796.665886999956,-9.999998999999997
4,1,1,6,98407.48844867716,-30.0
