etapa,iter,est,node,prob,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CustoFuturo
FW,2,1,1,1.0,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,92001.24019214099
FW,2,2,74,0.5549999999999999,2000.0,2000.0,0.0,0.0,0.0,706.0,0.0,706.0,50000.0,43276.0003462
FW,2,2,75,0.44399999999999995,2000.0,2000.0,0.0,0.0,0.0,468.0,0.0,468.0,50000.0,40615.0
FW,2,3,76,0.4,2000.0,1925.1666666666663,74.83333333333348,0.0,0.0,444.0,706.0,1075.1666666666665,47754.99999999999,0.0
FW,2,3,77,0.6000000000000001,2000.0,1676.3333525666667,323.6666474333333,0.0,0.0,706.0,706.0,1088.3333525666667,40290.000577,0.0
FW,2,3,78,0.5,2000.0,1923.6666666666665,76.33333333333337,0.0,0.0,468.0,468.0,859.6666666666666,47710.0,0.0
FW,2,3,79,0.5,2000.0,1450.6666666666667,549.3333333333333,0.0,0.0,781.0,468.0,699.6666666666667,33520.0,0.0
FW,2,4,46,0.5,2000.0,360.8333333333335,1639.1666666666665,0.0,0.0,564.0,1075.1666666666665,0.0,3608.333333333335,0.0
FW,2,4,64,0.5,2000.0,305.8333333333335,1694.1666666666665,0.0,0.0,619.0,1075.1666666666665,0.0,3058.333333333335,0.0
FW,2,4,52,0.3333333,2000.0,300.0,1700.0,0.0,0.0,963.0,1088.3333525666667,351.3333525666667,3000.0,0.0
FW,2,4,73,0.6666667,2000.0,525.6666474333333,1474.3333525666667,0.0,0.0,386.0,1088.3333525666667,0.0,5769.999423000001,0.0
FW,2,4,19,0.5,2000.0,300.0,1700.0,0.0,0.0,888.0,859.6666666666666,47.666666666666515,3000.0,0.0
FW,2,4,28,0.5,2000.0,414.33333333333326,1585.6666666666667,0.0,0.0,726.0,859.6666666666666,0.0,4143.3333333333285,0.0
FW,2,4,10,0.5,2000.0,300.0,1700.0,0.0,0.0,1129.0,699.6666666666667,128.66666666666674,3000.0,0.0
FW,2,4,37,0.5,2000.0,495.33333333333303,1504.666666666667,0.0,0.0,805.0,699.6666666666667,0.0,4953.333333333327,0.0
