etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
BK,1,4,89,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,89,0.5000001000000001,1,ANGRA2,2,214.3,20.0,4286.0
BK,1,4,89,0.5000001000000001,1,ANGRA2,3,214.3,30.0,6429.0
BK,1,4,89,0.5000001000000001,1,ANGRA2,4,214.3,40.0,8572.0
BK,1,4,90,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,90,0.5000001000000001,1,ANGRA2,2,71.7,20.0,1434.0
BK,1,4,90,0.5000001000000001,1,ANGRA2,3,71.7,30.0,2151.0
BK,1,4,90,0.5000001000000001,1,ANGRA2,4,71.7,40.0,2868.0
BK,1,4,91,0.5000001000000001,1,ANGRA1,1,390.6,10.0,3906.0
BK,1,4,91,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
BK,1,4,91,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
BK,1,4,91,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
BK,1,4,92,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
BK,1,4,92,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
BK,1,4,92,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
BK,1,4,92,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
BK,1,4,93,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,93,0.5000001000000001,1,ANGRA2,2,281.8,20.0,5636.0
BK,1,4,93,0.5000001000000001,1,ANGRA2,3,281.8,30.0,8454.0
BK,1,4,93,0.5000001000000001,1,ANGRA2,4,281.8,40.0,11272.0
BK,1,4,94,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,94,0.5000001000000001,1,ANGRA2,2,153.2,20.0,3064.0
BK,1,4,94,0.5000001000000001,1,ANGRA2,3,153.2,30.0,4596.0
BK,1,4,94,0.5000001000000001,1,ANGRA2,4,153.2,40.0,6128.0
BK,1,4,95,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,95,0.6666666,1,ANGRA2,2,378.1,20.0,7562.0
BK,1,4,95,0.6666666,1,ANGRA2,3,378.1,30.0,11343.0
BK,1,4,95,0.6666666,1,ANGRA2,4,378.1,40.0,15124.0
BK,1,4,96,0.3333336,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,96,0.3333336,1,ANGRA2,2,204.8,20.0,4096.0
BK,1,4,96,0.3333336,1,ANGRA2,3,204.8,30.0,6144.0
BK,1,4,96,0.3333336,1,ANGRA2,4,204.8,40.0,8192.0
BK,1,3,85,0.4999998,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,85,0.4999998,1,ANGRA2,2,168.5,20.0,3370.0
BK,1,3,85,0.4999998,1,ANGRA2,3,168.5,30.0,5055.0
BK,1,3,85,0.4999998,1,ANGRA2,4,168.5,40.0,6740.0
BK,1,3,86,0.4999998,1,ANGRA1,1,300.0,10.0,3000.0
BK,1,3,86,0.4999998,1,ANGRA2,2,0.0,20.0,0.0
BK,1,3,86,0.4999998,1,ANGRA2,3,0.0,30.0,0.0
BK,1,3,86,0.4999998,1,ANGRA2,4,0.0,40.0,0.0
BK,1,3,87,0.4000001999999999,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,87,0.4000001999999999,1,ANGRA2,2,318.9,20.0,6378.0
BK,1,3,87,0.4000001999999999,1,ANGRA2,3,318.9,30.0,9567.0
BK,1,3,87,0.4000001999999999,1,ANGRA2,4,318.9,40.0,12756.0
BK,1,3,88,0.6,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,88,0.6,1,ANGRA2,2,500.0,20.0,10000.0
BK,1,3,88,0.6,1,ANGRA2,3,500.0,30.0,15000.0
BK,1,3,88,0.6,1,ANGRA2,4,500.0,40.0,20000.0
BK,1,2,83,0.4439999999999999,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,2,83,0.4439999999999999,1,ANGRA2,2,-0.0,20.0,-0.0
BK,1,2,83,0.4439999999999999,1,ANGRA2,3,-0.0,30.0,-0.0
BK,1,2,83,0.4439999999999999,1,ANGRA2,4,-0.0,40.0,-0.0
BK,1,2,84,0.5549999999999999,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,2,84,0.5549999999999999,1,ANGRA2,2,500.0,20.0,10000.0
BK,1,2,84,0.5549999999999999,1,ANGRA2,3,500.0,30.0,15000.0
BK,1,2,84,0.5549999999999999,1,ANGRA2,4,500.0,40.0,20000.0
BK,1,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
BK,1,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
BK,1,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
BK,2,4,89,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
BK,2,4,89,0.5000001000000001,1,ANGRA2,2,15.8,20.0,316.0
BK,2,4,89,0.5000001000000001,1,ANGRA2,3,15.8,30.0,474.0
BK,2,4,89,0.5000001000000001,1,ANGRA2,4,15.8,40.0,632.0
BK,2,4,90,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
BK,2,4,90,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
BK,2,4,90,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
BK,2,4,90,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
BK,2,4,91,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
BK,2,4,91,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
BK,2,4,91,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
BK,2,4,91,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
BK,2,4,92,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
BK,2,4,92,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
BK,2,4,92,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
BK,2,4,92,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
BK,2,4,93,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
BK,2,4,93,0.5000001000000001,1,ANGRA2,2,8.7,20.0,174.0
BK,2,4,93,0.5000001000000001,1,ANGRA2,3,8.7,30.0,261.0
BK,2,4,93,0.5000001000000001,1,ANGRA2,4,8.7,40.0,348.0
BK,2,4,94,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
BK,2,4,94,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
BK,2,4,94,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
BK,2,4,94,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
BK,2,4,95,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
BK,2,4,95,0.6666666,1,ANGRA2,2,2.2,20.0,44.0
BK,2,4,95,0.6666666,1,ANGRA2,3,2.2,30.0,66.0
BK,2,4,95,0.6666666,1,ANGRA2,4,2.2,40.0,88.0
BK,2,4,96,0.3333336,1,ANGRA1,1,300.0,10.0,3000.0
BK,2,4,96,0.3333336,1,ANGRA2,2,0.0,20.0,0.0
BK,2,4,96,0.3333336,1,ANGRA2,3,0.0,30.0,0.0
BK,2,4,96,0.3333336,1,ANGRA2,4,0.0,40.0,0.0
BK,2,3,85,0.4999998,1,ANGRA1,1,500.0,10.0,5000.0
BK,2,3,85,0.4999998,1,ANGRA2,2,0.0,20.0,0.0
BK,2,3,85,0.4999998,1,ANGRA2,3,0.0,30.0,0.0
BK,2,3,85,0.4999998,1,ANGRA2,4,0.0,40.0,0.0
BK,2,3,86,0.4999998,1,ANGRA1,1,300.0,10.0,3000.0
BK,2,3,86,0.4999998,1,ANGRA2,2,0.0,20.0,0.0
BK,2,3,86,0.4999998,1,ANGRA2,3,0.0,30.0,0.0
BK,2,3,86,0.4999998,1,ANGRA2,4,0.0,40.0,0.0
BK,2,3,87,0.4000001999999999,1,ANGRA1,1,500.0,10.0,5000.0
BK,2,3,87,0.4000001999999999,1,ANGRA2,2,0.0,20.0,0.0
BK,2,3,87,0.4000001999999999,1,ANGRA2,3,0.0,30.0,0.0
BK,2,3,87,0.4000001999999999,1,ANGRA2,4,0.0,40.0,0.0
BK,2,3,88,0.6,1,ANGRA1,1,500.0,10.0,5000.0
BK,2,3,88,0.6,1,ANGRA2,2,200.7,20.0,4014.0
BK,2,3,88,0.6,1,ANGRA2,3,200.7,30.0,6021.0
BK,2,3,88,0.6,1,ANGRA2,4,200.7,40.0,8028.0
BK,2,2,83,0.4439999999999999,1,ANGRA1,1,466.2,10.0,4662.0
BK,2,2,83,0.4439999999999999,1,ANGRA2,2,0.0,20.0,0.0
BK,2,2,83,0.4439999999999999,1,ANGRA2,3,0.0,30.0,0.0
BK,2,2,83,0.4439999999999999,1,ANGRA2,4,0.0,40.0,0.0
BK,2,2,84,0.5549999999999999,1,ANGRA1,1,500.0,10.0,5000.0
BK,2,2,84,0.5549999999999999,1,ANGRA2,2,418.2,20.0,8364.0
BK,2,2,84,0.5549999999999999,1,ANGRA2,3,418.2,30.0,12546.0
BK,2,2,84,0.5549999999999999,1,ANGRA2,4,418.2,40.0,16728.0
BK,2,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,2,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
BK,2,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
BK,2,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
BK,3,4,89,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
BK,3,4,89,0.5000001000000001,1,ANGRA2,2,120.4,20.0,2408.0
BK,3,4,89,0.5000001000000001,1,ANGRA2,3,120.4,30.0,3612.0
BK,3,4,89,0.5000001000000001,1,ANGRA2,4,120.4,40.0,4816.0
BK,3,4,90,0.5000001000000001,1,ANGRA1,1,433.3,10.0,4333.0
BK,3,4,90,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
BK,3,4,90,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
BK,3,4,90,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
BK,3,4,91,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
BK,3,4,91,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
BK,3,4,91,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
BK,3,4,91,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
BK,3,4,92,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
BK,3,4,92,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
BK,3,4,92,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
BK,3,4,92,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
BK,3,4,93,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
BK,3,4,93,0.5000001000000001,1,ANGRA2,2,106.3,20.0,2126.0
BK,3,4,93,0.5000001000000001,1,ANGRA2,3,106.3,30.0,3189.0
BK,3,4,93,0.5000001000000001,1,ANGRA2,4,106.3,40.0,4252.0
BK,3,4,94,0.5000001000000001,1,ANGRA1,1,433.3,10.0,4333.0
BK,3,4,94,0.5000001000000001,1,ANGRA2,2,-0.0,20.0,-0.0
BK,3,4,94,0.5000001000000001,1,ANGRA2,3,-0.0,30.0,-0.0
BK,3,4,94,0.5000001000000001,1,ANGRA2,4,-0.0,40.0,-0.0
BK,3,4,95,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
BK,3,4,95,0.6666666,1,ANGRA2,2,151.1,20.0,3022.0
BK,3,4,95,0.6666666,1,ANGRA2,3,151.1,30.0,4533.0
BK,3,4,95,0.6666666,1,ANGRA2,4,151.1,40.0,6044.0
BK,3,4,96,0.3333336,1,ANGRA1,1,433.3,10.0,4333.0
BK,3,4,96,0.3333336,1,ANGRA2,2,-0.0,20.0,-0.0
BK,3,4,96,0.3333336,1,ANGRA2,3,-0.0,30.0,-0.0
BK,3,4,96,0.3333336,1,ANGRA2,4,-0.0,40.0,-0.0
BK,3,3,85,0.4999998,1,ANGRA1,1,500.0,10.0,5000.0
BK,3,3,85,0.4999998,1,ANGRA2,2,0.0,20.0,0.0
BK,3,3,85,0.4999998,1,ANGRA2,3,0.0,30.0,0.0
BK,3,3,85,0.4999998,1,ANGRA2,4,0.0,40.0,0.0
BK,3,3,86,0.4999998,1,ANGRA1,1,300.0,10.0,3000.0
BK,3,3,86,0.4999998,1,ANGRA2,2,0.0,20.0,0.0
BK,3,3,86,0.4999998,1,ANGRA2,3,0.0,30.0,0.0
BK,3,3,86,0.4999998,1,ANGRA2,4,0.0,40.0,0.0
BK,3,3,87,0.4000001999999999,1,ANGRA1,1,500.0,10.0,5000.0
BK,3,3,87,0.4000001999999999,1,ANGRA2,2,0.0,20.0,0.0
BK,3,3,87,0.4000001999999999,1,ANGRA2,3,0.0,30.0,0.0
BK,3,3,87,0.4000001999999999,1,ANGRA2,4,0.0,40.0,0.0
BK,3,3,88,0.6,1,ANGRA1,1,500.0,10.0,5000.0
BK,3,3,88,0.6,1,ANGRA2,2,260.3,20.0,5206.0
BK,3,3,88,0.6,1,ANGRA2,3,260.3,30.0,7809.0
BK,3,3,88,0.6,1,ANGRA2,4,260.3,40.0,10412.0
BK,3,2,83,0.4439999999999999,1,ANGRA1,1,413.4,10.0,4134.0
BK,3,2,83,0.4439999999999999,1,ANGRA2,2,0.0,20.0,0.0
BK,3,2,83,0.4439999999999999,1,ANGRA2,3,0.0,30.0,0.0
BK,3,2,83,0.4439999999999999,1,ANGRA2,4,0.0,40.0,0.0
BK,3,2,84,0.5549999999999999,1,ANGRA1,1,500.0,10.0,5000.0
BK,3,2,84,0.5549999999999999,1,ANGRA2,2,396.0,20.0,7920.0
BK,3,2,84,0.5549999999999999,1,ANGRA2,3,396.0,30.0,11880.0
BK,3,2,84,0.5549999999999999,1,ANGRA2,4,396.0,40.0,15840.0
BK,3,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,3,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
BK,3,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
BK,3,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
BK,4,4,89,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
BK,4,4,89,0.5000001000000001,1,ANGRA2,2,142.7,20.0,2854.0
BK,4,4,89,0.5000001000000001,1,ANGRA2,3,142.7,30.0,4281.0
BK,4,4,89,0.5000001000000001,1,ANGRA2,4,142.7,40.0,5708.0
BK,4,4,90,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
BK,4,4,90,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
BK,4,4,90,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
BK,4,4,90,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
BK,4,4,91,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
BK,4,4,91,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
BK,4,4,91,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
BK,4,4,91,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
BK,4,4,92,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
BK,4,4,92,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
BK,4,4,92,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
BK,4,4,92,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
BK,4,4,93,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
BK,4,4,93,0.5000001000000001,1,ANGRA2,2,128.6,20.0,2572.0
BK,4,4,93,0.5000001000000001,1,ANGRA2,3,128.6,30.0,3858.0
BK,4,4,93,0.5000001000000001,1,ANGRA2,4,128.6,40.0,5144.0
BK,4,4,94,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
BK,4,4,94,0.5000001000000001,1,ANGRA2,2,-0.0,20.0,-0.0
BK,4,4,94,0.5000001000000001,1,ANGRA2,3,-0.0,30.0,-0.0
BK,4,4,94,0.5000001000000001,1,ANGRA2,4,-0.0,40.0,-0.0
BK,4,4,95,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
BK,4,4,95,0.6666666,1,ANGRA2,2,173.3,20.0,3466.0
BK,4,4,95,0.6666666,1,ANGRA2,3,173.3,30.0,5199.0
BK,4,4,95,0.6666666,1,ANGRA2,4,173.3,40.0,6932.0
BK,4,4,96,0.3333336,1,ANGRA1,1,500.0,10.0,5000.0
BK,4,4,96,0.3333336,1,ANGRA2,2,0.0,20.0,0.0
BK,4,4,96,0.3333336,1,ANGRA2,3,0.0,30.0,0.0
