etapa,iter,est,node,prob,Submercado,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CMO
FW,5,1,1,1.0,1,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,30.0
FW,5,2,83,0.48099999999999987,1,2000.0,499.9999999999995,1500.0000000000005,0.0,0.0,2108.9999999999964,0.0,608.999999999996,4999.999999999986,16.15
FW,5,2,84,0.5179999999999999,1,2000.0,990.8877154765757,1009.1122845234241,0.0,0.0,1010.0854863838407,0.0,0.973201860416566,19726.631464297276,30.0
FW,5,3,85,0.5384617,1,2000.0,499.9999999999998,1500.0000000000002,0.0,0.0,924.235529390319,608.999999999996,33.23552939031504,4999.9999999999945,30.0
FW,5,3,86,0.4615386,1,2000.0,300.0,1700.0,0.0,0.0,2143.776788760397,608.999999999996,1052.7767887603927,3000.0,10.0
FW,5,3,87,0.5000002,1,2000.0,500.0,1500.0,0.0,0.0,1780.0779561078116,0.973201860416566,281.051157968228,5000.0,21.43
FW,5,3,88,0.5000002,1,2000.0,1153.3343233551793,846.6656766448206,0.0,0.0,845.692474784404,0.973201860416566,0.0,24600.029700655385,30.0
FW,5,4,89,0.4285713,1,2000.0,970.0168932426859,1029.983106757314,0.0,0.0,996.7475773669989,33.23552939031504,0.0,19100.506797280577,30.0
FW,5,4,90,0.5714284,1,2000.0,1433.725837818542,566.2741621814581,0.0,0.0,533.0386327911431,33.23552939031504,0.0,33011.77513455626,30.0
FW,5,4,91,0.5000001000000001,1,2000.0,300.0,1700.0,0.0,0.0,1036.5385480268376,1052.7767887603927,389.3153367872301,3000.0,10.0
FW,5,4,92,0.5000001000000001,1,2000.0,300.0,1700.0,0.0,0.0,1481.8776546209315,1052.7767887603927,834.6544433813242,3000.0,10.0
FW,5,4,93,0.4285713,1,2000.0,499.9995362850875,1500.0004637149125,0.0,0.0,1218.9493057466843,281.051157968228,0.0,4999.995362850872,10.0
FW,5,4,94,0.5714284,1,2000.0,981.1916381591657,1018.8083618408343,0.0,0.0,737.7572038726064,281.051157968228,0.0,19435.74914477497,30.0
FW,5,4,95,0.5714284,1,2000.0,1532.460951379685,467.53904862031493,0.0,0.0,467.53904862031493,0.0,0.0,35973.828541390554,30.0
FW,5,4,96,0.4285713,1,2000.0,1037.7188678444093,962.2811321555911,0.0,0.0,962.2811321555911,0.0,0.0,21131.566035332267,30.0
