etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
BK,1,4,89,0.4285713,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,89,0.4285713,1,ANGRA2,2,167.8,20.0,3356.0
BK,1,4,89,0.4285713,1,ANGRA2,3,167.8,30.0,5034.0
BK,1,4,89,0.4285713,1,ANGRA2,4,167.8,40.0,6712.0
BK,1,4,90,0.5714284,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,90,0.5714284,1,ANGRA2,2,322.3,20.0,6446.0
BK,1,4,90,0.5714284,1,ANGRA2,3,322.3,30.0,9669.0
BK,1,4,90,0.5714284,1,ANGRA2,4,322.3,40.0,12892.0
BK,1,4,91,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
BK,1,4,91,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
BK,1,4,91,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
BK,1,4,91,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
BK,1,4,92,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
BK,1,4,92,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
BK,1,4,92,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
BK,1,4,92,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
BK,1,4,93,0.4285713,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,93,0.4285713,1,ANGRA2,2,67.0,20.0,1340.0
BK,1,4,93,0.4285713,1,ANGRA2,3,67.0,30.0,2010.0
BK,1,4,93,0.4285713,1,ANGRA2,4,67.0,40.0,2680.0
BK,1,4,94,0.5714284,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,94,0.5714284,1,ANGRA2,2,227.4,20.0,4548.0
BK,1,4,94,0.5714284,1,ANGRA2,3,227.4,30.0,6822.0
BK,1,4,94,0.5714284,1,ANGRA2,4,227.4,40.0,9096.0
BK,1,4,95,0.5714284,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,95,0.5714284,1,ANGRA2,2,344.2,20.0,6884.0
BK,1,4,95,0.5714284,1,ANGRA2,3,344.2,30.0,10326.0
BK,1,4,95,0.5714284,1,ANGRA2,4,344.2,40.0,13768.0
BK,1,4,96,0.4285713,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,96,0.4285713,1,ANGRA2,2,179.2,20.0,3584.0
BK,1,4,96,0.4285713,1,ANGRA2,3,179.2,30.0,5376.0
BK,1,4,96,0.4285713,1,ANGRA2,4,179.2,40.0,7168.0
BK,1,3,85,0.5384617,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,85,0.5384617,1,ANGRA2,2,367.2,20.0,7344.0
BK,1,3,85,0.5384617,1,ANGRA2,3,367.2,30.0,11016.0
BK,1,3,85,0.5384617,1,ANGRA2,4,367.2,40.0,14688.0
BK,1,3,86,0.4615386,1,ANGRA1,1,300.0,10.0,3000.0
BK,1,3,86,0.4615386,1,ANGRA2,2,0.0,20.0,0.0
BK,1,3,86,0.4615386,1,ANGRA2,3,0.0,30.0,0.0
BK,1,3,86,0.4615386,1,ANGRA2,4,0.0,40.0,0.0
