etapa,iter,est,node,prob,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CustoFuturo
FW,1,1,1,1.0,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,0.0
FW,1,2,83,0.48099999999999987,2000.0,322.69230769230694,1677.307692307693,0.0,0.0,1677.307692307693,0.0,0.0,3226.9230769230694,0.0
FW,1,2,84,0.5179999999999999,2000.0,967.4285714285713,1032.5714285714287,0.0,0.0,1032.5714285714287,0.0,0.0,19022.85714285714,0.0
FW,1,3,85,0.5384617,2000.0,1078.5714285714287,921.4285714285713,0.0,0.0,921.4285714285713,0.0,0.0,22357.142857142862,0.0
FW,1,3,86,0.4615386,2000.0,300.0,1700.0,0.0,0.0,2017.0,0.0,317.0,3000.0,0.0
FW,1,3,87,0.5000002,2000.0,445.1428571428569,1554.8571428571431,0.0,0.0,1554.857142857143,0.0,0.0,4451.428571428565,0.0
FW,1,3,88,0.5000002,2000.0,1144.1428571428576,855.8571428571428,0.0,0.0,855.8571428571428,0.0,0.0,24324.285714285717,0.0
FW,1,4,89,0.4285713,2000.0,950.0,1050.0,0.0,0.0,1050.0,0.0,0.0,18500.0,0.0
FW,1,4,90,0.5714284,2000.0,1466.75,533.25,0.0,0.0,533.25,0.0,0.0,34002.5,0.0
FW,1,4,91,0.5000001000000001,2000.0,634.6666666666667,1365.3333333333333,0.0,0.0,1048.3333333333333,317.0,0.0,9040.000000000002,0.0
FW,1,4,92,0.5000001000000001,2000.0,300.0,1700.0,0.0,0.0,1505.3333333333333,317.0,122.33333333333326,3000.0,0.0
FW,1,4,93,0.4285713,2000.0,809.6666666666667,1190.3333333333333,0.0,0.0,1190.3333333333333,0.0,0.0,14290.000000000002,0.0
FW,1,4,94,0.5714284,2000.0,1238.25,761.75,0.0,0.0,761.75,0.0,0.0,27147.5,0.0
FW,1,4,95,0.5714284,2000.0,1524.0,476.0,0.0,0.0,476.0,0.0,0.0,35720.00000000001,0.0
FW,1,4,96,0.4285713,2000.0,1048.6666666666667,951.3333333333333,0.0,0.0,951.3333333333333,0.0,0.0,21460.0,0.0
FW,2,1,1,1.0,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,45388.92789549914
FW,2,2,83,0.48099999999999987,2000.0,499.9999999999998,1500.0000000000002,0.0,0.0,1677.307692307693,0.0,177.30769230769278,4999.9999999999945,26379.83043242012
FW,2,2,84,0.5179999999999999,2000.0,2000.0,0.0,0.0,0.0,1032.5714285714287,0.0,1032.5714285714287,50000.0,8484.998952712504
FW,2,3,85,0.5384617,2000.0,1813.216117216117,186.7838827838832,0.0,0.0,921.4285714285713,177.30769230769278,911.952380952381,44396.48351648351,0.0
FW,2,3,86,0.4615386,2000.0,500.0,1500.0,0.0,0.0,2017.0,177.30769230769278,694.3076923076928,5000.0,360.38468746153035
FW,2,3,87,0.5000002,2000.0,300.0,1700.0,0.0,0.0,1554.857142857143,1032.5714285714287,887.4285714285713,3000.0,0.0
FW,2,3,88,0.5000002,2000.0,1098.5238095238099,901.4761904761904,0.0,0.0,855.8571428571428,1032.5714285714287,986.9523809523811,22955.71428571429,0.0
FW,2,4,89,0.4285713,2000.0,300.0,1700.0,0.0,0.0,1050.0,911.952380952381,261.95238095238096,3000.0,0.0
FW,2,4,90,0.5714284,2000.0,554.797619047619,1445.202380952381,0.0,0.0,533.25,911.952380952381,0.0,6643.928571428571,0.0
FW,2,4,91,0.5000001000000001,2000.0,300.0,1700.0,0.0,0.0,1048.3333333333333,694.3076923076928,42.64102564102609,3000.0,0.0
FW,2,4,92,0.5000001000000001,2000.0,300.0,1700.0,0.0,0.0,1505.3333333333333,694.3076923076928,499.6410256410263,3000.0,0.0
FW,2,4,93,0.4285713,2000.0,300.0,1700.0,0.0,0.0,1190.3333333333333,887.4285714285713,377.7619047619046,3000.0,0.0
FW,2,4,94,0.5714284,2000.0,350.82142857142844,1649.1785714285716,0.0,0.0,761.75,887.4285714285713,0.0,3508.2142857142812,0.0
FW,2,4,95,0.5714284,2000.0,537.0476190476188,1462.9523809523812,0.0,0.0,476.0,986.9523809523811,0.0,6111.428571428564,0.0
FW,2,4,96,0.4285713,2000.0,300.0,1700.0,0.0,0.0,951.3333333333333,986.9523809523811,238.28571428571422,3000.0,0.0
FW,3,1,1,1.0,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,45584.26062610636
FW,3,2,83,0.48099999999999987,2000.0,499.9999999999998,1500.0000000000002,0.0,0.0,1677.307692307693,0.0,177.30769230769275,4999.9999999999945,26785.92105299875
FW,3,2,84,0.5179999999999999,2000.0,1494.512724750269,505.4872752497312,0.0,0.0,1032.5714285714287,0.0,527.0841533216974,34835.38174250806,23649.623276051745
FW,3,3,85,0.5384617,2000.0,901.2637362637358,1098.7362637362642,0.0,0.0,921.4285714285713,177.30769230769275,0.0,17037.912087912075,27358.563220999997
FW,3,3,86,0.4615386,2000.0,324.0256410256404,1675.9743589743596,0.0,0.0,2017.0,177.30769230769275,518.3333333333333,3240.2564102564043,3000.0006000000003
FW,3,3,87,0.5000002,2000.0,464.70576264468946,1535.2942373553105,0.0,0.0,1554.857142857143,527.0841533216974,546.6470588235296,4647.057626446895,5237.729521117642
FW,3,3,88,0.5000002,2000.0,617.05870382116,1382.94129617884,0.0,0.0,855.8571428571428,527.0841533216974,1.2126599661618944e-13,8511.761114634799,29608.562545999997
FW,3,4,89,0.4285713,2000.0,950.0,1050.0,0.0,0.0,1050.0,0.0,0.0,18500.0,0.0
FW,3,4,90,0.5714284,2000.0,1466.75,533.25,0.0,0.0,533.25,0.0,0.0,34002.5,0.0
FW,3,4,91,0.5000001000000001,2000.0,433.3333333333335,1566.6666666666665,0.0,0.0,1048.3333333333333,518.3333333333333,0.0,4333.333333333335,0.0
FW,3,4,92,0.5000001000000001,2000.0,300.0,1700.0,0.0,0.0,1505.3333333333333,518.3333333333333,323.6666666666665,3000.0,0.0
FW,3,4,93,0.4285713,2000.0,300.0,1700.0,0.0,0.0,1190.3333333333333,546.6470588235296,36.98039215686276,3000.0,0.0
FW,3,4,94,0.5714284,2000.0,691.6029411764703,1308.3970588235297,0.0,0.0,761.75,546.6470588235296,0.0,10748.088235294108,0.0
FW,3,4,95,0.5714284,2000.0,1524.0,476.0000000000001,0.0,0.0,476.0,1.2126599661618944e-13,0.0,35719.99999999999,0.0
FW,3,4,96,0.4285713,2000.0,1048.6666666666667,951.3333333333334,0.0,0.0,951.3333333333333,1.2126599661618944e-13,0.0,21460.0,0.0
FW,4,1,1,1.0,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,45705.593513958665
FW,4,2,83,0.48099999999999987,2000.0,500.0,1500.0,0.0,0.0,1677.307692307693,0.0,177.30769230769283,5000.0,27038.169722010603
FW,4,2,84,0.5179999999999999,2000.0,1288.905003337999,711.0949966620009,0.0,0.0,1032.5714285714287,0.0,321.4764319094278,28667.150100139974,29817.857385712494
FW,4,3,85,0.5384617,2000.0,901.2637362637361,1098.736263736264,0.0,0.0,921.4285714285713,177.30769230769283,2.425319932323789e-13,17037.912087912082,27358.56322099999
FW,4,3,86,0.4615386,2000.0,300.0,1700.0,0.0,0.0,2017.0,177.30769230769283,494.3076923076929,3000.0,3786.795629153844
FW,4,3,87,0.5000002,2000.0,500.0,1500.0,0.0,0.0,1554.857142857143,321.4764319094278,376.3335747665702,5000.0,10347.135614145749
FW,4,3,88,0.5000002,2000.0,822.6664252334297,1177.3335747665703,0.0,0.0,855.8571428571428,321.4764319094278,2.3495283433780544e-13,14679.99275700289,29608.562545999997
FW,4,4,89,0.4285713,2000.0,949.9999999999998,1050.0000000000002,0.0,0.0,1050.0,2.425319932323789e-13,0.0,18499.999999999993,0.0
FW,4,4,90,0.5714284,2000.0,1466.75,533.2500000000002,0.0,0.0,533.25,2.425319932323789e-13,0.0,34002.49999999999,0.0
FW,4,4,91,0.5000001000000001,2000.0,457.3589743589737,1542.6410256410263,0.0,0.0,1048.3333333333333,494.3076923076929,0.0,4573.589743589733,0.0
FW,4,4,92,0.5000001000000001,2000.0,300.0,1700.0,0.0,0.0,1505.3333333333333,494.3076923076929,299.6410256410261,3000.0,0.0
FW,4,4,93,0.4285713,2000.0,433.3330919000964,1566.6669080999036,0.0,0.0,1190.3333333333333,376.3335747665702,0.0,4333.330919000964,0.0
FW,4,4,94,0.5714284,2000.0,861.9164252334299,1138.08357476657,0.0,0.0,761.75,376.3335747665702,0.0,15857.492757002898,0.0
FW,4,4,95,0.5714284,2000.0,1523.9999999999998,476.0000000000002,0.0,0.0,476.0,2.3495283433780544e-13,0.0,35719.99999999999,0.0
FW,4,4,96,0.4285713,2000.0,1048.6666666666667,951.3333333333335,0.0,0.0,951.3333333333333,2.3495283433780544e-13,0.0,21460.0,0.0
FW,5,1,1,1.0,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,45705.593928357484
FW,5,2,83,0.48099999999999987,2000.0,500.0,1500.0,0.0,0.0,1677.307692307693,0.0,177.30769230769283,5000.0,27038.169722010603
FW,5,2,84,0.5179999999999999,2000.0,1222.2385273877694,777.7614726122304,0.0,0.0,1032.5714285714287,0.0,254.8099559591983,26667.15582163309,31817.85246421709
FW,5,3,85,0.5384617,2000.0,901.2637362637361,1098.736263736264,0.0,0.0,921.4285714285713,177.30769230769283,2.425319932323789e-13,17037.912087912082,27358.56322099999
FW,5,3,86,0.4615386,2000.0,300.0,1700.0,0.0,0.0,2017.0,177.30769230769283,494.3076923076929,3000.0,3786.795629153844
FW,5,3,87,0.5000002,2000.0,499.9999999999998,1500.0000000000002,0.0,0.0,1554.857142857143,254.8099559591983,309.6670988163412,4999.9999999999945,12347.12989265261
FW,5,3,88,0.5000002,2000.0,889.332901183659,1110.667098816341,0.0,0.0,855.8571428571428,254.8099559591983,0.0,16679.98703550977,29608.562546
FW,5,4,89,0.4285713,2000.0,949.9999999999998,1050.0000000000002,0.0,0.0,1050.0,2.425319932323789e-13,0.0,18499.999999999993,0.0
FW,5,4,90,0.5714284,2000.0,1466.75,533.2500000000002,0.0,0.0,533.25,2.425319932323789e-13,0.0,34002.49999999999,0.0
FW,5,4,91,0.5000001000000001,2000.0,457.3589743589737,1542.6410256410263,0.0,0.0,1048.3333333333333,494.3076923076929,0.0,4573.589743589733,0.0
FW,5,4,92,0.5000001000000001,2000.0,300.0,1700.0,0.0,0.0,1505.3333333333333,494.3076923076929,299.6410256410261,3000.0,0.0
FW,5,4,93,0.4285713,2000.0,499.9995678503253,1500.0004321496747,0.0,0.0,1190.3333333333333,309.6670988163412,0.0,4999.99567850325,0.0
FW,5,4,94,0.5714284,2000.0,928.5829011836588,1071.4170988163412,0.0,0.0,761.75,309.6670988163412,0.0,17857.487035509763,0.0
FW,5,4,95,0.5714284,2000.0,1524.0,476.0,0.0,0.0,476.0,0.0,0.0,35720.00000000001,0.0
FW,5,4,96,0.4285713,2000.0,1048.6666666666667,951.3333333333333,0.0,0.0,951.3333333333333,0.0,0.0,21460.0,0.0
