iter,est,no,usina,Indep,Coef
1,4,89,6,18500.0,-30.0
1,4,90,6,34002.5,-30.0
1,4,91,6,18550.0,-30.0
1,4,92,6,3000.0,0.0
1,4,93,6,14290.000000000002,-30.0
1,4,94,6,27147.5,-30.0
1,4,95,6,35720.00000000001,-30.0
1,4,96,6,21460.0,-30.0
1,3,85,6,49715.71428571429,-30.0
1,3,86,6,8020.000603999999,-15.000003000000007
1,3,87,6,24991.428571428572,-30.0
1,3,88,6,53932.84826028572,-30.0
1,2,83,6,31379.830432420116,-23.076931384615808
1,2,84,6,58484.9989527125,-30.000012
1,1,1,6,95388.92789549913,-30.0
2,4,89,6,3000.0,0.0
2,4,90,6,34002.5,-30.0
2,4,91,6,3000.0,0.0
2,4,92,6,3000.0,0.0
2,4,93,6,3000.0,0.0
2,4,94,6,12382.499999999993,-9.999999999999998
2,4,95,6,35719.99999999999,-30.0
2,4,96,6,3000.0,0.0
2,3,85,6,49715.70607814286,-30.000000000000004
2,3,86,6,8013.3339333333315,-9.999999999999998
2,3,87,6,12190.813569285707,-5.714283999999994
2,3,88,6,53932.842463,-29.999990999999998
2,2,83,6,31785.921052998747,-20.769237000000004
2,2,84,6,58485.00501855981,-30.0
2,1,1,6,95584.26062610636,-30.0
3,4,89,6,18500.0,-30.0
3,4,90,6,34002.5,-30.0
3,4,91,6,9516.666666666666,-9.999999999999998
3,4,92,6,3000.0,0.0
3,4,93,6,3000.0,0.0
3,4,94,6,27147.499999999996,-30.0
3,4,95,6,35720.0,-30.0
3,4,96,6,21460.000000000004,-30.0
3,3,85,6,49715.70607814285,-30.0
3,3,86,6,7673.3342680000005,-5.000001000000001
3,3,87,6,20858.158507857137,-17.142851999999998
3,3,88,6,53932.84826028571,-30.0
3,2,83,6,32038.169722010603,-18.461544461538605
3,2,84,6,58485.00748585247,-30.0
3,1,1,6,95705.59351395867,-30.0
4,4,89,6,18500.0,-30.0
4,4,90,6,34002.5,-30.0
4,4,91,6,9516.66666666666,-9.999999999999998
4,4,92,6,3000.0,0.0
4,4,93,6,8096.666666666666,-9.999999999999998
4,4,94,6,27147.500000000004,-30.0
4,4,95,6,35720.0,-30.0
4,4,96,6,21460.000000000007,-30.0
4,3,85,6,49715.70607814286,-30.0
4,3,86,6,7673.3342680000005,-5.000000999999999
4,3,87,6,22807.341596571434,-21.428564999999992
4,3,88,6,53932.848260285726,-30.0
4,2,83,6,32038.169722010603,-18.461544461538605
4,2,84,6,58485.00828585018,-30.0
4,1,1,6,95705.59392835748,-30.0
