iter,est,noUso,usina,Indep,Coef
1,1,1,6,45388.92789549914,-26.6400102120002
2,1,1,6,45584.26062610636,-25.530002996999997
3,1,1,6,45705.593513958665,-24.420002886000063
4,1,1,6,45705.593928357484,-24.420002886000063
5,1,1,6,0.0,0.0
6,1,1,6,0.0,0.0
7,1,1,6,0.0,0.0
8,1,1,6,0.0,0.0
9,1,1,6,0.0,0.0
10,1,1,6,0.0,0.0
1,2,83,6,30471.54788176932,-23.076931384615808
2,2,83,6,30468.4665364603,-20.769237000000004
3,2,83,6,30311.543566921882,-18.461544461538605
4,2,83,6,30311.543566921886,-18.4615444615386
5,2,83,6,0.0,0.0
6,2,83,6,0.0,0.0
7,2,83,6,0.0,0.0
8,2,83,6,0.0,0.0
9,2,83,6,0.0,0.0
10,2,83,6,0.0,0.0
1,2,84,6,39462.15420071251,-30.000012
2,2,84,6,33061.841240874055,-17.857144642854994
3,2,84,6,37395.51834227278,-23.5714354285704
4,2,84,6,38370.11027646655,-25.714292785713
5,2,84,6,0.0,0.0
6,2,84,6,0.0,0.0
7,2,84,6,0.0,0.0
8,2,84,6,0.0,0.0
9,2,84,6,0.0,0.0
10,2,84,6,0.0,0.0
1,3,85,6,27358.563220999997,-29.999990999999998
2,3,85,6,20715.708070999997,-17.142851999999998
3,3,85,6,27358.563220999997,-29.999990999999998
4,3,85,6,27358.563220999997,-29.999990999999998
5,3,85,6,0.0,0.0
6,3,85,6,0.0,0.0
7,3,85,6,0.0,0.0
8,3,85,6,0.0,0.0
9,3,85,6,0.0,0.0
10,3,85,6,0.0,0.0
1,3,86,6,10775.002155,-15.000003000000001
2,3,86,6,3000.0006000000003,0.0
3,3,86,6,6258.3345850000005,-5.000000999999999
4,3,86,6,6258.334584999997,-5.000000999999999
5,3,86,6,0.0,0.0
6,3,86,6,0.0,0.0
7,3,86,6,0.0,0.0
8,3,86,6,0.0,0.0
9,3,86,6,0.0,0.0
10,3,86,6,0.0,0.0
1,3,87,6,21637.136366,-29.999990999999998
2,3,87,6,8361.426062999995,-5.714283999999998
3,3,87,6,16798.566388999996,-17.142851999999998
4,3,87,6,18982.851448,-21.428565
5,3,87,6,0.0,0.0
6,3,87,6,0.0,0.0
7,3,87,6,0.0,0.0
8,3,87,6,0.0,0.0
9,3,87,6,0.0,0.0
10,3,87,6,0.0,0.0
1,3,88,6,29608.562546,-29.999990999999998
2,3,88,6,21697.136347999993,-17.142851999999998
3,3,88,6,29608.562546,-29.999990999999998
4,3,88,6,29608.562546,-29.999990999999998
5,3,88,6,0.0,0.0
6,3,88,6,0.0,0.0
7,3,88,6,0.0,0.0
8,3,88,6,0.0,0.0
9,3,88,6,0.0,0.0
10,3,88,6,0.0,0.0
