iter,est,noUso,usina,Indep,Coef
1,1,1,6,47463.60248706169,-26.640015318000007
2,1,1,6,48237.281232637295,-23.310000332999934
3,1,1,6,48237.2857747627,-23.310000332999934
4,1,1,6,48237.28684036435,-23.310000332999934
5,1,1,6,0.0,0.0
6,1,1,6,0.0,0.0
7,1,1,6,0.0,0.0
8,1,1,6,0.0,0.0
9,1,1,6,0.0,0.0
10,1,1,6,0.0,0.0
1,2,83,6,19146.66465200001,-19.999998
2,2,83,6,15380.000371333143,-10.000000999999802
3,2,83,6,15380.000371333139,-10.000000999999802
4,2,83,6,15380.000371333139,-10.000000999999802
5,2,83,6,0.0,0.0
6,2,83,6,0.0,0.0
7,2,83,6,0.0,0.0
8,2,83,6,0.0,0.0
9,2,83,6,0.0,0.0
10,2,83,6,0.0,0.0
1,2,84,6,44083.36050599352,-30.000024000000003
2,2,84,6,39838.351601989125,-20.000007999993603
3,2,84,6,43381.69405332748,-25.000021000000803
4,2,84,6,43837.80562054977,-26.666689333334403
5,2,84,6,0.0,0.0
6,2,84,6,0.0,0.0
7,2,84,6,0.0,0.0
8,2,84,6,0.0,0.0
9,2,84,6,0.0,0.0
10,2,84,6,0.0,0.0
1,3,85,6,17870.003574000002,-30.000006000000003
2,3,85,6,13645.002729000003,-15.000003000000001
3,3,85,6,13645.002729000002,-15.000003000000001
4,3,85,6,13645.002729000002,-15.000003000000001
5,3,85,6,0.0,0.0
6,3,85,6,0.0,0.0
7,3,85,6,0.0,0.0
8,3,85,6,0.0,0.0
9,3,85,6,0.0,0.0
10,3,85,6,0.0,0.0
1,3,86,6,2999.9997000000003,0.0
2,3,86,6,2999.9997000000003,0.0
3,3,86,6,2999.9997000000003,0.0
4,3,86,6,2999.9997000000003,0.0
5,3,86,6,0.0,0.0
6,3,86,6,0.0,0.0
7,3,86,6,0.0,0.0
8,3,86,6,0.0,0.0
9,3,86,6,0.0,0.0
10,3,86,6,0.0,0.0
1,3,87,6,30352.487858999997,-29.999987999999995
2,3,87,6,22139.157810999997,-17.499992999999996
3,3,87,6,30352.487858999997,-29.999987999999995
4,3,87,6,30352.48785899999,-29.999987999999995
5,3,87,6,0.0,0.0
6,3,87,6,0.0,0.0
7,3,87,6,0.0,0.0
8,3,87,6,0.0,0.0
9,3,87,6,0.0,0.0
10,3,87,6,0.0,0.0
1,3,88,6,20815.00416300001,-30.000006000000003
2,3,88,6,3000.0006000000003,0.0
3,3,88,6,15170.003034,-15.000003000000001
4,3,88,6,17718.336877,-20.000004
5,3,88,6,0.0,0.0
6,3,88,6,0.0,0.0
7,3,88,6,0.0,0.0
8,3,88,6,0.0,0.0
9,3,88,6,0.0,0.0
10,3,88,6,0.0,0.0
