etapa,iter,est,node,prob,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CustoFuturo
BK,1,4,4,0.3333333,2000.0,300.0,1700.0,0.0,0.0,1378.0,1090.0,768.0,3000.0,0.0
BK,1,4,7,0.3333333,2000.0,300.0,1700.0,0.0,0.0,1691.0,1090.0,1081.0,3000.0,0.0
BK,1,4,10,0.3333333,2000.0,300.0,1700.0,0.0,0.0,1129.0,1090.0,519.0,3000.0,0.0
BK,1,4,13,0.1666667,2000.0,872.0,1128.0,0.0,0.0,1128.0,0.0,0.0,16160.0,0.0
BK,1,4,16,0.1666667,2000.0,553.0,1447.0,0.0,0.0,1447.0,0.0,0.0,6590.000000000002,0.0
BK,1,4,19,0.1666667,2000.0,1112.0,888.0,0.0,0.0,888.0,0.0,0.0,23360.0,0.0
BK,1,4,22,0.1666667,2000.0,1043.0,957.0,0.0,0.0,957.0,0.0,0.0,21290.0,0.0
BK,1,4,25,0.1666667,2000.0,720.0,1280.0,0.0,0.0,1280.0,0.0,0.0,11599.999999999998,0.0
BK,1,4,28,0.1666667,2000.0,1274.0,726.0,0.0,0.0,726.0,0.0,0.0,28220.0,0.0
BK,1,4,40,0.0833333,2000.0,1219.0000000000002,781.0,0.0,0.0,781.0,0.0,0.0,26570.000000000004,0.0
BK,1,4,43,0.0833333,2000.0,890.0,1110.0,0.0,0.0,1110.0,0.0,0.0,16700.0,0.0
BK,1,4,46,0.0833333,2000.0,1436.0,564.0,0.0,0.0,564.0,0.0,0.0,33080.0,0.0
BK,1,4,52,0.0833333,2000.0,1037.0,963.0,0.0,0.0,963.0,0.0,0.0,21110.0,0.0
BK,1,4,55,0.1666667,2000.0,1571.0,429.0,0.0,0.0,429.0,0.0,0.0,37130.0,0.0
BK,1,4,70,0.0833333,2000.0,1087.0000000000002,913.0,0.0,0.0,913.0,0.0,0.0,22610.000000000004,0.0
BK,1,4,73,0.1666667,2000.0,1614.0,386.0,0.0,0.0,386.0,0.0,0.0,38420.00000000001,0.0
BK,1,4,79,0.0833333,2000.0,1219.0000000000002,781.0,0.0,0.0,781.0,0.0,0.0,26570.000000000004,0.0
BK,1,4,82,0.1666667,2000.0,1718.0,282.0,0.0,0.0,282.0,0.0,0.0,41540.0,0.0
BK,1,4,31,0.1666667,2000.0,959.0,1041.0,0.0,0.0,1041.0,0.0,0.0,18770.0,0.0
BK,1,4,34,0.1666667,2000.0,639.0,1361.0,0.0,0.0,1361.0,0.0,0.0,9169.999999999998,0.0
BK,1,4,37,0.1666667,2000.0,1195.0000000000002,805.0,0.0,0.0,805.0,0.0,0.0,25850.000000000004,0.0
BK,1,4,58,0.1666667,2000.0,1157.9999999999998,842.0,0.0,0.0,842.0,0.0,0.0,24739.999999999996,0.0
BK,1,4,61,0.1666667,2000.0,831.0,1169.0,0.0,0.0,1169.0,0.0,0.0,14929.999999999998,0.0
BK,1,4,64,0.1666667,2000.0,1381.0,619.0,0.0,0.0,619.0,0.0,0.0,31429.999999999993,0.0
BK,1,3,9,0.3333333,2000.0,300.0,1700.0,0.0,0.0,2381.0,409.0,1090.0,3000.0,2999.9997000000003
BK,1,3,27,0.6666667,2000.0,1029.6666666666663,970.3333333333335,0.0,0.0,1157.0,409.0,595.6666666666665,20889.999999999993,0.0
BK,1,3,54,0.6666667,2000.0,1296.0,704.0,0.0,0.0,704.0,0.0,0.0,28880.000000000004,31734.999015
BK,1,3,63,0.3333333,2000.0,1105.8333333333328,894.1666666666669,0.0,0.0,1588.0,0.0,693.8333333333331,23174.999999999993,0.0
BK,1,2,26,0.333,2000.0,500.0,1500.0,0.0,0.0,2109.0,0.0,608.9999999999999,5000.0,11926.666863000008
BK,1,2,53,0.666,2000.0,2000.0,0.0,0.0,0.0,1214.0,0.0,1214.0,50000.0,11715.0005913333
BK,1,1,1,1.0,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,46738.77045920698
BK,2,4,4,0.3333333,2000.0,300.0,1700.0,0.0,0.0,1378.0,1290.0,968.0,3000.0,0.0
BK,2,4,7,0.3333333,2000.0,300.0,1700.0,0.0,0.0,1691.0,1290.0,1281.0,3000.0,0.0
BK,2,4,10,0.3333333,2000.0,300.0,1700.0,0.0,0.0,1129.0,1290.0,719.0,3000.0,0.0
BK,2,4,13,0.1666667,2000.0,300.0,1700.0,0.0,0.0,1128.0,595.6666666666665,23.666666666666515,3000.0,0.0
BK,2,4,16,0.1666667,2000.0,300.0,1700.0,0.0,0.0,1447.0,595.6666666666665,342.6666666666665,3000.0,0.0
