iter,est,noUso,usina,Indep,Coef
1,1,1,6,47804.74262995568,-25.90001657599989
2,1,1,6,48258.74181819874,-23.680000369999927
3,1,1,6,48258.746341677215,-23.680000369999927
4,1,1,6,48258.747703516514,-23.680000369999927
5,1,1,6,48330.528701609175,-23.680000369999927
6,1,1,6,0.0,0.0
7,1,1,6,0.0,0.0
8,1,1,6,0.0,0.0
9,1,1,6,0.0,0.0
10,1,1,6,0.0,0.0
1,2,83,6,44083.36050599353,-30.000024000000003
2,2,83,6,40418.90773810033,-20.555564111104797
3,2,83,6,43616.69428832752,-25.555577111112
4,2,83,6,44028.36136666092,-27.222245444445605
5,2,83,6,44191.1393072165,-28.8889137777792
6,2,83,6,0.0,0.0
7,2,83,6,0.0,0.0
8,2,83,6,0.0,0.0
9,2,83,6,0.0,0.0
10,2,83,6,0.0,0.0
1,2,84,6,18817.77849288863,-17.777779555555203
2,2,84,6,16121.11155655535,-11.111112222222003
3,2,84,6,16121.11155655535,-11.111112222222003
4,2,84,6,16121.11155655535,-11.111112222222003
5,2,84,6,16121.11155655535,-11.111112222222003
6,2,84,6,0.0,0.0
7,2,84,6,0.0,0.0
8,2,84,6,0.0,0.0
9,2,84,6,0.0,0.0
10,2,84,6,0.0,0.0
1,3,85,6,30352.487859000004,-29.999987999999995
2,3,85,6,17589.159630999995,-12.499994999999998
3,3,85,6,30352.487858999997,-29.999987999999995
4,3,85,6,30352.487859000004,-29.999987999999995
5,3,85,6,30352.487859000004,-29.999987999999995
6,3,85,6,0.0,0.0
7,3,85,6,0.0,0.0
8,3,85,6,0.0,0.0
9,3,85,6,0.0,0.0
10,3,85,6,0.0,0.0
1,3,86,6,20815.004163,-30.000006000000003
2,3,86,6,4801.667626999999,-1.6666669999999997
3,3,86,6,16268.336586999998,-16.66667
4,3,86,6,18683.33707,-21.666671
5,3,86,6,20351.670737,-26.666672000000002
6,3,86,6,0.0,0.0
7,3,86,6,0.0,0.0
8,3,86,6,0.0,0.0
9,3,86,6,0.0,0.0
10,3,86,6,0.0,0.0
1,3,87,6,2999.9997000000003,0.0
2,3,87,6,2999.9997000000003,0.0
3,3,87,6,2999.9997000000003,0.0
4,3,87,6,2999.9997000000003,0.0
5,3,87,6,2999.9997000000003,0.0
6,3,87,6,0.0,0.0
7,3,87,6,0.0,0.0
8,3,87,6,0.0,0.0
9,3,87,6,0.0,0.0
10,3,87,6,0.0,0.0
1,3,88,6,17693.336872,-26.666672000000002
2,3,88,6,14598.336252999998,-16.66667
3,3,88,6,14598.336252999998,-16.66667
4,3,88,6,14598.336252999998,-16.66667
5,3,88,6,14598.336252999998,-16.66667
6,3,88,6,0.0,0.0
7,3,88,6,0.0,0.0
8,3,88,6,0.0,0.0
9,3,88,6,0.0,0.0
10,3,88,6,0.0,0.0
