NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
86,4,1,4,0.1666667
86,7,2,4,0.1666667
86,10,3,4,0.1666667
85,13,4,4,0.1666667
85,16,5,4,0.1666667
85,19,6,4,0.1666667
85,22,7,4,0.1666667
85,25,8,4,0.1666667
85,28,9,4,0.1666667
86,31,10,4,0.1666667
86,34,11,4,0.1666667
86,37,12,4,0.1666667
87,40,13,4,0.1666667
87,43,14,4,0.1666667
87,46,15,4,0.1666667
88,52,17,4,0.1111112
88,55,18,4,0.2222222
87,58,19,4,0.1666667
87,61,20,4,0.1666667
87,64,21,4,0.1666667
88,70,23,4,0.1111112
88,73,24,4,0.2222222
88,79,26,4,0.1111112
88,82,27,4,0.2222222
1,83,1,2,0.4439999999999999
1,84,2,2,0.5549999999999999
83,85,1,3,0.4999998
83,86,2,3,0.4999998
84,87,1,3,0.4000001999999999
84,88,2,3,0.6
