etapa,iter,est,node,prob,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CustoFuturo
BK,1,4,89,0.1428571,2000.0,1043.0,957.0,0.0,0.0,957.0,0.0,0.0,21290.0,0.0
BK,1,4,90,0.1428571,2000.0,1423.0,577.0,0.0,0.0,577.0,0.0,0.0,32689.999999999993,0.0
BK,1,4,91,0.1428571,2000.0,1087.0000000000002,913.0,0.0,0.0,913.0,0.0,0.0,22610.000000000004,0.0
BK,1,4,92,0.1428571,2000.0,720.0,1280.0,0.0,0.0,1280.0,0.0,0.0,11599.999999999998,0.0
BK,1,4,93,0.1428571,2000.0,1274.0,726.0,0.0,0.0,726.0,0.0,0.0,28220.0,0.0
BK,1,4,94,0.2857142,2000.0,1585.0,415.0,0.0,0.0,415.0,0.0,0.0,37549.99999999999,0.0
BK,1,4,4,0.1666667,2000.0,305.0,1695.0,0.0,0.0,1378.0,317.0,0.0,3050.0,0.0
BK,1,4,7,0.1666667,2000.0,300.0,1700.0,0.0,0.0,1691.0,317.0,308.0,3000.0,0.0
BK,1,4,10,0.1666667,2000.0,554.0,1446.0,0.0,0.0,1129.0,317.0,0.0,6620.0,0.0
BK,1,4,13,0.1666667,2000.0,555.0,1445.0,0.0,0.0,1128.0,317.0,0.0,6649.999999999998,0.0
BK,1,4,16,0.1666667,2000.0,300.0,1700.0,0.0,0.0,1447.0,317.0,64.0,3000.0,0.0
BK,1,4,19,0.1666667,2000.0,795.0,1205.0,0.0,0.0,888.0,317.0,0.0,13849.999999999998,0.0
BK,1,4,95,0.2857142,2000.0,1207.0000000000002,793.0,0.0,0.0,793.0,0.0,0.0,26210.000000000004,0.0
BK,1,4,96,0.1428571,2000.0,831.0,1169.0,0.0,0.0,1169.0,0.0,0.0,14929.999999999998,0.0
BK,1,4,97,0.1428571,2000.0,639.0,1361.0,0.0,0.0,1361.0,0.0,0.0,9169.999999999998,0.0
BK,1,4,98,0.1428571,2000.0,1381.0,619.0,0.0,0.0,619.0,0.0,0.0,31429.999999999993,0.0
BK,1,4,99,0.1428571,2000.0,959.0,1041.0,0.0,0.0,1041.0,0.0,0.0,18770.0,0.0
BK,1,4,100,0.1428571,2000.0,1157.9999999999998,842.0,0.0,0.0,842.0,0.0,0.0,24739.999999999996,0.0
BK,1,4,101,0.2857142,2000.0,1403.5,596.5,0.0,0.0,596.5,0.0,0.0,32104.999999999993,0.0
BK,1,4,102,0.1428571,2000.0,890.0,1110.0,0.0,0.0,1110.0,0.0,0.0,16700.0,0.0
BK,1,4,103,0.1428571,2000.0,1571.0,429.0,0.0,0.0,429.0,0.0,0.0,37130.0,0.0
BK,1,4,104,0.1428571,2000.0,1219.0000000000002,781.0,0.0,0.0,781.0,0.0,0.0,26570.000000000004,0.0
BK,1,4,105,0.1428571,2000.0,1037.0,963.0,0.0,0.0,963.0,0.0,0.0,21110.0,0.0
BK,1,4,106,0.1428571,2000.0,1718.0,282.0,0.0,0.0,282.0,0.0,0.0,41540.0,0.0
BK,1,3,85,0.5384617,2000.0,1990.5238095238096,9.476190476190368,0.0,0.0,921.4285714285713,0.0,911.952380952381,49715.71428571429,0.0
BK,1,3,86,0.4615386,2000.0,499.9999999999998,1500.0000000000002,0.0,0.0,2017.0,0.0,517.0,4999.9999999999945,2695.000538999999
BK,1,3,87,0.5000002,2000.0,1166.3809523809523,833.6190476190477,0.0,0.0,1554.857142857143,0.0,721.2380952380952,24991.42857142857,0.0
BK,1,3,88,0.5000002,2000.0,1144.1428571428576,855.8571428571428,0.0,0.0,855.8571428571428,0.0,0.0,24324.285714285717,29608.562546
BK,1,2,83,0.48099999999999987,2000.0,499.9999999999998,1500.0000000000002,0.0,0.0,1677.307692307693,0.0,177.30769230769286,4999.9999999999945,26093.439756680455
BK,1,2,84,0.5179999999999999,2000.0,2000.0,0.0,0.0,0.0,1032.5714285714287,0.0,1032.5714285714287,50000.0,8484.998952712504
BK,1,1,1,1.0,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,45251.17398046836
BK,2,4,89,0.1428571,2000.0,300.0,1700.0,0.0,0.0,957.0,911.952380952381,168.95238095238096,3000.0,0.0
BK,2,4,90,0.1428571,2000.0,511.04761904761904,1488.952380952381,0.0,0.0,577.0,911.952380952381,0.0,5331.4285714285725,0.0
BK,2,4,91,0.1428571,2000.0,300.0,1700.0,0.0,0.0,913.0,911.952380952381,124.95238095238096,3000.0,0.0
BK,2,4,92,0.1428571,2000.0,300.0,1700.0,0.0,0.0,1280.0,911.952380952381,491.95238095238074,3000.0,0.0
BK,2,4,93,0.1428571,2000.0,362.04761904761904,1637.952380952381,0.0,0.0,726.0,911.952380952381,0.0,3620.4761904761904,0.0
BK,2,4,94,0.2857142,2000.0,673.047619047619,1326.952380952381,0.0,0.0,415.0,911.952380952381,0.0,10191.428571428572,0.0
BK,2,4,4,0.1666667,2000.0,300.0,1700.0,0.0,0.0,1378.0,678.6999999999999,356.6999999999998,3000.0,0.0
BK,2,4,7,0.1666667,2000.0,300.0,1700.0,0.0,0.0,1691.0,678.6999999999999,669.6999999999998,3000.0,0.0
BK,2,4,10,0.1666667,2000.0,300.0,1700.0,0.0,0.0,1129.0,678.6999999999999,107.69999999999982,3000.0,0.0
BK,2,4,13,0.1666667,2000.0,300.0,1700.0,0.0,0.0,1128.0,678.6999999999999,106.69999999999982,3000.0,0.0
BK,2,4,16,0.1666667,2000.0,300.0,1700.0,0.0,0.0,1447.0,678.6999999999999,425.6999999999998,3000.0,0.0
BK,2,4,19,0.1666667,2000.0,433.3000000000002,1566.6999999999998,0.0,0.0,888.0,678.6999999999999,0.0,4333.000000000002,0.0
BK,2,4,95,0.2857142,2000.0,319.5714285714282,1680.4285714285718,0.0,0.0,793.0,887.4285714285716,0.0,3195.7142857142785,0.0
BK,2,4,96,0.1428571,2000.0,300.0,1700.0,0.0,0.0,1169.0,887.4285714285716,356.42857142857156,3000.0,0.0
BK,2,4,97,0.1428571,2000.0,300.0,1700.0,0.0,0.0,1361.0,887.4285714285716,548.4285714285716,3000.0,0.0
BK,2,4,98,0.1428571,2000.0,493.57142857142844,1506.4285714285716,0.0,0.0,619.0,887.4285714285716,0.0,4935.714285714284,0.0
BK,2,4,99,0.1428571,2000.0,300.0,1700.0,0.0,0.0,1041.0,887.4285714285716,228.42857142857156,3000.0,0.0
BK,2,4,100,0.1428571,2000.0,300.0,1700.0,0.0,0.0,842.0,887.4285714285716,29.42857142857156,3000.0,0.0
BK,2,4,101,0.2857142,2000.0,416.5476190476188,1583.4523809523812,0.0,0.0,596.5,986.952380952381,0.0,4165.476190476185,0.0
BK,2,4,102,0.1428571,2000.0,300.0,1700.0,0.0,0.0,1110.0,986.952380952381,396.95238095238074,3000.0,0.0
BK,2,4,103,0.1428571,2000.0,584.047619047619,1415.952380952381,0.0,0.0,429.0,986.952380952381,0.0,7521.428571428571,0.0
BK,2,4,104,0.1428571,2000.0,300.0,1700.0,0.0,0.0,781.0,986.952380952381,67.95238095238096,3000.0,0.0
BK,2,4,105,0.1428571,2000.0,300.0,1700.0,0.0,0.0,963.0,986.952380952381,249.95238095238096,3000.0,0.0
BK,2,4,106,0.1428571,2000.0,731.047619047619,1268.952380952381,0.0,0.0,282.0,986.952380952381,0.0,11931.42857142857,0.0
BK,2,3,85,0.5384617,2000.0,901.2637362637358,1098.7362637362642,0.0,0.0,921.4285714285713,177.30769230769286,1.2126599661618944e-13,17037.912087912075,27358.563220999993
BK,2,3,86,0.4615386,2000.0,300.0,1700.0,0.0,0.0,2017.0,177.30769230769286,494.30769230769295,3000.0,3529.4878853846144
BK,2,3,87,0.5000002,2000.0,300.0,1700.0,0.0,0.0,1554.857142857143,1032.5714285714287,887.4285714285716,3000.0,3332.44797985714
BK,2,3,88,0.5000002,2000.0,815.5714285714284,1184.4285714285716,0.0,0.0,855.8571428571428,1032.5714285714287,704.0000000000001,14467.142857142853,8488.568881999996
BK,2,2,83,0.48099999999999987,2000.0,500.0,1500.0,0.0,0.0,1677.307692307693,0.0,177.30769230769317,5000.0,26919.412266182193
BK,2,2,84,0.5179999999999999,2000.0,1520.9601338908828,479.03986610911727,0.0,0.0,1032.5714285714287,0.0,553.5315624623114,35628.80401672648,22856.200684464417
BK,2,1,1,1.0,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,45648.4697352505
BK,3,4,89,0.1428571,2000.0,1043.0,957.0000000000002,0.0,0.0,957.0,2.425319932323789e-13,0.0,21289.999999999996,0.0
BK,3,4,90,0.1428571,2000.0,1422.9999999999995,577.0000000000002,0.0,0.0,577.0,2.425319932323789e-13,0.0,32689.999999999993,0.0
BK,3,4,91,0.1428571,2000.0,1086.9999999999995,913.0000000000002,0.0,0.0,913.0,2.425319932323789e-13,0.0,22609.999999999993,0.0
BK,3,4,92,0.1428571,2000.0,719.9999999999998,1280.0000000000002,0.0,0.0,1280.0,2.425319932323789e-13,0.0,11599.999999999993,0.0
BK,3,4,93,0.1428571,2000.0,1273.9999999999998,726.0000000000002,0.0,0.0,726.0,2.425319932323789e-13,0.0,28219.999999999993,0.0
BK,3,4,94,0.2857142,2000.0,1584.9999999999995,415.0000000000002,0.0,0.0,415.0,2.425319932323789e-13,0.0,37549.99999999999,0.0
BK,3,4,4,0.1666667,2000.0,300.0,1700.0,0.0,0.0,1378.0,494.30769230769346,172.30769230769351,3000.0,0.0
BK,3,4,7,0.1666667,2000.0,300.0,1700.0,0.0,0.0,1691.0,494.30769230769346,485.3076923076933,3000.0,0.0
BK,3,4,10,0.1666667,2000.0,376.69230769230626,1623.3076923076937,0.0,0.0,1129.0,494.30769230769346,0.0,3766.9230769230594,0.0
BK,3,4,13,0.1666667,2000.0,377.6923076923065,1622.3076923076935,0.0,0.0,1128.0,494.30769230769346,0.0,3776.923076923065,0.0
BK,3,4,16,0.1666667,2000.0,300.0,1700.0,0.0,0.0,1447.0,494.30769230769346,241.30769230769351,3000.0,0.0
BK,3,4,19,0.1666667,2000.0,617.6923076923065,1382.3076923076935,0.0,0.0,888.0,494.30769230769346,0.0,8530.769230769194,0.0
BK,3,4,95,0.2857142,2000.0,643.0555555555557,1356.9444444444443,0.0,0.0,793.0,563.9444444444445,0.0,9291.66666666667,0.0
BK,3,4,96,0.1428571,2000.0,300.0,1700.0,0.0,0.0,1169.0,563.9444444444445,32.94444444444434,3000.0,0.0
BK,3,4,97,0.1428571,2000.0,300.0,1700.0,0.0,0.0,1361.0,563.9444444444445,224.94444444444434,3000.0,0.0
BK,3,4,98,0.1428571,2000.0,817.0555555555557,1182.9444444444443,0.0,0.0,619.0,563.9444444444445,0.0,14511.66666666667,0.0
BK,3,4,99,0.1428571,2000.0,395.05555555555566,1604.9444444444443,0.0,0.0,1041.0,563.9444444444445,0.0,3950.5555555555566,0.0
BK,3,4,100,0.1428571,2000.0,594.0555555555557,1405.9444444444443,0.0,0.0,842.0,563.9444444444445,0.0,7821.6666666666715,0.0
BK,3,4,101,0.2857142,2000.0,699.5,1300.5,0.0,0.0,596.5,704.0000000000001,0.0,10985.0,0.0
BK,3,4,102,0.1428571,2000.0,300.0,1700.0,0.0,0.0,1110.0,704.0000000000001,114.0,3000.0,0.0
BK,3,4,103,0.1428571,2000.0,867.0,1133.0,0.0,0.0,429.0,704.0000000000001,0.0,16009.999999999998,0.0
BK,3,4,104,0.1428571,2000.0,515.0,1485.0,0.0,0.0,781.0,704.0000000000001,0.0,5450.0,0.0
BK,3,4,105,0.1428571,2000.0,333.0,1667.0,0.0,0.0,963.0,704.0000000000001,0.0,3330.0,0.0
BK,3,4,106,0.1428571,2000.0,1013.9999999999998,986.0000000000001,0.0,0.0,282.0,704.0000000000001,0.0,20419.999999999996,0.0
BK,3,3,85,0.5384617,2000.0,901.2637362637358,1098.7362637362642,0.0,0.0,921.4285714285713,177.30769230769317,2.425319932323789e-13,17037.912087912075,27358.56322099999
BK,3,3,86,0.4615386,2000.0,300.0,1700.0,0.0,0.0,2017.0,177.30769230769317,494.30769230769323,3000.0,4179.103399923068
BK,3,3,87,0.5000002,2000.0,499.99999999999955,1500.0000000000005,0.0,0.0,1554.857142857143,553.5315624623114,608.3887053194541,4999.999999999985,6441.350683090066
BK,3,3,88,0.5000002,2000.0,590.6112946805458,1409.3887053194542,0.0,0.0,855.8571428571428,553.5315624623114,0.0,7718.338840416374,29608.562546
BK,3,2,83,0.48099999999999987,2000.0,500.0,1500.0,0.0,0.0,1677.307692307693,0.0,177.30769230769317,5000.0,27219.23490130055
BK,3,2,84,0.5179999999999999,2000.0,1253.571728008784,746.428271991216,0.0,0.0,1032.5714285714287,0.0,286.1431565802127,27607.15184026352,30877.856069588248
BK,3,1,1,1.0,2000.0,999.9999999999999,1000.0000000000001,0.0,0.0,0.0,1000.0,-1.1368683772161603e-13,19999.999999999996,45792.686084828776
BK,4,4,89,0.1428571,2000.0,1043.0000000000002,957.0000000000001,0.0,0.0,957.0,1.2126599661618944e-13,0.0,21289.999999999996,0.0
BK,4,4,90,0.1428571,2000.0,1423.0,577.0000000000001,0.0,0.0,577.0,1.2126599661618944e-13,0.0,32689.999999999993,0.0
BK,4,4,91,0.1428571,2000.0,1087.0,913.0000000000001,0.0,0.0,913.0,1.2126599661618944e-13,0.0,22609.999999999996,0.0
BK,4,4,92,0.1428571,2000.0,719.9999999999998,1280.0000000000002,0.0,0.0,1280.0,1.2126599661618944e-13,0.0,11599.999999999993,0.0
BK,4,4,93,0.1428571,2000.0,1274.0,726.0000000000001,0.0,0.0,726.0,1.2126599661618944e-13,0.0,28220.0,0.0
BK,4,4,94,0.2857142,2000.0,1585.0,415.0000000000001,0.0,0.0,415.0,1.2126599661618944e-13,0.0,37549.99999999999,0.0
