etapa,iter,est,node,prob,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CustoFuturo
FW,6,1,1,1.0,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,45792.68734045123
FW,6,2,83,0.48099999999999987,2000.0,500.0,1500.0,0.0,0.0,1677.307692307693,0.0,177.30769230769317,5000.0,27219.23490130055
FW,6,2,84,0.5179999999999999,2000.0,1051.5732626162103,948.4267373837896,0.0,0.0,1032.5714285714287,0.0,84.14469118763907,21547.19787848631,36937.81245534704
FW,6,3,85,0.5384617,2000.0,901.2637362637358,1098.7362637362642,0.0,0.0,921.4285714285713,177.30769230769317,2.425319932323789e-13,17037.912087912075,27358.56322099999
FW,6,3,86,0.4615386,2000.0,300.0,1700.0,0.0,0.0,2017.0,177.30769230769317,494.30769230769323,3000.0,4179.103399923068
FW,6,3,87,0.5000002,2000.0,500.0000000000002,1499.9999999999998,0.0,0.0,1554.857142857143,84.14469118763907,139.0018340447819,5000.0000000000055,17467.087835799422
FW,6,3,88,0.5000002,2000.0,1059.9981659552184,940.001834044782,0.0,0.0,855.8571428571428,84.14469118763907,-1.1368683772161603e-13,21799.944978656546,29608.562546000005
FW,6,4,89,0.1428571,2000.0,1043.0,957.0000000000002,0.0,0.0,957.0,2.425319932323789e-13,0.0,21289.999999999996,0.0
FW,6,4,90,0.1428571,2000.0,1422.9999999999995,577.0000000000002,0.0,0.0,577.0,2.425319932323789e-13,0.0,32689.999999999993,0.0
FW,6,4,91,0.1428571,2000.0,1086.9999999999995,913.0000000000002,0.0,0.0,913.0,2.425319932323789e-13,0.0,22609.999999999993,0.0
FW,6,4,92,0.1428571,2000.0,719.9999999999998,1280.0000000000002,0.0,0.0,1280.0,2.425319932323789e-13,0.0,11599.999999999993,0.0
FW,6,4,93,0.1428571,2000.0,1273.9999999999998,726.0000000000002,0.0,0.0,726.0,2.425319932323789e-13,0.0,28219.999999999993,0.0
FW,6,4,94,0.2857142,2000.0,1584.9999999999995,415.0000000000002,0.0,0.0,415.0,2.425319932323789e-13,0.0,37549.99999999999,0.0
FW,6,4,4,0.1666667,2000.0,300.0,1700.0,0.0,0.0,1378.0,494.30769230769323,172.3076923076933,3000.0,0.0
FW,6,4,7,0.1666667,2000.0,300.0,1700.0,0.0,0.0,1691.0,494.30769230769323,485.3076923076933,3000.0,0.0
FW,6,4,10,0.1666667,2000.0,376.6923076923067,1623.3076923076933,0.0,0.0,1129.0,494.30769230769323,0.0,3766.923076923067,0.0
FW,6,4,13,0.1666667,2000.0,377.6923076923067,1622.3076923076933,0.0,0.0,1128.0,494.30769230769323,0.0,3776.923076923067,0.0
FW,6,4,16,0.1666667,2000.0,300.0,1700.0,0.0,0.0,1447.0,494.30769230769323,241.3076923076933,3000.0,0.0
FW,6,4,19,0.1666667,2000.0,617.6923076923067,1382.3076923076933,0.0,0.0,888.0,494.30769230769323,0.0,8530.7692307692,0.0
FW,6,4,95,0.2857142,2000.0,1067.9981659552184,932.0018340447818,0.0,0.0,793.0,139.0018340447819,0.0,22039.944978656546,0.0
FW,6,4,96,0.1428571,2000.0,691.9981659552182,1308.0018340447818,0.0,0.0,1169.0,139.0018340447819,0.0,10759.944978656544,0.0
FW,6,4,97,0.1428571,2000.0,499.9981659552179,1500.001834044782,0.0,0.0,1361.0,139.0018340447819,0.0,4999.981659552175,0.0
FW,6,4,98,0.1428571,2000.0,1241.9981659552182,758.0018340447818,0.0,0.0,619.0,139.0018340447819,0.0,27259.944978656546,0.0
FW,6,4,99,0.1428571,2000.0,819.9981659552182,1180.0018340447818,0.0,0.0,1041.0,139.0018340447819,0.0,14599.944978656546,0.0
FW,6,4,100,0.1428571,2000.0,1018.9981659552179,981.0018340447818,0.0,0.0,842.0,139.0018340447819,0.0,20569.944978656542,0.0
FW,6,4,101,0.2857142,2000.0,1403.5,596.4999999999999,0.0,0.0,596.5,-1.1368683772161603e-13,0.0,32105.000000000007,0.0
FW,6,4,102,0.1428571,2000.0,890.0,1110.0,0.0,0.0,1110.0,-1.1368683772161603e-13,0.0,16700.0,0.0
FW,6,4,103,0.1428571,2000.0,1571.0,428.9999999999999,0.0,0.0,429.0,-1.1368683772161603e-13,0.0,37130.0,0.0
FW,6,4,104,0.1428571,2000.0,1219.0000000000002,780.9999999999999,0.0,0.0,781.0,-1.1368683772161603e-13,0.0,26570.000000000004,0.0
FW,6,4,105,0.1428571,2000.0,1036.9999999999998,962.9999999999999,0.0,0.0,963.0,-1.1368683772161603e-13,0.0,21110.000000000004,0.0
FW,6,4,106,0.1428571,2000.0,1717.9999999999998,281.9999999999999,0.0,0.0,282.0,-1.1368683772161603e-13,0.0,41540.0,0.0
