iter,est,no,usina,Indep,Coef
1,4,89,6,21290.0,-30.0
1,4,90,6,32689.999999999993,-30.0
1,4,91,6,22610.000000000004,-30.0
1,4,92,6,11599.999999999998,-30.0
1,4,93,6,28220.0,-30.0
1,4,94,6,37549.99999999999,-30.0
1,4,4,6,6220.0,-9.999999999999998
1,4,7,6,3000.0,0.0
1,4,10,6,16130.0,-30.0
1,4,13,6,16159.999999999998,-30.0
1,4,16,6,3000.0,0.0
1,4,19,6,23360.0,-30.0
1,4,95,6,26210.000000000004,-30.0
1,4,96,6,14929.999999999998,-30.0
1,4,97,6,9169.999999999998,-30.0
1,4,98,6,31429.999999999993,-30.0
1,4,99,6,18770.0,-30.0
1,4,100,6,24739.999999999996,-30.0
1,4,101,6,32104.999999999993,-30.0
1,4,102,6,16700.0,-30.0
1,4,103,6,37130.0,-30.0
1,4,104,6,26570.000000000004,-30.0
1,4,105,6,21110.0,-30.0
1,4,106,6,41540.0,-30.0
1,3,85,6,49715.71428571429,-30.0
1,3,86,6,7695.000538999993,-16.66667
1,3,87,6,24991.42857142857,-30.0
1,3,88,6,53932.84826028572,-30.0
1,2,83,6,31093.439756680447,-23.846162538462004
1,2,84,6,58484.9989527125,-30.000012
1,1,1,6,95251.17398046836,-30.0
2,4,89,6,3000.0,0.0
2,4,90,6,32690.0,-30.0
2,4,91,6,3000.0,0.0
2,4,92,6,3000.0,0.0
2,4,93,6,12739.999999999998,-9.999999999999998
2,4,94,6,37550.0,-30.0
2,4,4,6,3000.0,0.0
2,4,7,6,3000.0,0.0
2,4,10,6,3000.0,0.0
2,4,13,6,3000.0,0.0
2,4,16,6,3000.0,0.0
2,4,19,6,11120.0,-9.999999999999998
2,4,95,6,12069.999999999993,-9.999999999999998
2,4,96,6,3000.0,0.0
2,4,97,6,3000.0,0.0
2,4,98,6,13809.999999999998,-9.999999999999998
2,4,99,6,3000.0,0.0
2,4,100,6,3000.0,0.0
2,4,101,6,14034.999999999993,-9.999999999999998
2,4,102,6,3000.0,0.0
2,4,103,6,37130.0,-30.0
2,4,104,6,3000.0,0.0
2,4,105,6,3000.0,0.0
2,4,106,6,41540.0,-30.0
2,3,85,6,49715.70607814285,-30.0
2,3,86,6,6825.000765000001,-1.6666669999999997
2,3,87,6,10757.752774714285,-4.285713000000001
2,3,88,6,53932.8545962857,-30.0
2,2,83,6,31919.412266182193,-16.923082153846202
2,2,84,6,58485.00470119089,-30.0
2,1,1,6,95648.4697352505,-30.0
3,4,89,6,21290.000000000004,-30.0
3,4,90,6,32690.0,-30.0
3,4,91,6,22610.0,-30.0
3,4,92,6,11600.0,-30.0
3,4,93,6,28220.0,-30.0
3,4,94,6,37550.0,-30.0
3,4,4,6,3000.0,0.0
3,4,7,6,3000.0,0.0
3,4,10,6,8709.999999999993,-9.999999999999998
3,4,13,6,8719.999999999998,-9.999999999999998
3,4,16,6,3000.0,0.0
3,4,19,6,23360.0,-30.0
3,4,95,6,26210.0,-30.0
3,4,96,6,3000.0,0.0
3,4,97,6,3000.0,0.0
3,4,98,6,31430.0,-30.0
3,4,99,6,9590.0,-9.999999999999998
3,4,100,6,24740.000000000004,-30.0
3,4,101,6,32105.000000000004,-30.0
3,4,102,6,3000.0,0.0
3,4,103,6,37130.0,-30.0
3,4,104,6,26570.000000000004,-30.0
3,4,105,6,10370.0,-9.999999999999998
3,4,106,6,41540.0,-30.0
3,3,85,6,49715.70607814286,-30.0
3,3,86,6,8656.667797999999,-8.333335
3,3,87,6,21721.219473428555,-18.571422999999996
3,3,88,6,53932.84826028571,-29.999999999999996
3,2,83,6,32219.23490130055,-20.000006769231007
3,2,84,6,58485.00790985177,-30.0
3,1,1,6,95792.68608482878,-30.0
4,4,89,6,21290.0,-30.0
4,4,90,6,32689.999999999996,-30.0
4,4,91,6,22610.0,-30.0
4,4,92,6,11599.999999999996,-30.0
4,4,93,6,28220.000000000004,-30.0
4,4,94,6,37550.0,-30.0
4,4,4,6,3000.0,0.0
4,4,7,6,3000.0,0.0
4,4,10,6,8709.999999999993,-9.999999999999998
4,4,13,6,8719.999999999998,-9.999999999999998
4,4,16,6,3000.0,0.0
4,4,19,6,23360.0,-30.0
4,4,95,6,26210.0,-30.0
4,4,96,6,8309.999999999995,-9.999999999999998
4,4,97,6,3000.0,0.0
