etapa,iter,est,node,prob,Submercado,nome,usina,generation,VI,AFL,TURB,VERT,VF
BK,1,4,89,0.1428571,1,6,6,957.0,0.0,957.0,957.0,0.0,0.0
BK,1,4,90,0.1428571,1,6,6,577.0,0.0,577.0,577.0,0.0,0.0
BK,1,4,91,0.1428571,1,6,6,913.0,0.0,913.0,913.0,0.0,0.0
BK,1,4,92,0.1428571,1,6,6,1280.0,0.0,1280.0,1280.0,0.0,0.0
BK,1,4,93,0.1428571,1,6,6,726.0,0.0,726.0,726.0,0.0,0.0
BK,1,4,94,0.2857142,1,6,6,415.0,0.0,415.0,415.0,0.0,0.0
BK,1,4,4,0.1666667,1,6,6,1695.0,317.0,1378.0,1695.0,0.0,0.0
BK,1,4,7,0.1666667,1,6,6,1700.0,317.0,1691.0,1700.0,0.0,308.0
BK,1,4,10,0.1666667,1,6,6,1446.0,317.0,1129.0,1446.0,0.0,0.0
BK,1,4,13,0.1666667,1,6,6,1445.0,317.0,1128.0,1445.0,0.0,0.0
BK,1,4,16,0.1666667,1,6,6,1700.0,317.0,1447.0,1700.0,0.0,64.0
BK,1,4,19,0.1666667,1,6,6,1205.0,317.0,888.0,1205.0,0.0,0.0
BK,1,4,95,0.2857142,1,6,6,793.0,0.0,793.0,793.0,0.0,0.0
BK,1,4,96,0.1428571,1,6,6,1169.0,0.0,1169.0,1169.0,0.0,0.0
BK,1,4,97,0.1428571,1,6,6,1361.0,0.0,1361.0,1361.0,0.0,0.0
BK,1,4,98,0.1428571,1,6,6,619.0,0.0,619.0,619.0,0.0,0.0
BK,1,4,99,0.1428571,1,6,6,1041.0,0.0,1041.0,1041.0,0.0,0.0
BK,1,4,100,0.1428571,1,6,6,842.0,0.0,842.0,842.0,0.0,0.0
BK,1,4,101,0.2857142,1,6,6,596.5,0.0,596.5,596.5,0.0,0.0
BK,1,4,102,0.1428571,1,6,6,1110.0,0.0,1110.0,1110.0,0.0,0.0
BK,1,4,103,0.1428571,1,6,6,429.0,0.0,429.0,429.0,0.0,0.0
BK,1,4,104,0.1428571,1,6,6,781.0,0.0,781.0,781.0,0.0,0.0
BK,1,4,105,0.1428571,1,6,6,963.0,0.0,963.0,963.0,0.0,0.0
BK,1,4,106,0.1428571,1,6,6,282.0,0.0,282.0,282.0,0.0,0.0
BK,1,3,85,0.5384617,1,6,6,9.476190476190368,0.0,921.4285714285713,9.476190476190368,0.0,911.952380952381
BK,1,3,86,0.4615386,1,6,6,1500.0000000000002,0.0,2017.0,1500.0000000000002,-2.2737367544323206e-13,517.0
BK,1,3,87,0.5000002,1,6,6,833.6190476190477,0.0,1554.857142857143,833.6190476190477,0.0,721.2380952380952
BK,1,3,88,0.5000002,1,6,6,855.8571428571428,0.0,855.8571428571428,855.8571428571428,0.0,0.0
BK,1,2,83,0.48099999999999987,1,6,6,1500.0000000000002,0.0,1677.307692307693,1500.0000000000002,0.0,177.30769230769286
BK,1,2,84,0.5179999999999999,1,6,6,0.0,0.0,1032.5714285714287,0.0,0.0,1032.5714285714287
BK,1,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
BK,2,4,89,0.1428571,1,6,6,1700.0,911.952380952381,957.0,1700.0,0.0,168.95238095238096
BK,2,4,90,0.1428571,1,6,6,1488.952380952381,911.952380952381,577.0,1488.952380952381,0.0,0.0
BK,2,4,91,0.1428571,1,6,6,1700.0,911.952380952381,913.0,1700.0,0.0,124.95238095238096
BK,2,4,92,0.1428571,1,6,6,1700.0,911.952380952381,1280.0,1700.0,0.0,491.95238095238074
BK,2,4,93,0.1428571,1,6,6,1637.952380952381,911.952380952381,726.0,1637.952380952381,0.0,0.0
BK,2,4,94,0.2857142,1,6,6,1326.952380952381,911.952380952381,415.0,1326.952380952381,0.0,0.0
BK,2,4,4,0.1666667,1,6,6,1700.0,678.6999999999999,1378.0,1700.0,0.0,356.6999999999998
BK,2,4,7,0.1666667,1,6,6,1700.0,678.6999999999999,1691.0,1700.0,0.0,669.6999999999998
BK,2,4,10,0.1666667,1,6,6,1700.0,678.6999999999999,1129.0,1700.0,0.0,107.69999999999982
BK,2,4,13,0.1666667,1,6,6,1700.0,678.6999999999999,1128.0,1700.0,0.0,106.69999999999982
BK,2,4,16,0.1666667,1,6,6,1700.0,678.6999999999999,1447.0,1700.0,0.0,425.6999999999998
BK,2,4,19,0.1666667,1,6,6,1566.6999999999998,678.6999999999999,888.0,1566.6999999999998,0.0,0.0
BK,2,4,95,0.2857142,1,6,6,1680.4285714285718,887.4285714285716,793.0,1680.4285714285718,-2.2737367544323206e-13,0.0
BK,2,4,96,0.1428571,1,6,6,1700.0,887.4285714285716,1169.0,1700.0,0.0,356.42857142857156
BK,2,4,97,0.1428571,1,6,6,1700.0,887.4285714285716,1361.0,1700.0,0.0,548.4285714285716
BK,2,4,98,0.1428571,1,6,6,1506.4285714285716,887.4285714285716,619.0,1506.4285714285716,0.0,0.0
BK,2,4,99,0.1428571,1,6,6,1700.0,887.4285714285716,1041.0,1700.0,0.0,228.42857142857156
BK,2,4,100,0.1428571,1,6,6,1700.0,887.4285714285716,842.0,1700.0,0.0,29.42857142857156
BK,2,4,101,0.2857142,1,6,6,1583.4523809523812,986.952380952381,596.5,1583.4523809523812,-2.2737367544323206e-13,0.0
BK,2,4,102,0.1428571,1,6,6,1700.0,986.952380952381,1110.0,1700.0,0.0,396.95238095238074
