etapa,iter,est,node,prob,Submercado,nome,usina,generation,VI,AFL,TURB,VERT,VF
FW,6,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,6,2,83,0.48099999999999987,1,6,6,1500.0,0.0,1677.307692307693,1500.0,0.0,177.30769230769317
FW,6,2,84,0.5179999999999999,1,6,6,948.4267373837896,0.0,1032.5714285714287,948.4267373837896,0.0,84.14469118763907
FW,6,3,85,0.5384617,1,6,6,1098.7362637362642,177.30769230769317,921.4285714285713,1098.7362637362642,0.0,2.425319932323789e-13
FW,6,3,86,0.4615386,1,6,6,1700.0,177.30769230769317,2017.0,1700.0,0.0,494.30769230769323
FW,6,3,87,0.5000002,1,6,6,1499.9999999999998,84.14469118763907,1554.857142857143,1499.9999999999998,0.0,139.0018340447819
FW,6,3,88,0.5000002,1,6,6,940.001834044782,84.14469118763907,855.8571428571428,940.001834044782,0.0,-1.1368683772161603e-13
FW,6,4,89,0.1428571,1,6,6,957.0000000000002,2.425319932323789e-13,957.0,957.0000000000002,0.0,0.0
FW,6,4,90,0.1428571,1,6,6,577.0000000000002,2.425319932323789e-13,577.0,577.0000000000002,0.0,0.0
FW,6,4,91,0.1428571,1,6,6,913.0000000000002,2.425319932323789e-13,913.0,913.0000000000002,0.0,0.0
FW,6,4,92,0.1428571,1,6,6,1280.0000000000002,2.425319932323789e-13,1280.0,1280.0000000000002,0.0,0.0
FW,6,4,93,0.1428571,1,6,6,726.0000000000002,2.425319932323789e-13,726.0,726.0000000000002,0.0,0.0
FW,6,4,94,0.2857142,1,6,6,415.0000000000002,2.425319932323789e-13,415.0,415.0000000000002,0.0,0.0
FW,6,4,4,0.1666667,1,6,6,1700.0,494.30769230769323,1378.0,1700.0,0.0,172.3076923076933
FW,6,4,7,0.1666667,1,6,6,1700.0,494.30769230769323,1691.0,1700.0,0.0,485.3076923076933
FW,6,4,10,0.1666667,1,6,6,1623.3076923076933,494.30769230769323,1129.0,1623.3076923076933,0.0,0.0
FW,6,4,13,0.1666667,1,6,6,1622.3076923076933,494.30769230769323,1128.0,1622.3076923076933,0.0,0.0
FW,6,4,16,0.1666667,1,6,6,1700.0,494.30769230769323,1447.0,1700.0,0.0,241.3076923076933
FW,6,4,19,0.1666667,1,6,6,1382.3076923076933,494.30769230769323,888.0,1382.3076923076933,0.0,0.0
FW,6,4,95,0.2857142,1,6,6,932.0018340447818,139.0018340447819,793.0,932.0018340447818,0.0,0.0
FW,6,4,96,0.1428571,1,6,6,1308.0018340447818,139.0018340447819,1169.0,1308.0018340447818,0.0,0.0
FW,6,4,97,0.1428571,1,6,6,1500.001834044782,139.0018340447819,1361.0,1500.001834044782,-2.2737367544323206e-13,0.0
FW,6,4,98,0.1428571,1,6,6,758.0018340447818,139.0018340447819,619.0,758.0018340447818,0.0,0.0
FW,6,4,99,0.1428571,1,6,6,1180.0018340447818,139.0018340447819,1041.0,1180.0018340447818,0.0,0.0
FW,6,4,100,0.1428571,1,6,6,981.0018340447818,139.0018340447819,842.0,981.0018340447818,0.0,0.0
FW,6,4,101,0.2857142,1,6,6,596.4999999999999,-1.1368683772161603e-13,596.5,596.4999999999999,0.0,0.0
FW,6,4,102,0.1428571,1,6,6,1110.0,-1.1368683772161603e-13,1110.0,1110.0,0.0,0.0
FW,6,4,103,0.1428571,1,6,6,428.9999999999999,-1.1368683772161603e-13,429.0,428.9999999999999,0.0,0.0
FW,6,4,104,0.1428571,1,6,6,780.9999999999999,-1.1368683772161603e-13,781.0,780.9999999999999,0.0,0.0
FW,6,4,105,0.1428571,1,6,6,962.9999999999999,-1.1368683772161603e-13,963.0,962.9999999999999,0.0,0.0
FW,6,4,106,0.1428571,1,6,6,281.9999999999999,-1.1368683772161603e-13,282.0,281.9999999999999,0.0,0.0
