etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
FW,1,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,1,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,1,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,1,2,83,0.48099999999999987,1,ANGRA1,1,322.7,10.0,3227.0
FW,1,2,83,0.48099999999999987,1,ANGRA2,2,0.0,20.0,0.0
FW,1,2,83,0.48099999999999987,1,ANGRA2,3,0.0,30.0,0.0
FW,1,2,83,0.48099999999999987,1,ANGRA2,4,0.0,40.0,0.0
FW,1,2,84,0.5179999999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,84,0.5179999999999999,1,ANGRA2,2,155.8,20.0,3116.0
FW,1,2,84,0.5179999999999999,1,ANGRA2,3,155.8,30.0,4674.0
FW,1,2,84,0.5179999999999999,1,ANGRA2,4,155.8,40.0,6232.0
FW,1,3,85,0.5384617,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,3,85,0.5384617,1,ANGRA2,2,192.9,20.0,3858.0
FW,1,3,85,0.5384617,1,ANGRA2,3,192.9,30.0,5787.0
FW,1,3,85,0.5384617,1,ANGRA2,4,192.9,40.0,7716.0
FW,1,3,86,0.4615386,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,3,86,0.4615386,1,ANGRA2,2,0.0,20.0,0.0
FW,1,3,86,0.4615386,1,ANGRA2,3,0.0,30.0,0.0
FW,1,3,86,0.4615386,1,ANGRA2,4,0.0,40.0,0.0
FW,1,3,87,0.5000002,1,ANGRA1,1,445.1,10.0,4451.0
FW,1,3,87,0.5000002,1,ANGRA2,2,-0.0,20.0,-0.0
FW,1,3,87,0.5000002,1,ANGRA2,3,-0.0,30.0,-0.0
FW,1,3,87,0.5000002,1,ANGRA2,4,-0.0,40.0,-0.0
FW,1,3,88,0.5000002,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,3,88,0.5000002,1,ANGRA2,2,214.7,20.0,4294.0
FW,1,3,88,0.5000002,1,ANGRA2,3,214.7,30.0,6441.0
FW,1,3,88,0.5000002,1,ANGRA2,4,214.7,40.0,8588.0
FW,1,4,89,0.1428571,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,89,0.1428571,1,ANGRA2,2,181.0,20.0,3620.0
FW,1,4,89,0.1428571,1,ANGRA2,3,181.0,30.0,5430.0
FW,1,4,89,0.1428571,1,ANGRA2,4,181.0,40.0,7240.0
FW,1,4,90,0.1428571,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,90,0.1428571,1,ANGRA2,2,307.7,20.0,6154.0
FW,1,4,90,0.1428571,1,ANGRA2,3,307.7,30.0,9231.0
FW,1,4,90,0.1428571,1,ANGRA2,4,307.7,40.0,12308.0
FW,1,4,91,0.1428571,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,91,0.1428571,1,ANGRA2,2,195.7,20.0,3914.0
FW,1,4,91,0.1428571,1,ANGRA2,3,195.7,30.0,5871.0
FW,1,4,91,0.1428571,1,ANGRA2,4,195.7,40.0,7828.0
FW,1,4,92,0.1428571,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,92,0.1428571,1,ANGRA2,2,73.3,20.0,1466.0
FW,1,4,92,0.1428571,1,ANGRA2,3,73.3,30.0,2199.0
FW,1,4,92,0.1428571,1,ANGRA2,4,73.3,40.0,2932.0
FW,1,4,93,0.1428571,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,93,0.1428571,1,ANGRA2,2,258.0,20.0,5160.0
FW,1,4,93,0.1428571,1,ANGRA2,3,258.0,30.0,7740.0
FW,1,4,93,0.1428571,1,ANGRA2,4,258.0,40.0,10320.0
FW,1,4,94,0.2857142,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,94,0.2857142,1,ANGRA2,2,361.7,20.0,7234.0
FW,1,4,94,0.2857142,1,ANGRA2,3,361.7,30.0,10851.0
FW,1,4,94,0.2857142,1,ANGRA2,4,361.7,40.0,14468.0
FW,1,4,4,0.1666667,1,ANGRA1,1,305.0,10.0,3050.0
FW,1,4,4,0.1666667,1,ANGRA2,2,0.0,20.0,0.0
FW,1,4,4,0.1666667,1,ANGRA2,3,0.0,30.0,0.0
FW,1,4,4,0.1666667,1,ANGRA2,4,0.0,40.0,0.0
FW,1,4,7,0.1666667,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,4,7,0.1666667,1,ANGRA2,2,0.0,20.0,0.0
FW,1,4,7,0.1666667,1,ANGRA2,3,0.0,30.0,0.0
FW,1,4,7,0.1666667,1,ANGRA2,4,0.0,40.0,0.0
FW,1,4,10,0.1666667,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,10,0.1666667,1,ANGRA2,2,18.0,20.0,360.0
FW,1,4,10,0.1666667,1,ANGRA2,3,18.0,30.0,540.0
FW,1,4,10,0.1666667,1,ANGRA2,4,18.0,40.0,720.0
FW,1,4,13,0.1666667,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,13,0.1666667,1,ANGRA2,2,18.3,20.0,366.0
FW,1,4,13,0.1666667,1,ANGRA2,3,18.3,30.0,549.0
FW,1,4,13,0.1666667,1,ANGRA2,4,18.3,40.0,732.0
FW,1,4,16,0.1666667,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,4,16,0.1666667,1,ANGRA2,2,0.0,20.0,0.0
FW,1,4,16,0.1666667,1,ANGRA2,3,0.0,30.0,0.0
FW,1,4,16,0.1666667,1,ANGRA2,4,0.0,40.0,0.0
FW,1,4,19,0.1666667,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,19,0.1666667,1,ANGRA2,2,98.3,20.0,1966.0
FW,1,4,19,0.1666667,1,ANGRA2,3,98.3,30.0,2949.0
FW,1,4,19,0.1666667,1,ANGRA2,4,98.3,40.0,3932.0
FW,1,4,95,0.2857142,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,95,0.2857142,1,ANGRA2,2,235.7,20.0,4714.0
FW,1,4,95,0.2857142,1,ANGRA2,3,235.7,30.0,7071.0
FW,1,4,95,0.2857142,1,ANGRA2,4,235.7,40.0,9428.0
FW,1,4,96,0.1428571,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,96,0.1428571,1,ANGRA2,2,110.3,20.0,2206.0
FW,1,4,96,0.1428571,1,ANGRA2,3,110.3,30.0,3309.0
FW,1,4,96,0.1428571,1,ANGRA2,4,110.3,40.0,4412.0
FW,1,4,97,0.1428571,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,97,0.1428571,1,ANGRA2,2,46.3,20.0,926.0
FW,1,4,97,0.1428571,1,ANGRA2,3,46.3,30.0,1389.0
FW,1,4,97,0.1428571,1,ANGRA2,4,46.3,40.0,1852.0
FW,1,4,98,0.1428571,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,98,0.1428571,1,ANGRA2,2,293.7,20.0,5874.0
FW,1,4,98,0.1428571,1,ANGRA2,3,293.7,30.0,8811.0
FW,1,4,98,0.1428571,1,ANGRA2,4,293.7,40.0,11748.0
FW,1,4,99,0.1428571,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,99,0.1428571,1,ANGRA2,2,153.0,20.0,3060.0
FW,1,4,99,0.1428571,1,ANGRA2,3,153.0,30.0,4590.0
FW,1,4,99,0.1428571,1,ANGRA2,4,153.0,40.0,6120.0
FW,1,4,100,0.1428571,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,100,0.1428571,1,ANGRA2,2,219.3,20.0,4386.0
FW,1,4,100,0.1428571,1,ANGRA2,3,219.3,30.0,6579.0
FW,1,4,100,0.1428571,1,ANGRA2,4,219.3,40.0,8772.0
FW,1,4,101,0.2857142,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,101,0.2857142,1,ANGRA2,2,301.2,20.0,6024.0
